review_id,bucket,question,issue,decision,note
1,明显改善,2024朝阳一模Q21,百年变局与外部风险挑战,ACCEPT_NO_NEW_PATCH,Codex 已改为细则原文“外部环境日趋严峻、风险挑战增多”，保留。
2,明显改善,2026丰台期末Q20,维护多边贸易体制,APPLY_TITLE_FAMILY_PATCH,卷面句已改准，但核心标题仍残留“以世界贸易组织为核心”；改为家族标题“维护多边贸易体制”。
3,明显改善,2026朝阳期末Q20,建设开放型世界经济，扩大开放合作,ACCEPT_NO_NEW_PATCH,Codex 已收紧为“开放合作、互利共赢和世界经济共同繁荣”，保留。
4,明显改善,2026西城二模Q19(2),坚持开放合作和包容普惠,ACCEPT_NO_NEW_PATCH,Codex 已改为“弥合全球数字鸿沟、释放数据价值、繁荣数字经济”，保留。
5,明显改善,2024朝阳一模Q21,坚持总体国家安全观，统筹发展与安全,ACCEPT_NO_NEW_PATCH,Codex 已改为“外部环境日趋严峻、风险挑战增多”，保留。
6,明显改善,2026门头沟一模Q21,中国是负责任大国并勇于担当,ACCEPT_NO_NEW_PATCH,Codex 已改为“互利共赢的开放战略”，保留。
7,副作用,2026丰台期末Q20,维护以世界贸易组织为核心的多边贸易体制标题,APPLY_TITLE_FAMILY_PATCH,同第2项。复核意见成立，但最终标题采用可同时覆盖石景山、丰台两题的“维护多边贸易体制”。
8,持平,2024海淀二模Q18(1),和平与发展仍是时代主题,REVIEWED_KEEP,Claude 判定两版均为合理外延，无需新改。
9,持平,2025东城期末Q20,反对贸易保护主义,REVIEWED_KEEP,Claude 判定 Codex 用“市场竞争和市场秩序”贴近细则，无需新改。
10,持平,2026丰台期末Q20,维护开放合作的国际经济环境,REVIEWED_KEEP,Claude 判定新版与原版基本同义；上一轮已删去无支撑保护主义扩展，保留。
11,持平,2024海淀二模Q18(1),推动构建人类命运共同体,REVIEWED_KEEP,细则只列角度，Claude 判定两版均合理，无需新改。
12,持平,2024海淀二模Q18(1),国际组织,REVIEWED_KEEP,细则不展开，Claude 判定两版均属合理外延，无需新改。
13,持平,2024朝阳一模Q21,坚持独立自主、自力更生,REVIEWED_KEEP,Codex 已删“小院高墙、政治化”，改成“外部风险挑战”；保留。
