finding_id,severity,location,issue,requested_action
F-LB08-01,P1,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv :: row Q-2024朝阳一模-20-1 :: generated_text,"Phrase 细则31先指出推理类型(充分条件假言推理1分),理由 前真后必真,后假则前假 (2分) embeds source-rubric file id 31 inside review-only body (sourced from 031_..._细则.pptx).",Replace 细则31 with neutral phrasing such as 评分细则 or remove the file-id reference entirely; preserve the 1+2 分赋分语言.
F-LB08-02,P1,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv :: row Q-2024朝阳二模-19-1 :: generated_text,"Phrase 细则022填空1=动态性,填空2=类比推理 and 依据细则022填空答案2分+保真表述3分 carry source-rubric file id 022 twice in review-only body.",Strip 细则022 to plain 评分细则 / rubric phrasing; keep 2+3 分 quantitative赋分 language.
F-LB08-03,P1,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv :: row Q-2024朝阳二模-19-2 :: generated_text,Phrase 细则022联言判断本身2分+保真条件3分 and 依细则022 2+3 分写出联言判断成立条件 carry source-rubric file id 022 twice in review-only body.,Same as F-LB08-02; remove file-id prefix while preserving the 2+3 分 quantitative句式.
F-LB08-04,P1,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv :: row Q-2026顺义一模-19-2 :: generated_text,"Generated text exposes raw phase07 input field names: 原始 phase07 数据将 19(2) primary_reasoning_type 置为(三段论;判断;推理), rule_slogan 为(科学思维三特征).",Move归类 ambiguity discussion to opus_self_note (already partially there); generated_text should describe the题型 in teaching language without referencing phase07 / primary_reasoning_type / rule_slogan field names.
F-LB08-05,P1,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.md :: Q-2025东城期末-13 答案落点 line,"答案落点 prose reads 正确选项 B(原始 phase07 数据已锁定 B),理由是①与③均犯中项不周延的谬误。 — pipeline phase term phase07 leaks into review body.",Drop the parenthetical (原始 phase07 数据已锁定 B) or rephrase as (答案 B 已由本轮锁定) without naming any pipeline phase.
F-LB08-06,P1,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.md :: Q-2025顺义一模-7 答案落点 line,答案落点 prose reads 正确选项 A(原始 phase07 数据锁定);理由是 A 选项对小项不当扩大的描述本身存在错误。 — pipeline phase term phase07 leaks into review body.,Same as F-LB08-05; remove the parenthetical phase term while keeping the answer-letter and reasoning.
F-LB08-07,P1,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.md :: Q-2024朝阳二模-19-1 and Q-2024朝阳二模-19-2 双挂载 sections,MD body for both rows references 细则022 inside 有效式或错误式 / 答题动作 prose; mirrors the CSV leak in F-LB08-02 / F-LB08-03.,Mirror the CSV fix in MD body; keep 2+3 分 detail but drop the file-id prefix.
F-LB08-08,P1,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.md :: Q-2024朝阳一模-20-1 有效式或错误式 line,MD body references 细则31 inside 有效式或错误式 prose; mirrors the CSV leak in F-LB08-01.,Mirror the CSV fix in MD body; keep 1+2 分 detail but drop the file-id prefix.
F-LB08-09,P2,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.md :: Q-2024朝阳一模-7 思维 row,Choice question with answer=C; body discusses ②③ correct options but never writes 选 C / 答案 C / 正确选项 C explicitly. Teaching transfer reads strain.,In next iteration add 选 C(②③) or 答案 C to答题动作 / 答案落点 line so reviewers can verify against freeze answer locator without leaving the row.
F-LB08-10,P2,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.md :: Q-2024朝阳一模-9 思维 row,Choice question with answer=D; body discusses ③④ correct options but never writes 选 D / 答案 D / 正确选项 D explicitly.,Same as F-LB08-09; add 选 D(③④) or 答案 D explicitly.
F-LB08-11,P3,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.md :: Q-2025丰台期末-7 答案落点 line,Phrase 在哲学题、选必三超前思维作干扰类型上确认 C 项 uses audit-style 类型标签 phrasing in answer-落点 line.,"Optional rephrasing to teaching-friendly form, e.g. 此题答案落在哲学唯物论从实际出发而非选必三超前思维,正确选项为 C."
F-LB08-12,P3,07_student_prototype/phase08_opus_teaching_prototype_REVIEW_ONLY.csv :: opus_self_note column,"Most opus_self_note values include internal pipeline phrases (LOCKED_FOR_FUSION, patch freeze, framework_node, A-formal, primary_reasoning_type). Per Phase08 boundary compliance file these are accepted in audit columns; flagged for visibility only.",No fix required. opus_self_note is an audit column by spec; this finding is informational so future gates can confirm the audit/正文 split convention is intentional.
