check_id,severity,status,evidence,comment
P0_required_files_exist,P0,PASS,"phase08_opus_teaching_prototype_REVIEW_ONLY.md|.csv|phase08_opus_change_log.md|.csv|phase08_opus_boundary_compliance.md|progress.md all present under 07_student_prototype and opus_writer/phase08_teaching_prototype/","All 6 required Opus output files exist."
P0_proto_csv_29_rows,P0,PASS,"csv.DictReader rows=29; columns=['question_id','module','prototype_section','source_entry_status','generated_text','fields_preserved_check','opus_self_note']","Prototype CSV has exactly 29 rows and exact required columns."
P0_change_csv_29_rows,P0,PASS,"csv.DictReader rows=29; columns=['question_id','changed_field','before_packet_text','after_prototype_text','change_type','answer_changed','status_changed','question_deleted','question_added','pairing_changed']","Change log CSV has exactly 29 rows and exact required columns."
P0_id_set_equals_freeze,P0,PASS,"freeze_set==proto_set==chg_set; missing=[]; extra=[]; dup=0","Prototype question_id set exactly equals Phase08 input freeze; change log set is also identical."
P0_no_hold_row_as_proto,P0,PASS,"intersection(proto_ids, hold_ids)=[]; hold_count=45 (hold_answer_locator_risk=25 + hold_reasoning_form_risk=20)","No hold row appears as a prototype row."
P0_no_L0_row_as_proto,P0,PASS,"intersection(proto_ids, L0_ids)=[]; L0_count=288","No L0 row appears as a prototype row."
P0_permissions_visible,P0,PASS,"prototype MD header lines 1-7 contain student_permission: no, word_pdf_permission: no, final_pass_permission: no, prototype_status: review_only; same set echoed in change log MD, boundary compliance MD, progress MD","All required permission tokens remain visible across all required Opus files."
P0_sentinels_must_be_no,P0,PASS,"all 29 change log rows have answer_changed=status_changed=question_deleted=question_added=pairing_changed=must_be_no; change_type set={structure_only, wording_only}","Change log sentinels and change_type field comply with required values."
P0_xicheng11_not_row_no_wrong_pairing,P0,PASS,"Q-2024西城一模-11 not in proto_ids; substring 'B=①④' not found in any generated_text or MD body","Q-2024西城一模-11 absent as a prototype row; old wrong pairing B=①④ does not appear as correct result."
P0_haidian12_haidian13_not_rows,P0,PASS,"Q-2025海淀二模-12 not in proto_ids; Q-2025海淀二模-13 not in proto_ids; Q-2025海淀二模-12 referenced as bare ID in 同类题 of Q-2025丰台期末-7 only; Q-2025海淀二模-13 absent everywhere","Q-2025海淀二模-12 and Q-2025海淀二模-13 absent as prototype rows; locator-limit not detached."
P0_shunyi3_not_in_reasoning,P0,PASS,"Q-2026顺义一模-3 not in proto_ids; appears only as bare ID in 思维 同类题 lists of Q-2024朝阳一模-9, Q-2025海淀二模-20, Q-2026朝阳期中-20","Q-2026顺义一模-3 does not enter reasoning prototype; only 思维同类 ID-reference."
P0_fengtai18_2_patch_preserved,P0,PASS,"Q-2026丰台一模-18-2 generated_text contains exact phase07-patch phrase '先识别甲为必要条件假言推理的肯定后件式，并结合前提真实判定甲推理正确；再识别乙为三段论大项在前提中不周延却在结论中周延，属于大项不当扩大，判定乙推理错误。'; MD body 解题动作 line 286 reproduces it verbatim; answer_locator answer_confirmed_甲正确乙错误_from_043_slide35_36_rubric kept off prototype正文","Q-2026丰台一模-18-2 keeps Phase07 patched reasoning/action/locator boundary."
P0_no_listed_forbidden_in_generated_text,P0,PASS,"substring scan of all 29 generated_text values for 'source locator','lane','Governor','Confucius','packet','L3','L4','/Users/','@L','Slide' returns 0 hits","No generated_text contains the explicit P0 forbidden internal terms."
P0_no_final_artifact_terms_in_generated_text,P0,PASS,"substring scan of all 29 generated_text values for 'final PASS','Word/PDF','宝典成品','终稿','最终稿' returns 0 hits","No generated_text contains final-artifact authorization language."
P1_cross_double_mount_visible,P1,PASS,"all 5 cross rows (Q-2024朝阳二模-19-1, Q-2024朝阳二模-19-2, Q-2024朝阳期中-9, Q-2026顺义一模-19-1, Q-2026顺义一模-19-2) contain both '推理挂载' and '思维挂载', plus '主挂载' and '次挂载' markers in MD body and 双挂载 prefix in CSV","Cross rows visibly preserve double-mount policy; main=reasoning, secondary=thinking."
P1_reasoning_full_chain_kept,P1,PASS,"all 11 reasoning rows contain 题型 + 逻辑形式 + 规则口诀 + 有效式或错误式 + 解题动作 + 答案落点 + 易错陷阱 + 同类题 subsections in MD body","Reasoning rows do not collapse into generic推理知识点总论; per-row chain preserved."
P1_thinking_full_chain_kept,P1,PASS,"all 13 thinking rows contain 材料信号 + 可写思维方法 + 为什么能想到 + 答题动作 + 答案落点 + 易错陷阱 + 同类题 subsections in MD body","Thinking rows do not collapse into generic知识摘要; per-row chain preserved."
P1_same_type_ids_id_only,P1,PASS,"every '同类题' line in 29 question bodies tokenizes to bare Q- IDs only (no answer/挂载/类型 prose); hard-sample IDs Q-2024西城一模-11, Q-2025海淀二模-12, Q-2026顺义一模-3 appear strictly as ID references","Same-type IDs are presented as IDs only; hard-sample answer locks not exposed."
P1_review_only_body_locator_cleanliness,P1,WARN,"CSV generated_text Q-2024朝阳一模-20-1 contains '细则31'; Q-2024朝阳二模-19-1 contains '细则022' (twice); Q-2024朝阳二模-19-2 contains '细则022' (twice); Q-2026顺义一模-19-2 generated_text contains '原始 phase07 数据将 19(2) primary_reasoning_type 置为' and 'rule_slogan 为'; MD body Q-2025东城期末-13 contains '原始 phase07 数据已锁定 B'; MD body Q-2025顺义一模-7 contains '原始 phase07 数据锁定'; MD body Q-2024朝阳二模-19-1/19-2 and Q-2024朝阳一模-20-1 mirror '细则022' / '细则31' phrasing","Six rows leak source-file-id fragments (细则31, 细则022) or pipeline-internal jargon (phase07 数据, primary_reasoning_type, rule_slogan) into review-only body; not in P0 explicit forbidden list but violates spirit of #19. Boundary compliance file's claim that '未引用任何文件路径、行号' is partially inconsistent with these residues."
P2_choice_thinking_answer_letter,P2,WARN,"Q-2024朝阳一模-7 (answer=C) MD body discusses ②③ correct options but never writes '选 C' / '答案 C' explicitly; Q-2024朝阳一模-9 (answer=D) MD body discusses ③④ but never writes '选 D' explicitly","Two 选择题 thinking rows do not lift the answer letter into the body; teaching transfer risk for review readers."
P2_phase07_label_in_answer_dropping,P2,WARN,"Q-2025东城期末-13 答案落点 reads '正确选项 B(原始 phase07 数据已锁定 B)'; Q-2025顺义一模-7 答案落点 reads '正确选项 A(原始 phase07 数据锁定)'","Pipeline phase term 'phase07' appears within answer-落点 prose; reads as audit speak in a teaching prototype."
P2_internal_field_names_in_qid19_2,P2,WARN,"Q-2026顺义一模-19-2 generated_text exposes raw input field names 'primary_reasoning_type' and 'rule_slogan' inside review body","Internal phase07 field names should not appear in teaching review-only正文; opus_self_note already records the归类 ambiguity, no need to expose field names in generated_text."
P3_section_label_xfer,P3,INFO,"Q-2025丰台期末-7 answer-落点 phrasing '在哲学题、选必三超前思维作干扰类型上确认 C 项' carries audit-style label phrasing","Type-label is teaching-readable but tilts toward audit speak; consider rephrasing in next iteration."
P3_module_section_distribution,P3,INFO,"模块分布 思维=13 / 推理=11 / 交叉=5; status分布 L4=4 (Q-2025海淀二模-20, Q-2025西城二模-16-2, Q-2025西城二模-16-3, Q-2026丰台一模-18-2) / L3=25","Module and status distribution match Phase08 input freeze exactly."
P3_codexA_cross_lane_consistency,P3,INFO,"Codex A Phase08 verification reports PASS_CODEXA_PHASE08_OPUS_PROTOTYPE_VERIFICATION with 0 failures; Lane B independent sweep agrees on every P0 check; Lane B adds the locator/jargon WARN findings missed by Codex A's exact-string forbidden-term filter","Cross-lane finding: Codex A automated check used the exact P0 forbidden-list and missed the spirit-level #19 locator cleanliness leakage flagged here."
