suite,status,n_choice,n_subj
2024/2024东城一模,has_xuanbier,3,1
2024/2024朝阳一模,has_xuanbier,2,0
2024/2024朝阳二模,has_xuanbier,2,1
2024/2024朝阳期中,no_xuanbier_detected,0,0
2024/2024海淀一模,has_xuanbier,2,1
2024/2024海淀期中,no_xuanbier_detected,0,0
2024/ROOT,no_xuanbier_detected,0,0
2024/东城二模,has_xuanbier,2,1
2024/丰台一模,has_xuanbier,2,1
2024/丰台二模,has_xuanbier,2,0
2024/海淀二模,has_xuanbier,3,1
2024/石景山一模,has_xuanbier,1,2
2024/西城一模,has_xuanbier,3,1
2024/西城二模,has_xuanbier,3,2
2024/顺义思政二模,has_xuanbier,3,0
2025/2025东城一模,has_xuanbier,1,1
2025/2025东城二模,has_xuanbier,2,1
2025/2025东城期末,has_xuanbier,4,1
2025/2025丰台一模,has_xuanbier,2,0
2025/2025丰台二模,has_xuanbier,3,0
2025/2025丰台期末,has_xuanbier,2,1
2025/2025延庆一模,has_xuanbier,2,1
2025/2025房山一模,has_xuanbier,2,1
2025/2025昌平二模,has_xuanbier,2,1
2025/2025朝阳一模,has_xuanbier,2,1
2025/2025朝阳二模,has_xuanbier,1,1
2025/2025朝阳期末,has_xuanbier,2,1
2025/2025海淀一模,has_xuanbier,1,1
2025/2025海淀二模,has_xuanbier,3,0
2025/2025海淀期中,has_xuanbier,1,0
2025/2025海淀期末,has_xuanbier,7,3
2025/2025石景山一模,has_xuanbier,1,1
2025/2025西城一模,has_xuanbier,2,0
2025/2025西城二模,has_xuanbier,2,1
2025/2025西城期末,has_xuanbier,2,0
2025/2025门头沟一模,has_xuanbier,2,1
2025/2025顺义一模,has_xuanbier,2,1
2026/2026东城一模,has_xuanbier,1,1
2026/2026东城期末,has_xuanbier,3,1
2026/2026丰台一模,has_xuanbier,3,1
2026/2026丰台期末,has_xuanbier,1,1
2026/2026延庆一模,has_xuanbier,1,1
2026/2026房山一模,has_xuanbier,2,1
2026/2026朝阳一模,has_xuanbier,2,1
2026/2026朝阳期中,no_xuanbier_detected,0,0
2026/2026朝阳期末,has_xuanbier,1,1
2026/2026海淀一模,has_xuanbier,3,1
2026/2026海淀期中,has_xuanbier,1,0
2026/2026海淀期末,has_xuanbier,0,2
2026/2026石景山一模,has_xuanbier,3,2
2026/2026西城一模,has_xuanbier,1,1
2026/2026西城期末,has_xuanbier,0,1
2026/2026通州期末,has_xuanbier,2,1
2026/2026门头沟一模,has_xuanbier,1,1
2026/2026顺义一模,no_xuanbier_detected,0,0
