idx,year,suite,ext,filename,full_path,out_txt,char_count,evidence_level_hypothesis,excluded,ocr_used,pdf_pages,status,error,upgrade_reason
1,2024,ROOT,.docx,北京2024各区《经济与社会》考题-wlfwlf.docx,/Users/wanglifei/Desktop/2024模拟题/北京2024各区《经济与社会》考题-wlfwlf.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/ROOT/北京2024各区_经济与社会_考题-wlfwlf.docx.txt,15707,L1,N,N,,ok,,name+content
2,2024,ROOT,.pdf,北京及2024各区《经济与社会》考题-wlf.pdf,/Users/wanglifei/Desktop/2024模拟题/北京及2024各区《经济与社会》考题-wlf.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/ROOT/北京及2024各区_经济与社会_考题-wlf.pdf.txt,17721,L1,N,N,19,ok,,name+content
3,2024,丰台一模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/丰台一模/丰台一模__细则__细则.docx.txt,4642,L1,N,N,,ok,,name+content
4,2024,丰台一模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/丰台一模/丰台一模__试卷__试卷.pdf.txt,1142,SOURCE_PAPER,N,N,8,ok,,name
5,2024,丰台一模,.pdf,2024北京丰台高三一模政治试题及答案.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/丰台一模/丰台一模__试卷__补充材料__2024北京丰台高三一模政治试题及答案.pdf.txt,10471,L1,N,N,9,ok,,name+content
6,2024,石景山一模,.pptx,细则.pptx,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/石景山一模/石景山一模__细则__细则.pptx.txt,12365,L1,N,N,,ok,,name
7,2024,石景山一模,.docx,试卷.docx,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/石景山一模/石景山一模__试卷__试卷.docx.txt,9092,L1,N,N,,ok,,name+content
8,2024,2024朝阳二模,.pdf,细则.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳二模/2024朝阳二模__细则__细则.pdf.txt,7476,L1,N,N,5,ok,,name+content
9,2024,2024朝阳二模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳二模/2024朝阳二模__细则__补充材料__细则.docx.txt,1892,L1,N,N,,ok,,name+content
10,2024,2024朝阳二模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳二模/2024朝阳二模__试卷__试卷.pdf.txt,9904,SOURCE_PAPER,N,N,8,ok,,name
