suite_name,year,district,stage,question_anchor_guess,category,topic,matched_term,candidate_signal_status,source_status,inventory_source_type,source_priority,file_name,line_no,hit_line,context,original_path,file,promotion_status
2024朝阳一模,2024,朝阳,一模,,reasoning,三段论,四概念,positive_candidate,lecture_support_candidate,ppt,P2_candidate_teaching_or_lecture,SRC_d991feeaa63e_202404朝阳高三政治一模试卷讲评_pptx.txt,112,D.我无法一天读完老舍的作品，《茶馆》是老舍的作品，因此我无法一天读完《茶馆》（四概念）,B.我不赞成所有人都有崇高的理想，也不赞成所有人都没有崇高的理想（排中律） / C.所有的科技人员都是懂计算机的，并且有些不懂计算机的是科技人员（矛盾律） / D.我无法一天读完老舍的作品，《茶馆》是老舍的作品，因此我无法一天读完《茶馆》（四概念） / B / [[SLIDE 15]],/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,/Users/wanglifei/Desktop/北京高考政治/选必一_当代国际政治与经济_四线终极全书_2026-05-03/02_extraction/full_source_text_cache_20260503/SRC_d991feeaa63e_202404朝阳高三政治一模试卷讲评_pptx.txt,candidate_only_needs_original_source_check
2024朝阳一模,2024,朝阳,一模,,reasoning,三段论,四概念,positive_candidate,lecture_support_candidate,support,,d991feeaa63e330a_202404朝阳高三政治一模试卷讲评.txt,122,D.我无法一天读完老舍的作品，《茶馆》是老舍的作品，因此我无法一天读完《茶馆》（四概念）,B.我不赞成所有人都有崇高的理想，也不赞成所有人都没有崇高的理想（排中律） / C.所有的科技人员都是懂计算机的，并且有些不懂计算机的是科技人员（矛盾律） / D.我无法一天读完老舍的作品，《茶馆》是老舍的作品，因此我无法一天读完《茶馆》（四概念） / B,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/d991feeaa63e330a_202404朝阳高三政治一模试卷讲评.txt,candidate_only_needs_original_source_check
2025昌平二模,2025,昌平,二模,,reasoning,三段论,大项,positive_candidate,rubric_like_candidate,rubric,,2df7863ec9ebcad7_细则.txt,125,持续打造“投资中国” 品牌 | 制定打造“投资中国”品牌年度实施方案，精心设计实施“投资中国”系列活动。针对主要投资来源地不同特点，研究制定差异化引资目标和策略，全面激活双边投资促进工作组机制，加大项目撮合对接力度。,扩大重点领域开放试点 | 扩大电信、医疗、教育等领域开放试点，全面取消制造业领域外资准入限制要求，促进生物医药领域开放，支持符合条件的外资企业参与生物制品分段生产试点，进一步压减市场准入负面清单事项。 / 加大服务保障力度 | 持续规范涉外资企业监管，加大涉外商投资知识产权保护力度；拓宽外资企业融资渠道，鼓励金融机构为外资企业提供融资服务；加快互免签证协定商谈，继续稳妥扩大单方面免签国家范围。 / 持续打造“投资中国” 品牌 | 制定打造“投资中国”品牌年度实施方案，精心设计实施“投资中国”系列活动。针对主要投资来源地不同特点，研究制定差异化引资目标和策略，全面激活双边投资促进工作组机制，加大项目撮合对接力度。 / 结合材料，说明上述举措对我国建设更高水平的开放型经济具有什么重要意义 / 上述举措,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/2df7863ec9ebcad7_细则.txt,candidate_only_needs_original_source_check
2025朝阳一模,2025,朝阳,一模,3,reasoning,三段论,三段论,boundary_or_negative_signal,rubric_like_candidate,rubric,,341c036102eb458c_20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.txt,71,不能准确辨析演绎推理中的分类，有答演绎推理中的三段论，换位推理。,知识混乱，概念不清晰，术语不准确 / 不能准确辨析推理类型，有答成类比推理、归纳推理的。 / 不能准确辨析演绎推理中的分类，有答演绎推理中的三段论，换位推理。 / 术语运用不准，有写充分条件联言判断，还有的答成选言充分条件推理。 / 3.不明晰充分条件和必要条件的区别和意义，不知道谁是谁的必要条件，谁是谁的充分条件。,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/341c036102eb458c_20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.txt,candidate_only_needs_original_source_check
2026丰台一模,2026,丰台,一模,,reasoning,三段论,三段论,boundary_or_negative_signal,rubric_like_candidate,rubric,,44f3b42c2caf06aa_细则.txt,191,乙的推理属于三段论推理。在该推理中，“带动居民消费”作为大项在前提中不周延但是在结论中却周延，犯了“大项不当扩大”的逻辑错误，因此该推理错误。,（2）（6 分） / 甲的推理属于必要条件假言推理。该推理前提真实，且符合必要条件假言推理肯定后件式的推理结构，因此该推理正确。 / 乙的推理属于三段论推理。在该推理中，“带动居民消费”作为大项在前提中不周延但是在结论中却周延，犯了“大项不当扩大”的逻辑错误，因此该推理错误。 / [slide 36],/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/44f3b42c2caf06aa_细则.txt,candidate_only_needs_original_source_check
2026丰台一模,2026,丰台,一模,,reasoning,三段论,大项,boundary_or_negative_signal,rubric_like_candidate,rubric,,44f3b42c2caf06aa_细则.txt,191,乙的推理属于三段论推理。在该推理中，“带动居民消费”作为大项在前提中不周延但是在结论中却周延，犯了“大项不当扩大”的逻辑错误，因此该推理错误。,（2）（6 分） / 甲的推理属于必要条件假言推理。该推理前提真实，且符合必要条件假言推理肯定后件式的推理结构，因此该推理正确。 / 乙的推理属于三段论推理。在该推理中，“带动居民消费”作为大项在前提中不周延但是在结论中却周延，犯了“大项不当扩大”的逻辑错误，因此该推理错误。 / [slide 36],/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/44f3b42c2caf06aa_细则.txt,candidate_only_needs_original_source_check
2026丰台一模,2026,丰台,一模,,reasoning,三段论,周延,boundary_or_negative_signal,rubric_like_candidate,rubric,,44f3b42c2caf06aa_细则.txt,191,乙的推理属于三段论推理。在该推理中，“带动居民消费”作为大项在前提中不周延但是在结论中却周延，犯了“大项不当扩大”的逻辑错误，因此该推理错误。,（2）（6 分） / 甲的推理属于必要条件假言推理。该推理前提真实，且符合必要条件假言推理肯定后件式的推理结构，因此该推理正确。 / 乙的推理属于三段论推理。在该推理中，“带动居民消费”作为大项在前提中不周延但是在结论中却周延，犯了“大项不当扩大”的逻辑错误，因此该推理错误。 / [slide 36],/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/44f3b42c2caf06aa_细则.txt,candidate_only_needs_original_source_check
2026丰台一模,2026,丰台,一模,,reasoning,三段论,三段论,boundary_or_negative_signal,rubric_like_candidate,rubric,,44f3b42c2caf06aa_细则.txt,200,乙的推理属于三段论推理(1分）——演绎推理的三段论推理。,推理前提真实（1分）替换——分析例题(1分) 如:必要条件假言推理；有效式——肯定后件式；消费潜力得到有效释放，肯定了后件，从而肯定了……落地。 / 乙的推理属于三段论推理(1分）——演绎推理的三段论推理。 / 规则(1分）——前提中不周延的项结论中也不得周延或分析材料 / 错误——大项不当扩大(1分),/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/44f3b42c2caf06aa_细则.txt,candidate_only_needs_original_source_check
2026丰台一模,2026,丰台,一模,,reasoning,三段论,周延,boundary_or_negative_signal,rubric_like_candidate,rubric,,44f3b42c2caf06aa_细则.txt,201,规则(1分）——前提中不周延的项结论中也不得周延或分析材料,乙的推理属于三段论推理(1分）——演绎推理的三段论推理。 / 规则(1分）——前提中不周延的项结论中也不得周延或分析材料 / 错误——大项不当扩大(1分),/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/44f3b42c2caf06aa_细则.txt,candidate_only_needs_original_source_check
2026丰台一模,2026,丰台,一模,,reasoning,三段论,大项,boundary_or_negative_signal,rubric_like_candidate,rubric,,44f3b42c2caf06aa_细则.txt,202,错误——大项不当扩大(1分),乙的推理属于三段论推理(1分）——演绎推理的三段论推理。 / 规则(1分）——前提中不周延的项结论中也不得周延或分析材料 / 错误——大项不当扩大(1分) / [slide 37],/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/44f3b42c2caf06aa_细则.txt,candidate_only_needs_original_source_check
2026丰台一模,2026,丰台,一模,"1,2,3",reasoning,三段论,三段论,boundary_or_negative_signal,rubric_like_candidate,rubric,,44f3b42c2caf06aa_细则.txt,216,假言判断（推理和判断区分）、联言三段论、归纳推理三段论、换质位、充分必要假言推理的错用、大中小项区分不开，“双否”的错误、完全没学过逻辑,四、学生问题及建议 / 1.基础知识非常薄弱（跟逻辑无关的答案和知识的混淆） / 假言判断（推理和判断区分）、联言三段论、归纳推理三段论、换质位、充分必要假言推理的错用、大中小项区分不开，“双否”的错误、完全没学过逻辑 / 2.思维混乱（前面判断对了，后面说错，前面说充分条件假言推理，后面又验证是必要条件假言推理，结论正确）； / 3.学科术语欠缺，表述不规范（大项不当周延——大项不易周延或扩大、有A就有B\前真后真）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/44f3b42c2caf06aa_细则.txt,candidate_only_needs_original_source_check
2026丰台一模,2026,丰台,一模,"1,2,3",reasoning,三段论,小项,boundary_or_negative_signal,rubric_like_candidate,rubric,,44f3b42c2caf06aa_细则.txt,216,假言判断（推理和判断区分）、联言三段论、归纳推理三段论、换质位、充分必要假言推理的错用、大中小项区分不开，“双否”的错误、完全没学过逻辑,四、学生问题及建议 / 1.基础知识非常薄弱（跟逻辑无关的答案和知识的混淆） / 假言判断（推理和判断区分）、联言三段论、归纳推理三段论、换质位、充分必要假言推理的错用、大中小项区分不开，“双否”的错误、完全没学过逻辑 / 2.思维混乱（前面判断对了，后面说错，前面说充分条件假言推理，后面又验证是必要条件假言推理，结论正确）； / 3.学科术语欠缺，表述不规范（大项不当周延——大项不易周延或扩大、有A就有B\前真后真）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/preprocess_v2_2026-05-03/text_cache/44f3b42c2caf06aa_细则.txt,candidate_only_needs_original_source_check
