"question_id","source_ref","primary_angle","supplementary_angle","body_label_rule","evidence_route"
"Q0001","2026顺义一模 Q19(2)","科学思维三性：客观性、预见性、可检验性","超前思维只作交叉提醒，不单独作为主答案","主采角度必须写在本题正文；易错边界写明不能把未来养老场景泛化成超前思维主线","MAIN_THINKING_LEDGER.csv MT0001; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:143-147"
"Q0011","2024海淀二模 Q17(1)","科学思维设问下的并列采分：客观性、创新思维、辩证整体安排","无单独可补；按答题要求三段并列","正文标为并列采分，不把科学思维总帽误写成单一三性","MAIN_THINKING_LEDGER.csv MT0004"
"Q0023","2026海淀一模 Q17(2)","按题目所选两个改进角度主采","其他角度只在建议和知识匹配时可补","正文标为任选角度题，学生不能把所有方法堆满","MAIN_THINKING_LEDGER.csv MT0008"
"Q0041","2025门头沟一模 Q21(1)","科学思维总帽下的区域转型复合触发","辩证否定、联想发散、超前布局按材料分组补充","正文标为总帽复合，不把任一小帽替代全题","MAIN_THINKING_LEDGER.csv MT0017"
"Q0046","2025西城一模 Q17","科学思维客观性","辩证思维整体规划、创新/逆向思维按答题要求补充","正文标为科学总帽下三组动作","MAIN_THINKING_LEDGER.csv MT0021"
"Q0047","2025石景山一模 Q19","科学思维客观性和可检验性","归纳推理可靠程度、创新思维作材料支持角度","正文标为真实问题和实践检验主采，多方法只按材料动作展开","MAIN_THINKING_LEDGER.csv MT0022"
"Q0058","2024东城一模 Q18(3)","辩证否定关系分析","超前思维按正式评分层补充","正文标为复合题，关系、辩证否定、超前三层分写","MAIN_THINKING_LEDGER.csv MT0030"
"Q0059","2024丰台一模 Q19(2)","两种具体研究方法及科学思维理由","迁移、矛盾分析等只在作为具体方法且能取得资料时使用","正文标为具体方法题，不许空写超前、发散、联想","MAIN_THINKING_LEDGER.csv MT0031"
"Q0062","2024丰台二模 Q18(2)","科学思维预见性和必要条件边界","辩证思维分析优势短板作为评析补充","正文标为评析题，先判必要非充分，再补短板条件","MAIN_THINKING_LEDGER.csv MT0032"
"Q0066","2024西城一模 Q19(5)","超前思维研判未来产业方向","调查研究、矛盾分析、分析综合、推理想象均属超前思维方法链内部分","正文标为超前思维主采，其他方法不脱离主帽","MAIN_THINKING_LEDGER.csv MT0034"
"Q0097","2026门头沟一模 Q18(2)","科学思维总帽下辩证思维与创新思维","无独立可补；按材料两组动作展开","正文标为总帽复合，现实风险/长远目标和闭环方案分写","MAIN_THINKING_LEDGER.csv MT0042"
"Q0100","2026延庆一模 Q18(2)","辩证思维评析和适度原则","创新思维、辩证否定用于治理升级补充","正文标为复合评析题，先评价两个极端，再谈规范创新","MAIN_THINKING_LEDGER.csv MT0045"
"Q0101","2026东城一模 Q19(4)","系统观念和整体布局","创新思维、发散聚合、超前布局按成果转化链补充","正文标为系统主线，不把应用场景拓展写成唯一答案","MAIN_THINKING_LEDGER.csv MT0046"
"Q0115","2026丰台二模 Q21","创新思维主采：联想迁移、发散、聚合","逆向思维或超前思维只作变通角度","正文标为主采/变通，不让变通角度替代联想发散聚合","MAIN_THINKING_LEDGER.csv MT0053"
"Q0127","2026海淀二模 Q18(1)","分析与综合形成系统育种指标","联想思维和科学思维客观性/实践检验按材料补充","正文标为三步主线：需求分析综合、自然条件联想、市场测试","MAIN_THINKING_LEDGER.csv MT0057"
"Q0132","2026西城二模 Q18(4)","科学思维客观性","辩证思维、创新思维按人机协同情境补充","正文标为三种思维品质并列，不只写数字素养","MAIN_THINKING_LEDGER.csv MT0060"
"Q0140","2026顺义二模 Q21","科学思维赋能治理","超前思维、战略思维、底线思维是科学思维角度内部展开","正文标为综合题边界，本册只抽取选必三科学思维链","MAIN_THINKING_LEDGER.csv MT0065"
