"entry_id","question_id","thinking_type","small_method","material_action","trigger_logic","answer_sentence","evidence_level","status","rubric_source"
"MT0001","Q0001","科学思维（主采；超前只作交叉提醒）","客观性/预见性/可检验性","社区和养老院蹲点观察老人真实需求；跟踪老龄化和具身机器人应用趋势；多轮测试迭代","真实场景触发客观性，趋势预测触发预见性，测试迭代触发可检验性；不得把本题主线改放到超前思维","该企业从真实需求出发研发产品，预测养老服务应用空间，并通过测试迭代检验和优化方案，体现科学思维三性。","A-formal","source_locked","gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:143-147"
"MT0002","Q0002","辩证思维","分析与综合/整体性/动态性/质量互变/辩证否定","共享主体和建设领域的全面推进；共同富裕渐进展开；对既有发展方式扬弃","全面共建共享触发整体性和分析综合，渐进共享触发动态性和质量互变，继承发展触发辩证否定","推进共同富裕要把共享主体、建设领域和发展阶段综合起来，在渐进积累中实现共享水平提升，并坚持扬弃式发展。","A-formal","source_locked","gpt_sources/fc56fdd304fde118_2025海淀二模细则.md:80-94"
"MT0003","Q0003","创新思维","超前/联想/逆向/发散聚合/三新","从人文底蕴和消费趋势预判城市转型；联结冰雪资源、音乐和文化叙事；把冷资源转成热经济；多角度挖掘后聚焦融合街区","预测趋势触发超前，跨越联结触发联想，反向看冷资源价值触发逆向，多角度到聚焦触发发散聚合","该市通过超前预判、跨越联想、逆向转换和发散聚合，把人文底蕴转化为沉浸式体验、复合空间和新业态。","A-formal","source_locked","gpt_sources/885e694cf464c22b_2026朝阳期中细则.md:142-151"
"MT0004","Q0011","科学思维总帽下三模块复合","科学思维客观性/创新思维三新与发散聚合或超前/辩证思维整体性与分析综合","全面真实准确了解居民时间利用情况；调查思路新、方法新、范围对象内容更丰富并创造性解决问题；调查分阶段实施且每阶段任务明确","全面真实准确触发科学思维客观性，思路方法新和创造性解决问题触发创新思维三新/发散聚合/超前，分阶段整体安排触发辩证思维整体性/分析综合","此次调查为了全面、真实、准确了解居民时间利用情况，体现科学思维客观性；调查思路和方法新、范围对象内容更丰富，体现创新思维；调查工作整体安排、分阶段实施且任务明确，体现辩证思维整体性。","A-formal","source_locked","gpt_sources/227192d22e10241b_2024海淀二模细则.md:30-54"
"MT0005","Q0014","辩证思维","矛盾分析法/分析与综合/质量互变/动态性","面对机遇与挑战并存的新征程；拆分新机遇与风险因素再整体谋划；持续投入科研和循序渐进化解冲击；顺应科技革命和国际环境变化","机遇挑战触发矛盾分析，拆分综合触发分析与综合，脚踏实地积累触发质量互变，变化趋势触发动态性","面对机遇与挑战要用辩证思维全面把握、综合谋划、持续积累、动态应变，把机遇转化为发展优势，把挑战转化为成长动力。","A-formal","source_locked","gpt_sources/885e694cf464c22b_2026朝阳期中细则.md:108-124"
"MT0006","Q0019","联想思维","迁移/想象","把中国铁路博物馆元素转化为文创产品方案；围绕铁路文化、科技、历史进行形象化设想","跨领域移用触发迁移，围绕铁路元素构造新产品形态触发想象","设计中国铁路博物馆文创产品时，要运用迁移或想象，把铁路文化元素转化为具体、可展示、可使用的产品方案。","A-formal","source_locked","gpt_sources/3a11db4bade216d1_2026朝阳一模细则.md:40-49"
"MT0007","Q0021","超前思维","调查研究/矛盾分析/推理和想象","调查居民阅读和服务需求；分析建设运营成本与需求之间的矛盾；结合人口结构变化规划未来功能","需求摸底触发调查研究，在超前思维帽下预判成本与需求的潜在张力触发矛盾分析，未来功能规划触发推理和想象","城市书房建设要运用超前思维，通过调查研究把握需求，运用超前思维的矛盾分析方法预判并平衡运营条件与居民需求，并通过推理和想象作出前瞻性功能规划。","A-formal","source_locked","gpt_sources/7832041a93d37e1f_2026海淀期末细则.md:36"
"MT0008","Q0023","调研改进综合思维","科学思维/逻辑思维规则/辩证思维/创新思维","从实际问题和真实需求设计调研；检查不完全归纳可靠性和选项完整性；综合多种调研方法；发散收集意见后聚焦核心问题","客观事实触发科学思维，归纳可靠性和分类完整性触发逻辑规则，多方法综合触发辩证思维，广泛收集再聚焦触发创新思维","可从科学思维角度写：调研应从真实问题和需求出发设计选项，并通过实地测量、数据比对检验结论可靠性；也可从逻辑规则角度写：提高不完全归纳推理可靠程度，要扩大样本、完善选项并寻找因果联系。","A-formal","source_locked","gpt_sources/9b5ac8fd0cfe59cb_2026海淀一模细则.md:37-67"
"MT0009","Q0004","思维抽象与思维具体","感性具体/思维抽象/思维具体","大运河材料从具体形态出发，抽出河/合/和理念，再回到文化之河、生态之河、发展之河、民生之河的整体诠释","具体经验对象触发感性具体，抽出核心理念触发思维抽象，把理念放回多层规定整体触发思维具体","大运河理念诠释体现从感性具体到思维抽象，再由思维抽象上升到思维具体的发展过程。","A-formal","source_locked","gpt_sources/7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.md:125-131; answer_key:273-276"
"MT0010","Q0017","治理事实边界","系统化/数字化治理模式与创新思维边界","医保与商保打通数据壁垒，形成一站式清分结算路径","系统化整合资源触发治理事实判断；缺少发散、逆向、联想、超前等创新思维动作","材料没有明确创新思维动作，正确判断应落在整合医保与商保资源、形成一站式清分结算新机制。","A-formal","source_locked","gpt_sources/7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.md:111-117; answer_key:273-276"
"MT0011","Q0032","辩证思维","分析与综合/整体性/动态性","探月工程先聚焦关键核心技术，再逐步突破轨道控制、自主起降等细分技术，最终实现全链条自主可控。","先拆关键和细分技术触发分析，以全链条自主可控统领各技术环节触发综合和整体性，二十多年持续攻关触发动态推进。","探月工程以整体把握全链条难题为统领，分析并突破各项细分技术，在动态推进中实现自主可控，体现分析与综合相结合。","B-choice-signal","source_locked_pending_external_review","gpt_sources/8d19592ca0679f21_2026顺义一模.md:46-54; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:20-30"
"MT0012","Q0034","认识发展历程","感觉/知觉/表象到本质和规律","师生在展品前触摸历史温度、聆听无声之教，从古家具和陶瓷等具体展品中理解传统文化。","展品带来感觉、知觉和表象，这些感性材料进一步上升为对历史文化本质和规律的认识。","师生通过对具体展品的感觉、知觉和表象，进一步认识中华优秀传统文化的本质和规律。","B-choice-signal","source_locked_pending_external_review","gpt_sources/8d19592ca0679f21_2026顺义一模.md:64-84; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:20-30"
"MT0013","Q0036","人机协作边界","价值判断/情感体验/复杂沟通边界","四象限模型用于界定AI与人类的知识、信息掌握边界，并把情感体验、价值判断、复杂沟通、协商调解放入第四象限。","当任务涉及价值选择、情感经验和复杂人际互动时，不能只按信息检索或数据优化处理，应识别人类判断优势和AI边界。","人机协作要把标准化信息处理与人的价值判断、情感体验和复杂沟通区分开来，第四象限更适合人类主导。","B-choice-signal","source_locked_pending_external_review","gpt_sources/8d19592ca0679f21_2026顺义一模.md:87-109; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:31-40"
"MT0014","Q0037","辩证思维 choice signal","辩证否定/传统文化科技赋能","非遗变脸、机械武术、机器人乐队、科普实验等共同进入春节科普活动，形成科普+文化、科普+非遗融合场景。","传统文化不是原样静态保存，而是在科技赋能和科普场景中保留积极内容并获得新表达，触发辩证否定的 choice signal。","春节科普活动让科学精神融入生活，也让传统文化在科技赋能下实现创造性转化，体现辩证否定的选择题信号。","B-choice-signal","source_locked_pending_external_review","gpt_sources/585b15124610aff7_2026北京朝阳高三一模政治_教师版.md:47-54,320-325"
