"seed_id","kind","entry_id","suite","question","prompt","topic","evidence_level","evidence_source","old_file","old_line","status"
"OLD0000","choice_trap","C001","2026顺义一模","Q3",,,"B-choice-signal","试卷+细则cache de758e5e79500dd0","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","1","old_index_only_needs_resourcing"
"OLD0001","choice_trap","C002","2026顺义一模","Q4",,,"B-choice-signal","试卷+细则cache de758e5e79500dd0","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","2","old_index_only_needs_resourcing"
"OLD0002","choice_trap","C003","2026顺义一模","Q5",,,"B-choice-signal","试卷+细则cache de758e5e79500dd0","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","3","old_index_only_needs_resourcing"
"OLD0003","choice_trap","C004","2026顺义一模","Q6",,,"B-choice-signal","试卷+细则cache de758e5e79500dd0","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","4","old_index_only_needs_resourcing"
"OLD0004","choice_trap","C005","2026顺义一模","Q7",,,"B-choice-signal","试卷+细则cache de758e5e79500dd0","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","5","old_index_only_needs_resourcing"
"OLD0005","choice_trap","C006","2026朝阳期中","Q11",,,"B-choice-signal","试卷+细则cache 885e694cf464c22b","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","6","old_index_only_needs_resourcing"
"OLD0006","choice_trap","C007","2026朝阳期中","Q12",,,"B-choice-signal","试卷+细则cache 885e694cf464c22b","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","7","old_index_only_needs_resourcing"
"OLD0007","choice_trap","C008","2026朝阳期中","Q13",,,"B-choice-signal","试卷+细则cache 885e694cf464c22b","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","8","old_index_only_needs_resourcing"
"OLD0008","choice_trap","C009","2026朝阳期中","Q14",,,"B-choice-signal","试卷+细则cache 885e694cf464c22b","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","9","old_index_only_needs_resourcing"
"OLD0009","choice_trap","C010","2026朝阳期中","Q15",,,"B-choice-signal","试卷+细则cache 885e694cf464c22b","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","10","old_index_only_needs_resourcing"
"OLD0010","choice_trap","C011","2026通州期末","Q11",,,"B-choice-signal","试卷+细则cache 44537714bd68a7c1","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","11","old_index_only_needs_resourcing"
"OLD0011","choice_trap","C012","2026通州期末","Q5",,,"B-choice-signal","试卷+细则cache 44537714bd68a7c1","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","12","old_index_only_needs_resourcing"
"OLD0012","choice_trap","C013","2026通州期末","Q9",,,"B-choice-signal","试卷+细则cache 44537714bd68a7c1","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","13","old_index_only_needs_resourcing"
"OLD0013","choice_trap","C014","2026东城期末","Q4",,,"B-choice-signal","试卷+细则cache e4d67789c91d1b92","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","14","old_index_only_needs_resourcing"
"OLD0014","choice_trap","C015","2026东城期末","Q6",,,"B-choice-signal","试卷+细则cache e4d67789c91d1b92","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","15","old_index_only_needs_resourcing"
"OLD0015","choice_trap","C016","2026东城期末","Q7",,,"B-choice-signal","试卷+细则cache e4d67789c91d1b92","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","16","old_index_only_needs_resourcing"
"OLD0016","choice_trap","C017","2026东城期末","Q12",,,"B-choice-signal","试卷+细则cache e4d67789c91d1b92","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","17","old_index_only_needs_resourcing"
"OLD0017","choice_trap","C018","2026东城期末","Q13",,,"B-choice-signal","试卷+细则cache e4d67789c91d1b92","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\choice_trap_entries.jsonl","18","old_index_only_needs_resourcing"
