suite_id,suite_name,question,answer,entry_type,stem_evidence,answer_evidence,objective_status,choice_chain_status,knowledge_or_error_chain,notes
S038,2026海淀一模,1,C,objective_coverage,render:03e0412bb80579d8/page_001.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,needs_chain,"数字体验馆重走长征路；追寻长征足迹、筑牢信仰根基；答案C","题干为渲染页人工核读"
S038,2026海淀一模,2,B,objective_coverage,render:03e0412bb80579d8/page_001.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,needs_chain,"中国传统插花；虽由人作宛若天成；答案B","题干为渲染页人工核读"
S038,2026海淀一模,3,A,objective_coverage,render:03e0412bb80579d8/page_001.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"和平与人民力量材料；答案A","非本轮重点必修四/文化链"
S038,2026海淀一模,4,B,objective_coverage,render:03e0412bb80579d8/page_002.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,needs_chain,"三条文化带统筹传承发展；答案B","题干为渲染页人工核读"
S038,2026海淀一模,5,D,objective_coverage,render:03e0412bb80579d8/page_002.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,needs_chain,"数字游民进入乡村推动生态优势向发展优势转化；答案D","题干为渲染页人工核读"
S038,2026海淀一模,6,B,objective_coverage,render:03e0412bb80579d8/page_002.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"无人AI巡逻车逻辑推理；答案B","逻辑题"
S038,2026海淀一模,7,D,objective_coverage,render:03e0412bb80579d8/page_003.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,needs_chain,"健康第一教育理念与技术赋能；答案D","题干为渲染页人工核读"
S038,2026海淀一模,8,A,objective_coverage,render:03e0412bb80579d8/page_003.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,needs_chain,"正确政绩观、深入基层、真抓实干；答案A","题干为渲染页人工核读"
S038,2026海淀一模,9,B,objective_coverage,render:03e0412bb80579d8/page_003.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"北京公共法律服务；答案B","法律题"
S038,2026海淀一模,10,D,objective_coverage,render:03e0412bb80579d8/page_003.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"合同与商标等法律判断；答案D","法律题"
S038,2026海淀一模,11,C,objective_coverage,render:03e0412bb80579d8/page_004.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"离婚、著作权、家务劳动补偿；答案C","法律题"
S038,2026海淀一模,12,C,objective_coverage,render:03e0412bb80579d8/page_004.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"手搓经济与AI工具开发应用；答案C","经济题"
S038,2026海淀一模,13,D,objective_coverage,render:03e0412bb80579d8/page_004.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"能源装机容量增速图表；答案D","经济/能源题"
S038,2026海淀一模,14,A,objective_coverage,render:03e0412bb80579d8/page_004.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"未来能源相关判断；答案A","经济/能源题"
S038,2026海淀一模,15,C,objective_coverage,render:03e0412bb80579d8/page_004.png,bundle:2026海淀一模细则.pdf 第一部分,confirmed,boundary,"生物多样性国际条约与中国参与全球治理；答案C","国际政治题"
S039,2026西城一模,1,B,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 142-147,render:5581e0237e861511/page_010.png,confirmed,needs_chain,"不同时代青春使命；答案B","题干为文本抽取"
S039,2026西城一模,2,C,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 148-153,render:5581e0237e861511/page_010.png,confirmed,boundary,"画马路线治理；答案C","政府治理题"
S039,2026西城一模,3,B,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 155-160,render:5581e0237e861511/page_010.png,confirmed,boundary,"新时代基层干部画像；答案B","政治题"
S039,2026西城一模,4,D,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 161-171,render:5581e0237e861511/page_010.png,confirmed,boundary,"政协提案答复与京津冀协同发展；答案D","政治题"
S039,2026西城一模,5,C,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 172-177,render:5581e0237e861511/page_010.png,confirmed,needs_chain,"便利店文学与人民群众文化创造；答案C","文化/意识题"
S039,2026西城一模,6,D,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 178-182,render:5581e0237e861511/page_010.png,confirmed,needs_chain,"创新应用场景连接技术、产业、研发与市场；答案D","联系/价值转化题"
S039,2026西城一模,7,B,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 183-188,render:5581e0237e861511/page_010.png,confirmed,needs_chain,"手搓创新、AI、开源社区与科技为人；答案B","实践/价值题"
S039,2026西城一模,8,C,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 189-222,render:5581e0237e861511/page_010.png,confirmed,boundary,"特色产业收益分配机制；答案C","经济题"
S039,2026西城一模,9,A,objective_coverage,bundle:高三统一测试思想政治试卷.docx lines 223-227,render:5581e0237e861511/page_010.png,confirmed,boundary,"自行车合同因山洪迟延交付；答案A","法律题"
