suite_id,suite_name,question,objective_status,answer_key,evidence_level,evidence_paths,chain_type,material_or_stem,option_or_wrong_item,analysis,decision,blocker
S042,2026丰台一模,1-15,answer_key_confirmed_prior_visual_closure,"1.B 2.A 3.D 4.A 5.A 6.D 7.B 8.C 9.D 10.C 11.D 12.B 13.A 14.A 15.C","扫描渲染页 + overnight 外部答案补源 + 既有本地读图闭环记录","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026丰台一模.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\6e8f2df5ef86ff9e; C:\bp_sync_visible\reports\overnight_2026-04-25\objective_answer_source_closure.md; C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2026_fengtai_yimo_with_answers.pdf; C:\bp_sync_visible\reports\choice_question_processing_ledger.md",suite_status,"第1-15题答案键可补源确认；ledger 记录扫描渲染页已逐题读图核题。",,"答案键可关闭；完整题干文本未在当前机器可读缓存中直接产出。","客观题答案键无阻塞；第1-15题全文题干若要求逐字文本，需重新基于渲染页视觉转录。"
S042,2026丰台一模,4,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md; C:\bp_sync_visible\reports\choice_question_processing_ledger.md",correct_chain,"中国传统四曲屋面设计与现代最速降线解释高度吻合。",,"实践是认识的基础；中华优秀传统文化智慧；正确项落在建筑营造实践积累排水、防雨、审美智慧，并可被现代科学解释。","补写正确项链。",""
S042,2026丰台一模,4,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"四曲屋面设计与现代解释。","屋顶设计实现了对中国传统风格建筑营造方式的全新重构","夸大创新程度；材料重在传统建筑实践智慧被现代科学解释。","补写典型错肢链。",""
S042,2026丰台一模,4,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"四曲屋面设计与现代解释。","古人运用联想思维，将最速降线理论迁移至屋顶建造之中","现代概念倒灌古代实践；不能倒推古人掌握现代数学理论。","补写典型错肢链。",""
S042,2026丰台一模,5,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",correct_chain,"量子通信利用量子态不可克隆性和不确定性，使窃听可被察觉，推动密钥分发安全。",,"实践推动认识发展；科技实践与主观能动性；正确项抓深化对量子技术的认识并推动实践发展。","补写正确项链。",""
S042,2026丰台一模,5,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"量子通信安全。","量子通信解决传统加密通信的安全问题，超越客观条件对人类活动的限制","把技术作用绝对化，违背尊重客观条件。","补写典型错肢链。",""
S042,2026丰台一模,5,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"量子通信安全。","量子通信是人类发挥主观能动性的产物，体现了意识具有直接现实性","混淆意识与实践；具有直接现实性的是实践。","补写典型错肢链。",""
S042,2026丰台一模,6,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",correct_chain,"苏州园林借景把临水古树、湖塔、斜晖轨迹等景物通过远近时空条件组织成整体意境。",,"联系观点、系统优化、中华优秀传统文化审美；从整体意境统摄局部景物，人文意境与自然景观相得益彰。","补写正确项链。",""
S042,2026丰台一模,6,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"苏州园林借景。","借景应坚持系统优化，立足局部景观以实现园林整体效果最优","立足点错误；系统优化要求立足整体、统筹部分。","补写典型错肢链。",""
S042,2026丰台一模,6,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"苏州园林借景。","借景集中展现中华民族的整体风貌和精神特征","把具体园林技法拔高为民族整体风貌，外延过大。","补写典型错肢链。",""
