suite,year,qnum,xb_status,qtext_len,setting,has_rubric,rubric_n,paper_file
2024/2024东城一模,2024,19,confirmed,446,针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用,True,1,2024东城一模__试卷__试卷.pdf.txt
2024/2024朝阳二模,2024,17,confirmed,917,结合材料 说明仲裁委员会作出上述裁决的理由 并分析该典型案例的意义,True,2,2024朝阳二模__试卷__试卷.pdf.txt
2024/2024海淀一模,2024,19,confirmed,588,运用《法律与生活》知识，谈谈对本案判决的认识。,True,1,2024海淀一模__试卷__试卷.pdf.txt
2024/东城二模,2024,19,PROBABLE,381,,True,1,东城二模__试卷__试卷.pdf.txt
2024/丰台一模,2024,17,confirmed,278,,True,1,丰台一模__试卷__补充材料__2024北京丰台高三一模政治试题及答案.pdf.txt
2024/海淀二模,2024,19,confirmed,401,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,True,2,海淀二模__试卷__试卷.pdf.txt
2024/石景山一模,2024,17,PROBABLE,200,,True,1,石景山一模__试卷__试卷.docx.txt
2024/石景山一模,2024,18,confirmed,481,,True,1,石景山一模__试卷__试卷.docx.txt
2024/西城一模,2024,18,confirmed,632,（3）运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。（6分）,True,2,西城一模__试卷__试卷.docx.txt
2024/西城二模,2024,16,confirmed,534,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,True,2,西城二模__试卷__试卷.docx.txt
2024/西城二模,2024,18,confirmed,1374,研究人员收集了全球各地352种不同品系的高粱，分析它们对盐碱的耐受程度。 | 通过全基因组关联分析技术，研究人员定位克隆到一个与高粱耐碱性显著相关的基因位点，命名为AT1。 | 他们将AT1基因从高粱中提取出来再转到高粱中，高粱耐盐碱能力减弱；而将该基因“剪切”后，高粱的耐盐碱能力增强。这说明AT1基因在高粱盐碱胁迫的响应过程中起负调控作用，也就是说，缺失AT1基因的高粱更耐盐碱,True,2,西城二模__试卷__试卷.docx.txt
2025/2025东城一模,2025,19,confirmed,123,,True,2,2025各区一模__2025东城一模__试卷__试卷.pdf.txt
2025/2025东城二模,2025,19,confirmed,199,,True,2,2025各区二模__2025东城二模__试卷__试卷.pdf.txt
2025/2025东城期末,2025,19,confirmed,767,19．【分析】（1）本题要求回答材料中面临的法律问题。“电动自行车存放、充电场所应当配备必要的消防 | （2）本题要求回答解决电动自行车“安家难”涉及的利益相关方。甲和乙的观点说明社区电动自行车 | 的充电问题涉及居民；丙的观点说明涉及物业、街道办事处和消防部门等利益相关方。,False,0,2025各区期末__2025东城期末__试卷__试卷.pdf.txt
2025/2025丰台期末,2025,19,confirmed,745,【分析】背景素材：劳动合同纠纷具体案例 | 能力考查：描述和阐释事物、论证和探究问题 | 本题要求考生运用《法律与生活》相关知识阐释法院的裁判理由，为原因类主观试题。考生根据材料中信,True,1,2025各区期末__2025丰台期末__试卷__试卷.pdf.txt
2025/2025延庆一模,2025,19,confirmed,529,,False,0,2025各区一模__2025延庆一模__试卷__试卷.pdf.txt
2025/2025房山一模,2025,19,confirmed,784,【分析】背景素材：知识产权侵权诉讼案例 | 能力考查：描述和阐释事物、论证和探究问题 | 本题为说明类主观题，无主体，要求运用“依法治国、尊重知识产权、公平竞争”知识，从意义角度来分,True,1,2025各区一模__2025房山一模__试卷__试卷.pdf.txt
2025/2025昌平二模,2025,20,confirmed,267,,True,2,2025各区二模__2025昌平二模__试卷__试卷.pdf.txt
2025/2025朝阳一模,2025,19,PROBABLE,245,,True,3,2025各区一模__2025朝阳一模__试卷__试卷.pdf.txt
2025/2025朝阳二模,2025,20,confirmed,317,,True,3,2025各区二模__2025朝阳二模__试卷__试卷.pdf.txt
2025/2025朝阳期末,2025,20,confirmed,239,"能运用侵权责任、过错责任等知识，从法律依据、法律事实、法律责任等层面作答。 | 水平 4 观点鲜明,能明确表达自己的见解;紧扣问题,准确运用相关知识,全面展开 分析;逻辑严密,条 | 水平 3 观点比较明确,能表达自己的见解;能扣住问题展开分析,知识运用比较准 确;逻辑性较强,有条",True,3,2025各区期末__2025朝阳期末__试卷__试卷.pdf.txt
2025/2025海淀一模,2025,18,PROBABLE,131,,True,1,2025各区一模__2025海淀一模__试卷__试卷.pdf.txt
2025/2025海淀期末,2025,19,confirmed,151,,True,2,2025各区期末__2025海淀期末__试卷__试卷.docx.txt
2025/2025海淀期末,2025,20,confirmed,237,,True,2,2025各区期末__2025海淀期末__试卷__试卷.docx.txt
2025/2025海淀期末,2025,21,confirmed,252,,True,2,2025各区期末__2025海淀期末__试卷__试卷.docx.txt
