question_id,year,district,exam_stage,question_no,evidence_level,primary_batch,primary_node,node_names,promotion_status,effective_ask_text,ask_source,material_signals,rubric_rewards,rubric_atom_ids,first_student_action,full_score_sentence_pattern,common_wrong_path,classification_reason,guard_flags
CC0002_2024_丰台_一模_17,2024,丰台,一模,17,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证|N07:意义价值题：从本案推出三层价值,core_candidate,结合材料，运用《法律与生活》知识，谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义。,ask_text,17.(8 分) [page 5] 第5页/共9页 《中华人民共和国民法典》 第一千二百一十七条 非营运机动车发生交通事故造 成无偿搭乘人损害，属于该机动车一方责任的，应当 减轻其赔偿责任，但是机动车使用人有故意或重大过 失的除外。 / 资料卡 好意同乘：指驾驶人基于善意互助或友情帮助，无偿 搭载他人或允许大人无偿搭乘的情谊行为。 / 甲某搭乙某的车出行，上车后未听乙某提醒系好安全带。,法理依据5分：法院判决应以事实为依据，以法律为准绳，为必踩点1分。 / 法理依据：双方形成好意同乘，需明确权利义务；涉及侵权责任一般规定，2分。 / 法理依据：结合好意同乘事故减轻赔偿责任的条件和案件事实进行说明，2分。,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_02|R_CC0002_2024_丰台_一模_17_M17_03|R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0011_2024_丰台_二模_17,2024,丰台,二模,17,formal,BATCH_L_LOW_FREQUENCY_CONTAINER,N03,N03:私法责任题：切责成链|N04:创新竞争题：定行为、护秩序|N07:意义价值题：从本案推出三层价值,low_frequency_container,运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。,ask_text,17. （8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。 / 在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。 / 依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。,17.运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境的作用。（8分） 参考答案：民法典规定的绿色原则为生态环境保护提供了基本遵循。在上述案例中，民法典强调对知识产权的保护，能够鼓励技术创新，为生态环境保护提供技术支撑。依据民法典规定，甲公司污染、破坏环境应承担相应的侵权责任。民法典上述条款合理地确定了民事主体的权利...,R_CC0011_2024_丰台_二模_17_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,low-frequency formal singleton,low_frequency_container
CC0019_2024_朝阳_一模_19,2024,朝阳,一模,19,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N07:意义价值题：从本案推出三层价值,core_candidate,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法、诚信经营，保护消费",fallback_from_rubric_text,19.（7分） 社会主义市场经济本质上是法治经济。 / 民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 / 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；,"19.（7分） 社会主义市场经济本质上是法治经济。民法典将诚信原则确立为基本原则之一，凸显了社会主义核心价值观对社会主义市场经济建设的引导和规范。 诚信原则要求合同当事人按照约定全面履行义务，有利于规范民事主体行为，尊重和维护民事主体合法权利；司法机关可根据诚信原则定分止争,维护公平正义，维护诚信、健康的市场秩序。 诚信原则要求经营者依法...",R_CC0019_2024_朝阳_一模_19_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,fallback_from_rubric_text
CC0025_2024_朝阳_二模_17,2024,朝阳,二模,17,formal,BATCH_F_RISK_BOUNDARY,N06,N06:风险合规题：一险一界一措施|N02:评判裁判题：先判后证|N03:私法责任题：切责成链|N05:程序救济题：路径、证据、请求|N07:意义价值题：从本案推出三层价值,core_candidate,"结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。",ask_text,"17. (9 分)人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人 事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。 / 【基本案情】 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 【资料包】 中华人民共和国劳动和社会保障部 发布的《关于确立劳动关系有关事项的 通知》指出:劳动关系的核心特征为劳... / 认定新就业形态劳动者与平台企业 之间是否存在劳动关系,应做如下考量: 人格从属性:体现为平台企业的劳 动纪律、奖惩办法等是否适用于劳动者;",17.结合材料，说明仲裁委员会作出上述裁决的理由，并分析该典型案例的意义。 / 原答案：甲公司通过平台向王某派单，并依据制度对王某进行奖惩，具有较强的人格从属性； / 甲公司占有王某提供货物运输服务所需的数据信息，单方制定服务费用结算标准，具有明显 的经济从属性；,R_CC0025_2024_朝阳_二模_17_01|R_CC0025_2024_朝阳_二模_17_02|R_CC0025_2024_朝阳_二模_17_03|R_CC0025_2024_朝阳_二模_17_04|R_CC0025_2024_朝阳_二模_17_05|R_CC0025_2024_朝阳_二模_17_06|R_CC0025_2024_朝阳_二模_17_07|R_CC0025_2024_朝阳_二模_17_08|R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10|R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,AI、数据、平台、合规题先分风险,材料中的【风险】触及【法律边界/权利义务】。应当通过【制度/合同/告知/授权/审核/责任机制】加以规范，做到【具体效果】。,一看到 AI 就写科技伦理；一看到风险就写诉讼赔偿；不把风险和措施一一对应。,AI/data/digital/compliance boundary signal,
CC0040_2024_海淀_一模_19,2024,海淀,一模,19,reference_only,BATCH_R_REFERENCE_ONLY,N02,N02:评判裁判题：先判后证|N03:私法责任题：切责成链|N04:创新竞争题：定行为、护秩序|N05:程序救济题：路径、证据、请求|N06:风险合规题：一险一界一措施|N07:意义价值题：从本案推出三层价值,reference_only,运用《法律与生活》知识，谈谈对本案判决的认识。,ask_text,19．（8 分）首例涉“虚拟数字人”侵权案宣判。 / 甲公司系一家以计算机图形学和AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟数字人。 / 甲公司自称于2018 年12 月创作完成了 虚拟数字人Ada 的正面形象，为进一步宣传和推广旗下虚 拟数字人，又制作完成了虚拟数字人的两段相关视频，并 于2019 年10 月、11 月通过某平台发布。,19.（8分） 民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。乙公司未经许可使用甲公司创作的相关视频，并在展示过程中故意替换有关标识、加注注册商标，构成著作权侵权。乙公司进行虚假和引人误解的商业宣传，属于不正当竞争。法院依法判决乙公司赔偿甲公司损失，有利于激发创新活力，维护市场秩序。,R_CC0040_2024_海淀_一模_19_01,问是否、判决、认识，先表态,我认为【结论】。人民法院以事实为根据、以法律为准绳。根据【法律规则】，材料中【事实】符合/不符合【要件】，所以【责任/判决/请求】成立。,没有首句表态；只写法条不落到本案；把裁判锚句当成整题答案。,reference-only row locked out of core,reference_only
CC0045_2024_海淀_二模_19,2024,海淀,二模,19,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证|N05:程序救济题：路径、证据、请求|N07:意义价值题：从本案推出三层价值,core_candidate,结合材料，运用《法律与生活》知识，分析本案判决的社会价值。,ask_text,19．（6 分）遗赠扶养协议纠纷案宣判。 / 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至寿终； / 曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。,19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义，更倡导全社会积极助力养老，促进“不尽孝者少分或者不分遗产”的司法理念深入人心。判决有利于弘扬尊老、敬老、爱老、助老的中华传统美德，让崇尚和践行社会主义核心价值观成为...,R_CC0045_2024_海淀_二模_19_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0054_2024_石景山_一模_17,2024,石景山,一模,17,formal,BATCH_E_PROCEDURE_REMEDY,N05,N05:程序救济题：路径、证据、请求|N02:评判裁判题：先判后证|N03:私法责任题：切责成链|N06:风险合规题：一险一界一措施|N07:意义价值题：从本案推出三层价值,core_candidate,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,ask_text,17．（8 分） 2023 年 12 月 28 日，北京市第三中级人民法院终审公开宣判北京甲环保公司与四川乙发电公司合同纠纷一案，该案系北京市首例碳排放权交易纠纷案件。 / 【基本案情】 2021 年12 月，乙公司就采购碳排放配额发布比选公告，甲公司向其进行报价，内容具体明确，并承诺：如未依约履行，乙公司可另行购买等量的碳排放配额； / 如有差价， 由甲公司补足。,甲公司参与比选并向乙公司报价，内容具体确定，属于要约。 / 乙公司确认甲公司中标并送达中标通知，属于承诺。 / 中标通知书送达甲公司，双方合同成立，合同成立部分共3分。,R_CC0054_2024_石景山_一模_17_M17_01|R_CC0054_2024_石景山_一模_17_M17_02|R_CC0054_2024_石景山_一模_17_M17_03|R_CC0054_2024_石景山_一模_17_M17_04|R_CC0054_2024_石景山_一模_17_M17_05|R_CC0054_2024_石景山_一模_17_M17_06,问怎么办、如何维权，先走路径,当事人可以通过【路径】解决纠纷，并围绕【争议事实】提交【证据】，提出【请求】。若经法院依法确认，【协议/裁判】具有相应法律效力。,把所有题都写成起诉；调解题写成判决；公益诉讼写成个人维权。,procedure/remedy signal,
CC0061_2024_西城_一模_18,2024,西城,一模,18,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N01:格子题：一格一答|N02:评判裁判题：先判后证|N05:程序救济题：路径、证据、请求|N07:意义价值题：从本案推出三层价值,core_candidate,运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。,ask_text,18．（8分） 【基本案情】郭某与刘某是夫妻关系，刘某于2022年去世。 / 二人育有子女四人，现郭某年已九十，由小女儿照顾，郭某起诉要求另外三子支付赡养费，其中郭某每月有退休金五千余元，大儿子居住在外地，二儿子肢体残疾，三儿子表示郭某现有收入并不需要子女支付赡养费。 / 一审法院认为郭某尚不存在生活困难的情形，故对于郭某的请求未予支持。,（1）依据诉讼法规定的回避制度，当书记员有下列情形之一的，当事人有权申请其回避：是本案当事人或者当事人、诉讼代理人近亲属的；与本案有利害关系的；与本案当事人、诉讼代理人有其他关系（比如师生、同学、朋友等），可能影响对案件公正审理的。书记员接受当事人、诉讼代理人请客送礼，或者违反规定会见当事人、诉讼代理人的，当事人有权要求他们回避。考生可选... / （2）错误：辩护人。改为：诉讼代理人。（1分） / （3）成年子女对父母有赡养的义务。（1分）赡养父母，要求子女经济上供养父母、生活上照料父母、精神上慰藉父母，照顾父母的特殊需要，使父母幸福安度晚年。（2分，五选二） 郭某的三个儿子都是成年人，应履行精神上慰藉父亲的义务。二审法院向郭某的三个儿子发出《督促履行义务告知书》是保护郭某的合法权益，引导郭某的儿子孝老敬亲，（1分，多选一）传承中华...,R_CC0061_2024_西城_一模_18_01|R_CC0061_2024_西城_一模_18_02|R_CC0061_2024_西城_一模_18_03,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0063_2024_西城_二模_16,2024,西城,二模,16,formal,BATCH_C_PRIVATE_LIABILITY,N03,N03:私法责任题：切责成链|N02:评判裁判题：先判后证|N05:程序救济题：路径、证据、请求|N07:意义价值题：从本案推出三层价值,core_candidate,结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。,ask_text,16．（8分） 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。 / 签收后，甲发现这些饼干不符合食品安全标准，随后又在两个月内三次购买同样的饼干，总数达200盒。 / 四次总计付款4176元。,16．（8分） 经营者应依法、诚信经营，保护消费者的合法权益。（2分，多选一）人民法院支持市民甲就首单购买行为适用食品安全法中的惩罚性赔偿请求，以此打击违法生产经营行为，维护了消费者的合法权益。（1分，材料分析） 民事主体行使民事权利时不能超过正当的界限，并且不得滥用民事权利损害国家利益、社会公共利益或者他人合法权益。（2分，二选一）市民...,R_CC0063_2024_西城_二模_16_01,合同、侵权、消费、劳动、相邻都走责任链,【主体A】与【主体B】之间形成【法律关系】。【行为】符合【规则要件】。材料中【事实】说明【要件成立/不成立】，因此【责任、效力或诉求】应当【支持/不支持】。,只背权利名称，不判断法律关系；材料事实贴在后面当故事，没有塞进规则要件。,private-law responsibility chain,
CC0077_2025_东城_一模_19,2025,东城,一模,19,formal,BATCH_A_TABLE_GRID,N01,N01:格子题：一格一答|N02:评判裁判题：先判后证|N03:私法责任题：切责成链|N05:程序救济题：路径、证据、请求|N06:风险合规题：一险一界一措施|N07:意义价值题：从本案推出三层价值,core_candidate,（8 分） （一）本题标准和变通 ①解决机制（1 分）：调解/诉讼调解/诉讼 1 分 （对写“诉讼”得分的原因给予解释：该案已进入诉讼程序，虽然没有“审判”但也是通过 诉讼程序的某个环节，以出具调解书的方式解决，也属于诉讼解决机制） ②柳某与医院的案例（3 分） 第一层：对劳动者的意义 2 分 树立劳动者权利和义务相统一的法治意识 2 分 可替换：督促劳动者履行义务 2 分 酌情替换：规范劳动者行为 1 分 第二层：对医院的意义/对双方,derived_from_rubric_text,19.(8 分) 法治以“固根本、稳预期、利长远”的治理效能，夯实人民群众可感可及的公平正义。 / 以下三个案例生 动展现了法治的实践与成效。 / 案件一 张某与某公司签订《家庭装修合同》，因公司未按工期完工，张某诉至法院，要求赔偿损失并 支付违约金。,19. 阅读材料，完成表格。（8 分） （一）本题标准和变通 / ①解决机制（1 分）：调解/诉讼调解/诉讼 1 分 （对写“诉讼”得分的原因给予解释：该案已进入诉讼程序，虽然没有“审判”但也是通过 诉讼程序的某个环节，以出具调解书的方式解决，也属于诉讼解决机制） / ②柳某与医院的案例（3 分） 第一层：对劳动者的意义 2 分 树立劳动者权利和义务相统一的法治意识 2 分 可替换：督促劳动者履行义务 2 分 酌情替换：规范劳动者行为 1 分 第二层：对医院的意义/对双方劳动关系的意义 1 分 维护用人单位的合法权益 1 分 可替换：构建和谐劳动关系 1 分 本案例其他酌情替代：体现了公平原则、公平正义...,R_CC0077_2025_东城_一模_19_01|R_CC0077_2025_东城_一模_19_02|R_CC0077_2025_东城_一模_19_03|R_CC0077_2025_东城_一模_19_04|R_CC0077_2025_东城_一模_19_05|R_CC0077_2025_东城_一模_19_06|R_CC0077_2025_东城_一模_19_07|R_CC0077_2025_东城_一模_19_08|R_CC0077_2025_东城_一模_19_09|R_CC0077_2025_东城_一模_19_10|R_CC0077_2025_东城_一模_19_11|R_CC0077_2025_东城_一模_19_12,有表格先服从格子,这一格要求说明【格子任务】。材料中【事实】对应【法律规则/程序】，因此应写【最短结论】。,跨格写一大段“维护合法权益、促进公平正义”，格子问机制却写意义。,table/grid task controls answer shape,derived_from_rubric_text
