"block","framework_point","role","question_count","formal_count","recovered_count","open_reference_count","question_ids","是否核心","是否仅参考","禁止误用说明"
"B_reference_5","问对判决的认识","参考运行","1","0","0","1","CC0040_2024_海淀_一模_19","no","yes","仅参考，不支撑核心"
"B_reference_5","问对判决的认识","参考运行","1","0","0","1","CC0162_2025_海淀_一模_18","no","yes","仅参考，不支撑核心"
"B_reference_5","问制度作用","参考运行","1","0","0","1","CC0311_2026_海淀_二模_18","no","yes","仅参考，不支撑核心"
"B_reference_5","问判决是否正确","参考运行","1","0","0","1","CC0353_2026_西城_期中_17","no","yes","仅参考，不支撑核心"
"B_reference_5","问法律风险与治理","参考运行","1","0","0","1","CC0380_2026_顺义_二模_18_2","no","yes","仅参考，不支撑核心"
"C_unincluded_6","未纳入正文","待下一版回填/继续核源","1","0","0","0","CC0276_2026_房山_二模_17","no","no","已找到教师版原卷第6页第17题及评标/答案页，可作为下一版回填候选；模块边界仍需下一版裁决。"
"C_unincluded_6","未纳入正文","待下一版回填/继续核源","1","0","0","0","CC0277_2026_房山_二模_18","no","no","已找到教师版原卷第7页第18题及评标/答案页，可作为下一版回填候选。"
"C_unincluded_6","未纳入正文","待下一版回填/继续核源","1","0","0","0","CC0317_2026_海淀_期中_18","no","no","已在海淀期末PDF第6页锁到住房租赁第18题第(1)问原卷和答案页；question_id阶段标签需下一版核对。"
"C_unincluded_6","未纳入正文","待下一版回填/继续核源","1","0","0","0","CC0318_2026_海淀_期中_18_2","no","no","已在海淀期末PDF第6页锁到住房租赁第18题第(2)问原卷和答案页；question_id阶段标签需下一版核对。"
"C_unincluded_6","未纳入正文","待下一版回填/继续核源","1","0","0","0","CC0319_2026_海淀_期中_19","no","no","已在海淀期末PDF第7页锁到抢票软件不正当竞争第19题原卷和答案页；question_id阶段标签需下一版核对。"
"C_unincluded_6","未纳入正文","待下一版回填/继续核源","1","0","0","0","CC0251_2026_丰台_一模_20","no","no","已找到原卷图像第9页第20题及细则PPT第51页，可作为下一版回填候选；本阶段仍不纳入正文。"
