suite_id,year,district,stage,parent_question,subquestion,part_no,source_type,source_path,book_module,status,resolution_status,next_action,part_text,classification_text,decision_reason
2024_东城_一模,2024,东城,一模,18,18(1),1,ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_cache/2024_东城_一模/试卷.ocr.txt,B2_ECONOMICS,included,resolved_target_subquestion,future_baodian_intake,"(1)根据材料,概括北京在发展新质生产力方面的优势,并运用《经济与社会》 知识,分析这些优势如何助力新质生产力发展。(8分) 高三思想政治 第7页(共10页) ===== 试卷.pdf page 8 ===== 如何发展新质生产力?政协破题。 甲地:将“前瞻布局未来产业,积极培育发展新质生产力”作为政协重点调研课 题,实地调研,学习先发地区经验,召开座谈会,充分听取各方意见。 乙地:推进智能高铁2.0发展;推动高等院校、科研院所与企业开展生物医药 领域人才培养战略合作;利用数字技术力畜牧业节粮提效,注入新质生 产力⋯•⋯•科学技术界、医药卫生界、农业界等界别委员围绕新质生产力 建真言谋良策。 丙地:政协召开“关于以科技创新推动企业协同发展”的重点提案督办会,提案 主办单位科技局、工信局重点汇报提案办理情况,并与委员进行交流。","(1)根据材料,概括北京在发展新质生产力方面的优势,并运用《经济与社会》 知识,分析这些优势如何助力新质生产力发展。(8分)","{""target"": ""B2_ECONOMICS"", ""target_score"": 5, ""boundary"": ""B4_PHILOSOPHY_EXCLUDED"", ""boundary_score"": 0, ""matches"": {""B2_ECONOMICS"": ""经济与社会,新质生产力,boost:经济与社会,boost:新质生产力""}}"
2024_东城_一模,2024,东城,一模,18,18(2),2,ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_cache/2024_东城_一模/试卷.ocr.txt,B3_POLITICS_RULE_OF_LAW,included,resolved_target_subquestion,future_baodian_intake,"(2)结合材料,分析政协在推动新质生产力发展中所发挥的作用。(6分) 传统产业在我国制造业中占比超80%,是现代化产业体系的基底。多年来, 我国轻工、纷织、机械等传统产业带动效应强、产业关联度大、国际市场占有率高, 是我国参与国际竞争的生力军。但也存在低端产能过剩、高端供给不足、产业基础 不牢、创新能力薄弱等问题,对数字化、智能化有着庞大、迫切的实际需求。 当前,从人形机器人到量子计算机,从脑机接口到6G 网络设备⋯⋯中国未来 产业正在科技新赛道上加速前进。未来材料、未来网络等能够广泛渗透传统产业 链上下游各个环节,引领传统优势产业高端化、智能化、绿色化转型。","(2)结合材料,分析政协在推动新质生产力发展中所发挥的作用。(6分)","{""override"": ""prompt_router"", ""prompt_terms"": [""政协""], ""classification_text"": ""(2)结合材料,分析政协在推动新质生产力发展中所发挥的作用。(6分)"", ""base_decision"": ""{\""target\"": \""B2_ECONOMICS\"", \""target_score\"": 2, \""boundary\"": \""B4_PHILOSOPHY_EXCLUDED\"", \""boundary_score\"": 0, \""matches\"": {\""B2_ECONOMICS\"": \""新质生产力,boost:新质生产力\"", \""B3_POLITICS_RULE_OF_LAW\"": \""政协,boost:政协\""}}""}"
2024_东城_一模,2024,东城,一模,18,18(3),3,ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_cache/2024_东城_一模/试卷.ocr.txt,XB3_EXCLUDED,module-boundary-excluded,resolved_boundary_subquestion,exclude_from_three_target_lines,"(3)发展新质生产力,要正确认识传统产业和未来产业的关系。结合材料,运 用《逻辑与思维》知识,谈谈你的看法。(6分)","(3)发展新质生产力,要正确认识传统产业和未来产业的关系。结合材料,运 用《逻辑与思维》知识,谈谈你的看法。(6分)","{""target"": ""B2_ECONOMICS"", ""target_score"": 2, ""boundary"": ""XB3_EXCLUDED"", ""boundary_score"": 2, ""matches"": {""B2_ECONOMICS"": ""新质生产力,boost:新质生产力"", ""B4_PHILOSOPHY_EXCLUDED"": ""认识"", ""XB3_EXCLUDED"": ""逻辑与思维,boost:逻辑与思维""}, ""explicit_boundary_modules"": {""XB3_EXCLUDED"": [""逻辑与思维""]}, ""override"": ""explicit_boundary_term""}"
2024_丰台_二模,2024,丰台,二模,18,18(1),1,ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_cache/2024_丰台_二模/试卷.ocr.txt,XB3_EXCLUDED,module-boundary-excluded,resolved_boundary_subquestion,exclude_from_three_target_lines,"(1)结合材料,同学们构建了一个符合逻辑规则的三段论,请你补充完整。(5分) 大前提: 小前提: 结论: 可以推动冰雪经济高质量发展。","(1)结合材料,同学们构建了一个符合逻辑规则的三段论,请你补充完整。(5分)","{""target"": ""B2_ECONOMICS"", ""target_score"": 0, ""boundary"": ""XB3_EXCLUDED"", ""boundary_score"": 4, ""matches"": {""XB3_EXCLUDED"": ""三段论,逻辑规则,boost:三段论,boost:逻辑规则""}, ""explicit_boundary_modules"": {""XB3_EXCLUDED"": [""三段论""]}, ""override"": ""explicit_boundary_term""}"
2024_丰台_二模,2024,丰台,二模,18,18(2),2,ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_cache/2024_丰台_二模/试卷.ocr.txt,XB3_EXCLUDED,module-boundary-excluded,resolved_boundary_subquestion,exclude_from_three_target_lines,"(2) 有同学认为,只要我们能够准确预测冰雪经济的发展前景,就能推动冰雪经济高 质量发展。结合材料,运用科学思维对该观点进行评析。(6分)","(2) 有同学认为,只要我们能够准确预测冰雪经济的发展前景,就能推动冰雪经济高 质量发展。结合材料,运用科学思维对该观点进行评析。(6分)","{""target"": ""B2_ECONOMICS"", ""target_score"": 0, ""boundary"": ""XB3_EXCLUDED"", ""boundary_score"": 2, ""matches"": {""XB3_EXCLUDED"": ""科学思维,boost:科学思维""}, ""explicit_boundary_modules"": {""XB3_EXCLUDED"": [""科学思维""]}, ""override"": ""explicit_boundary_term""}"
2024_丰台_二模,2024,丰台,二模,18,18(3),3,ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_cache/2024_丰台_二模/试卷.ocr.txt,B2_ECONOMICS,included,resolved_target_subquestion,future_baodian_intake,"(3)经过探究,同学们从《经济与社会》角度,对如何利用“冷资源”撬动“热经 济”形成以下共识: -。(8分) 高三政治 第6页(共8页) ===== 试卷.pdf page 7 =====","(3)经过探究,同学们从《经济与社会》角度,对如何利用“冷资源”撬动“热经 济”形成以下共识: -。(8分)","{""target"": ""B2_ECONOMICS"", ""target_score"": 2, ""boundary"": ""B4_PHILOSOPHY_EXCLUDED"", ""boundary_score"": 0, ""matches"": {""B2_ECONOMICS"": ""经济与社会,boost:经济与社会""}}"
2024_朝阳_期中,2024,朝阳,期中,20,20(1),1,paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,B2_ECONOMICS,included,resolved_target_subquestion,future_baodian_intake,"(1) 概括上图所反映的经济信息。 (4 分) 材料二 数字经济涉及诸多方面。 数据价值化 数据要素的核心在于其能够通过分析、处理和应用,转化为对经 济活动的有益洞察。 数据价值化包括但不限于数据采集、数据标准、 数据确权、数据标注、数据定价、数据交易、数据流转、数据保护等。 数字产业化 将数字技术转化为实际的产业,形成以信息通信技术为核心的产 业集群,具体包括电子信息制造业、电信业、软件和信息技术服务业、 互联网行业等。 产业数字化 传统产业应用数字技术所带来的产出增加和效率提升部分,包括 但不限于工业互联网、智能制造、车联网、平台经济等融合型新产业新 模式新业态。 数字化治理 以“ 数字技术 + 治理” 为典型特征的技管结合,以及数字化公共服 务等。",(1) 概括上图所反映的经济信息。 (4 分),"{""override"": ""prompt_router"", ""prompt_terms"": [""经济信息/经济角度""], ""classification_text"": ""(1) 概括上图所反映的经济信息。 (4 分)"", ""base_decision"": ""{\""target\"": \""B2_ECONOMICS\"", \""target_score\"": 0, \""boundary\"": \""B4_PHILOSOPHY_EXCLUDED\"", \""boundary_score\"": 0, \""matches\"": {}}""}"
2024_朝阳_期中,2024,朝阳,期中,20,20(2),2,paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,B2_ECONOMICS,included,resolved_target_subquestion,future_baodian_intake,"(2) 结合材料,运用《 经济与社会》 知识,分析数字经济在推动经济高质量发展方面如 何发挥作用。 (9 分) 高三思想政治试卷 第 8 页( 共 8 页) 材料三 2024 年 9 月,第三届全球数字贸易博览会在我国举办。 本届数贸会聚焦创 新、开放、共赢,吸引全球 32 个国家和地区的龙头企业参展。 【 汇集新产品】 本届数贸会“ 首发首秀” 新产品、新技术超过 400 项,数量是上届的 4 倍。 从陆地到 海洋,从低空到太空,“ 数智出行展区” 集聚了自动驾驶、低空经济、新能源三大板块的前 沿科技创新产品。 其中,近 90 家低空经济领域企业展出近 200 件展品,包含 14 件“ 首发 首秀” 产品。 【 打造新平台】 国际企业参展数量和面积占比均超 20% 。 本届数贸会围绕数字经济核心主题共签 约 36 个项目,其中包括 13 个世界 500 强或全球行业龙头企业投资项目,总投资额达 1024. 8 亿元,同比增长 34. 4% 。 【 带来新机遇】 非洲的咖啡、红酒,中国的小家电、茶叶......数贸会“ 智慧非洲” 特色展台上,几名非 洲留学生正通过直播平台向海外观众直播推介来自中国与非洲的特色商品。 数字“ 代 码” 联通全球,搭建了中国与世界商贸联通、共同发展的数字走廊。","(2) 结合材料,运用《 经济与社会》 知识,分析数字经济在推动经济高质量发展方面如 何发挥作用。 (9 分)","{""target"": ""B2_ECONOMICS"", ""target_score"": 6, ""boundary"": ""B4_PHILOSOPHY_EXCLUDED"", ""boundary_score"": 0, ""matches"": {""B2_ECONOMICS"": ""经济与社会,高质量发展,数字经济,boost:经济与社会,boost:高质量发展,boost:数字经济""}}"
2024_朝阳_期中,2024,朝阳,期中,20,20(3),3,paper,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,XB1_EXCLUDED,module-boundary-excluded,resolved_boundary_subquestion,exclude_from_three_target_lines,"(3) 结合材料,运用《 当代国际政治与经济》 知识,以“ 数字驱动 商通全球” 为主","(3) 结合材料,运用《 当代国际政治与经济》 知识,以“ 数字驱动 商通全球” 为主","{""target"": ""B2_ECONOMICS"", ""target_score"": 0, ""boundary"": ""XB1_EXCLUDED"", ""boundary_score"": 2, ""matches"": {""XB1_EXCLUDED"": ""当代国际政治与经济,boost:当代国际政治与经济""}, ""explicit_boundary_modules"": {""XB1_EXCLUDED"": [""当代国际政治与经济""]}, ""override"": ""explicit_boundary_term""}"
2024_海淀_一模,2024,海淀,一模,17,17(1),1,paper,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,B2_ECONOMICS,included,resolved_target_subquestion,future_baodian_intake,"(1)结合材料一,运用《经济与社会》知识,说明这些“隐藏款土特产”为什么能助力我国 经济高质量发展。 (7 分) 水调歌头·重上井冈山 毛泽东 久有凌云志,重上井冈山。 千里来寻故地,旧貌变新颜。 ...... 可上九天揽月,可下五洋捉鳖,谈笑凯歌还。 世上无难事,只要肯登攀。 高三年级(思想政治) 第 6 页(共 8 页) 材料二 京津冀协同书写高质量发展新篇章。十年来,京津冀三地从“谋思路、打基础、寻 突破” ,到“滚石上山、爬坡过坎、攻坚克难” ,共商合作大计、共话美好未来,协同发展有力有 序向前推进,携手构造中国式现代化先行示范区。 京 津 冀 牢牢抓住疏解非首都功 能这个 “牛鼻子” ,疏解提 升近千个区域性专业市场和 物流中心。增强“一核”辐 射带动作用,支持雄安新区 建设,建好北京城市副中心, 唱好京津“双城记” ,厚植发 展优势,提升区域高质量发 展成色。 全力支持、主动服务北京 非首都功能疏解和“新两翼” 建设 ,积极融入以首都为核 心的世界级城市群建设 ,使 京津冀成为中国式现代化建 设先行区 、示范区 。强化规 划对接 、政策衔接 、交通连 接 、产业承接 ,共同探索协 同发展新模式。 积极吸引在京央企总部及 二、三级子公司或创新业务板 块等,使雄安新区成为新时代 的创新高地和创业热土,加强 基础设施互联互通,深化生态 环境联建联防联治,引进京津 创新资源要素,强化协同创新 和产业协作,打造联通京津的 经济廊道。","(1)结合材料一,运用《经济与社会》知识,说明这些“隐藏款土特产”为什么能助力我国 经济高质量发展。 (7 分)","{""target"": ""B2_ECONOMICS"", ""target_score"": 4, ""boundary"": ""B4_PHILOSOPHY_EXCLUDED"", ""boundary_score"": 0, ""matches"": {""B2_ECONOMICS"": ""经济与社会,高质量发展,boost:经济与社会,boost:高质量发展""}}"
