reasoning_form,sub_form,entry_id,suite,question,part,valid_or_fallacy,rule_kouling,note
演绎推理-三段论,演绎保真双条件,RE-2026SY-19-1-A,2026顺义一模,19,(1),无效(前提不真),前提真+结构正确,反例:量子科技是未来产业
演绎推理-三段论,中项周延规则,RE-2026DC-17-2-C,2026东城期末,17,(2)/主张3,无效(中项不周延),中项至少周延一次,反例:有些科学方案是该模式制定
演绎推理-三段论,补大前提保真,RE-2026DC-6-A,2026东城期末,6,,有效式 B 项,三项三概念+中项周延,正例:乌毛蕨形成的镧独居石
演绎推理-三段论,大项不当扩大,RE-2026FT1-18-2-B,2026丰台一模,18,(2)/乙,无效(大项不当扩大),前提中不周延项结论中不得周延,反例:扩内需带动居民消费
演绎推理-三段论,四概念错误,RE-2026XC1-19-3-A,2026西城一模,19,(3)/甲,无效(四概念),三项三概念,反例:公共利益外延窄化
演绎推理-三段论,小项不当扩大,CT-2024CY2-7-A,2024朝阳二模,7,,反例,前提中不周延项结论中不得周延,选项详情待回源
演绎推理-三段论,大项不当扩大(谬误名称纠错),CT-2025SY-7-A,2025顺义一模,7,,反例,前提中不周延项结论中不得周延,选项 A 误称为小项不当扩大
演绎推理-假言推理-充分条件,肯前肯后(有效),RE-2026TZ-19-2-A,2026通州期末,19,(2)①,有效,若 p 则 q;p;所以 q,正例:阻碍加装电梯
演绎推理-假言推理-充分条件,否后否前(有效),RE-2024CY1-20-1-A,2024朝阳一模,20,(1),有效,后件假则前件假,正例:炭化竹节否定后件
演绎推理-假言推理-充分条件,肯后肯前(无效),RE-2026DC-17-2-B,2026东城期末,17,(2)/主张2,无效,肯后不能肯前,反例:智能垃圾箱
演绎推理-假言推理-充分条件,肯后肯前(无效),RE-2026HD-QM-20-1-A,2026海淀期末,20,(1),无效,肯后不能肯前,反例:智慧服务推满意度
演绎推理-假言推理-必要条件,肯后肯前(有效),RE-2024CY1-20-2-A,2024朝阳一模,20,(2),有效,肯定后件推前件,正例:竹生长推气候温暖
演绎推理-假言推理-必要条件,肯后肯前(有效),RE-2026FT1-18-2-A,2026丰台一模,18,(2)/甲,有效,肯定后件推前件,正例:消费潜力释放→政策落地
演绎推理-假言推理-必要条件,肯前肯后(无效),RE-2026TZ-19-2-B,2026通州期末,19,(2)②,无效,肯前不能肯后,反例:公示无异议
归纳推理-不完全归纳,识别+轻率概括,RE-2024CYQZ-18-A,2024.11朝阳期中,18,,无效(轻率概括),需扩大样本/找因果,反例:楚王看到一个齐人盗
归纳推理-不完全归纳,识别(设计方案),RE-2026CY1-17-1-A,2026朝阳一模,17,(1),或然(不完全归纳),需扩大样本/找因果,正向识别题
归纳推理-提高可靠性,求异法,MT-2026HD1-17-2-A,2026海淀一模,17,(2),改进调研,选条件相似两片区设不同机制对比,
类比推理,属性相似性推论,RE-2024CYQZ-18-A,2024.11朝阳期中,18,,或然(类比),由相似属性推其他相似属性,正例:晏子橘枳类比
判断真值-对当关系,反对关系(可同假),RE-2026XC1-19-3-B,2026西城一模,19,(3)/乙,有效识别,反对关系可同假不能同真,正例:所有村务必须公开 vs 都不必公开
判断真值-复合命题,联言判断真值表,RE-2026DC-17-2-A,2026东城期末,17,(2)/主张1,违反矛盾律,联言肢都真才真,反例:完整保留+拆除改造
判断真值-复合命题,矛盾律真假定位,RE-2026DC-7-A,2026东城期末,7,,有效套路,矛盾命题必有一真一假,正例:四老师发言推真假
形式逻辑基本规律,矛盾律,RE-2026DC-17-2-A,2026东城期末,17,(2)/主张1,违反,矛盾命题不能同真,
形式逻辑基本规律,排中律,RE-2024CY1-6-A,2024朝阳一模,6,,符合,矛盾判断必有一真,正例 B
形式逻辑基本规律,同一律,RE-2026XC1-19-3-C,2026西城一模,19,(3)/丙,违反(偷换概念),概念外延须一致,反例:村民会议 vs 村委会
形式逻辑基本规律,排中律 vs 矛盾律辨识,RE-2024CY1-6-A,2024朝阳一模,6,,辨识,矛盾律必有一假/排中律必有一真,选择题
概念划分规则,越级划分,RE-2024CY1-6-A,2024朝阳一模,6,,违反(A 选项),同一层次/同一标准,反例 A
概念划分规则,划分标准不一,RE-2026HD1-17-1-A,2026海淀一模,17,(1),违反,同一次划分用同一标准,反例:身份与情境混用
复合命题-选言判断,选言肢穷尽,RE-2026HD1-17-1-A,2026海淀一模,17,(1),违反(遗漏),选言肢必须穷尽,反例:漏掉其他选择
