suite_id,suite_name,year,district,stage,culture_status,entry_count,framework_slots,blocker
S001,2024海淀一模,2024,海淀,2024各区一模,processed,6,1、4、5、6、7,
S002,2024西城一模,2024,西城,2024各区一模,processed,4,0、2、4、6、7,
S003,2024东城一模,2024,东城,2024各区一模,processed,8,0、2、3、4、5,
S004,2024朝阳一模,2024,朝阳,2024各区一模,processed,7,0、2、4、5、7,
S005,2024丰台一模,2024,丰台,2024各区一模,processed,4,0、1、3、4、5、6、7,
S006,2024石景山一模,2024,石景山,2024各区一模,source-boundary-reference-only,1,4、5,只有教师版参考/等级描述和通用PPT框架，不能按用户口径升格为主观文化细则。
S007,2024门头沟一模,2024,门头沟,2024各区一模,processed_with_choice_boundary,2,2、4,classification-bundle-supplement；可补客观来源但主观文化细则仍是reference-only边界，本轮不改最终Word。
S008,2024海淀二模,2024,海淀,2024各区二模,processed,3,3、5、7,
S009,2024西城二模,2024,西城,2024各区二模,processed,2,2、4、5、7,
S010,2024东城二模,2024,东城,2024各区二模,processed,6,2、3、4、5、6、7,
S011,2024朝阳二模,2024,朝阳,2024各区二模,processed,2,1、3、4、5,
S012,2024丰台二模,2024,丰台,2024各区二模,processed_with_choice_boundary,2,0、2,不能从当前bundle穷尽确认1-15题文化选择题题干+可靠答案键；主观细则未见文化线给分点。
S013,2024顺义思政二模,2024,顺义,2024各区二模,processed,2,2、3、4,
S014,2024海淀期中,2024,海淀,2024各区期中,module-boundary,1,,
S015,2024朝阳期中,2024,朝阳,2024各区期中,processed,5,3、4、5、7,
S016,2025海淀一模,2025,海淀,2025各区一模,processed,4,0、3、4、5,
S017,2025西城一模,2025,西城,2025各区一模,processed,3,4、5、6,
S018,2025东城一模,2025,东城,2025各区一模,processed,7,1、2、3、4、7,
S019,2025朝阳一模,2025,朝阳,2025各区一模,processed,3,0、2、4、5、6,
S020,2025丰台一模,2025,丰台,2025各区一模,processed,9,0、4、5、6、7,
S021,2025延庆一模,2025,延庆,2025各区一模,processed,2,2、4,
S022,2025房山一模,2025,房山,2025各区一模,processed,4,2、3、4、5、6、7,
S023,2025石景山一模,2025,石景山,2025各区一模,processed,1,0、1、3、5,
S024,2025门头沟一模,2025,门头沟,2025各区一模,processed,3,2、4、5,
S025,2025顺义一模,2025,顺义,2025各区一模,processed,7,0、2、3、4、5、7,
S026,2025海淀二模,2025,海淀,2025各区二模,processed,2,2、4,
S027,2025西城二模,2025,西城,2025各区二模,processed,5,0、2、5、6,
S028,2025东城二模,2025,东城,2025各区二模,processed,4,2、3、4、5,
S029,2025朝阳二模,2025,朝阳,2025各区二模,processed,4,0、1、2、4,
S030,2025丰台二模,2025,丰台,2025各区二模,processed,5,0、2、3、4、5,
S031,2025昌平二模,2025,昌平,2025各区二模,processed,5,0、2、4、5、6、7,
S032,2025海淀期中,2025,海淀,2025各区期末,module-boundary,1,,
S033,2025海淀期末,2025,海淀,2025各区期末,processed,8,0、1、2、3、4、5、7,
S034,2025西城期末,2025,西城,2025各区期末,processed,7,0、2、3、4、5、6,
S035,2025东城期末,2025,东城,2025各区期末,processed,6,0、1、2、4、5,
S036,2025朝阳期末,2025,朝阳,2025各区期末,processed,6,2、3、4、5,
S037,2025丰台期末,2025,丰台,2025各区期末,processed,3,1、5,
S038,2026海淀一模,2026,海淀,2026各区一模,processed,3,2、7,
S039,2026西城一模,2026,西城,2026各区一模,processed_with_choice_boundary,3,2、4、5,缺可靠答案键；不把题面分析冒充正确项链。
S040,2026东城一模,2026,东城,2026各区一模,processed,4,2、4、5、6、7,
S041,2026朝阳一模,2026,朝阳,2026各区一模,processed,5,1、3、4、5,
S042,2026丰台一模,2026,丰台,2026各区一模,processed_with_choice_boundary,5,0、1、2、3、4、5,缺当前文化线可检索的完整题干；需读 cached rendered page images 后才能转 PASS。；缺当前文化线可检索的完整题干；需读 cached rendered page images 后才能转 PASS。
S043,2026延庆一模,2026,延庆,2026各区一模,processed,2,2、4,
S044,2026房山一模,2026,房山,2026各区一模,processed_with_choice_boundary,4,1、2、4、5,缺当前文化线可检索的完整题干；需读 cached rendered page images 后才能转 PASS。
S045,2026石景山一模,2026,石景山,2026各区一模,processed_with_choice_boundary,5,0、1、2、4、5,同一套 bundle 内答案键冲突；不把不稳定答案键写成文化选择链。
S046,2026门头沟一模,2026,门头沟,2026各区一模,processed,4,1、2、4、5,
S047,2026顺义一模,2026,顺义,2026各区一模,processed_with_choice_boundary,4,0、2、4,缺可靠答案键；只登记阻塞，不拆选择题文化链。
S048,2026海淀期中,2026,海淀,2026各区期末和期中,processed,1,3、4,
S049,2026海淀期末,2026,海淀,2026各区期末和期中,processed,1,6,
S050,2026西城期末,2026,西城,2026各区期末和期中,processed,2,2、4、5,
S051,2026东城期末,2026,东城,2026各区期末和期中,processed,3,1、2、5、6,
S052,2026朝阳期中,2026,朝阳,2026各区期末和期中,processed,9,2、3、4、5、6、7,
S053,2026朝阳期末,2026,朝阳,2026各区期末和期中,processed_with_choice_boundary,4,1、2、4、5,缺可靠答案键；只能确认扫描/渲染路径，不能从OCR不清或无答案表材料虚构选择题文化链。
S054,2026丰台期末,2026,丰台,2026各区期末和期中,processed_with_choice_boundary,4,1、2、4,缺可靠答案键；不从试卷分析或主观评标材料反推客观题答案。
S055,2026石景山期末,2026,石景山,2026各区期末和期中,processed_with_choice_boundary,5,0、4、6,缺第1-2题完整题干；不得把旧清单线索或答案表扩写成选择题错肢分析。
S056,2026通州期末,2026,通州,2026各区期末和期中,processed,3,2、3、4、6,
