sample_label,question_id,is_core,audit_category,evidence_level,ask_text,must_have_keywords,rubric_or_minimum,expected_warning
A,CC0103_2025_丰台_一模_19,yes,strict_core,formal,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,知识产权、技术秘密、严惩侵权行为、市场竞争秩序、公平市场环境、鼓励创新、同类案件范例、司法公信力,法院依法保护原告方知识产权，维护当事人合法权益。 | 对技术秘密侵权适用惩罚性赔偿，体现了对侵权行为的严厉打击。 | 判决规范市场竞争秩序，营造公平市场环境，以法治力量鼓励创新。 | 典型案例为同类案件提供范例和参考，有利于提高审判质量和效率。 | 本案彰显司法权威，增强司法公信力，引导社会依法办事、增强法治信仰。,不要写成泛泛的“维护社会公平正义”。要先限定为保护原告方知识产权和严惩侵权，再写市场竞争、科技创新、同类案件范例和法治信仰。
B,CC0206_2025_西城_期末_19,yes,strict_core,formal,运用法律知识分析法院的判决。,有一定影响、混淆、虚假宣传、不正当竞争、诚实信用、品牌商誉、法治化营商环境,“小爱同学”已具有一定影响力，能够指向M公司的相关产品和服务。 | 陈某抢先注册并使用他人已有影响的标识，具有不当攀附他人商誉的性质。 | 在相关商品上使用相同标识并宣传，容易造成消费者混淆或误认。 | 该行为构成不正当竞争，违背诚实信用原则和商业道德。 | 法院判令停止侵权、赔偿损失，有利于保护科技创新企业的品牌商誉。 | 该判决能够维护公平竞争秩序，优化数字经济发展的法治化营商环境。,不要把本案写成普通商标侵权即可结束。 | 必须落到反不正当竞争、混淆或引人误解宣传。 | 价值表达要绑定数字经济、创新和公平竞争，不要空喊法治。
C,CC0244_2026_东城_期末_18,yes,strict_core,formal,（1）运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。（2）维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？,要约、承诺、合同成立并有效、全面履行、违约责任、侵权责任、因果关系、无过错责任、证据准备、请求设计、协商调解、起诉,陈某发出购买要约，刘某作出承诺，陈某付款后双方买卖合同成立。 | 双方主体适格、意思表示真实、内容合法，合同有效。 | 刘某未交付约定的全新原装无人机，未全面履行合同义务，构成违约，应承担赔偿损失等违约责任。 | 无人机内部损伤导致坠毁并造成陈某受伤，行为、损害后果和因果关系可以对应，刘某应依法承担侵权责任。 | 生产者产品责任属于无过错责任，不能写成过错推定。 | 维权准备要保存邮件、付款、收货、损伤、医疗费、商业损失和协商记录等证据。 | 策略选择要区分违约请求和侵权请求，先协商调解，协商未果且无仲裁协议时可向人民法院起诉。,不要漏第（2）问。 | 不要写成刘某欺诈，材料是误寄展示机，不是故意骗签合同。 | 不要把违约责任和侵权责任混在同一套要件里。 | 不要把生产者产品责任写成过错推定。
D,CC0181_2025_海淀_期末_21,yes,strict_core,formal,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,商业秘密、知识产权、竞业限制义务、劳动权、择业自由、合法权益平衡、公平竞争,竞业限制可以保护企业商业秘密和知识产权，防止核心技术、经营信息被不当利用。 | 对负有保密义务的高级管理人员或技术人员，违反竞业限制约定的，应承担相应违约责任。 | 对竞业限制加以限制，是为了保护劳动者的劳动权和择业自由。 | 普通劳动者掌握的一般劳动技能不能被随意包装成商业秘密。 | 竞业限制应在企业商业秘密保护与劳动者合法权益之间取得平衡。 | 合理竞业限制有利于公平竞争和社会创新，滥用竞业限制则会妨碍人才合理流动。,不要把所有员工都写成可被竞业限制的对象。 | 不要只写保护企业，还要写保护劳动者和利益平衡。 | 不要把普通劳动技能等同于商业秘密。
E,RECOVER_2026_通州_一模_20,yes,strict_core,formal,阅读材料，完成下表。,自愿参加、安全保障义务、故意或重大过失、自身原因、因果关系、公平原则、社区生活秩序,参与者自愿参加具有一定风险的文体活动，组织者尽到安全保障义务且无故意或重大过失的，组织者无需承担责任。 | 张某是自愿参加活动，死亡系自身原因突发意外，并非他人行为造成。 | 李某事前提醒、事后及时救助，已尽到合理安全保障义务。 | 李某不存在故意或重大过失，其组织行为与张某死亡没有因果关系，不承担侵权责任。 | 判决引导参与者增强风险意识，对自己的行为负责。 | 判决合理界定义务组织者责任范围，体现公平原则。 | 判决鼓励互帮互助，维护和谐有序的社区生活秩序。,不要只写“依据民法典”而不说清具体规则。 | 不要把李某写成商业经营者或当然承担责任。 | 价值句要扣回风险意识、公平责任范围和社区互助，避免空泛法治口号。
F,RECOVER_2026_房山_一模_17_1,yes,strict_core,formal,结合材料，运用“民事法律关系”知识，辨析“AI幻觉造成损失谁买单”。（）,民事法律关系主体、AI不具备民事主体资格、意思表示、法律效力、提示义务、注意义务、实际损害,AI幻觉造成的所谓损失不由A公司当然买单。 | 民事法律关系主体包括自然人、法人和非法人组织。 | AI不具备民事主体资格，不能独立作出有效意思表示。 | AI生成的赔偿承诺不具有法律效力。 | A公司已提示AI内容仅供参考，履行了提示义务。 | 梁某作为民事主体，对AI信息应负有必要注意义务。 | 梁某权益未受实际损害，A公司不承担赔偿责任。,不要把AI当作能独立承担民事责任的主体。 | 不要只写“A公司无责”，要说明AI承诺无效、A公司提示、梁某注意义务或无实际损害。 | 不要展开过多生成式AI监管制度，题目要的是民事法律关系辨析。
G,CC0223_2025_顺义_一模_19,yes,strict_core,formal,结合上述案例，运用《法律与生活》知识，说明法律如何定分止争。,权利边界、相邻关系、合理使用、法院调解、合法权益、多元纠纷解决、社会和谐,定分止争能够明确权利边界，防止权利行使超过正当限度。 | 楼道共有部分应合理使用，堆放杂物影响通行，不符合相邻关系处理原则。 | 相邻各方应按照有利生产、方便生活、团结互助、公平合理的原则处理关系。 | 法院调解有利于实质化解纠纷，修复邻里关系。 | 企业名称纠纷中，纠正侵权名称有利于保护市场主体合法权益。 | 多元纠纷解决机制协调运行，有利于化解社会矛盾、实现社会和谐。 | 依法解决纠纷体现文明、和谐等价值追求。,不要只写“化解矛盾”，要把两个案例分别落到相邻关系和名称权纠纷。 | 不要把定分止争写成抽象口号，要写权利边界、纠纷途径和治理价值。 | 不要把行政裁决、诉讼、调解混成一种方式。
H,CC0137_2025_昌平_二模_20,no,source_check_pending,formal,运用《法律与生活》知识，完成裁判理由。,,著作权主体限于自然人、法人或非法人组织，AI 不能成为著作权主体。 | 人使用 AI 制作的图片若具备智力成果和独创性，可以受著作权法保护；未经许可使用并抹去水印，侵害信息网络传播权和署名权。 | 信用卡手续真实合法有效，透支后经催缴仍不还款构成违约，违背诚信和全面履行原则。,不要写 AI 自动享有权利；也不要把信用卡纠纷写成刑事诈骗。
I,CC0040_2024_海淀_一模_19,no,reference_only_locked,reference_only,运用《法律与生活》知识，谈谈对本案判决的认识。,,甲公司创作虚拟数字人相关形象和视频，对相应作品享有著作权。 | 乙公司未经许可使用相关视频、替换标识并添加营销信息，构成著作权侵权。 | 乙公司作虚假或引人误解的商业宣传，属于不正当竞争；判赔有利于激发创新活力、维护市场秩序。,不要把虚拟数字人本身写成民事主体；本题保护的是作品和经营秩序。
J,CC0340_2026_西城_一模_17,no,low_frequency_container,formal,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,,民法典物权编贯彻绿色原则，为绿色发展提供法律依据和保障。 | 相关规定通过划定权利界限、强化法定义务、明确法律责任和救济方式来减少环境损害。 | 这些规定有利于平衡个人利益与生态公共利益，促进资源开发利用绿色转型和可持续发展。,不要只写保护环境；要写权利界限、义务、责任、救济。
