question_id,来源,完整设问,材料动作,总帽子,小方法,触发逻辑,答案句,证据等级,框架落点,题型标签
Q-2024海淀二模-17-1,2024海淀二模 027试卷::Q17(1) + 028细则,"结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）","时间利用调查为了'全面、真实、准确'了解居民时间利用情况，客观反映生活质量；调查范围首次拓宽到全国、对象首次扩展至6周岁以上常住成员、首次全面使用电子化采集；总体安排分2024年2-4月调查准备/2024年5月至年底组织实施/2024年底至2025年资料开发应用三阶段。",科学思维,客观性（追求认识的客观性）,"调查目的的关键词是'全面、真实、准确'地反映对象的真实状态——这是科学思维客观性的标志：从客观对象出发、不夹带预设、用证据说话；调查内容、采集方式都为了让数据更贴近事实，因此学生看到'全面/真实/准确'就要把它和'客观性'对号入座，而不是和'创新性'或'整体性'混。",此次时间利用调查以全面、真实、准确反映居民时间利用情况为目的，努力如实把握客观对象、获取统计信息支撑民生政策，体现了科学思维追求认识客观性的特征。,A-formal,科学思维 → 客观性,科学思维客观性·调查类
Q-2024海淀二模-17-1,2024海淀二模 027试卷::Q17(1) + 028细则,"结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）","与2008、2018年两次调查相比，此次'调查思路新、方法新、首次全面使用电子化采集方式、调查内容更加丰富、时间利用活动分类更加细化'；'敢用新手段、试用新工具'。",科学思维,探索性（来源支持·对应028细则三新/思路新方法新结果新）,"细则用'三新'刻画的是科学思维在调查方法上的探索性：从老办法升级为新工具，意味着研究者主动改变手段去逼近真问题。本题设问只问科学思维，所以要把'三新'解释成'科学思维在认识工具上的探索性',不能把它升格成独立的'创新思维'设问；按硬规则十六SCIENCE_ONLY_SOURCE_SUPPORTED口径处理。",此次调查思路新、方法新、首次使用电子化采集、内容更加细化，敢用新工具试用新手段，体现了科学思维以探索性方式不断更新手段去逼近事实的特征。,A-formal,科学思维 → 探索性·方法更新（来源支持）,科学思维探索性·方法更新型
Q-2024海淀二模-17-1,2024海淀二模 027试卷::Q17(1) + 028细则,"结合材料，说明此次时间利用调查是如何体现科学思维的。（7分）","调查工作总体安排分三个阶段：调查准备(选聘培训、研发部署)→组织实施(开展现场、审核汇总发布)→资料开发应用(编辑出版、研究分析)；每个阶段任务明确、首尾相接。",科学思维,整体安排（来源支持·分阶段实施任务明确）,"细则把整体安排归为支持点，是因为科学思维不仅看一个数据，还要按调查全流程的逻辑把准备、实施、应用串成一条任务链——前一阶段的成果支撑后一阶段，整体大于部分相加。本题设问还是科学思维，所以要把'分阶段任务明确'解释成科学思维下的整体安排，而不是越界换成辩证思维设问。",调查工作分准备、组织实施、资料开发应用三阶段，每阶段任务明确、首尾相接、整体推进，体现了科学思维下整体安排、分步落实的工作思维。,A-formal,科学思维 → 整体安排（来源支持）,科学思维整体安排·分阶段任务型
Q-2024海淀二模-17-2,2024海淀二模 027试卷::Q17(2) + 028细则,"调查研究过程一般可分为准备阶段、调查了解阶段、分析研究阶段、总结阶段。从认识发展的历程角度，说明'调查了解阶段'与'分析研究阶段'的关联。（4分）","调查了解阶段：把分散在居民身边的'时间投入'信息收集起来，形成大量第一手活动现象；分析研究阶段：在收集到的杂多现象上做归类、抽提主要矛盾、找出规律；两阶段不可分割，前者为后者准备素材，后者使前者的零散信息生成规律性的整体认识。",科学思维（认识发展的历程）,感性具体 → 思维抽象 → 思维具体,"题干指明'认识发展的历程'，关键词锁定到选必三'感性具体—思维抽象—思维具体'链条：调查了解=对客观现象的感性把握；分析研究=既需要思维抽象抽出本质，又需要思维具体把这些本质回到完整生活图景中去，两阶段相互依赖，关系不能颠倒。",调查了解阶段是对居民时间投入的感性具体把握，认识要往前发展就需要进入分析研究阶段，把杂多现象进行思维抽象、再向思维具体上升，两个阶段相互依赖、不可分割，共同推动认识从现象走向本质再回到整体。,A-formal,认识发展历程 → 感性具体/思维抽象/思维具体,认识发展历程·调查研究两阶段型
Q-2025海淀期末-17-1,2025海淀期末 015试卷::Q17(1) + 015细则,"运用科学思维知识，分析这个'永动机'设计图的问题所在。（4分）","设计图试图让毛巾一头吸水、一头滴水落到叶轮上转动，制造'不需要任何外在能量便能自动运转'的永动机；但毛巾通过毛细作用吸水的高度有限、不可能越过支架持续供水，违反能量守恒等物理学基本规律。",科学思维,客观性（追求认识的客观性·把握客观规律）,"科学思维客观性的核心在于'从实际出发、如实反映对象、努力把握和遵循客观规律'。永动机设计图把'想要它转'的愿望当成了运转条件，跳过了能量守恒、毛细作用上限等真实物理事实，正好踩中了客观性的反面。学生看到'设计图想绕过规律实现某种结果'，就要立刻判断它违背了科学思维客观性。",科学思维追求认识的客观性，要求从实际出发、如实反映对象、把握和遵循客观规律；该永动机设计图违背能量守恒等物理学基本规律，毛巾通过毛细作用吸水高度有限，不可能持续越过支架带动叶轮，所谓'不需任何外在能量'的设计偏离了客观规律，因此其问题在于违背了科学思维的客观性。,A-formal,科学思维 → 客观性,科学思维客观性·伪装违背规律型
Q-2025海淀期末-18,2025海淀期末 015试卷::Q18 + 015细则,"结合材料，分析北京城市图书馆是如何运用创新思维建设新型公共文化空间的。（6分）","硬科技板块：从'人找书'转向'书找人'，由读者主动检索翻转成系统主动推荐；新顶流板块：将中国传统'赤印'意象迁移到城市图书馆建筑设计，做成新文化地标；巧联动板块：充分整合各部门、各行业、各区、各街乡、各类社会化的文化服务数字资源，构建京津冀多层级多门类公共文化数字服务网络群。",创新思维,逆向思维（对事物结构顺序的已有认识进行反向思考）,"创新思维下的逆向思维要求把事物结构顺序、状态、功能、因果方向等做交换性思考。'人找书 → 书找人'是典型的服务流程结构反过来：原来用户是寻找方，系统是被找方；改造后系统主动构建用户画像、向读者推荐合适内容，把发起方与接受方对调。这是逆向思维的硬信号，不能因为用了'科技'就退回到'科学思维'。",北京城市图书馆运用了逆向思维，对'读者找书'这一原有服务流程顺序进行反向思考，借助数字技术构建立体用户画像，实现从'人找书'到'书找人'的转换，给读者提供便利。,A-formal,创新思维 → 逆向思维,创新思维逆向思维·服务流程反转型
Q-2025海淀期末-18,2025海淀期末 015试卷::Q18 + 015细则,"结合材料，分析北京城市图书馆是如何运用创新思维建设新型公共文化空间的。（6分）","'赤印'本是传统印章/印记的文化意象，承载着信用、权威、典藏等含义；图书馆把这个原有的认知经验直接借用到新型公共空间建筑设计上，让建筑外形呼应'赤印'，把图书馆做成富有文化韵味的城市地标。",创新思维,联想思维（同化性迁移·已有经验直接应用）,"联想思维的同化性迁移指：把对一个对象已经形成的认识、意象、经验直接搬到新对象上，让新对象按照旧经验去理解。'赤印 → 建筑设计'就是把图章这个文化对象的视觉/语义经验同化到城市图书馆这个新对象上，新对象因此被赋予原对象的意涵。看到'把A的意象迁移到B'就要判联想思维同化性迁移。",北京城市图书馆运用了联想思维，把传统'赤印'意象通过同化性迁移用到新型公共空间设计中，让建筑既保留了图章的文化气质又承担起图书馆功能，打造出富有文化韵味的城市地标。,A-formal,创新思维 → 联想思维（同化性迁移）,创新思维联想思维·文化意象迁移型
Q-2025海淀期末-18,2025海淀期末 015试卷::Q18 + 015细则,"结合材料，分析北京城市图书馆是如何运用创新思维建设新型公共文化空间的。（6分）","图书馆整合各部门、各行业、各区、各街乡及各类社会化的文化服务数字资源，构建多层级、多门类的公共文化数字服务网络群；并把京津冀三地相连、文脉相通、经济相融的格局串成一个公共服务平台。",创新思维,发散思维与聚合思维（创新思维两翼）,"发散思维和聚合思维是创新思维的两翼。先发散：广泛找各部门、各行业、各区、各街乡、各类社会化资源；再聚合：把这些资源按层级、按门类整合成一张网；再发散到京津冀，再聚合成跨区域服务网络。'多元来源汇集 + 分层分类整合'是发散聚合往复运用的硬信号，不能只见'整合'就跳到辩证思维整体性。",北京城市图书馆综合运用发散思维与聚合思维，先广泛搜集各部门、各行业、各区、各街乡及各类社会化的文化服务数字资源，再按层级和门类聚合成多层级多门类的数字服务网络群，让京津冀三地公共文化资源共建共享，体现了创新思维'发散—聚合—再发散—再聚合'的两翼运用。,A-support,创新思维 → 发散思维 / 聚合思维,创新思维发散聚合·公共资源整合型
Q-2025海淀二模-20,2025海淀二模 008试卷::render_page_07::Q20 + 009/010/011细则,"结合材料，运用辩证思维知识，谈谈如何坚持共享发展理念推进共同富裕。（8分；细则口径6分上限·从角度池1+2选2点）","共享发展理念展开为'全民共享、全面共享、共建共享、渐进共享'四层：全民共享指共享主体的全面性(人人共享)；全面共享指建设领域的全面性(政治、经济、文化等)与权利的全面(各方面权益)；共建共享指人人参与共建；渐进共享指发展循序渐进，由低到高、阶段性推进。",辩证思维,分析与综合 / 整体性 / 系统优化,"题面把共享发展拆成'全民—全面—共建—渐进'四个维度，先分块讲清各自指什么(分析)，再合起来构成共享发展的整体目标(综合)。这是辩证思维分析与综合的典型用法：从全局立意，按要素分解，再统合到一个最优整体。看到'多主体、多领域、多权益、多环节并联，且最终指向一个整体目标'，就要写成分析与综合/整体性/系统优化。",坚持共享发展理念推进共同富裕，必须立足全局，先把'共享'分析为全民共享(主体的全面)、全面共享(建设领域和权利的全面)、共建共享(人人参与建设)等不同维度，再综合统一到共同富裕这个整体目标，按系统结构有序、整体最优的要求推动各方面共享，做到分析与综合相统一、立足整体把握部分。,A-formal,辩证思维 → 分析与综合 / 整体性 / 系统优化,辩证思维整体性·共享发展四维型
Q-2025海淀二模-20,2025海淀二模 008试卷::render_page_07::Q20 + 009/010/011细则,"结合材料，运用辩证思维知识，谈谈如何坚持共享发展理念推进共同富裕。（8分；细则口径6分上限·从角度池1+2选2点）","'渐进共享'特别点出共同富裕不是一蹴而就：先有民生兜底，再有公共服务均等化，再到共同富裕的高水平实现，呈现出阶段性、由低到高、由量变积累到质变跃迁的过程。",辩证思维,质量互变 / 动态性,"题面用'渐进'明确把发展分解成阶段：每个阶段相对量变累积，跨阶段就是质变。共同富裕的实现路径就是质量互变规律——不能一步到位，要把握渐进性与飞跃性、连续性与间断性的统一。看到'渐进/分阶段/由低到高'就要把它写成质量互变和动态性，而不是只写'整体性'。",共同富裕是一个由低到高、循序渐进的过程，要按质量互变规律稳扎稳打：在民生兜底、公共服务均等化等阶段做好量变积累，再推动到共同富裕高水平实现的质变跃迁；以辩证思维的动态性把握渐进性与飞跃性的统一，做到分阶段、连续性、不冒进。,A-formal,辩证思维 → 质量互变 / 动态性,辩证思维质量互变·渐进推进型
Q-2025海淀二模-20,2025海淀二模 008试卷::render_page_07::Q20 + 009/010/011细则,"结合材料，运用辩证思维知识，谈谈如何坚持共享发展理念推进共同富裕。（8分；细则口径6分上限·从角度池1+2选2点）","推进共同富裕需要继承发展观中合理成分(如劳动创造、按劳分配、发展为了人民)、扬弃旧有分配模式中保护私利、忽视公平的成分；保留共建共享中合理的奋斗逻辑，克服'平均主义'式低水平共享。",辩证思维,辩证否定（扬弃·保留与克服）,"辩证否定不是'全盘否定'，而是'扬弃'：在共同富裕推进中，对原有发展模式中合理的部分保留并发展，对其中阻碍共享公平的部分批判舍弃。看到'继承+发展''保留+克服'同时出现，要判辩证否定，而不是机械写'否定一切'或仅写'矛盾的对立统一'。",推进共同富裕要坚持辩证否定的扬弃精神，对原有发展模式中支撑生产力发展、调动积极性的合理成分予以保留发展，对其中阻碍公平共享的部分批判舍弃，做到既继承又发展、既保留又克服，避免平均主义式低水平共享，也避免片面追效率忽公平。,A-support,辩证思维 → 辩证否定（扬弃）,辩证思维辩证否定·共享发展扬弃型
Q-2025海淀二模-20,2025海淀二模 008试卷::render_page_07::Q20 + 009/010/011细则,"结合材料，运用辩证思维知识，谈谈如何坚持共享发展理念推进共同富裕。（8分；细则口径6分上限·从角度池1+2选2点）","'共享'与'共建'是一对矛盾的两端：只共享不共建会变成福利依赖，只共建不共享会损害公平；共同富裕要同时承认两端、抓准主要方面、按矛盾分析法处理；区域之间富裕水平不一也是矛盾普遍性与特殊性。",辩证思维,矛盾分析法（对立统一·两点论与重点论）,"细则备注：从矛盾分析法角度回答，理论正确+材料分析恰当最多给2分，作为补充节点入正文。共享发展不是单边给福利，而是'共建'与'共享'对立统一；共同富裕的实现也不是消灭差异，而是把握主要矛盾(共同富裕水平整体提升)与次要方面的统一。看到'两端并提、对立统一'就要写矛盾分析法。",共同富裕需要运用矛盾分析法把握'共建'与'共享'的对立统一：既鼓励人人参与建设、做大蛋糕，又确保人人受益、分好蛋糕；并用两点论与重点论把不同地区、不同领域的富裕水平差异看成矛盾的普遍性与特殊性，整体推进、重点突破。,A-support,辩证思维 → 矛盾分析法（最多2分上限）,辩证思维矛盾分析·共建共享对立统一型
