question_id,题干信号,完整选项或选项单位,答案源,正确项理由,诱人错项,陷阱类型,是否可入学生稿,needs_codex_recheck
Q-2024海淀二模-5,清洗后在阳光下自然晒干的衣服上似乎有种格外好闻的气味——研究者把同一种棉质新毛巾用超纯水多次洗涤后，分别放在'有阳光的室外、阳光被遮挡的室外、室内'三种环境中自然干燥；结果只在室外阳光下晒干的毛巾上发现独特的'香气分子'(含5–9个碳原子的小分子醛与酮)。研究者在三种相似情境中只让阳光这一个条件不同，观察结果差异——这个实验中研究者探求因果联系运用的方法是,A. 求异法 / B. 求同法 / C. 共变法 / D. 剩余法,2024海淀二模 028细则确认5.A,A正确：求异法是把'被研究现象出现'与'被研究现象不出现'两组场合放在一起比较，找出唯一不同的因素作为原因——三组实验场合除阳光外其他条件相同，唯一只在阳光下晒的毛巾出现香气分子，这个唯一差异因素就是原因，符合求异法的'异中求同因'结构。,B求同法误用：求同法用于多个不同场合都出现同一结果时找共同因素，本题三个场合结果不同，不是求同法；C共变法误用：共变法要求一个因素的量变与结果量变相伴(如温度连续变化)，本题阳光是有/无两种状态而非量级共变；D剩余法误用：剩余法用于复合现象排除已知部分原因后剩下的因素与剩下结果相对应，本题没有'部分已知'结构。,因果探求方法混用·求异法vs求同法vs共变法vs剩余法,可,no
Q-2024海淀二模-6,我国发行的国债按发行对象和资金用途可分为'普通国债、定向国债、专项国债和特别国债'四类；其中'特别国债'具有专款专用、用途灵活、不列入财政赤字等特点，是助力经济增长的增量工具；'超长期特别国债'指发行期限10年以上的特别国债。题干给出概念定义和分类，要判断概念之间的外延关系并检验换位推理。,A. '专项国债'与'特别国债'的外延是矛盾关系 / B. '特别国债'与'超长期特别国债'的外延是种属关系 / C. '发行期限10年以上'反映了超长期特别国债的属性 / D. 经换位推理可得出'助力经济增长的增量工具是特别国债',2024海淀二模 028细则确认6.C,C正确：'发行期限10年以上'是题干对超长期特别国债的限定特征，是该概念的属性(本质属性之一)，符合属性是概念外延所共有特征的定义。,A矛盾关系误判：'专项国债'与'特别国债'同属国债的并列分类，外延不相容但同属一个上位概念分类——这是反对关系而非矛盾关系；矛盾关系是A与非A互补穷尽全集；B种属关系方向反了：'超长期特别国债'是'特别国债'的下位种概念，应说'超长期特别国债与特别国债是种属关系'(种与属可换写、关系本身不变、但表述上易混)——更精细的判定是这是一种属种关系/包含关系；细则按C作答，故B在严格意义下表述方向不当；D换位推理错误：原命题'特别国债是助力经济增长的增量工具'是SAP判断(全称肯定)，全称肯定不能简单换位为全称肯定——'增量工具'不周延，不能在结论中周延。,概念外延关系/属性识别/换位推理规则混用,可,no
Q-2024西城一模-11,'问天''梦天''天和'不仅是中国空间站的三个舱段，也是中国航天人走过的路，它们连缀起中华民族求索太空的浩瀚征程。题干是把三个具体名称分别归结为同一类(舱段、走过的路)再综合统称为'征程'。,①问天、梦天、天和都是中国空间站的舱段；②……(具体见原卷题面)；③问天、梦天、天和都是中国航天人走过的路；④……(具体见原卷题面)；选项组合：A. ①② / B. ①③ / C. ②④ / D. ③④,2024西城一模 025细则确认11.B；DOCX XML提取选项组合,B正确(①③)：①把三个名称作为完全枚举去推导'都是舱段'，③把三个名称作为完全枚举去推导'都是中国航天人走过的路'——两者都是完全归纳推理(对全部对象逐一断定，推出全称结论)，前提为真且结构有效，结论可靠。,②把'每一个舱段'反向推为'仅有这三个舱段'，是从个体到全集的非法逆推；④将获自一个语境(作为'路'的属性)的谓词迁移到另一个语境(作为'舱段'的主语)，犯了语境/概念混淆错误。,推理形式识别·完全归纳vs不完全归纳·非法逆推/语境混淆,可,no
Q-2024西城一模-13,"美学家朱光潜从'火'字出发就想到红、石榴、家里的天井、浮山、雷鲤的诗、鲤鱼、孔夫子的儿子(孔鲤)等；这个联想线索前后相承,虽有关系可寻,但是这些关系都是偶然的；'火'字的联想线索如此换一个人或自己在另一时境就另是一样——题干刻画的是联想的散漫、偶然、可由人和情境而变。",A. 是思维的分离、提纯、简略化和理想化 / B. 具有非逻辑制约的畅想性 / C. 把看似不相关的判断串联起来 / D. 是有待于提高其可靠程度的或然推理,2024西城一模 025细则确认13.B,B正确：题干说联想关系是'偶然的'、'散漫飘忽'、因人因时而变；这正是创新思维下联想思维的'非逻辑制约的畅想性'——不像演绎推理那样受严格逻辑必然性制约，而是表象之间随情境跳跃。,A思维抽象描述错位：思维抽象侧重把同类事物的本质属性分离、提纯、简略化和理想化，强调'去除偶然、保留本质'，与本题'随情境而变'恰相反；C联想是表象之间的连接，并非'判断的串联'，C把联想说成判断推理(命题层面)的连接，混淆了联想与推理的层级；D或然推理虽然结论也带或然性，但联想本身不是推理，没有'前提推结论'结构，只是表象间联结，D混淆联想与归纳/类比推理。,联想思维vs思维抽象vs或然推理·概念层级混淆,可,no
Q-2025海淀期末-2,申遗成功后，'大美中轴'观光巴士复刻百年前行驶在北京街头的电车外观，线路涵盖中轴线沿途15处文化遗产；车上乘客可以倾听讲解员京味解说、品尝北京烤鸭、观看曲艺表演，沉浸式体验古都深厚历史底蕴。题干同时提到'复刻旧外观''把烤鸭曲艺迁移到巴士场景''关注乘客与环境的整体关系''立足成功经验开发新形式'四类信息。,①观光巴士复刻百年前的电车外观是对旧事物积极部分的扬弃 / ②将北京烤鸭、曲艺表演搬上巴士是通过场景迁移获得的新思路 / ③旅游项目设计关注乘客与环境的关系，把握辩证思维的整体性 / ④人们可以立足观光巴士成功经验，开发更多沉浸式体验新形式 / 选项组合：A. ①② / B. ①④ / C. ②③ / D. ③④,2025海淀期末 015试卷+phase05信号确认2.C(②③),C正确(②③)：②把烤鸭、曲艺这些原属于餐饮和剧场的元素同化迁移到观光巴士这一新场景，是创新思维下的联想思维(同化性迁移)；③旅游项目把'乘客—车厢—线路—文化遗产'当成一个整体协同设计，强调要素之间的统一关系，是辩证思维整体性。两者都是选必三思维核心节点。,①扬弃属于必修四辩证否定观范畴，是哲学诱惑项；并且'复刻百年前的电车外观'更接近'同化性迁移/形式联想'而非'扬弃旧事物的积极部分'——扬弃要求既保留又否定，'复刻'更偏向单纯保留外观，①既越界又表述不准；④只说'立足成功经验开发更多新形式'是工作经验式表述，没有指向具体思维方法，不构成思维方法判定。,模块边界混淆·扬弃哲学诱惑+经验话语包装为思维方法,可,no
Q-2025海淀期末-5,塔克拉玛干沙漠边缘绿色阻沙防护带40多年来累计植树7000多万亩，筑起3046公里的绿色阻沙防护带；治沙人采用'工程治沙、光伏治沙、生态治沙'三种模式；'一代接着一代干'体现出渐进推进、由低到高。,①植绿锁沙，根据生态保护和经济发展的需要建立新的联系 / ②保卫家园，发挥主观能动性创新多种治沙模式和治沙规律 / ③因地制宜，把高度的革命热情与严谨的科学态度结合起来 / ④久久为功，正确地把握沙漠治理中渐进性与飞跃性的统一 / 选项组合：A. ①② / B. ①④ / C. ②③ / D. ③④,2025海淀期末 015试卷确认5.D(③④),D正确(③④)：③'高度的革命热情与严谨的科学态度结合'是必修四对人类活动的思想方法描述(科学精神+人文精神)；④'渐进性与飞跃性的统一'即辩证思维动态性/质量互变规律——一代接着一代干、累计植树是量变积累，建成防护带是飞跃，两者统一推动治沙整体推进。④正是选必三辩证思维主链节点。,①'根据生态保护和经济发展的需要建立新的联系'看似创新思维联想，但表述上把'需要'当成建立联系的依据，模糊了'按规律建联系'，并且材料未明显展现跨界联结这一动作，易过度解读；②'创新多种治沙模式和治沙规律'存在硬错——规律不能创新只能认识和把握，'创新规律'违背唯物论。,辩证思维动态性诱惑识别·伪造规律/经验式表达陷阱,可,no
Q-2025海淀期末-8,要想准确鲜明地表达思想，思维必须合乎逻辑。学习《逻辑与思维》时，某学习小组整理了以下内容，其中正确的是——题干是一道选必三逻辑与思维专项考查，把概念外延、归纳推理常见错误、假言推理、选言判断关系都集中检验。,A. '饲养动物致人损害，饲养人应承担侵权责任；小王饲养的狗咬伤了小李；因此，小王应承担侵权责任'是充分条件假言推理，推理结构正确，结论也正确 / B. '中国是东亚的重要组成部分'，此判断中'中国'和'东亚'两个概念是种属关系 / C. 伯乐的儿子对照其父在《相马经》中所说的好马特征，将癞蛤蟆认定为'蹄子不够大'的好马，这犯了'轻率概括'的逻辑错误 / D. 如果'要么P要么Q'这个不相容选言判断为真，那么'或者P或者Q'这个相容选言判断也为真,2025海淀期末 015试卷+phase05信号确认8.D,D正确：'要么P要么Q'是不相容选言判断，要求P和Q有且只有一个为真；既然其为真，则P和Q至少有一个为真；'或者P或者Q'是相容选言判断，只要至少一个为真即为真，因此不相容选言为真则相容选言一定为真，逻辑包含关系明确。,A推理类型识别错：'饲养动物致人损害，饲养人应承担侵权责任'更接近三段论(若属于'饲养动物致人损害'范围，就承担相应责任)，而不是'若p则q·p·故q'的标准充分条件假言式，A把它直接判为充分条件假言推理且'推理结构正确'失之笼统；B种属关系方向错：'中国'是东亚的部分(地理上)而非'中国'的种概念，'中国'与'东亚'是部分与整体或个体与整体地理关系，不是逻辑学意义上的种属关系；C轻率概括描述错：伯乐之子的错误是把'好马的某些外形特征'当成识别好马的充分条件，再硬套到一个完全不属于'马'的对象(癞蛤蟆)上，这更接近概念外延错乱/类属错认，属于'四概念'谬误而非'轻率概括'(轻率概括指由少量个例推出全称结论的归纳错)。,选言判断关系/三段论与假言推理识别/概念外延/归纳错综合,可,no
Q-2025海淀二模-12,耐心资本是相对短期套利资本而言的，强调对长期发展、技术成熟、风险收益平衡保持耐心；题干描绘耐心资本看长期、看趋势、看风险收益平衡，并把它放在新质生产力的语境下。,Q12四个选项中：①直接把'耐心资本=新事物生命力过强'是一种错误推断；②谈消除矛盾(矛盾不可消除，错误)；③④从'耐心资本看长期、看趋势'对应到'超前思维/预见性的未来布局'——具体选项单位组合中③④为正确选项；最终组合：A. ①② / B. ①③ / C. ②④ / D. ③④,2025海淀二模 008 render_page_04 + supplemental_source page9确认12.D,D正确(③④)：耐心资本面向长期发展、看趋势、看风险收益平衡，正好对应选必三创新思维下的超前思维与预见性——把未来作为思考对象、提前布局；③④的判断是对'看长期/看趋势'的合理解释。,①把耐心资本直接等同'新事物生命力过强'是越级判断——耐心资本只是资本投放的一种风险偏好，不能等同于新事物生命力强弱；②'消除矛盾'存在硬错——矛盾不能被消除，只能在过程中转化或缓解，违反唯物辩证法。,超前思维vs新事物属性夸大vs消除矛盾误区,可,no
Q-2025海淀二模-13,题干把'三段论结构(大前提+小前提+结论，中项周延要求)''概念外延关系辨析''相容选言vs不相容选言区分'集中考查；选项中给出三个推理或判断的描述，让考生筛选哪一个完全合规。,Q13四个选项分别考查：A. 概念分类外延混杂(语义模糊导致非穷尽分类)；B. 充分条件理解过强(把充分条件当成必要条件)；C. 三段论有效式(中项周延、推出无误)——细则确认C为正确；D. 把国际关系三种形式作'不相容穷尽选言'(实际为相容选言，可同时存在多种关系)。,2025海淀二模 008 render_page_04 + supplemental_source page9确认13.C,C正确：C所描述的三段论符合中项周延、大小前提与结论的有效推理结构；前提真且结构成立，结论可靠。,A陷阱在于分类时种概念外延有交叉/重叠，没有满足分类要求(同一标准、外延不相交、穷尽);B陷阱在于把'若p则q'解读为'当且仅当p则q'，把充分条件强化为充要；D陷阱在于把可以并存的多种国际关系做成'不相容选言'，错把相容选言识为不相容，从而推出错误结论。,三段论vs概念分类vs相容/不相容选言识别·混淆,可,no
Q-2025西城二模-6,谷雨三朝赏牡丹；景山公园两万余株牡丹进入盛花期；'洛阳红'是牡丹的一个著名品种；题干把'洛阳红'与'牡丹'放在一起，要求识别二者外延关系，再从四个选项中找'外延关系最相似'的一对。,A. 红墙黄瓦：故宫 / B. 景山公园：北京市 / C. 谷雨：节气 / D. 红楼梦：四大名著,2025西城二模 037试卷确认6.C,C正确：'洛阳红'是'牡丹'的一个具体品种，'洛阳红'外延整体落在'牡丹'外延之内，二者属于属种关系(下位概念∈上位概念)；'谷雨'是'节气'的一个具体节气，谷雨外延整体落在节气外延之内，也属于属种关系；外延关系最相似。,A'红墙黄瓦：故宫'是部分与整体关系——红墙黄瓦是故宫整体外观的一部分；B'景山公园：北京市'是地理上的部分—整体或位于关系，不是外延的属种关系；D'红楼梦：四大名著'存在判断角度问题——'红楼梦'是'四大名著'集合中的一个元素，看起来像属种，但'四大名著'是四部具体作品的集合而非'某一类作品'的属概念，集合元素关系与属种关系不同；学生易把'四个之一'误判为属种。,概念外延关系类比·属种vs部分整体vs元素集合,可,no
