label,path,status,pages,text_pages,ocr_pages
2026海淀一模_试卷,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,ok,8,0,8
2026海淀一模_细则,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,ok,8,7,8
2026房山二模_试卷,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026房山二模/试卷/2026北京房山高三二模政治（教师版）.pdf,ok,12,4,12
2026朝阳期末_试卷,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,ok,8,0,8
2026朝阳期末_细则,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,ok,4,0,4
2026顺义二模_试卷,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,ok,12,0,12
2026丰台期末_试卷,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,ok,9,0,9
2026丰台期末_细则,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末/细则/细则.pdf,ok,74,54,74
2024海淀期中_试卷,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/试卷/试卷.pdf,ok,8,8,8
2024海淀期中_细则,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/细则/细则.pdf,ok,71,59,71
2024东城二模_试卷,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,ok,12,0,11
2024东城二模_细则,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,ok,1,0,1
2026西城期末_细则,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/细则.pdf,ok,5,0,5
2026西城期末_参考答案,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/补充材料/高三思想政治参考答案.pdf,ok,12,3,12
