question_id,district_year_stage_question,evidence_status,source_check_state,source_check_decision,a_axis_primary,a_axis_secondary_status,b_axis_original,b_axis_v14_effective,prompt_action,proposition_path_v14,material_trigger,rubric_scoring_anchor,answer_skeleton,source_growth_basis
CC0084_2025_东城_二模_19,2025年 东城 二模 第19题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A2_人身权与人格权,有：A9_消费者权益与经营者义务;A4_合同,B1_表格/裁判要点/补链,B1_表格/裁判要点/补链,阅读材料，完成下表。,先定A2_人身权与人格权，再按B1_表格/裁判要点/补链作答；v12.2路径：形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,经营者为13周岁未成年人进行大面积文身 → 违反守法和公序良俗，损害未成年人身心利益 → 退费赔偿并保护未成年人健康成长；自媒体无事实依据贬损企业“无赖”“强盗”等 → 侵害名誉/商誉，违反诚信原则 → 公开道歉、赔偿损失，维护良性竞争秩序；平台用预设服务条款预扣房款，消费者不知情且未入住 → 格式条款排除消费者主要权利、违反公平 → 退还房款并规范平台经营,案件一写未成年人保护和公序良俗。 / 案件二写无事实依据贬损造成商誉损害，承担道歉赔偿责任。 / 案件三写格式条款和消费者知情、公平交易，平台不能用提示不清条款强扣款。,案件一写未成年人保护和公序良俗。 / 案件二写无事实依据贬损造成商誉损害，承担道歉赔偿责任。 / 案件三写格式条款和消费者知情、公平交易，平台不能用提示不清条款强扣款。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0305_2026_海淀_一模_18_3,2026年 海淀 一模 第18题,PASS_RECOVERED_FORMAL_BUT_ASK_TEXT_PARTIAL,not_in_round03_source_check,covered_by_prior_locked_core,A2_人身权与人格权,有：A9_消费者权益与经营者义务,B3_诉求/请求能否支持,B3_诉求/请求能否支持,围绕消费者诉求能否支持，分别判断隐私权侵害与消费者欺诈责任。,先定A2_人身权与人格权，再按B3_诉求/请求能否支持作答；v12.2路径：诉求对象 -> 权利基础 -> 法律要件 -> 支持/不支持及理由。,包间监控和聊天信息公开 → 隐私权受侵害 → 经营者应承担侵权责任；虚假宣传治疗功效 → 消费者知情权受损 → 构成欺诈或虚假宣传；消费者诉求 → 权利侵害和欺诈事实并存 → 可支持停止侵害、赔偿和惩罚性赔偿等请求,先分两条链：隐私权侵害链和消费者欺诈链。 / 隐私链写监控、公开信息和侵权责任。 / 消费链写虚假宣传、知情权和惩罚性赔偿条件。,先分两条链：隐私权侵害链和消费者欺诈链。 / 隐私链写监控、公开信息和侵权责任。 / 消费链写虚假宣传、知情权和惩罚性赔偿条件。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0150_2025_朝阳_二模_20,2025年 朝阳 二模 第20题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A2_人身权与人格权,有：A3_物权与相邻关系,B4_评析/认识/观点,B4_评析/认识/观点,"结合材料,运用《法律与生活》知识,分析上述案例。",先定A2_人身权与人格权，再按B4_评析/认识/观点作答；v12.2路径：观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,材料中的具体权利受侵害 → 先叫准权利名 → 才能写责任；侵害行为造成损害 → 按侵权责任判断 → 停止侵害、赔偿、道歉等责任方式；法院结合案情处理 → 法律保护权利也划清行为边界 → 引导依法维权,先根据案情锁定具体权利。 / 再把侵害行为和损害结果对应起来。 / 最后写责任方式和依法保护权利的意义。,先根据案情锁定具体权利。 / 再把侵害行为和损害结果对应起来。 / 最后写责任方式和依法保护权利的意义。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0332_2026_石景山_二模_19,2026年 石景山 二模 第19题,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core,A2_人身权与人格权,边界：公法/未成年人保护，不计入A10；保留A2主轴,B4_评析/认识/观点,B4_评析/认识/观点,结合材料，运用《法律与生活》知识，谈谈对未成年人校园欺凌违法行为“惩”“教”并行的认识。,先定A2_人身权与人格权，再按B4_评析/认识/观点作答；v12.2路径：观点/做法 -> 法律关系和制度背景 -> 判断边界 -> 规范评价。,校园欺凌纳入法律规制 → 未成年人违法也要承担相应责任 → 惩戒维护秩序和受害人权益；未成年人行政拘留规则 → 处理要符合法定年龄和保护原则 → 不能只严惩；监护和教育矫治 → 家庭、学校、社会共同教育 → 惩教并行保护未成年人健康成长,先写校园欺凌是违法行为，需要依法惩戒。 / 再写未成年人保护要求教育矫治并重，不能只罚不教。 / 最后写惩教并行既保护受害人，也帮助未成年人回归正轨。,先写校园欺凌是违法行为，需要依法惩戒。 / 再写未成年人保护要求教育矫治并重，不能只罚不教。 / 最后写惩教并行既保护受害人，也帮助未成年人回归正轨。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0364_2026_通州_期中_19_1,2026年 通州 期中 第19题,PASS,formal_locked_with_id_alias,KEEP_CORE_WITH_ALIAS_NOTE,A3_物权与相邻关系,有：A1_民事法律关系总论（同意、公示、审批合法性支撑裁判；不计入A10）,B2_判决/裁判/责任理由,B2_判决/裁判/责任理由,结合材料，运用《法律与生活》知识，分析判决结果并说明理由。,先定A3_物权与相邻关系，再按B2_判决/裁判/责任理由作答；v12.2路径：裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,2单元全体业主一致同意、已公示且取得审批 → 加装电梯程序具有合法基础 → 不是少数业主私自施工；法院现场勘查确认全玻璃设计未影响采光 → 范某主张缺乏事实依据 → 阻碍施工不应支持；民法典相邻关系要求便利、合理、减少损害 → 范某应停止妨害；如日后确有较大影响，可另行协商或依法解决,先写加装电梯已获同意、公示和审批，程序合法。 / 再写现场勘查显示未影响采光，范某阻碍没有事实依据。 / 最后写相邻关系应方便生活、公平合理，判令停止妨害，同时保留后续补偿或法律途径。,先写加装电梯已获同意、公示和审批，程序合法。 / 再写现场勘查显示未影响采光，范某阻碍没有事实依据。 / 最后写相邻关系应方便生活、公平合理，判令停止妨害，同时保留后续补偿或法律途径。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0340_2026_西城_一模_17,2026年 西城 一模 第17题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A3_物权与相邻关系,有：A6_侵权责任,B5_意义/价值/保护/推动,B5_意义/价值/保护/推动,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,先定A3_物权与相邻关系，再按B5_意义/价值/保护/推动作答；v12.2路径：法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,业主遵守规约保护环境 → 物权行使受绿色原则和共同生活规则约束 → 个人权利不能损害公共环境；业委会请求停止侵害 → 民事主体可依法维护共有利益 → 责任方式服务环境保护；恢复原状 → 物权责任落到实际修复 → 推动绿色发展有具体民事路径,先写物权编规定民事主体行使物权应兼顾绿色原则和公共利益。 / 再结合业主规约、停止侵害、恢复原状说明规则如何约束行为。 / 最后写这些规定把绿色发展落实到日常民事生活。,先写物权编规定民事主体行使物权应兼顾绿色原则和公共利益。 / 再结合业主规约、停止侵害、恢复原状说明规则如何约束行为。 / 最后写这些规定把绿色发展落实到日常民事生活。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0092_2025_东城_期末_19_1,2025年 东城 期末 第19题,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core,A3_物权与相邻关系,有：A10_多元纠纷解决与诉讼程序,B6_调解/维权/纠纷解决路径,B7_法律问题识别/填空,遇到的法律问题：____、____。,v14校正：先定A3_物权与相邻关系，再按B7_法律问题识别/填空作答；以本题材料触发、设问动作和评分锚点为准。,公共区域设置电池充电柜 → 改变共有部分用途或利用共有部分经营 → 需要符合法定程序和业主共同决定规则；电动自行车集中充电 → 消防安全与人身财产安全 → 设施须符合消防规定并防范侵权风险；居民担心绿地、通行、采光受影响 → 业主共有权和相邻权 → 方案不能损害其他居民合法权益,先写本题要找法律问题，不是直接出治理口号。 / 再从共有部分用途、消防安全、人身财产安全和相邻权中选具体问题。 / 最后说明解决分歧要在合法程序和权利边界内协商。,先写本题要找法律问题，不是直接出治理口号。 / 再从共有部分用途、消防安全、人身财产安全和相邻权中选具体问题。 / 最后说明解决分歧要在合法程序和权利边界内协商。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0189_2025_石景山_一模_20,2025年 石景山 一模 第20题,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core,A4_合同,有：A5_知识产权与竞争秩序,B1_表格/裁判要点/补链,B1_表格/裁判要点/补链,阅读材料，参考示例，完成下表。,先定A4_合同，再按B1_表格/裁判要点/补链作答；v12.2路径：形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,研发委托合同约定标准和期限，阶段产品不达标且进度超期 → 不履行或履行不符合约定构成违约 → 返还服务费并支付违约金；“超好省”与“好省”名称图标相近、业务相同，造成混淆 → 构成不正当竞争 → 停止侵权并赔偿损失；集成电路和软件均指向新质生产力 → 合同规则和竞争规则保护创新投入 → 维护市场秩序、营造创新环境,案例一按合同违约写：有约定、未达标、超期、担责。 / 案例二按不正当竞争写：近似标识、业务相同、混淆、担责。 / 最后把规则作用落到守约研发、公平竞争和新质生产力。,案例一按合同违约写：有约定、未达标、超期、担责。 / 案例二按不正当竞争写：近似标识、业务相同、混淆、担责。 / 最后把规则作用落到守约研发、公平竞争和新质生产力。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0054_2024_石景山_一模_17,2024年 石景山 一模 第17题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A4_合同,有：A1_民事法律关系总论,B2_判决/裁判/责任理由,B2_判决/裁判/责任理由,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,先定A4_合同，再按B2_判决/裁判/责任理由作答；v12.2路径：裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,报价内容具体明确 → 构成要约 → 具备合同成立的意思表示基础；中标通知送达 → 承诺生效 → 甲乙之间合同成立；拒不履行 → 违反全面履行和诚信原则 → 应承担违约责任并服务绿色交易秩序,先写报价具体明确构成要约，中标通知到达构成承诺，合同成立。 / 再写合同成立后双方应全面履行、遵循诚信原则，拒不履行应担责。 / 最后从碳排放配额交易看，判决维护交易安全，也服务绿色发展。,先写报价具体明确构成要约，中标通知到达构成承诺，合同成立。 / 再写合同成立后双方应全面履行、遵循诚信原则，拒不履行应担责。 / 最后从碳排放配额交易看，判决维护交易安全，也服务绿色发展。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0244_2026_东城_期中_18,2026年 东城 期中 第18题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A4_合同,有：A6_侵权责任,B2_判决/裁判/责任理由,B2_判决/裁判/责任理由,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,先定A4_合同，再按B2_判决/裁判/责任理由作答；Round05补丁：设问要求分析法律责任及法律依据，不能按泛评析处理。,邮件购买、报价、转账 → 要约承诺达成一致，买卖合同成立并生效 → 双方受合同约束；刘某交付内部结构损伤展示机 → 履行不符合约定，违反全面履行和诚信履行义务 → 承担违约责任；无人机因损伤坠毁砸伤陈某 → 瑕疵交付与人身损害有因果关系 → 医疗费等合理损失可请求赔偿；用于重要商业拍摄已告知，损失有证据且可预见 → 商业收入损失可主张，否则需进一步证明；协商未果且要维权 → 保存邮件、转账、检测、现场、医疗、商业合同等证据 → 可协商、调解、仲裁或诉讼并提出明确请求,合同成立并有效。 / 刘某交付瑕疵展示机，违反全面履行和诚信履行义务，承担违约责任。 / 无人机瑕疵与陈某受伤、财产损失存在因果关系，合理损失可赔偿。 / 商业拍摄损失需证明用途已告知、损失真实、因果关系和可预见性。 / 维权准备写证据、路径和明确请求。,陈某与刘某通过邮件报价和转账形成买卖合同，合同成立并生效。 / 刘某未交付全新原装无人机，而误寄内部损伤展示机，构成违约，应承担继续履行、退换、赔偿等违约责任。 / 该损伤导致无人机坠毁并砸伤陈某，刘某还应就医疗费等与损害有因果关系的合理损失承担赔偿责任。 / 5000 元商业拍摄损失能否支持，要看陈某已告知商业用途、损失证据、因果关系和可预见性。 / 维权时应保存邮件、转账记录、商品检测、坠毁现场、医疗票据、商业拍摄合同和收入损失证据，选择协商、调解或诉讼并明确请求。,locked_core_row_material_trigger_prompt_action_rubric_anchor
