rule_no,rule_text,evidence_status,evidence_question_ids,evidence_basis,sample_material_signals,sample_scoring_anchors,origin
1,B1 表格题看不见表头时，默认三列写：材料事实 -> 法律规则 -> 裁判要点/意义。,source_backed,CC0084_2025_东城_二模_19;CC0189_2025_石景山_一模_20;CC0137_2025_昌平_二模_20;CC0157_2025_朝阳_期末_20;CC0180_2025_海淀_期末_20;CC0213_2025_门头沟_一模_20;CC0214_2025_门头沟_一模_20_2;CC0077_2025_东城_一模_19;CC0325_2026_石景山_一模_18,B1 表格题设问和本地学生漏表头失败,经营者为13周岁未成年人进行大面积文身 → 违反守法和公序良俗，损害未成年人身心利益 → 退费赔偿并保护未成年人健康成长；自媒体无事实依据贬损企业“无赖”“强盗”等 → 侵害名誉/商誉，违反诚信原则 → 公开道歉、赔偿损失，维护良性竞... | 研发委托合同约定标准和期限，阶段产品不达标且进度超期 → 不履行或履行不符合约定构成违约 → 返还服务费并支付违约金；“超好省”与“好省”名称图标相近、业务相同，造成混淆 → 构成不正当竞争 → 停止侵权并赔偿损失；集成电路和软件均指... | AI 不能成为著作权主体，但李某使用 AI 形成具备智力成果和独创性的图片 → 受著作权法保护 → AI 格先判主体与作品保护；刘某未经许可使用并抹去水印 → 侵犯信息网络传播权/署名权 → 应承担侵权责任；小王真实意思表示申请信用卡... | 丁公司变换IP、伪造浏览器标识抓取“拥堵延时指数”并商业化使用 → 违反反不正当竞争法、损害数据产品权益和市场秩序 → 停止使用、消除影响、赔偿损失；旅游公司工作人员过度摇晃桥面致游客摔伤 → 未尽安全保障义务，行为与损害有因果关系...,案件一写未成年人保护和公序良俗。 / 案件二写无事实依据贬损造成商誉损害，承担道歉赔偿责任。 / 案件三写格式条款和消费者知情、公平交易，平台不能用提示不清条款强扣款。 | 案例一按合同违约写：有约定、未达标、超期、担责。 / 案例二按不正当竞争写：近似标识、业务相同、混淆、担责。 / 最后把规则作用落到守约研发、公平竞争和新质生产力。 | AI 格：AI 不是著作权主体，但李某使用 AI 形成的独创性智力成果受保护；刘某未经许可使用并抹水印，侵犯著作权，应担责。 / 信用卡格：双方信用卡领用合约合法有效，小王透支后未按约还款，违反诚信和全面履行原则，应承担违约责任。 /... | 案件二按“不正当手段抓取数据—不正当竞争—停止侵害赔偿”写。 / 案件三按“安全保障义务—过错和因果—侵权/违约责任”写。 / 如果写责任范围，要记得游客自身注意义务可能影响分担。,source_rows_plus_confucius_repair
2,技术秘密题必须写：秘密性 -> 价值性 -> 保密措施 -> 不正当获取使用 -> 责任。,source_backed,CC0103_2025_丰台_一模_19,技术秘密题评分锚点要求先补秘密性、价值性、保密措施,核心人员离职后使用原单位技术秘密 → 技术秘密受法律保护 → 不正当获取使用应担责；申请实用新型专利并投入竞争 → 侵害权利并破坏公平竞争 → 提高侵权成本才有震慑；法院适用惩罚性赔偿 → 加强知识产权司法保护 → 激励真创新、保护新...,技术秘密受保护须有秘密性、价值性和保密措施。 / 离职人员及被告方不正当使用原单位技术信息申请专利，侵害技术秘密和创新投入。 / 高额惩罚性赔偿、停止侵害等责任提高侵权成本，保护科技创新和公平竞争。,source_row_plus_confucius_repair
3,数据抓取题必须写：合法投入形成数据产品 -> 绕过限制抓取 -> 商业化使用 -> 损害竞争秩序。,source_backed,CC0157_2025_朝阳_期末_20,数据抓取题评分锚点要求写合法投入、绕限制抓取、商业化利用、竞争秩序损害,丁公司变换IP、伪造浏览器标识抓取“拥堵延时指数”并商业化使用 → 违反反不正当竞争法、损害数据产品权益和市场秩序 → 停止使用、消除影响、赔偿损失；旅游公司工作人员过度摇晃桥面致游客摔伤 → 未尽安全保障义务，行为与损害有因果关系...,案件二按“不正当手段抓取数据—不正当竞争—停止侵害赔偿”写。 / 案件三按“安全保障义务—过错和因果—侵权/违约责任”写。 / 如果写责任范围，要记得游客自身注意义务可能影响分担。,source_row_plus_confucius_repair
4,在职管理人员违规履职归入 A8 边界：岗位职责 -> 诚信审慎义务 -> 违规行为 -> 单位损失 -> 相应责任。,source_backed,CC0238_2026_东城_二模_19,多主体竞争与内部履职责任题暴露主体分链要求,乙公司行为 → 分析是否构成不正当竞争/商业诋毁/扰乱公平竞争秩序 → 应承担法律责任，依法诚信经营；张某行为 → 分析是否违反劳动纪律、职业道德或相关义务 → 应遵守劳动纪律和诚信要求；法治是最好的营商环境 → 价值只能从前面规则推...,乙公司捏造事实贬损竞争对手，写不正当竞争/商业诋毁和公平竞争秩序。 / 乙公司管理混乱导致项目延期，写合同履行责任。 / 张某未经查证违规签约，写岗位职责、诚信审慎义务和相应责任。 / 价值只能从规范竞争和营商环境推出。,source_row_plus_confucius_repair
5,A4+A6 商品致损题固定顺序：合同违约 -> 人身/财产损害 -> 因果关系 -> 赔偿范围。,source_backed,CC0244_2026_东城_期中_18,瑕疵商品致损题要求先合同违约、再侵权损害、再证据路径,邮件购买、报价、转账 → 要约承诺达成一致，买卖合同成立并生效 → 双方受合同约束；刘某交付内部结构损伤展示机 → 履行不符合约定，违反全面履行和诚信履行义务 → 承担违约责任；无人机因损伤坠毁砸伤陈某 → 瑕疵交付与人身损害有因果关...,合同成立并有效。 / 刘某交付瑕疵展示机，违反全面履行和诚信履行义务，承担违约责任。 / 无人机瑕疵与陈某受伤、财产损失存在因果关系，合理损失可赔偿。 / 商业拍摄损失需证明用途已告知、损失真实、因果关系和可预见性。 / 维权准备写证...,source_row_plus_confucius_repair
6,商业损失只有在用途已告知、有证据、有因果、可预见时才直接支持；证据不足时写需证明。,source_backed,CC0244_2026_东城_期中_18,瑕疵商品致损题要求先合同违约、再侵权损害、再证据路径,邮件购买、报价、转账 → 要约承诺达成一致，买卖合同成立并生效 → 双方受合同约束；刘某交付内部结构损伤展示机 → 履行不符合约定，违反全面履行和诚信履行义务 → 承担违约责任；无人机因损伤坠毁砸伤陈某 → 瑕疵交付与人身损害有因果关...,合同成立并有效。 / 刘某交付瑕疵展示机，违反全面履行和诚信履行义务，承担违约责任。 / 无人机瑕疵与陈某受伤、财产损失存在因果关系，合理损失可赔偿。 / 商业拍摄损失需证明用途已告知、损失真实、因果关系和可预见性。 / 维权准备写证...,source_row_plus_confucius_repair
7,B2+B6 混合题先写责任，再写证据、路径、请求。,source_backed,CC0244_2026_东城_期中_18,瑕疵商品致损题要求先合同违约、再侵权损害、再证据路径,邮件购买、报价、转账 → 要约承诺达成一致，买卖合同成立并生效 → 双方受合同约束；刘某交付内部结构损伤展示机 → 履行不符合约定，违反全面履行和诚信履行义务 → 承担违约责任；无人机因损伤坠毁砸伤陈某 → 瑕疵交付与人身损害有因果关...,合同成立并有效。 / 刘某交付瑕疵展示机，违反全面履行和诚信履行义务，承担违约责任。 / 无人机瑕疵与陈某受伤、财产损失存在因果关系，合理损失可赔偿。 / 商业拍摄损失需证明用途已告知、损失真实、因果关系和可预见性。 / 维权准备写证...,source_row_plus_confucius_repair
8,劳动关系意义题按：表达诉求 -> 保护权益 -> 规范用工 -> 减少争议 -> 稳定生产。,source_backed,CC0195_2025_西城_一模_20,集体协商意义题评分锚点同时要求法律公平和经济效率,工会指导企业开展集体协商并签订集体合同 → 通过法定协商机制表达劳动者诉求 → 保护劳动者合法权益、促进社会公平；工资调整、加班工资、劳动定额、工资支付办法进入协商议题 → 明确劳动报酬和劳动条件 → 减少劳动争议，规范企业用工；企业...,表达诉求、保护权益、规范用工、减少争议、稳定生产。 / 必须同时写社会公平和经济效率，不能只写劳动权益保护。 / 要把工资、加班、劳动定额、工资支付办法等材料信号带入答案。,source_row_plus_confucius_repair
9,一个题多主体时，必须写成一个主体一条链，禁止糊成一段。,source_backed,CC0238_2026_东城_二模_19,多主体竞争与内部履职责任题暴露主体分链要求,乙公司行为 → 分析是否构成不正当竞争/商业诋毁/扰乱公平竞争秩序 → 应承担法律责任，依法诚信经营；张某行为 → 分析是否违反劳动纪律、职业道德或相关义务 → 应遵守劳动纪律和诚信要求；法治是最好的营商环境 → 价值只能从前面规则推...,乙公司捏造事实贬损竞争对手，写不正当竞争/商业诋毁和公平竞争秩序。 / 乙公司管理混乱导致项目延期，写合同履行责任。 / 张某未经查证违规签约，写岗位职责、诚信审慎义务和相应责任。 / 价值只能从规范竞争和营商环境推出。,source_row_plus_confucius_repair
10,所有 B5 价值题必须先写材料中的具体制度或行为，再写保护对象和秩序价值。,source_backed,CC0340_2026_西城_一模_17;CC0019_2024_朝阳_一模_19;CC0103_2025_丰台_一模_19;CC0131_2025_房山_一模_19;CC0229_2026_东城_一模_18;CC0283_2026_朝阳_一模_18;CC0011_2024_丰台_二模_17;CC0045_2024_海淀_二模_19;CC0181_2025_海淀_期末_21;CC0195_2025_西城_一模_20;CC0063_2024_西城_二模_16,所有 B5 意义题都要求从材料中的制度或行为推出价值,业主遵守规约保护环境 → 物权行使受绿色原则和共同生活规则约束 → 个人权利不能损害公共环境；业委会请求停止侵害 → 民事主体可依法维护共有利益 → 责任方式服务环境保护；恢复原状 → 物权责任落到实际修复 → 推动绿色发展有具体民事路径 | B公司收货后长期拖欠货款 → 合同当事人应按约全面履行、遵循诚信原则 → 规范民事主体行为，维护守约方合法权益；法院判令支付欠款和违约金 → 司法可依据诚信原则定分止争 → 维护公平正义和诚信市场秩序；“码上诚信”公开商户信用信息、消... | 核心人员离职后使用原单位技术秘密 → 技术秘密受法律保护 → 不正当获取使用应担责；申请实用新型专利并投入竞争 → 侵害权利并破坏公平竞争 → 提高侵权成本才有震慑；法院适用惩罚性赔偿 → 加强知识产权司法保护 → 激励真创新、保护新... | 离职人员利用原单位技术秘密 → 技术秘密受反不正当竞争保护 → 不正当获取使用应承担责任；无合法技术来源却短期推出车型 → 破坏公平竞争和创新秩序 → 侵权成本必须提高；法院适用2倍惩罚性赔偿 → 严格保护真创新 → 让侵权者付出足够代价,先写物权编规定民事主体行使物权应兼顾绿色原则和公共利益。 / 再结合业主规约、停止侵害、恢复原状说明规则如何约束行为。 / 最后写这些规定把绿色发展落实到日常民事生活。 | 先写民法典诚信原则是社会主义市场经济中民事活动的重要规则。 / 再用合同拖欠货款说明诚信原则约束合同履行、保护守约方。 / 最后用码上诚信说明经营者诚信经营能保护消费者权益、维护健康市场秩序。 | 技术秘密受保护须有秘密性、价值性和保密措施。 / 离职人员及被告方不正当使用原单位技术信息申请专利，侵害技术秘密和创新投入。 / 高额惩罚性赔偿、停止侵害等责任提高侵权成本，保护科技创新和公平竞争。 | 先写技术秘密和知识产权应受法律保护。 / 再结合离职人员、技术信息、无合法来源说明B集团构成不正当竞争。 / 最后写惩罚性赔偿提高侵权成本，维护公平竞争，激励真创新。,source_rows_plus_confucius_repair
