district,question,current_decision,evidence_level,source_position,reason,next_action
2026海淀二模,Q20(2),已纳入主链,讲评/参考答案,BATCH_014 第8-10等行,明确限定当代国际政治与经济并有全球发展倡议评分角度,保持
2026西城二模,Q19(1),已纳入主链,评标,BATCH_014 第15-17等行,全球数据治理逻辑题含全球化趋势和共商共建共享等评分点,保持
2026朝阳二模,Q20(2),已纳入主链,评分细则,BATCH_014 第22-24等行,人类命运共同体维护和平与发展题含共同利益合作共赢中国方案,保持
2026石景山二模,Q18,已纳入主链,评分细则,BATCH_014 第32-34等行,中国与东盟经贸合作题含国家利益经济全球化共同利益人类命运共同体,保持
2026房山二模,Q20,已纳入主链,评分细则,BATCH_014 第39-41等行,世界数据组织题含共同利益普惠包容经济全球化世界多极化共商共建共享,保持
2026东城二模,Q20(3),已纳入主链,评分细则,BATCH_014 第56-86行,购在中国与投资中国协同释放开放红利为明确选必一题,保持
2026西城二模,Q19(2),已纳入主链,评标,BATCH_014 第126-128等行,释放数据价值建议题含主权平等开放合作包容普惠安全保障等,保持
2026朝阳二模,Q20(1),已纳入主链,评分细则,BATCH_014 第136-145行,威斯特伐利亚体系与人类命运共同体对比题含共商共建共享合作共赢,保持
2026顺义二模,Q20,未纳入-必须补录,评标/参考答案,2026顺义二模__26顺义二模评标.doc.txt 第86-105行,新下载材料证明有评分角度和答案示例,新建BATCH_015并跑完整四线审核
2026丰台二模,Q22,未纳入-重点补录候选,阅卷细则PPT/讲分材料,2026丰台二模__细则__2026丰台区二模主观题阅卷细则(1).pptx.txt 约第1130/1142/1146/1235/1268/1285行,综合题中出现国际竞争实质关键核心技术自主可控国家安全独立自主自力更生等选必一迁移点,做源包后由GPTPro和ClaudeOpus判定入链方式
2026房山二模,Q21,未纳入-低优先复核候选,正式评标中的综合题可选点,2026房山二模__细则__26房山评标.docx.txt 第80/90行,综合题可选角度含统筹国内国际两个大局高水平对外开放推动建设新型国际关系构建人类命运共同体,人工和模型复核是否进跨书附录或补录
2026丰台二模,Q20,未纳入-降级参考答案候选,正式参考答案,2026丰台二模__细则__高三政治答案.docx.txt 第13-14行,有选必一参考答案但无逐点评分细则,暂不进严格主表
2026东城二模,Q16-Q19/Q20(1)/Q20(2)/Q21,暂不纳入,排除复核,试卷和细则文本,未发现同等级选必一主观题评分点,保持排除
2026朝阳二模,Q16-Q19/Q21,暂不纳入,排除复核,试卷和细则文本,当前明确选必一题为Q20(1)(2),保持排除
2026海淀二模,Q16-Q19/Q20(1)/Q21,暂不纳入,排除复核,试卷和细则文本,Q20(1)为逻辑三段论且Q20(2)已纳入其余未见严格选必一评分点,保持排除
2026石景山二模,Q18之外主观题,暂不纳入,排除复核,试卷和细则文本,Q18已纳入其他题未见同等级选必一评分细则,保持排除
2026西城二模,Q19之外主观题,暂不纳入,排除复核,试卷和细则文本,Q19(1)(2)已纳入其他题暂不属于选必一严格主链,保持排除
2026顺义二模,Q16/Q17/Q18/Q21,暂不纳入,排除复核,顺义评标文本,除Q20外其他题偏哲学文化政治法治逻辑或综合题,保持排除
2026丰台二模,Q16-Q19/Q21,暂不纳入,排除复核,丰台答案和阅卷PPT文本,未发现严格选必一评分点,保持排除
2026房山二模,Q16-Q19,暂不纳入,排除复核,房山评标文本,Q20已纳入且Q21另列复核候选其余未见选必一严格评分点,保持排除
