observation_id,plain_observation,question_ids,rubric_atom_ids,material_atom_ids,ask_type,evidence_type,evidence_level,what_student_must_judge,material_trigger,legal_knowledge_or_rule_triggered,rubric_reward,knowledge_material_value_type,full_score_sentence_pattern,must_have_keywords,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,module_boundary_risk,transfer_potential,counterexamples,confidence,should_enter_codebook,reason,section,raw_heading,raw_notes
OBS_S01,"在选必二法律主观题里，""法律名称是否精确写出""被多份细则直接挂上""踩点 1 分""或""不给分""。简写、错写、错字、混合名称、用""按照法律""替代具体法律，均会被显性扣分。",CC0143_2025_朝阳_一模_19；CC0084_2025_东城_二模_19；CC0150_2025_朝阳_二模_20；CC0364_2026_通州_期中_19_1,R_CC0143_2025_朝阳_一模_19_09；R_CC0143_2025_朝阳_一模_19_17；R_CC0143_2025_朝阳_一模_19_19；R_CC0143_2025_朝阳_一模_19_21；R_CC0084_2025_东城_二模_19_07；R_CC0150_2025_朝阳_二模_20_05；R_CC0364_2026_通州_期中_19_1_01,M_CC0143_2025_朝阳_一模_19_01..11；M_CC0084_2025_东城_二模_19_01..13；M_CC0150_2025_朝阳_二模_20_01..06；M_CC0364_2026_通州_期中_19_1_01..16,原因 / 评析 / 说明 (跨设问类型),marking_report + marking_rubric,formal,"这道题涉及的具体法律部门名称（民法典 / 消费者权益保护法 / 劳动合同法 / 著作权法 ……）以及法律概念的全称（""限制民事行为能力人""""隐私权""等）。","材料中已给出法律名称（CC0143 材料就有""消费者权益保护法""原文）；或材料只给案情，由学生回到教材召唤法律名（CC0084 / CC0150）。",民法典、消费者权益保护法、劳动合同法、著作权法、民事行为能力制度、人格权（隐私权、健康权、身体权）。,"""必须有消费者法律字样,'保护法'等不给分""（R_CC0143_..._09）；""把限制民事行为能力人说成不完全/部分/半民事行为能力人，不得分""（R_CC0084_..._07）；""隐私权，如果字写错了，不给分。比如，侵、稳等""（R_CC0150_..._05）；""依据《中华人民共和国民法典》规定（1分，写按照法律不给分）""（R_CC0364_..._01）。",knowledge（主导）,"""根据《[具体法律全称]》规定，[精确法律概念全称]……""","完整法律名（如""消费者权益保护法""""民法典""），完整概念名（如""限制民事行为能力人""""隐私权""），避免简写",low,low,低 — 此规则只在确定为选必二法律题时触发,high — 在涉及具体法律和具体权利概念的所有民事/消费/劳动题中均反复出现,综合类题（如 CC0047、CC0070）不触发此规则；价值类总结句通常允许同义表达,high,yes,"4 道不同题、不同区、不同年份的 marking_rubric/marking_report 都把""原名精度""显式标价；这是判分机制的硬约束。",strong,"法律名称的""原名精度""是显性零分线，多题反复奖励",
OBS_S02,"多份细则显式规定：学生若用必修三政治术语（""全面依法治国基本要求""""党的领导""）、必修二经济术语（""营商环境""""幸福感获得感安全感""）来替代选必二法律语言，会被扣分或不给分。模块边界本身是判分机制的一部分。",CC0289_2026_朝阳_二模_18；CC0254_2026_丰台_二模_18；CC0103_2025_丰台_一模_19；CC0305_2026_海淀_一模_18,R_CC0289_2026_朝阳_二模_18_08；R_CC0254_2026_丰台_二模_18_04；R_CC0103_2025_丰台_一模_19_01；R_CC0305_2026_海淀_一模_18_06,M_CC0289_2026_朝阳_二模_18_01..06；M_CC0254_2026_丰台_二模_18_01..21；M_CC0103_2025_丰台_一模_19_01..04；M_CC0305_2026_海淀_一模_18_01..14,综合 / 评析 / 意义,marking_rubric,formal,"""我此刻在选必二《法律与生活》模块""——必须用民法/劳动法/消费者权益保护法话语，不能写成必修三法治建设的总框架，也不能写成""民生福祉""经济话语。","材料常包含让学生联想必修三的诱因（如""以法治力量""""法治社会""""人民法院""），但细则只在民法／消费法语言下给分。",民法典具体规则、消费者权益保护法具体规则、人格权与隐私权、相邻关系、违约 / 侵权责任。,"""答必修3/全面依法治国的基本要求--不赋分""（R_CC0289_..._08）；""模块错误，少部分作答写的哲学模块/政治与法治""（R_CC0254_..._04，作为学生问题被点名）；""出现的问题：……优化营商环境是错误表达""（R_CC0103_..._01）；""注意：写'满足人民的幸福感、获得感、安全感'不给分""（R_CC0305_..._06）。",knowledge+value（但价值表达必须挂回民法/民事主体语言）,"法律依据写到具体民事/消费/劳动法条 + 价值落到""民事主体合法权益／消费者合法权益／劳动者合法权益"" + 收口社会主义核心价值观（具体词）","民事主体 / 消费者 / 劳动者 / 经营者 / 用人单位（而非""公民""""人民""""双方""""市场主体""）","high — 学生最易写成空泛""法治中国""""民生福祉""",low,高 — 这是细则直接挂的零分线,"high — 凡是设问出现""运用《法律与生活》知识""或""运用法治知识""且材料含国家治理元素，都触发此风险","综合大题（如 CC0091）允许""法律与生活层面 + 政治与法治层面""双线作答，但仍要求各自层次内不串模块（R_CC0091_..._M17_05 vs _M17_06）。",high,yes,4 道题（朝阳/丰台/海淀 ×2024-2026）以marking_rubric形式显性规定模块越界扣分；这是判分机制最稳定的特征之一。,strong,跨模块词汇替换被显性零分；选必二答卷不能滑回必修三/经济/语文化套语,
OBS_S03,"在民事案件类主观题里，学生的第一步必须做出准确的法律定性（一般过错侵权 / 无过错侵权 / 过错推定 / 违约而非欺诈 / 限制民事行为能力人之合同效力 等）；多份细则把""定性错""显式标为""法理部分不给分""或""得不到要件分""。",CC0150_2025_朝阳_二模_20；CC0244_2026_东城_期中_18；CC0180_2025_海淀_期末_20；CC0254_2026_丰台_二模_18；CC0084_2025_东城_二模_19,R_CC0150_2025_朝阳_二模_20_05；R_CC0244_2026_东城_期中_18_05；R_CC0180_2025_海淀_期末_20_M17_06；R_CC0254_2026_丰台_二模_18_02；R_CC0084_2025_东城_二模_19_02；R_CC0084_2025_东城_二模_19_09,M_CC0150_2025_朝阳_二模_20_01..06；M_CC0244_2026_东城_期中_18_01..09；M_CC0180_2025_海淀_期末_20_01..04；M_CC0254_2026_丰台_二模_18_01..21；M_CC0084_2025_东城_二模_19_01..13,评析 / 说明 / 论证,marking_rubric + marking_report + lecture_explicit_scoring,formal,行为定性：合同效力 / 违约 / 侵权（一般过错 vs 无过错 vs 过错推定）vs 欺诈；主体身份：完全 / 限制 / 无民事行为能力人；责任承担方式：违约责任 / 侵权责任 / 惩罚性赔偿。,"CC0150 摄像头案 → 隐私权侵权；CC0244 无人机损伤案 → 违约+一般过错侵权，""不构成欺诈""；CC0180 烈性犬致害案 → 无过错侵权；CC0084 未成年人文身案 → 限制民事行为能力人合同+身体权侵权。",侵权责任要件（行为+损害+因果+过错）、无过错责任、过错推定、合同效力、限制民事行为能力。,"""必须是在侵权框架内才给分""（R_CC0150_..._05）；""注意：这道题不构成'欺诈'（意思表示不真实）""（R_CC0244_..._05）；""若通篇没有无过错侵权责任，不能得满分；把烈性犬案例写成过错推定，法理部分不给分""（R_CC0180_..._M17_06）；""分辨不清过错推定与无过错责任""被列为学生典型问题（R_CC0254_..._02）；""完全抄材料……不得要件的1分""（R_CC0084_..._09）。",knowledge+material,"""[当事人][行为]构成[精确定性 — 一般过错侵权 / 无过错侵权 / 违约 / 限制民事行为能力人合同效力欠缺]，[应当承担/不承担][具体责任]。""",侵权责任 / 违约责任 / 一般过错 / 无过错 / 过错推定 / 限制民事行为能力人 / 合同无效 / 撤销合同,low,mid — 学生有时会把简单致害案做成法考式多要件展开；但只要定性正确，要件分能拿稳,低,"high — 几乎所有""案例分析/评析行为""类题都触发","单纯""判决意义""类题（如 CC0103、CC0276）可以不做定性而直接展开价值层；但仍需要主体身份精确（见 OBS_S04）。",high,yes,"5 道题、跨年跨区的 rubric 显式把""定性错""标为零分或限分；这是命题/判分机制的高一致性特征。",strong,"满分句的入口动作是""行为/责任性质的定性""，定性错则""法理部分零分""",
OBS_S04,"判决/案例意义类细则里，""维护谁的合法权益""必须落到具体民事主体身份（消费者 / 经营者 / 劳动者 / 用人单位 / 原告 / 知识产权人）；写成""公民""""双方""""市场主体""被显性标为""错误表达""。",CC0103_2025_丰台_一模_19；CC0084_2025_东城_二模_19；CC0244_2026_东城_期中_18；CC0238_2026_东城_二模_19,R_CC0103_2025_丰台_一模_19_01；R_CC0084_2025_东城_二模_19_11；R_CC0244_2026_东城_期中_18_05；R_CC0238_2026_东城_二模_19_M17_01..06,M_CC0103_2025_丰台_一模_19_01..04；M_CC0084_2025_东城_二模_19_01..13；M_CC0244_2026_东城_期中_18_01..09；M_CC0238_2026_东城_二模_19_01..08,意义 / 评析,marking_rubric + marking_report,formal,案件涉及的具体民事主体身份对（消费者-经营者 / 劳动者-用人单位 / 知识产权人-侵权人 / 业主-相邻业主）。,材料显示有具体身份（如 CC0103 案件原告为知识产权权利人；CC0084 是消费者；CC0244 是销售者/购买者；CC0238 是同行竞争者）。,民法典民事主体制度、消费者权益保护法主体、劳动合同法主体、反不正当竞争法主体。,"""出现的问题：维护公民的合法权益、维护双方的合法权益、维护被告方的权益都是错误表达""（R_CC0103_..._01）；""没有围绕格式条款谈意义……还是在说保护'双方的权利''公民的权利'""（R_CC0084_..._11）；""对刘某（销售者）主张侵权（一般过错侵权）""（R_CC0244_..._05）。",material+knowledge,"""本案判决保护[具体身份：消费者/劳动者/知识产权权利人/原告……]的合法权益，[引导/规范/约束][相对方身份：经营者/用人单位/侵权人]……""",消费者 / 劳动者 / 经营者 / 用人单位 / 知识产权权利人 / 原告 / 民事主体,high — 这是空泛话语最易触发的失分点,low,低,"high — 几乎所有""判决意义""""典型意义""类题型均触发","当案件主体本身就是""双方平等的民事主体""（如普通侵权纠纷邻里之间），""双方权利义务的平衡""才可能得分（如 CC0251_..._01 表达为""平衡原被告双方的权利与义务""，但同时配了具体身份）。",high,yes,"4 道题显性把""身份替换错误""标为错误表达；marking_report 把它点名为学生典型问题。",strong,"主体身份精度独立计分；学生最常错写成""公民/双方/市场主体""",
OBS_S05,"民法典基本原则（诚信原则、公平原则、绿色原则、守法和公序良俗、平等原则、自愿原则）反复出现在三个位置：①法律依据层（""违反诚信原则""）、②结论层（""践行公平原则""）、③价值收尾（""弘扬诚信的社会主义核心价值观""）。它在多份细则里被同一道题在不同分点重复使用，是连接""法律规则""与""价值表达""的硬接口。",CC0019_2024_朝阳_一模_19；CC0011_2024_丰台_二模_17；CC0244_2026_东城_期中_18；CC0289_2026_朝阳_二模_18；CC0223_2025_顺义_一模_19；CC0364_2026_通州_期中_19_1；CC0084_2025_东城_二模_19；CC0283_2026_朝阳_一模_18,R_CC0019_2024_朝阳_一模_19_01；R_CC0011_2024_丰台_二模_17_01；R_CC0244_2026_东城_期中_18_05；R_CC0289_2026_朝阳_二模_18_05；R_CC0223_2025_顺义_一模_19_M17_03；R_CC0364_2026_通州_期中_19_1_01；R_CC0084_2025_东城_二模_19_10；R_CC0283_2026_朝阳_一模_18_04,M_CC0019_..._01..06；M_CC0011_..._01..10；M_CC0244_..._01..09；M_CC0289_..._01..06；M_CC0223_..._01..24；M_CC0364_..._01..16；M_CC0084_..._01..13；M_CC0283_..._01..09,说明 / 意义 / 论证 / 综合,marking_rubric + evaluation_standard + lecture_explicit_scoring,formal,案件最契合哪条民法基本原则（合同欺诈/违约 → 诚信、全面履行；环境污染 → 绿色；相邻 → 公平合理；格式条款 → 公平；不正当竞争 → 诚信 + 公平）。,"案件本身的法律冲突焦点；很多 rubric 显式给出""二选一/多选一/任选一""的原则列表。",民法典第3-9条基本原则。,"""诚信原则要求合同当事人按照约定全面履行义务""（R_CC0019_..._01，作必踩点）；""违反全面履行原则/诚信履行原则/民法诚信原则/民法公平原则（1分）""（R_CC0244_..._05）；""依据平等、公平、守法和公序良俗等民法原则（至少1个原则+民法典）--2分""（R_CC0289_..._05）；""格式条款……主要违反的是《民法典》中的公平原则，自愿强调的是当事人自主决定合同内容""（R_CC0084_..._10，反例订正学生混淆）。",knowledge+value（核心定位）,"""根据民法典[具体原则全称：诚信原则 / 公平原则 / 绿色原则 / 守法和公序良俗原则]，……[行为定性]……，体现/践行[同一价值的核心价值观词，如诚信、公平、和谐]。""","民法典 + [具体原则名]（不可只写""原则""或仅写""诚信""无""原则"")",mid — 必须把原则锚在案件事实上，不能只罗列原则,low,低,high — 8 道题不同年度跨区出现,"CC0084 明确告诫学生别把""格式条款""对应到""自愿原则""——原则与情境必须对得上，不可张冠李戴。",high,yes,"民法基本原则在 8+ 道题以重复模式承担""知识/材料/价值""三角形的中心位置；其作为判分锚的稳定性极高。",strong,"民法基本原则在""知识—价值""间起桥接作用；它既是法律知识也是价值表达",
OBS_S06,"""本案判决意义/典型案例意义/法律规定的现实意义""类设问，细则反复呈现一个三层结构：① 个案当事人合法权益保护（最具体）；② 行业/市场/劳动关系/邻里秩序层；③ 价值观/法治社会/中华传统美德层。三层各 1-3 分，每层都有可替换变式但都需具体落地。",CC0103_2025_丰台_一模_19；CC0131_2025_房山_一模_19；CC0143_2025_朝阳_一模_19；CC0181_2025_海淀_期末_21；CC0364_2026_通州_期中_19_1；CC0001_2024_丰台_一模_16；CC0251_2026_丰台_一模_20；CC0223_2025_顺义_一模_19,"R_CC0103_2025_丰台_一模_19_01；R_CC0131_2025_房山_一模_19_02..07；R_CC0143_2025_朝阳_一模_19_06,_10；R_CC0181_2025_海淀_期末_21_M17_01..03；R_CC0364_2026_通州_期中_19_1_01；R_CC0001_2024_丰台_一模_16_19,_21；R_CC0251_2026_丰台_一模_20_01；R_CC0223_2025_顺义_一模_19_M17_04..06",M_CC0103_..._01..04；M_CC0131_..._01..14；M_CC0143_..._01..11；M_CC0181_..._01..12；M_CC0364_..._01..16；M_CC0001_..._01..24；M_CC0251_..._01..24；M_CC0223_..._01..24,意义 / 说明 / 论证,marking_rubric + marking_report + lecture_explicit_scoring,formal,案件所在的行业/秩序层是什么（消费市场 / 知识产权 / 劳动关系 / 邻里 / 涉外法治 / 数字经济）；对应价值观锚点是什么（诚信 / 公平 / 和谐 / 友善 / 敬业）。,"材料的""行业/秩序""诱因（如""互联网法院涉在线文旅消费案件""→数字经济；""老旧小区加装电梯""→邻里和谐；""知识产权""→创新生态）。",民法典、消费者权益保护法、知识产权三法、劳动合同法、相邻权、《侵权责任编》司法解释。,"""企业层面：维护当事人合法权益……严惩侵权 / 对科技创新的意义：规范市场竞争秩序、营造公平的市场环境、鼓励创新 / 对司法领域的价值：典型案例 / 对法治国家而言……""（R_CC0103_..._01）；""判决意义3分 业主合法权益1分，其他共性意义两点2分（核心观、和谐邻里关系）""（R_CC0364_..._01）。",knowledge+material+value,"""判决一方面[第一层：保护具体身份当事人具体权益]，另一方面[第二层：规范具体行业/秩序]，并[第三层：弘扬具体价值观词（诚信/公平/友善/和谐）/ 推进法治中国建设]。""",维护…合法权益 + 规范/促进/营造…秩序/环境 + 弘扬/践行 [具体价值观词],"high — 第三层最易写成空话；细则要求""必须出具体词""（R_CC0077_..._12：仅出现""奉献""一个词不够；R_CC0131_..._07：必须出社会主义核心价值观具体词语）",low — 意义层不需要法考式要件展开,中 — 第三层与必修三接壤，必须用具体价值观词锚住,high — 这是选必二最常考的题型（约 1/3 题型属此）,"单纯""评析行为""型（CC0238、CC0289 第二问）不需要价值层；""任选其一谈如何保护权利""（CC0289）需要""依据+做法+救济""三层而非这三层。",high,yes,"8 道题（2024-2026 跨区）反复呈现同一三层赋分模式，且第三层""价值观必须出具体词""被细则点名。",strong,判决/案例意义类细则普遍采用三层赋分：[当事人/案件个体层]+[行业/秩序层]+[价值观/社会层],
OBS_S07,"涉及""建议、措施、维权方式""类设问，细则要求落到具体的程序救济（和解 / 调解 / 仲裁 / 诉讼）和具体的责任承担方式（停止侵害 / 排除妨碍 / 赔礼道歉 / 赔偿损失 / 清除信息）；只写抽象""承担侵权责任""""走法律途径""""通过法律手段""会被显性扣分。",CC0150_2025_朝阳_二模_20；CC0289_2026_朝阳_二模_18；CC0245_2026_东城_期中_18_2,R_CC0150_2025_朝阳_二模_20_04；R_CC0150_2025_朝阳_二模_20_11；R_CC0289_2026_朝阳_二模_18_08；R_CC0245_2026_东城_期中_18_2_01,M_CC0150_2025_朝阳_二模_20_01..06；M_CC0289_2026_朝阳_二模_18_01..06；M_CC0245_2026_东城_期中_18_2_01..15,建议 / 综合,marking_rubric,formal,"这件事到底""做什么""才算救济（拆设备 ≠ 清除信息 ≠ 赔礼道歉 ≠ 走仲裁/诉讼）；其中哪几样是细则必出点。",案件已经发生侵权或纠纷，材料提示了证据/事实可固定。,民法典侵权责任承担方式（第179条）、纠纷解决机制（和解 / 调解 / 仲裁 / 诉讼）、证据保全、诉讼时效。,"""只写'更换/拆除设备'，或只写'清除云存储信息'，只给1分。只建议改用仅具备基础安防功能的设备，只给1分。只写出赔礼道歉，未写出具体措施，只给1分。只笼统写其他侵权责任承担方式，都不给分。""（R_CC0150_..._11）；""通过和解/调解/仲裁/诉讼等途径维权--1分；承担停止侵害/排除妨碍/赔礼道歉/赔偿损失/损害赔偿等侵权责任--1分""（R_CC0289_..._08）；""调解（例如第三方人民调解、行政调解、诉讼调解）或仲裁（仲裁需要双方达成有效的仲裁协议）……准备起诉状、原被告身份信息、注意诉讼三年时效""（R_CC0245_..._01）。",knowledge+material,"""[针对侵权/纠纷事实]，[当事人]可以：① 通过[具体程序：和解/调解/仲裁/诉讼]维权；② 要求对方承担[具体责任承担方式：停止侵害+排除妨碍+赔礼道歉+赔偿损失]；③ [固定证据/履行特定行为，如清除信息]。""",和解 / 调解 / 仲裁 / 诉讼；停止侵害 / 排除妨碍 / 赔礼道歉 / 赔偿损失；证据；诉讼时效,low,low,低,"mid-high — 出现在所有""措施/维权/调解员建议""类设问","""原因类""或""意义类""题不触发；纯""理由类""也不需要救济层。",high,yes,"3 道题（2025-2026，朝阳/东城）显性规定""笼统不给分、具体才给分""，细则对每一档分数列出可接受/不可接受短语。",strong,"措施类满分句必须给出""具体的法律行为""，不能停留在""承担侵权责任""等抽象类别",
OBS_S08,"选必二法律主观题的细则不是单一参考答案，而是包含一组""必出点 + 替换池 + 变通项 + N 选 K""显式规则。学生答案不需要逐字命中参考答案，只要命中""必出点""或""等价替换""就能拿分；但""替换""必须在细则给定的池子里。",CC0001_2024_丰台_一模_16；CC0051_2024_海淀_期中_21_1；CC0061_2024_西城_一模_18；CC0063_2024_西城_二模_16；CC0103_2025_丰台_一模_19；CC0137_2025_昌平_二模_20；CC0143_2025_朝阳_一模_19；CC0150_2025_朝阳_二模_20；CC0289_2026_朝阳_二模_18；CC0077_2025_东城_一模_19,"R_CC0001_..._07；R_CC0051_..._02,_03；R_CC0061_..._03；R_CC0063_..._01；R_CC0103_..._01；R_CC0137_..._07,_12,_13；R_CC0143_..._06,_10；R_CC0150_..._04,_11；R_CC0289_..._04,_05,_06,_08；R_CC0077_..._03",（跨10题，对应 M_CCxxxx_..._01..N）,跨多类型,marking_rubric + marking_report + evaluation_standard,formal,"我的表达是否落在某个""必出点""的替换池内；若我用了池外表达，是否构成与池等价的语义。",不依赖材料具体内容，是判分机制层面的规则。,无单一规则，覆盖所有教材法律概念。,"""替代促进治理能力、治理体系现代化""（R_CC0001_..._07）；""变通：敬老义务（责任） / 替换：满足老人的需求 / 变通：中华优秀传统文化""（R_CC0061_..._03）；""任选其一—1分""""3 选 1""""2 选 1""""5 选 2""""多选一""""二选一""""采意""（多处）。",元规则（meta）,"不存在单一满分句；存在""满分句族""——同一分点的可接受句式集合。","""必出点""关键词 + 任一池内等价词",mid — 学生若不研究池内边界，容易越池失分,low,低,very high — 这是判分机制的元结构,"部分极严格条目反向：""不替换……""，例如 R_CC0118_..._02 写""更好的发挥政府作用（1分），这1分不替换政府履行经济职能/政府宏观调控""——说明""哪一池可替换、哪一池不可替换""本身需要逐题学习。",very high,yes,"10+ 道题反复出现""替换/变通/N 选 K/采意""规则，是判分机制最稳定的元特征；任何后续框架若不内置此规则就会错指导学生。",strong,"变通规则系统化：每题细则普遍带""替换 / 可替换 / 变通 / 二选一 / 多选一 / 采意""显式池",
OBS_S09,"多份 marking_report 明确：""完全抄材料 → 不得要件分""""堆砌教材知识，没有问题意识 → 最多一半分""""不能用'侮辱诽谤'等词汇提炼……完全抄材料……不得要件分""。学生必须把材料里的生活语言转译为法律语言（如""在社交平台公开监控录像片段""→""侵犯隐私权""""刺探侵扰泄露公开""）才能拿分。",CC0084_2025_东城_二模_19；CC0143_2025_朝阳_一模_19；CC0150_2025_朝阳_二模_20,R_CC0084_2025_东城_二模_19_09；R_CC0143_2025_朝阳_一模_19_11；R_CC0143_2025_朝阳_一模_19_17；R_CC0150_2025_朝阳_二模_20_23；R_CC0150_2025_朝阳_二模_20_24,M_CC0084_..._01..13；M_CC0143_..._01..11；M_CC0150_..._01..06,评析 / 原因 / 说明,marking_report,formal,"""材料这句话用法律语言怎么说""——把""擅自搭售10元红包""翻译为""欺诈/侵犯知情权/构成意思表示不真实""；把""评价造成严重负面影响""翻译为""侵犯名誉权要件""。",任何含真实案件描述的材料。,"各部门法的""要件""语言。","""不能用'侮辱、诽谤'……完全抄材料……不得要件的1分""（R_CC0084_..._09）；""完全抄材料：'在没有事实依据的情况下…评价……'……不得要件""（同）；""提取信息……不能将条件写全……材料3个条件必须写全才得分""（R_CC0143_..._11）；""堆砌教材知识，没有问题意识，即使所有关键词答到，最多一半分4分""（R_CC0150_..._24）。",material+knowledge,"""[材料原句的法律翻译] + [对应法律要件名] + [责任结论]"" — 三段必须用法律术语完成",要件 / 行为 / 损害结果 / 因果关系 / 过错 / 意思表示真实 / 知情权 / 隐私权……,mid,low,低,high — 全部案情类主观题触发,价值层（OBS_S06 第三层）允许使用社会语言但需要价值观具体词。,high,yes,"3 道题 marking_report 显性指出""完全抄材料/堆砌教材""为典型失分原因，且都规定了显式上限。",strong,"抄材料原文不构成""材料分析""；材料事实必须先翻译成法律语言才得分",
OBS_S10,"一类涉及""裁判理由 + 典型案例意义""的复合设问，细则把""法理依据""和""现实意义""分成两块独立赋分。marking_report 显式批评学生""法理依据和现实意义揉在一起作答""。",CC0251_2026_丰台_一模_20；CC0254_2026_丰台_二模_18；CC0119_2025_丰台_期末_19；CC0364_2026_通州_期中_19_1；CC0001_2024_丰台_一模_16,R_CC0251_2026_丰台_一模_20_03；R_CC0254_2026_丰台_二模_18_01；R_CC0119_2025_丰台_期末_19_M17_01..07；R_CC0364_2026_通州_期中_19_1_01；R_CC0001_2024_丰台_一模_16_07,M_CC0251_..._01..24；M_CC0254_..._01..21；M_CC0119_..._01..13；M_CC0364_..._01..16；M_CC0001_..._01..24,论证 / 综合 / 意义,marking_rubric + marking_report + lecture_explicit_scoring,formal,"此题考的是""为什么这样判（法理依据：法律规则+要件适用）""，还是""这样判带来了什么（现实意义：当事人/秩序/价值）""，还是两者都考；并相应分两段写。","设问含""裁判理由 + 意义""或""法理依据 + 现实意义""双触发词。",部门法具体条款 + 案例意义层的价值观/秩序词。,"""模块基本运用准确，但法理依据和现实意义揉在一起作答，思路混乱""被列为学生问题（R_CC0251_..._03）；""答案未指向问题……从司法机关的权力到案件的法理依据写到现实意义""被列为学生问题（R_CC0254_..._01）；CC0119 的 M17_01–_M17_05 全部标""法理依据：…""，_M17_05–_M17_07 标""现实意义：…""（R_CC0119_..._M17_01..07）；CC0364 显式标""一、法理依据3分 / 二、事实分析2分 / 三、判决意义3分""（R_CC0364_..._01）。",knowledge+material+value,"""【法理依据】根据[法律全称]，[规则原文/要件]，[本案当事人]……→[责任结论]。【现实意义】判决保护[具体身份]合法权益，规范[行业秩序]，弘扬[具体价值观词]。""",根据民法典 / 法律依据 / 现实意义 / 维护…合法权益,mid,low,低,"high — 在""裁判理由+意义""复合设问中稳定出现","纯""裁判理由""题不需要意义层；纯""意义""题不需要要件适用。",high,yes,"4 道 formal 题显示分层赋分，1 道 marking_report 显示""揉在一起""为学生典型问题；规则稳定。",strong,法理依据 ⊕ 现实意义在多题被显式分层赋分，二者不可揉杂,
