observation_id,plain_observation,question_ids,rubric_atom_ids,material_atom_ids,ask_type,evidence_type,evidence_level,what_student_must_judge,material_trigger,legal_knowledge_or_rule_triggered,rubric_reward,knowledge_material_value_type,full_score_sentence_pattern,must_have_keywords,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,module_boundary_risk,transfer_potential,counterexamples,confidence,should_enter_codebook,reason
S01,典型判决意义题先奖励法理依据，再奖励现实意义；现实意义必须由案件中的规则适用推出，空写公平、和谐、核心价值观只能拿边缘分。,[CC0002_2024_丰台_一模_17],"[R_CC0002_2024_丰台_一模_17_M17_01, R_CC0002_2024_丰台_一模_17_M17_02, R_CC0002_2024_丰台_一模_17_M17_03, R_CC0002_2024_丰台_一模_17_M17_04, R_CC0002_2024_丰台_一模_17_M17_05, R_CC0002_2024_丰台_一模_17_M17_06]","[M_CC0002_2024_丰台_一模_17_01, M_CC0002_2024_丰台_一模_17_02, M_CC0002_2024_丰台_一模_17_03, M_CC0002_2024_丰台_一模_17_04, M_CC0002_2024_丰台_一模_17_08]",谈法理依据和现实意义,evaluation_standard,formal,先判断甲某与乙某是否形成好意同乘关系，乙某是否存在故意或重大过失，甲某未系安全带与损害之间是否影响责任分配。,民法典关于无偿搭乘人损害减轻赔偿责任；资料卡解释好意同乘；甲某未听提醒系安全带；雨天路滑发生事故；法院酌情减轻乙某责任。,好意同乘；侵权责任；以事实为依据，以法律为准绳；无偿搭乘情形下减轻赔偿责任。,法理依据 5 分中含必踩点、关系判断、减责条件与事实分析；现实意义 3 分分别奖励维护双方合法权益、保障公正司法、弘扬核心价值观或社会和谐等。,knowledge+material+value,本案中，甲某无偿搭乘乙某车辆，双方形成好意同乘关系。乙某虽造成甲某受伤，但未显示故意或重大过失，且甲某未按提醒系好安全带，法院依据民法典和案件事实酌情减轻乙某赔偿责任，有利于维护双方合法权益、保障公正司法并弘扬友善互助的价值导向。,"好意同乘, 民法典, 无偿搭乘, 减轻赔偿责任, 故意或重大过失, 事实为依据, 法律为准绳",高。只写公平正义、社会和谐，不写好意同乘和减责条件，无法覆盖法理依据分。,中。无需展开复杂交通事故责任比例和损害赔偿项目。,低。本题直接要求运用法律与生活知识，且材料给出民法典条文。,高。可迁移到判决理由加现实意义类题，但必须先有具体规则和事实触发。,CC0001_2024_丰台_一模_16 中 M_CC0001_2024_丰台_一模_16_01 至 M_CC0001_2024_丰台_一模_16_13 与 R_CC0001_2024_丰台_一模_16_01 至 R_CC0001_2024_丰台_一模_16_13 出现政治与法治内容混入，不能作为好意同乘强证据。,high,yes,细则明确拆分法理依据和现实意义，且每个得分点均能回扣材料事实和法律规则。
S02,平台用工题的最小判断是是否存在事实劳动关系；得分机制依赖人格从属性、经济从属性、组织从属性与材料事实一一对应，仅背三个名词分值很低。,[CC0025_2024_朝阳_二模_17],"[R_CC0025_2024_朝阳_二模_17_09, R_CC0025_2024_朝阳_二模_17_10, R_CC0025_2024_朝阳_二模_17_11, R_CC0025_2024_朝阳_二模_17_12, R_CC0025_2024_朝阳_二模_17_13, R_CC0025_2024_朝阳_二模_17_14, R_CC0025_2024_朝阳_二模_17_16]","[M_CC0025_2024_朝阳_二模_17_03, M_CC0025_2024_朝阳_二模_17_04, M_CC0025_2024_朝阳_二模_17_05, M_CC0025_2024_朝阳_二模_17_06, M_CC0025_2024_朝阳_二模_17_07, M_CC0025_2024_朝阳_二模_17_08, M_CC0025_2024_朝阳_二模_17_09, M_CC0025_2024_朝阳_二模_17_10, M_CC0025_2024_朝阳_二模_17_11, M_CC0025_2024_朝阳_二模_17_13, M_CC0025_2024_朝阳_二模_17_14]",说明裁决理由并分析典型案例意义,marking_report,formal,王某与甲公司之间是合作关系还是事实劳动关系。,平台派单、签到、订单跟踪、奖惩扣费、服务费和奖励金、以平台名义提供运输服务、仲裁支持经济补偿。,新就业形态劳动关系认定；人格从属性；经济从属性；组织从属性；劳动者权益保护。,三个从属性各 1 分，归纳劳动关系 1 分；仅写三个从属性而不结合材料只给 1 分；意义分奖励保障新就业形态劳动者权益和发展和谐稳定劳动关系。,knowledge+material+value,甲公司通过平台派单并依据制度奖惩王某，体现人格从属性；甲公司掌握订单数据并单方制定服务费和奖励金标准，体现经济从属性；王某每日签到、接受派单并以平台名义提供运输服务，体现组织从属性。因此双方存在事实劳动关系，仲裁支持经济补偿有利于保障新就业形态劳动者权益，发展和谐稳定劳动关系。,"人格从属性, 经济从属性, 组织从属性, 事实劳动关系, 平台派单, 奖惩制度, 劳动者权益",高。只写保护劳动者、促进公平而不判定劳动关系，理由分缺失。,中。不需要展开劳动关系认定的全部规范体系，只需围绕三个从属性和案情。,低。材料、设问和细则均集中于劳动关系认定。,高。适合迁移到平台经济、灵活用工、新就业形态劳动争议。,CC0168_2025_海淀_二模_20 中 M_CC0168_2025_海淀_二模_20_01 和 R_CC0168_2025_海淀_二模_20_01 指向共享发展或国际组织评价，不能迁移此劳动关系机制。,high,yes,阅卷报告直接指出理例结合和仅背术语的扣分边界，判分机制清楚。
S03,劳动合同解除类题先判断劳动者是否违反诚信、职业道德或劳动义务，再判断用人单位解除行为是否合法；现实意义围绕用工自主权、权利义务统一和劳动关系健康发展展开。,"[CC0119_2025_丰台_期末_19, CC0213_2025_门头沟_一模_20, CC0214_2025_门头沟_一模_20_2]","[R_CC0119_2025_丰台_期末_19_M17_02, R_CC0119_2025_丰台_期末_19_M17_03, R_CC0119_2025_丰台_期末_19_M17_04, R_CC0119_2025_丰台_期末_19_M17_05, R_CC0119_2025_丰台_期末_19_M17_06, R_CC0119_2025_丰台_期末_19_M17_07, R_CC0213_2025_门头沟_一模_20_M17_03, R_CC0213_2025_门头沟_一模_20_M17_04, R_CC0213_2025_门头沟_一模_20_M17_05, R_CC0213_2025_门头沟_一模_20_M17_06, R_CC0213_2025_门头沟_一模_20_M17_07, R_CC0213_2025_门头沟_一模_20_M17_08, R_CC0213_2025_门头沟_一模_20_M17_09, R_CC0214_2025_门头沟_一模_20_2_02, R_CC0214_2025_门头沟_一模_20_2_03, R_CC0214_2025_门头沟_一模_20_2_04, R_CC0214_2025_门头沟_一模_20_2_05]","[M_CC0119_2025_丰台_期末_19_01, M_CC0119_2025_丰台_期末_19_02, M_CC0119_2025_丰台_期末_19_03, M_CC0119_2025_丰台_期末_19_10, M_CC0119_2025_丰台_期末_19_11, M_CC0213_2025_门头沟_一模_20_11, M_CC0213_2025_门头沟_一模_20_12, M_CC0213_2025_门头沟_一模_20_13, M_CC0213_2025_门头沟_一模_20_14, M_CC0214_2025_门头沟_一模_20_2_02, M_CC0214_2025_门头沟_一模_20_2_03, M_CC0214_2025_门头沟_一模_20_2_04]",阐释裁判理由；完成裁判理由,lecture_explicit_scoring + evaluation_standard + marking_rubric,formal,劳动者是否履行劳动义务；简历或履职行为是否违反诚信；用人单位解除劳动合同是否符合法律规定。,无故旷工、消极怠工、多次提醒仍未改变；简历隐瞒大量工作经历；签订劳动合同、试用期辞退、请求支付违法解除赔偿金。,劳动者完成劳动任务、遵守劳动纪律和职业道德；劳动合同订立诚信原则；欺诈导致劳动合同无效或部分无效；合法解除劳动关系。,规则、事实、解除合法性和现实意义分别给分；只写劳动者权益保护而忽略用人单位合法权益会偏。,knowledge+material+value,劳动者订立和履行劳动合同应遵循诚实信用原则并履行劳动义务。孙某未如实提供重要工作经历，使甲公司违背真实意思签订劳动合同，甲公司解除劳动关系符合法律规定；该判决有利于维护用人单位合法权益，引导劳动者遵守职业道德，构建和谐劳动关系。,"劳动合同法, 诚实信用原则, 劳动义务, 职业道德, 知情权, 合法解除, 用人单位合法权益",中。价值表达能得意义分，但必须跟随解除合法性判断。,中。不宜扩展到复杂劳动争议程序，只需处理解除合法性和意义。,低。劳动合同和劳动者权利义务信号明确。,高。可迁移到劳动者失信、严重违反规章制度、试用期解除等题。,CC0373_2026_顺义_一模_17 同时含 R_CC0373_2026_顺义_一模_17_01 都市圈政治细则和 R_CC0373_2026_顺义_一模_17_03 至 R_CC0373_2026_顺义_一模_17_07 劳动法细则，题号层面需拆分后再使用。,high,yes,多题 formal 证据均指向同一判分路径，且学生最容易误写为单向保护劳动者。
S04,竞业限制题的核心不是单向保护企业，也不是单向保护劳动者，而是按身份和信息性质判断竞业限制是否有效，再回答制度平衡。,[CC0181_2025_海淀_期末_21],"[R_CC0181_2025_海淀_期末_21_M17_01, R_CC0181_2025_海淀_期末_21_M17_02, R_CC0181_2025_海淀_期末_21_M17_03, R_CC0181_2025_海淀_期末_21_M17_04, R_CC0181_2025_海淀_期末_21_M17_05]","[M_CC0181_2025_海淀_期末_21_02, M_CC0181_2025_海淀_期末_21_03, M_CC0181_2025_海淀_期末_21_04, M_CC0181_2025_海淀_期末_21_05, M_CC0181_2025_海淀_期末_21_06, M_CC0181_2025_海淀_期末_21_07, M_CC0181_2025_海淀_期末_21_08, M_CC0181_2025_海淀_期末_21_09, M_CC0181_2025_海淀_期末_21_10, M_CC0181_2025_海淀_期末_21_11, M_CC0181_2025_海淀_期末_21_12]",说明法律规定竞业限制并限制竞业限制的原因,lecture_explicit_scoring,formal,劳动者是否属于负有保密义务人员，是否掌握商业秘密，竞业限制协议是否有效。,李某为高级管理人员，签订保密和竞业限制协议，离职后入职同业同岗，技术信息不为公众知悉；刘某为普通厨师，离职后从事冷菜制作，法院认为协议无效。,竞业限制；商业秘密保护；知识产权保护；劳动者劳动权利；人才资源合理配置。,规范竞业限制的意义 2 分，限制竞业限制的意义 2 分，平衡劳动者合法权益与企业商业秘密保护 2 分，案例判断各 1 分。,knowledge+material+value,李某属于负有保密义务的劳动者，掌握不为公众知悉的技术信息，离职后入职竞争企业并从事相同岗位，违反竞业限制义务，应承担违约责任。刘某只是普通厨师，并非负有保密义务人员，对其设置竞业限制会不当限制劳动权利，相关协议应属无效。法律规定并限制竞业限制，是为了平衡企业商业秘密保护和劳动者合法权益。,"竞业限制, 商业秘密, 负有保密义务, 普通员工, 协议无效, 劳动权利, 利益平衡",中。只写创新或公平竞争不够，必须比较两个案例身份。,中。不需要展开竞业补偿金、地域范围、期限等超材料内容。,低。设问和细则均围绕劳动法制度。,高。适合迁移到商业秘密保护、离职竞业、员工身份判断题。,CC0353_2026_西城_期中_17 的 R_CC0353_2026_西城_期中_17_01 和 M_CC0353_2026_西城_期中_17_01 仅为 reference_only，不足以独立支撑劳动与不正当竞争交叉节点。,high,yes,细则明确奖励制度正反两面和案例差异判断，能直接指导审题和满分句生成。
S05,合同题首先拆合同成立、合同生效或效力、履行或违约三个层次；把成立直接写成有效，或把违约直接写成侵权，都会丢核心分。,"[CC0054_2024_石景山_一模_17, CC0143_2025_朝阳_一模_19, CC0244_2026_东城_期中_18, CC0317_2026_海淀_期中_18]","[R_CC0054_2024_石景山_一模_17_M17_01, R_CC0054_2024_石景山_一模_17_M17_02, R_CC0054_2024_石景山_一模_17_M17_03, R_CC0143_2025_朝阳_一模_19_02, R_CC0143_2025_朝阳_一模_19_03, R_CC0143_2025_朝阳_一模_19_07, R_CC0143_2025_朝阳_一模_19_08, R_CC0143_2025_朝阳_一模_19_17, R_CC0244_2026_东城_期中_18_03, R_CC0244_2026_东城_期中_18_05, R_CC0244_2026_东城_期中_18_07, R_CC0244_2026_东城_期中_18_08, R_CC0317_2026_海淀_期中_18_01]","[M_CC0054_2024_石景山_一模_17_02, M_CC0054_2024_石景山_一模_17_04, M_CC0054_2024_石景山_一模_17_06, M_CC0143_2025_朝阳_一模_19_03, M_CC0143_2025_朝阳_一模_19_05, M_CC0143_2025_朝阳_一模_19_06, M_CC0143_2025_朝阳_一模_19_08, M_CC0244_2026_东城_期中_18_02, M_CC0244_2026_东城_期中_18_03, M_CC0244_2026_东城_期中_18_04, M_CC0244_2026_东城_期中_18_05, M_CC0244_2026_东城_期中_18_06, M_CC0244_2026_东城_期中_18_07, M_CC0317_2026_海淀_期中_18_02, M_CC0317_2026_海淀_期中_18_03, M_CC0317_2026_海淀_期中_18_04, M_CC0317_2026_海淀_期中_18_05]",说明合同成立理由；说明支持诉讼请求理由；分析法律责任；判断格式条款效力,lecture_explicit_scoring + marking_report + marking_rubric,formal,是否有要约与承诺；合同是否有效或可撤销；行为构成违约、格式条款无效还是欺诈。,比选报价内容具体确定、中标通知送达；机票支付并出票、平台隐性搭售；无人机全新原装承诺与损伤展示机交付；租赁合同预先拟定、未协商、限制承租方自由订约。,要约；承诺；合同成立；合同生效；可撤销合同；格式条款；全面履行原则；诚信原则；违约责任。,要约、承诺、合同成立分别给分；合同成立不等于生效单独给分；格式条款识别和限制权利导致无效给分；无人机题明确要求违约逻辑和侵权逻辑分开。,knowledge+material,甲公司报价内容具体确定，构成要约；乙公司确认中标并送达中标通知，构成承诺，通知到达后合同成立。合同成立后，一方未全面履行约定义务的，应承担违约责任；若格式条款由一方预先拟定且不合理限制对方权利，该条款应认定无效。,"要约, 承诺, 合同成立, 合同有效, 全面履行, 诚信原则, 格式条款, 可撤销, 违约责任",高。合同题价值句不能替代成立、效力、履行判断。,中。可写要件，但不要扩展到物权变动、复杂损害计算或无材料的合同法理论。,低。合同、格式条款、违约责任均为选必二高频法律材料信号。,高。适合迁移到买卖、服务、租赁、平台消费合同题。,CC0244_2026_东城_期中_18 的 R_CC0244_2026_东城_期中_18_05 特别提示本题不构成欺诈，说明合同路径不能机械套用消费者欺诈。,high,yes,多题细则反复奖励合同层级判断，且明确指出混同路径的学生错误。
S06,消费者欺诈和惩罚性赔偿题必须同时写经营者身份、欺诈事实、消费者权利或法律名称、赔偿请求；只写消费者权益受侵害或商家不诚信不够。,"[CC0143_2025_朝阳_一模_19, CC0063_2024_西城_二模_16, CC0305_2026_海淀_一模_18]","[R_CC0143_2025_朝阳_一模_19_05, R_CC0143_2025_朝阳_一模_19_08, R_CC0143_2025_朝阳_一模_19_09, R_CC0143_2025_朝阳_一模_19_10, R_CC0143_2025_朝阳_一模_19_21, R_CC0143_2025_朝阳_一模_19_22, R_CC0063_2024_西城_二模_16_01, R_CC0305_2026_海淀_一模_18_06]","[M_CC0143_2025_朝阳_一模_19_05, M_CC0143_2025_朝阳_一模_19_06, M_CC0143_2025_朝阳_一模_19_08, M_CC0063_2024_西城_二模_16_04, M_CC0063_2024_西城_二模_16_06, M_CC0063_2024_西城_二模_16_08, M_CC0305_2026_海淀_一模_18_10, M_CC0305_2026_海淀_一模_18_11, M_CC0305_2026_海淀_一模_18_12, M_CC0305_2026_海淀_一模_18_14]",说明法院支持诉讼请求理由；分析判决意义；分析诉讼请求,marking_report + marking_rubric,formal,是否存在经营者欺诈，消费者提出的是退还价款、三倍赔偿、十倍赔偿还是其他请求。,擅自搭售外卖红包、消费者无法知悉费用细节且无法拒绝；不符合食品安全标准、首单合理消费与后续超量加购区分；虚假宣传治疗功效、诱导消费。,消费者权益保护法；食品安全惩罚性赔偿；知情权；公平交易权；自主选择权；经营者欺诈；惩罚性赔偿。,消费者权益保护法名称必须准确；搭售的三个材料条件写全才得分；欺诈不能写成诈骗；三倍赔偿和退还票款要分别回应；食品安全题奖励合理支持首单并限制超量加购。,knowledge+material+value,A 公司作为经营者，在销售机票时通过技术手段擅自搭售 10 元红包，王某不能清楚知悉费用细节且无法拒绝支付，构成欺诈并侵害消费者知情权、自主选择权。依据消费者权益保护法，法院应支持退还票款和三倍赔偿请求。,"消费者权益保护法, 经营者, 欺诈, 知情权, 自主选择权, 三倍赔偿, 惩罚性赔偿, 退还价款",高。泛写维护消费者权益只能覆盖意义，难以覆盖核心理由。,中。无需展开诈骗罪、合同诈骗或刑法判断。,低。消费者法律名称、赔偿请求和经营者行为清晰。,高。可迁移到网络消费、食品安全、服务消费欺诈题。,CC0244_2026_东城_期中_18 中 R_CC0244_2026_东城_期中_18_05 明确无人机题不构成欺诈，提示不可见到质量问题就套惩罚性赔偿。,high,yes,细则直接给出术语精确性、材料条件完整性和诉讼请求拆分要求。
S07,人格权和未成年人相关题的判分对权利名称、主体身份和法律术语高度敏感；限制民事行为能力人、名誉权、隐私权、身体权或健康权不能随意替换。,"[CC0084_2025_东城_二模_19, CC0200_2025_西城_二模_18, CC0305_2026_海淀_一模_18]","[R_CC0084_2025_东城_二模_19_02, R_CC0084_2025_东城_二模_19_03, R_CC0084_2025_东城_二模_19_07, R_CC0084_2025_东城_二模_19_09, R_CC0084_2025_东城_二模_19_11, R_CC0200_2025_西城_二模_18_01, R_CC0305_2026_海淀_一模_18_05]","[M_CC0084_2025_东城_二模_19_02, M_CC0084_2025_东城_二模_19_05, M_CC0084_2025_东城_二模_19_06, M_CC0084_2025_东城_二模_19_13, M_CC0200_2025_西城_二模_18_01, M_CC0200_2025_西城_二模_18_06, M_CC0200_2025_西城_二模_18_07, M_CC0305_2026_海淀_一模_18_07, M_CC0305_2026_海淀_一模_18_08]",完成表格；分析判决结果；分析诉讼请求,marking_report + marking_rubric,formal,13 岁钱某、17 岁小刘属于何种民事行为能力状态；自媒体行为侵害的是名誉权还是一般声誉；包间监控和聊天信息公开是否侵害隐私权。,13 周岁文身并收费；无事实依据发布负面评价导致严重负面影响；17 岁未成年人绕过平台监管打赏 45 万；商家公开包厢监控和聊天信息。,限制民事行为能力人；法定代理人追认；身体权；健康权；名誉权；隐私权；侵权责任；监护人。,限制民事行为能力人术语写错不得分；名誉权不可替换；完全抄材料而不提侮辱、诽谤、社会评价降低不得要件分；隐私权题奖励民法典规则、私密性事实和停止侵权赔礼道歉责任。,knowledge+material,钱某为 13 周岁，属于限制民事行为能力人，其大面积文身合同未经法定代理人追认，合同效力存在问题；经营者未尽核实义务并造成身体或健康损害，应承担相应责任。杨某发布无事实依据的侮辱、诽谤性内容，造成公司社会评价降低，侵害名誉权。,"限制民事行为能力人, 法定代理人追认, 身体权, 健康权, 名誉权, 社会评价降低, 隐私权, 侵权责任",高。只写保护未成年人、维护公民权利不满足术语要求。,中。无需展开完整人格权编体系，重点是题内权利名称与事实对应。,低。人格权和未成年人消费信号明确。,高。适合迁移到未成年人消费、网络侵权、自媒体侵权、隐私保护题。,CC0353_2026_西城_期中_17 的 R_CC0353_2026_西城_期中_17_01 仅 reference_only，未成年人保护法和不正当竞争交叉不能单独支撑强节点。,high,yes,阅卷报告直接指出术语错误、抄材料和权利名称替换的扣分方式。
S08,违约、侵权、不正当竞争、举证责任各有不同的作答路径；学生把侵权要件套进违约题，或把程序路径写成泛维权，会明显失分。,"[CC0244_2026_东城_期中_18, CC0084_2025_东城_二模_19, CC0254_2026_丰台_二模_18, CC0325_2026_石景山_一模_18]","[R_CC0244_2026_东城_期中_18_03, R_CC0244_2026_东城_期中_18_05, R_CC0244_2026_东城_期中_18_06, R_CC0244_2026_东城_期中_18_08, R_CC0084_2025_东城_二模_19_11, R_CC0254_2026_丰台_二模_18_02, R_CC0254_2026_丰台_二模_18_06, R_CC0254_2026_丰台_二模_18_07, R_CC0325_2026_石景山_一模_18_02, R_CC0325_2026_石景山_一模_18_03]","[M_CC0244_2026_东城_期中_18_04, M_CC0244_2026_东城_期中_18_05, M_CC0244_2026_东城_期中_18_06, M_CC0244_2026_东城_期中_18_07, M_CC0084_2025_东城_二模_19_02, M_CC0084_2025_东城_二模_19_05, M_CC0084_2025_东城_二模_19_06, M_CC0084_2025_东城_二模_19_13, M_CC0254_2026_丰台_二模_18_02, M_CC0254_2026_丰台_二模_18_06, M_CC0254_2026_丰台_二模_18_11, M_CC0254_2026_丰台_二模_18_12, M_CC0325_2026_石景山_一模_18_02, M_CC0325_2026_石景山_一模_18_07, M_CC0325_2026_石景山_一模_18_08]",分析法律责任；完成表格；理解法治与德治；分析举证责任,marking_rubric + marking_report,formal,本案主要路径是合同违约、侵权责任、过错推定、无过错责任、不正当竞争，还是举证责任分配。,损伤展示机导致无人机坠毁并伤人；动物侵权责任和生态修复调解；窗户坠落砸车；格式条款或自媒体侵权材料。,违约责任；侵权责任；无过错责任；过错推定；举证责任倒置；谁主张谁举证；合同问题和侵权问题区分。,无人机题明示违约逻辑、侵权逻辑和不正当竞争逻辑不能混同；生态题指出学生分不清过错推定与无过错责任；举证题奖励对民事诉讼中原告证明损害和因果关系、建筑物使用人证明无过错的分配判断。,knowledge+material,若按违约路径，先说明合同成立且有效，再指出刘某交付损伤展示机，未全面履行合同义务，构成违约并承担赔偿损失等违约责任。若按侵权路径，则应说明受保护权益、损害结果、因果关系和相应归责规则，不应用侵权要件替代违约分析。,"违约责任, 侵权责任, 合同成立且有效, 全面履行, 无过错责任, 过错推定, 举证责任倒置, 因果关系",高。泛写公平、公正、法治不会替代路径判断。,高。学生可能过度展开法考式四要件，导致偏离材料和分值。,中。部分题含教学建议或复练材料，使用时要锁定法律题原子。,高。可迁移到所有责任归属题，但必须先判断路径。,CC0364_2026_通州_期中_19_1 的 R_CC0364_2026_通州_期中_19_1_05 至 R_CC0364_2026_通州_期中_19_1_08 是逻辑推理判分，不能纳入法律责任路径。,high,yes,多个阅卷材料直接暴露学生路径混同问题，且细则提供了可操作的区分句式。
S09,知识产权与创新题的得分不是喊创新口号，而是写清权利类型、侵权或保护措施、制度效果，再把创新价值接上去。,"[CC0103_2025_丰台_一模_19, CC0131_2025_房山_一模_19, CC0283_2026_朝阳_一模_18, CC0137_2025_昌平_二模_20]","[R_CC0103_2025_丰台_一模_19_01, R_CC0131_2025_房山_一模_19_05, R_CC0131_2025_房山_一模_19_06, R_CC0131_2025_房山_一模_19_10, R_CC0283_2026_朝阳_一模_18_02, R_CC0283_2026_朝阳_一模_18_03, R_CC0283_2026_朝阳_一模_18_04, R_CC0283_2026_朝阳_一模_18_05, R_CC0137_2025_昌平_二模_20_02, R_CC0137_2025_昌平_二模_20_03, R_CC0137_2025_昌平_二模_20_04, R_CC0137_2025_昌平_二模_20_05, R_CC0137_2025_昌平_二模_20_06, R_CC0137_2025_昌平_二模_20_07]","[M_CC0103_2025_丰台_一模_19_01, M_CC0103_2025_丰台_一模_19_02, M_CC0103_2025_丰台_一模_19_03, M_CC0103_2025_丰台_一模_19_04, M_CC0131_2025_房山_一模_19_02, M_CC0131_2025_房山_一模_19_06, M_CC0131_2025_房山_一模_19_08, M_CC0131_2025_房山_一模_19_10, M_CC0131_2025_房山_一模_19_12, M_CC0283_2026_朝阳_一模_18_02, M_CC0283_2026_朝阳_一模_18_04, M_CC0283_2026_朝阳_一模_18_06, M_CC0283_2026_朝阳_一模_18_08, M_CC0137_2025_昌平_二模_20_15, M_CC0137_2025_昌平_二模_20_16, M_CC0137_2025_昌平_二模_20_17, M_CC0137_2025_昌平_二模_20_18, M_CC0137_2025_昌平_二模_20_19]",分析典型案例意义；说明法院如何保护知识产权；完成裁判理由,marking_rubric + evaluation_standard,formal,涉案对象是技术秘密、著作权、信息网络传播权、署名权，还是知识产权纠纷解决措施。,近 40 名人员离职加入被告并利用技术信息申请专利；惩罚性赔偿 6.4 亿；调解知识产权纠纷；AI 绘图被擅自配图并抹去水印；法院支持权利人请求。,知识产权保护；技术秘密；著作权；信息网络传播权；署名权；惩罚性赔偿；调解；恶意诉讼规制。,奖励维护权利人权益、严惩侵权、提高侵权成本、调解减少诉讼干扰、遏制不诚信诉讼、为创新提供法治保障；AI 图片题奖励著作权主体、智力成果和独创性、未经许可和抹水印的侵权判断。,knowledge+material+value,李某使用 AI 制作的图片具备智力成果和独创性，依法受著作权保护；刘某未经许可使用并抹去水印，侵害李某信息网络传播权和署名权，应承担侵权责任。法院依法保护知识产权并提高侵权成本，有利于维护权利人合法权益，激发创新活力。,"知识产权, 技术秘密, 著作权, 独创性, 信息网络传播权, 署名权, 惩罚性赔偿, 创新活力",高。只写保护创新、发展新质生产力，缺权利类型和侵权事实，难得核心分。,中。不需要展开著作权法全部客体或专利审查规则。,中。部分知识产权题与新质生产力、哲学或经济材料相连，必须保留法律原子。,高。适合迁移到技术秘密、AI 作品、平台内容、创新保护题。,CC0311_2026_海淀_二模_18 的 R_CC0311_2026_海淀_二模_18_M17_01 至 R_CC0311_2026_海淀_二模_18_M17_05 为 reference_only，只能作为弱观察补充。,high,yes,多题 formal 证据显示知识产权价值分均由具体权利、责任或程序措施推出。
S10,不正当竞争题的最小判断是经营者行为是否扰乱竞争秩序并损害其他经营者或消费者权益；商业诋毁、混淆、虚假宣传、技术干扰平台规则等事实要分别转成法律语言。,"[CC0238_2026_东城_二模_19, CC0319_2026_海淀_期中_19, CC0277_2026_房山_二模_18, CC0206_2025_西城_期末_19, CC0131_2025_房山_一模_19]","[R_CC0238_2026_东城_二模_19_M17_01, R_CC0238_2026_东城_二模_19_M17_02, R_CC0238_2026_东城_二模_19_M17_03, R_CC0238_2026_东城_二模_19_M17_05, R_CC0238_2026_东城_二模_19_M17_06, R_CC0319_2026_海淀_期中_19_01, R_CC0277_2026_房山_二模_18_01, R_CC0277_2026_房山_二模_18_02, R_CC0277_2026_房山_二模_18_03, R_CC0277_2026_房山_二模_18_04, R_CC0277_2026_房山_二模_18_05, R_CC0277_2026_房山_二模_18_06, R_CC0277_2026_房山_二模_18_07, R_CC0206_2025_西城_期末_19_01, R_CC0131_2025_房山_一模_19_05]","[M_CC0238_2026_东城_二模_19_05, M_CC0238_2026_东城_二模_19_06, M_CC0238_2026_东城_二模_19_07, M_CC0238_2026_东城_二模_19_08, M_CC0319_2026_海淀_期中_19_01, M_CC0319_2026_海淀_期中_19_02, M_CC0319_2026_海淀_期中_19_03, M_CC0277_2026_房山_二模_18_01, M_CC0277_2026_房山_二模_18_02, M_CC0277_2026_房山_二模_18_03, M_CC0277_2026_房山_二模_18_04, M_CC0206_2025_西城_期末_19_04, M_CC0206_2025_西城_期末_19_05, M_CC0206_2025_西城_期末_19_06, M_CC0206_2025_西城_期末_19_07, M_CC0206_2025_西城_期末_19_08, M_CC0131_2025_房山_一模_19_06, M_CC0131_2025_房山_一模_19_08, M_CC0131_2025_房山_一模_19_10]",评析行为；分析判决；说明法律边界及应对措施,marking_rubric + evaluation_standard,formal,行为属于商业诋毁、混淆、虚假宣传、破坏平台规则，还是普通违约或劳动纪律问题。,捏造事实贬低竞争者；技术抢票破坏平台购票规则；数字员工生成虚假负面数据文章；抢注小爱同学并发布引人误解宣传；核心代码上传公共 AI 平台。,反不正当竞争法；商业诋毁；混淆；虚假宣传；经营者商业道德；侵权责任；名誉权；商业秘密；著作权。,商业诋毁获取竞争优势给 2 分；不正当竞争定义和技术干扰平台规则给分；数字员工题按风险项给分，不正当竞争、名誉权、商业秘密泄露、著作权各有分值；小爱同学题奖励混淆及虚假宣传判断和数字经济价值。,knowledge+material+value,郑某利用技术手段提供不正当抢票优势，破坏平台购票规则，干扰平台售票业务，损害甲公司信誉和消费者公平购票利益，扰乱市场竞争秩序，构成不正当竞争，应承担侵权责任。,"反不正当竞争法, 经营者, 商业诋毁, 混淆, 虚假宣传, 平台规则, 市场竞争秩序, 消费者合法权益",中。市场秩序价值可得意义分，但必须有行为定性。,中。不宜扩展到刑事犯罪或行政处罚，除非材料给出。,中。部分题与营商环境、数字经济或哲学复练混杂，需锁定法律行为原子。,高。适合迁移到品牌抢注、平台技术干扰、商业诋毁、AI 经营风险题。,CC0277_2026_房山_二模_18 中 R_CC0277_2026_房山_二模_18_08 至 R_CC0277_2026_房山_二模_18_11 为哲学扬弃内容，不应纳入不正当竞争观察。,high,yes,多题 formal 证据反复出现反不正当竞争法下的事实转译和市场价值奖励。
