source_id,year,district_or_exam,paper_type,question_no,legal_hit_count,prompt_hit_count,path,text_path,block
SRC_a1c55f582b_试卷,2024,东城,一模,19,8,2,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_a1c55f582b_试卷.txt,"19.（6分）
案件1 2018年，郭某为李某制作电表箱，李
某 郭某出具欠据，约定2019年2月1日前还
清。期间，郭某从未催要钱款。2024年3月，郭某
向李某催讨钱款，李某拒绝还款。郭某无奈将李
某告上法庭，最终因李某主张诉讼时效届满而
败诉。
案件2 冯某与其母程某约定，自2018年3
月起，冯某每月向程某支付赡养费。2019年1月
资料卡
诉讼时效是指权利主体
在法定期间内不行使权利，
义务人便享有抗辩权（权利
人行使其请求权时，义务人
享有的拒绝其请求的权利），
从而导致权利人无法胜诉的
法律制度。
起，冯某再未支付上述费用，程某从未催讨。2024
年2月，程某将冯某诉至法庭，要求其支付5年来未支付的相关费用。冯某以诉讼
时效届满为由进行抗辩。法院依据《中华人民共和国民法典》第一百九十六条，以
请求支付赡养费不适用诉讼时效为由，对冯某的主张不予支持，判令冯某如数支付
相关费用。
针对上述案件，运用《法律与生活》知识，谈谈法律规定诉讼时效并对其不适用
的情形加以规定的原因。"
SRC_6a382f2c9e_试卷,2024,东城,二模,18,7,0,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_6a382f2c9e_试卷.txt,"18.（13分）
H 省省委、省政府着力推进法治、共治、自治、数治“四治联动”，不断推动和谐
劳动关系建设迈上新台阶。
该省在全国首批出台《H省工会劳动法律监督条例》，并组织开展专项执法行
动；建立政府与工会联席会议制度和多元纠纷解决机制，强化共治联动；出台激励
政策，培育典型示范，引导企业、园区、行业协会等形成高度的自觉，强化用人单位
主体自治；推进“智慧人社”“人社超市”“人社码上通”一体网办，人力资源和社会保
障、税务、医保部门成立联合运维中心，打通数据壁垒，强化“数治”赋能。
（1）结合材料，运用《政治与法治》知识，说明“四治联动”如何推动新时代和谐
劳动关系建设。（7分）
（2）某校同学正在草拟共建和谐劳动关系建议书，请你运用相关知识，针对不
同主体各提一条建议，并说明其理论依据。（6 分）
建议书（草稿）
和谐劳动关系事关企业发展和职工利益，事关经济发展与社会和谐稳定，
是经济高质量发展的重要保证。党的十八大以来，我国构建和谐劳动关系工作
取得明显成效，但随着以平台用工为代表的新就业形态的发展，劳动关系领域
出现了一些挑战。传统劳动关系的认定标准难以完全适用于新型用工模式；企
业拖欠新酬、非经协商延长劳动时间等问题变得更加隐蔽；就业结构性矛盾更
为突出，劳动者自身技能和素质不适应岗位需求变化⋯…为共建和谐劳动关
系，我们提出以下建议：
建议一：
理论依据：
建议二：
理论依据：
建议三：
理论依据：
高三思想政治 第8页（共11页）
===== 试卷.pdf page 9 ====="
SRC_6a382f2c9e_试卷,2024,东城,二模,19,3,2,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_6a382f2c9e_试卷.txt,"19.（9分）
甲公司从乙公司购入一批电视，约定2024年3月10日发货。乙公司如约发
货后，甲公司不便收货，双方约定货物由快递仓库代为储存至3月20日，仓储费用
由乙公司承担。3月19日，甲公司表示依然不便收货，需要延长仓储时间至3月
30日，乙公司回复“可以”。双方无其他磋商内容。
3月30日，甲公司收货并垫付全部仓储费用后，向乙公司要求“尾款扣除仓储
费用后支付”，乙公司表示拒绝承担3月21日及以后的仓储费用，甲公司因此拒绝
支付尾款。双方协商未果，欲通过诉讼解决争议。
（1）请你选择其中一方进行代理，并撰写起诉状。（7分）
民事起诉状
原告：
被告：
诉讼请求：
事实与理由：
望法院判如所请。
（2）为避免类似问题产生，我们应该
×××
X年X月×日
。（2分）
高三思想政治 第9页（共11页）
===== 试卷.pdf page 10 ====="
SRC_610be819f5_试卷,2024,丰台,二模,16,0,1,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_610be819f5_试卷.txt,"16.（7分）某街道党工委聚焦居民急难愁盼问题，创新议事模式，激活社区治理新动能。
“居民议事厅”
“我们想增加绿地”
“想给孩子建点儿童游乐设施” ……为更好解决居民诉求，社区
党组织领导居委会、物业服务企业、业委会、社区居民等通过居民议事厅进行多次意
见征集，最终确定环境提升改造方案。方案实施后，社区环境得到显著改善。
“社区合伙人”
某小区出现水质发黄现象，物业常规治理收效甚微。社区党委在街道党工委的指导下，
组织居委会、业主、物业公司、区水务局等六方责任主体，召开合伙人会议，制定了
科学的解决方案。经过科学治理，社区水质得到有效改善
“红色联系卡”
王奶奶通过社区发放的红色联系卡（各部门联系人电话卡片）与“包楼”干部取得联
系，反映平时子女不在身边，年纪大了做饭不方便，希望社区帮助解决用餐问题。社
区书记与“包楼”干部共同帮助老奶奶与老年餐桌服务单位取得联系，最终解决了后
续就餐问题。
结合材料，运用《政治与法治》知识，说明该街道是如何激活社区治理新动能的。"
SRC_610be819f5_试卷,2024,丰台,二模,17,15,3,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_610be819f5_试卷.txt,"17.（8分）民法典守护碧水蓝天，保护生态环境。
《中华人民共和国民法典》规定：“民事主体从事民事活动，应当有利于节约资
源、保护生态环境。”“民事主体依法享有知识产权。”“因污染环境、破坏生态造成他
人损害的，侵权人应当承担侵权责任。”
案例一
某公司发明专利技术从源头上解决长期污水
污泥分离不彻底、处理工序复杂化等关键技
术问题，首次提出了通过操控屏控制移动杆，
实现过滤速度可控的农村污水分离技术重大
突破，方法简单、易于操作，降低污水净化
成本的同时，显著提高污水净化效率，延长
装置的使用寿命，已在多地村庄生活污水治
理项目中成功应用并推广。
案例二
甲公司在生产中，长期存在超标排放废
水、废气等污染物损害环境公共利益的
行为，周边居民的日常生活受到严重影
响。乙环境研究所以甲公司存在长期连
续超标排放污染物、构成环境民事侵权
为由，提起环境民事公益诉讼。法院审
理后判决甲公司立即停止侵权、消除危
险、赔偿环境损失等。
运用《法律与生活》知识，结合上述案例分析民法典的相关规定对保护生态环境
的作用。
高三政治 第5页（共8页）
===== 试卷.pdf page 6 ====="
SRC_4de874d0f6_试卷,2024,朝阳,二模,16,1,1,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_4de874d0f6_试卷.txt,"16. (14 )
材料一
算力是指计算机或其他计算设备在一定时
间内可以处理的数据量或完成的计算任务量。
随着大模型等人工智能产业迅速兴起,各国
对智能算力资源的需求愈发旺盛。 全球主要发
达国家纷纷加快推进算力布局,抢占竞争制高点。
算力作为数字经济发展的底层支撑,正在向交通、金融、教育、医疗、科技、能源等各
行业加速渗透。 研究表明,算力指数平均每提高 个百分点,数字经济和国内生产总值
1
将分别增长 和 。
3.3‰ 1.8‰
目前,我国东部地区数字经济发展迅速、产业发展相对完善,算力基础设施建设相对
密集;西部地区数字产业欠发达,人才、资金投入存在短缺现象。 部分数据资源要素持有
者“不愿流通”“不敢流通”,数据治理和可信流通体系亟待建立完善。
年 月,国家有关部门出台《关于深入实施“东数西算”工程 加快构建全国一
2023 12
体化算力网的实施意见》,提出加快建成促进全国范围内各类算力资源高比例、大规模一
体化调度运营的数字基础设施体系。
结合材料一 运用 经济与社会 知识 说明加快构建全国一体化算力网的重大意
(1) , 《 》 ,
义 分
。 (7 )
材料二
人工智能的产生
世纪初,研究人员观察到了包括大脑在内的神经系统中神经元之间的联系。 受此
20
启发,科学家开发了人工神经网络,人工智能的概念产生。 但受计算机内存和处理速度
的限制,人工智能初期发展缓慢。
人工智能的突破
经过 多年的演进,以深度神经网络为代表的人工智能加速发展,呈现出深度学
60
习、跨界融合、人机协同、自主操控等新特征。 受脑科学研究成果启发的类脑智能蓄势待
发,人工智能发展进入新阶段。
人工智能的未来
年以来,以大模型为代表的人工智能迅速从实验室走向各行业、各领域的实际
2023
应用,加速与制造业深度融合,深刻改变制造业生产模式和经济形态,展现出强大的赋能
效应。
同时,人工智能让每个人都可以被追踪、被收集,也可以被分析、被输出。 大数据和
人工智能通过了解我们给人类带来便利,也在重塑人类对世界的认识。
未来 是人塑造人工智能 还是人工智能塑造人 还是 运用哲学知识 谈谈
(2) , ? ? …… ,
你的看法 分
。 (7 )
高三思想政治 第 页 共 页
5 ( 8 )
分 人力资源社会保障部和最高人民法院联合发布了一批涉及平台经济的劳动人"
SRC_4de874d0f6_试卷,2024,朝阳,二模,17,14,1,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_4de874d0f6_试卷.txt,"17. (9 )
事争议典型案例,供各地仲裁机构、人民法院在办案中予以参照。
【基本案情】
􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋
高三思想政治 第 页 共 页
6 ( 8 )
􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋
􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋
􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 王某于 年 月 日与甲公司
2022 6 14 【资料包】
订立为期 年的《车辆管理协议》约定:
1 中华人民共和国劳动和社会保障部
王某与甲公司建立合作关系,王某自备
发布的《关于确立劳动关系有关事项的
面包车 辆,通过公司平台接受派单提
1 通知》指出:劳动关系的核心特征为劳动
供货物运输服务。 甲公司与客户结算
者与用人单位之间具有人格、经济、组织
运输费,每月向王某支付包月服务费
的从属性。
元及奖励金。
6000 认定新就业形态劳动者与平台企业
王某每日在公司平台签到并接受
之间是否存在劳动关系,应做如下考量:
派单,跑单时长均在 小时以上;甲公
8 人格从属性:体现为平台企业的劳
司通过平台对王某的订单完成情况进
动纪律、奖惩办法等是否适用于劳动者;
行全程跟踪;王某每日接单量超过 单
4 劳动者是否须按照平台指令完成工作任
时享有加单奖励,出现接单量不足、无
务等。
故拒单、货物损毁等情形时按照公司制
经济从属性:体现为平台企业是否
度扣减部分服务费。 年 月 日,
2023 3 2 掌握劳动者从业所必需的数据信息等重
甲公司因调整运营规划,提出提前终止
要生产资料,是否允许劳动者商定服务
与王某的合作关系。
价格等。
王某认为其与甲公司之间实际上
组织从属性:体现在劳动者是否被
已构成劳动关系,甲公司应当支付解除
纳入平台企业的组织体系当中,并以平
劳动合同经济补偿,甲公司以双方是合
台名义对外提供服务等。
作关系为由拒绝,王某遂向仲裁委员会
申请仲裁。
【处理结果】
仲裁委员会裁决:甲公司向王某支付解除劳动合同经济补偿。
结合材料 说明仲裁委员会作出上述裁决的理由 并分析该典型案例的意义
, , 。
分"
SRC_34231242a3_202411朝阳高三政治_期中1试题_1,2024,朝阳,期中,19,2,0,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_34231242a3_202411朝阳高三政治_期中1试题_1.txt,"19. (8 )
首发经济是指企业发布新产品,推出新业态、新模式、新服务、新技术,开设首店等经
济活动的总称,涵盖了企业从产品或服务的首次发布、首次展出到首次落地开设门店、首
次设立研发中心,再到设立企业总部的链式发展全过程。
消费者需求不断升级,首发经济如何赋能经济增长? 朝外大街这条曾经辉煌的北京
第三商业街,经过城市更新改造再度“翻红”,成为“ 后”的潮流新地标。 某校高三同学
95
组成的学习小组考察了“首发经济”的北京朝外样本。
前期 业态规划上,提前布局智能产品等新兴消费领域,打造特色主题首发街区。
*
搜集 品牌引进中,主动邀请国际前沿品牌设首店,扶持本土创新品牌首发。
*
资料 服务配套时,建设智能商业设施,完善交通物流网络,保障首发经济。
*
有别于传统购物中心,商场主打“策展型零售”,空间布局与设计独具匠心,中
*
庭被打造成如“城市森林”般的艺术主题场景,通过绿色植物、艺术雕塑和多媒
现场
体展示,让消费者仿佛走进艺术展览,感受自然与艺术融合。
走访
商家表示,“首店”“首发”“首展”“首秀”能够满足年轻人对新鲜事物的追
调研 *
求和社交分享的需求,经过社交媒体的二次传播,又会吸引更多年轻人前来。
这就是“策展型零售”的新思路:先做流量,再做生意。
后期
商圈与首店品牌在双向选择过程中,应充分考虑商圈定位、客群消费水平、
得出 *
品牌能否融入该商圈“生态”等因素,让二者实现价值耦合。
结论
结合材料 分析 首发经济 的北京朝外样本的打造是如何体现创新思维的
, “ ” 。
高三思想政治试卷 第 页 共 页
6 ( 8 )
分"
SRC_611ed75646_试卷,2024,朝阳,期中,19,2,0,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_611ed75646_试卷.txt,"19. (8 )
首发经济是指企业发布新产品,推出新业态、新模式、新服务、新技术,开设首店等经
济活动的总称,涵盖了企业从产品或服务的首次发布、首次展出到首次落地开设门店、首
次设立研发中心,再到设立企业总部的链式发展全过程。
消费者需求不断升级,首发经济如何赋能经济增长? 朝外大街这条曾经辉煌的北京
第三商业街,经过城市更新改造再度“翻红”,成为“ 后”的潮流新地标。 某校高三同学
95
组成的学习小组考察了“首发经济”的北京朝外样本。
前期 业态规划上,提前布局智能产品等新兴消费领域,打造特色主题首发街区。
*
搜集 品牌引进中,主动邀请国际前沿品牌设首店,扶持本土创新品牌首发。
*
资料 服务配套时,建设智能商业设施,完善交通物流网络,保障首发经济。
*
有别于传统购物中心,商场主打“策展型零售”,空间布局与设计独具匠心,中
*
庭被打造成如“城市森林”般的艺术主题场景,通过绿色植物、艺术雕塑和多媒
现场
体展示,让消费者仿佛走进艺术展览,感受自然与艺术融合。
走访
商家表示,“首店”“首发”“首展”“首秀”能够满足年轻人对新鲜事物的追
调研 *
求和社交分享的需求,经过社交媒体的二次传播,又会吸引更多年轻人前来。
这就是“策展型零售”的新思路:先做流量,再做生意。
后期
商圈与首店品牌在双向选择过程中,应充分考虑商圈定位、客群消费水平、
得出 *
品牌能否融入该商圈“生态”等因素,让二者实现价值耦合。
结论
结合材料 分析 首发经济 的北京朝外样本的打造是如何体现创新思维的
, “ ” 。
高三思想政治试卷 第 页 共 页
6 ( 8 )
分"
SRC_22a9fc3505_试卷,2024,海淀,一模,19,6,2,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/raw_exam_subjective_compilation_2026-06-02/02_extracted_text/SRC_22a9fc3505_试卷.txt,"19．（8分）首例涉“虚拟数字人”侵权案宣判。
甲公司系一家以计算机图形学和AI技术为核心的科
资料卡
技公司，Ada系甲公司在发展其产品业务过程中打造的超
虚拟数字人指具有数字化外形
写实虚拟数字人。甲公司自称于2018年12月创作完成了
的虚拟人物，与具备实体的机器人
虚拟数字人Ada的正面形象，为进一步宣传和推广旗下虚 不同，虚拟人依赖显示设备存在。
拟数字人，又制作完成了虚拟数字人的两段相关视频，并 虚拟数字人拥有人的外观、行为和
思维方式，具有识别外界环境并能
于2019年10月、11月通过某平台发布。其中一段用以介
与人交流互动的能力。
绍虚拟数字人Ada的场景应用，另一段记录真人演员与虚
拟数字人Ada的动作捕捉画面，对虚拟数字人Ada进行商业化使用。
2022年7月，乙公司通过某社交软件发布上述两段视频，视频的居中位置使用甲公司发布的
相关视频内容，并在片头片尾替换有关标识，以及在整体视频上添加虚拟数字人课程的营销信息，
其中一段视频还添加乙公司的注册商标，并将其他虚拟数字人名称作为标题一部分。甲公司向法
院提起诉讼，法院判决乙公司消除影响并赔偿经济损失。
运用《法律与生活》知识，谈谈对本案判决的认识。
高三年级（思想政治） 第7页（共8页）"
