a_axis,b_axis,row_count
A2_人身权与人格权,B1_表格/裁判要点/补链,1
A2_人身权与人格权,B3_诉求/请求能否支持,1
A2_人身权与人格权,B4_评析/认识/观点,2
A3_物权与相邻关系,B2_判决/裁判/责任理由,1
A3_物权与相邻关系,B5_意义/价值/保护/推动,1
A3_物权与相邻关系,B6_调解/维权/纠纷解决路径,1
A4_合同,B1_表格/裁判要点/补链,1
A4_合同,B2_判决/裁判/责任理由,1
A4_合同,B4_评析/认识/观点,1
A4_合同,B5_意义/价值/保护/推动,1
A4_合同,B6_调解/维权/纠纷解决路径,1
A5_知识产权与市场竞争接口,B1_表格/裁判要点/补链,3
A5_知识产权与市场竞争接口,B2_判决/裁判/责任理由,1
A5_知识产权与市场竞争接口,B5_意义/价值/保护/推动,4
A6_侵权责任,B1_表格/裁判要点/补链,1
A6_侵权责任,B2_判决/裁判/责任理由,1
A6_侵权责任,B4_评析/认识/观点,1
A6_侵权责任,B5_意义/价值/保护/推动,2
A7_婚姻家庭与继承,B4_评析/认识/观点,2
A7_婚姻家庭与继承,B5_意义/价值/保护/推动,1
A8_劳动关系,B1_表格/裁判要点/补链,1
A8_劳动关系,B2_判决/裁判/责任理由,3
A8_劳动关系,B3_诉求/请求能否支持,1
A8_劳动关系,B5_意义/价值/保护/推动,1
A9_消费者权益与经营秩序,B2_判决/裁判/责任理由,1
A9_消费者权益与经营秩序,B3_诉求/请求能否支持,1
A9_消费者权益与经营秩序,B4_评析/认识/观点,1
A9_消费者权益与经营秩序,B5_意义/价值/保护/推动,1
A9_消费者权益与经营秩序,B6_调解/维权/纠纷解决路径,1
A10_多元纠纷解决与诉讼程序,B1_表格/裁判要点/补链,2
A10_多元纠纷解决与诉讼程序,B6_调解/维权/纠纷解决路径,1
