suite_id,suite_name,year,district,stage,bundle_path,paper_status,answer_key_status,rubric_status,choice_processed,subjective_processed,philosophy_entries,culture_entries,wrong_option_rows,evidence_level,worker_report,patcher_status,governor_status,blocker
S001,2024海淀一模,2024,海淀,2024各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024海淀一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S002,2024西城一模,2024,西城,2024各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024西城一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S003,2024东城一模,2024,东城,2024各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024东城一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S004,2024朝阳一模,2024,朝阳,2024各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024朝阳一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S005,2024丰台一模,2024,丰台,2024各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024丰台一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S006,2024石景山一模,2024,石景山,2024各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024石景山一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S007,2024海淀二模,2024,海淀,2024各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024海淀二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S008,2024西城二模,2024,西城,2024各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024西城二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S009,2024东城二模,2024,东城,2024各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024东城二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S010,2024朝阳二模,2024,朝阳,2024各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024朝阳二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S011,2024丰台二模,2024,丰台,2024各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024丰台二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S012,2024顺义思政二模,2024,顺义,2024各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区二模__2024顺义思政二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S013,2024海淀期中,2024,海淀,2024各区期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024海淀期中.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
