suite,year,phase,question_no,module_judgment,evidence_level,base_status,proposed_framework_node,decision,note
2026东城二模,2026,二模,Q16,哲学,强细则,base_name_not_found_needs_question_audit,"实践决定认识/联系系统优化/发展辩证否定/矛盾特殊性/价值观导向/守正创新",候选插入,"细则明确7分哲学题；京彩课堂主题；实践节点+唯物论+辩证法+价值观多节点"
2026东城二模,2026,二模,Q18,边界排除,强细则,base_name_not_found_needs_question_audit,-,边界排除:选必三,"类比推理属选必三《逻辑与思维》"
2026海淀二模,2026,二模,Q16,哲学(弱证据),弱参考答案,base_name_not_found_needs_question_audit,"联系/实践与认识",弱候选待核验,"细则PDF被内部资料水印全覆盖(0字节)；仅教师版可读；有字之书+无字之书主题"
2026海淀二模,2026,二模,Q21,哲学(弱证据),弱参考答案,base_name_not_found_needs_question_audit,"矛盾的观点/辩证思维",弱候选待核验,"参考答案仅说可从矛盾/辩证思维作答；细则缺失；统筹方法主题"
2026西城二模,2026,二模,Q16,哲学(弱证据),弱参考答案,base_name_not_found_needs_question_audit,"矛盾普遍性与特殊性/实践",弱候选待核验,"评标PDF 0字节；教师版可读；中式生活方式全球共鸣主题"
2026朝阳二模,2026,二模,Q16,哲学,强细则,base_name_not_found_needs_question_audit,"对立统一/辩证否定-发展观/具体问题具体分析/价值观导向作用",候选插入,"细则明确8分4维度；城市文化建设历史传承与现代创新主题"
2026朝阳二模,2026,二模,Q21,哲学,强细则,base_name_not_found_needs_question_audit,"系统观念(整体性关联性协同性)/量变质变",候选插入,"细则明确系统思维+量变质变+必答党的领导；五篇大文章主题"
2026丰台二模,2026,二模,Q16,哲学,强细则,base_name_not_found_needs_question_audit,"矛盾特殊性-具体问题具体分析/尊重规律-主观能动性/联系系统优化/发展观/对立统一/价值观导向",候选插入,"细则明确7分5角度；守护湿地主题"
2026石景山二模,2026,二模,Q17(2),边界排除,强细则,base_name_not_found_needs_question_audit,-,边界排除:选必三,"《逻辑与思维》辩证思维方法节点，非必修四"
2026石景山二模,2026,二模,Q17(3),哲学(弱证据),细则角度提示,base_name_not_found_needs_question_audit,"联系/矛盾/实践与认识",弱候选待核验,"细则说可从联系/矛盾/实践与认识作答；良法善治主题"
2026石景山二模,2026,二模,Q20,非哲学主导,弱角度提示,base_name_not_found_needs_question_audit,"系统观(参考角度之一)",非核心哲学不作候选,"设问包含制度优势/高质量发展/文化强国/系统观；哲学仅为可选角度非主体"
2026房山二模,2026,二模,Q16,哲学,强细则,base_name_not_found_needs_question_audit,"尊重规律-主观能动性/系统观念-矛盾对立统一/价值观导向-量变质变/中华文明连续性创新性",候选插入,"细则明确8分4点；工匠精神主题"
2026房山二模,2026,二模,Q18(2),哲学,强细则,base_name_not_found_needs_question_audit,"辩证否定(联系和发展的环节)-扬弃",候选插入,"细则明确5分；否定→扬弃→肯定与改造；OPC流程主题"
2026顺义二模,2026,二模,Q16,哲学(弱证据),弱参考答案,base_name_not_found_needs_question_audit,"实践决定认识-人民主体/价值观导向/矛盾观/中华优秀传统文化",弱候选待核验,"试卷PDF 0字节；评标doc可读；新大众文艺主题"
2026东城一模,2026,一模,Q16,哲学与文化综合,弱参考答案,base_mentions_found,"价值观导向/中华民族精神/文化线",疑似遗漏待对比,"参考答案仅列角度无细则；文艺主题"
2026丰台一模,2026,一模,Q16,哲学与文化综合,强细则,base_mentions_found,"矛盾对立统一-两点论重点论/联系整体部分/价值观导向/尊重规律-主观能动性/辩证否定",疑似遗漏待对比,"阅卷说明PPT细则明确；AI主题；base已有丰台一模提及但题级未确认"
2026朝阳一模,2026,一模,Q16或Q17,哲学,强细则,base_mentions_found,"尊重规律-主观能动性/联系-系统优化/对立统一/实践与认识关系/文化自信",疑似遗漏待对比,"中国农历智慧主题；Codex A定位为Q17；探索agent定位为Q16；需回源确认"
2026海淀一模,2026,一模,Q16,哲学与文化综合,弱参考答案,base_mentions_found,"发展的观点/社会存在与社会意识/价值观导向/文化功能",待核验,"参考答案仅列角度；试卷PDF 0字节"
2026石景山一模,2026,一模,Q17(1),哲学,强细则,base_mentions_found,"对立统一-阴阳平衡/具体问题具体分析-矛盾特殊性/系统思维-联系/发展观",疑似遗漏待对比,"中医药文化主题；细则明确8分"
2026西城一模,2026,一模,Q16,哲学与文化综合,强细则,base_mentions_found,"意识能动性-正确意识促进作用/联系观/发展观/价值观导向/文化功能",疑似遗漏待对比,"全民阅读主题；综合类题含哲学与文化双模块"
2026西城一模,2026,一模,Q21,哲学综合,强细则,base_mentions_found,"实践观/矛盾观/发展观/尊重规律-主观能动性",疑似遗漏待对比,"中国式现代化坚持探索主题；10分综合哲学题"
2026通州一模,2026,一模,-,缺证据,无可用文本,base_name_not_found_needs_question_audit,-,缺证据OCR失败,"试卷+评标均0字节；无法判断哲学题；Q17(2)若含辩证思维应为选必三边界"
2026延庆一模,2026,一模,Q16,哲学与文化综合,参考答案,base_mentions_found,"发展观/矛盾对立统一/辩证否定/联系/文化线(传承创新)",待核验,"永定河古渠主题；无正式阅卷细则"
2026房山一模,2026,一模,Q16(2),哲学,参考答案,base_mentions_found,"矛盾普遍性与特殊性统一/一切从实际出发/尊重规律-主观能动性/联系观",疑似遗漏待对比,"Codex A标注为强候选；房山产业发展主题"
