status,extractor,chars,lines,source,text_path,error
ok,pdf,160,20,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026东城一模 原卷扫描版.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__2026东城一模_原卷扫描版.pdf.txt,
ok,pdf,8330,344,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\2026北京东城高三一模政治（教师版）.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__2026北京东城高三一模政治（教师版）.pdf.txt,
ok,pdf,5580,270,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\26东城一模细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__26东城一模细则.pdf.txt,
ok,pdf,262,32,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模细则.pdf,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__东城一模细则.pdf.txt,
ok,pptx,1977,151,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\16.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__东城一模评标细则（勿传）__16.pptx.txt,
ok,pptx,1324,185,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\17.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__东城一模评标细则（勿传）__17.pptx.txt,
ok,pptx,1542,296,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\18+选择7、13.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__东城一模评标细则（勿传）__18+选择7、13.pptx.txt,
ok,pptx,158,31,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（1）.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__东城一模评标细则（勿传）__19（1）.pptx.txt,
ok,pptx,1517,180,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（2）.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__东城一模评标细则（勿传）__19（2）.pptx.txt,
ok,pptx,1360,190,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\东城一模评标细则（勿传）\19（3）.pptx,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\选必一_哲学宝典式重建_2026-05-16\12_full_desktop_extract_20260524\2026\texts\2026各区一模__2026东城一模__东城一模评标细则（勿传）__19（3）.pptx.txt,
