suite_id,parent_question,prior_status,prior_book_module,target_score,boundary_score,review_result
2024_丰台_二模,21,blocked,UNKNOWN_OR_MIXED,0,0,culture_component_added
2024_朝阳_二模,19,module-boundary-excluded,XB3_EXCLUDED,16,5,culture_component_added
2024_海淀_一模,16,blocked,UNKNOWN_OR_MIXED,1,0,culture_component_added
2024_海淀_期中,16,blocked,UNKNOWN_OR_MIXED,1,0,culture_component_added
2024_石景山_一模,3,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,0,4,culture_component_added
2025_东城_期末,21,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,10,8,culture_component_added
2025_房山_一模,16,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,53,21,culture_component_added
2025_朝阳_一模,16,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,20,7,culture_component_added
2025_门头沟_一模,16,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,29,4,culture_component_added
2025_顺义_一模,16,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,45,9,culture_component_added
2026_延庆_一模,16,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,14,5,culture_component_added
2026_延庆_一模,4,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,7,4,culture_component_added
2026_朝阳_一模,16,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,20,33,culture_component_added
2026_朝阳_一模,3,blocked,UNKNOWN_OR_MIXED,31,4,culture_component_added
2026_海淀_二模,2,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,9,2,culture_component_added
2026_石景山_二模,2,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,6,2,culture_component_added
2026_西城_期末,16,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,34,18,culture_component_added
2026_通州_一模,18,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,14,4,culture_component_added
2026_丰台_期末,2,blocked,UNKNOWN_OR_MIXED,0,0,culture_component_added
2026_丰台_期末,6,blocked,UNKNOWN_OR_MIXED,0,0,culture_component_added
