suite_id,question,operation,prior_book_module,prior_status,new_book_module,new_status,rule_id,matched_terms,evidence_source_type,evidence_source,evidence_text
2024_东城_二模,17,close_parent_remainder,UNKNOWN_OR_MIXED,blocked,XB3_EXCLUDED,module-boundary-excluded,REMAINING_COMPONENT_EXTRACTED_PARENT_REMAINDER_XB3,,,,
2024_丰台_二模,2,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B3_POLITICS_RULE_OF_LAW,included,REMAINING_B3_PARTY_INNOVATION_THEORY_YOUTH_PREACHING,"青年党员,党的创新理论,信仰者,传播者",ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_丰台_二模.txt,"信念如火,照亮前路。某地一支由 “80后”“90后”甚至“00后”青年党员主打的宣 讲团队,用小切口、身边事讲述着觉的创新理论,让越来越多年轻人与新思想碰出火 花、产生共鸣。让有信仰的青年来讲信仰,其意义在于 1以青年的视角,推动党的创新理论在群众心中落地生根 2通过生动故事佐证青年的拼搏奋斗,增强觉的创新理论的影响力 3借助理论创新的新渠道,提升广大青年的学习能力和道德修养 4让青年人做党的创新理论的信仰者、传播者、实践者,不断接续奋斗 A. 13 B. 14 C. 23 D. 24"
2024_石景山_一模,18(2),resolve_original_row,UNKNOWN_OR_MIXED,blocked,XB2_EXCLUDED,module-boundary-excluded,REMAINING_XB2_PROPERTY_SERVICE_DISPUTE_MEDIATION,"法官,物业服务合同,违约责任,调解协议,司法确认",paper,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,"(2)假如你是法官,请结合材料,运用法治知识,为老刘提供专业指导。(6 分)"
2024_西城_二模,9,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B4_CULTURE,included,REMAINING_B4C_MAINSTREAM_MEDIA_CONTENT_INNOVATION,"主流媒体,智慧+产品,内容创新,价值引领",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/0dbd7271f7bf108d.txt,"以“小笼包+现代城市+繁花”演绎的上海,在“XXL号冻梨”旁滑雪的黑龙江......网友对各地的奇异幻想,在央视网制作的视频《AI我中华》中得以呈现。用AIGC技术就可以生成行政区的地标图片和视频片段,听起来是不是很简单?但实操起来就像开盲盒,没人知道结果会怎样。因此,主流媒体推出“智慧+”产品,不仅要践行技术创新,更要重视 A.用数字技术主导设计方案及思想表达 B.以内容创新为行业赋能,提供价值引领 C.现代技术是一种支配事物和人的抽象力量 D.技术变革带来的理念重构、实践重塑、社会重组"
2024_顺义_二模,17,close_parent_remainder,UNKNOWN_OR_MIXED,blocked,XB2_EXCLUDED,module-boundary-excluded,REMAINING_COMPONENT_EXTRACTED_PARENT_REMAINDER_XB2,,,,
2025_东城_一模,3,resolve_original_row,UNKNOWN_OR_MIXED,blocked,XB1_EXCLUDED,module-boundary-excluded,REMAINING_XB1_ONE_COUNTRY_TWO_SYSTEMS_MACAU,"澳门,一国两制,爱国者治澳,国家发展大局",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/46c444a91d491a4f.txt,"澳门回归祖国 25 年来,在中央政府和祖国内地大力支持下,坚守“一国”之本,善用“两制”之利,经济快 速增长、民生持续改善、社会和谐稳定、发展空间愈加广阔 ......向世界展示了具有澳门特色 “一国两制”的 成功实践。这证明了 A.融入国家发展大局是“一国两制”的应有之义 B.爱国者治澳是澳门进步的重要力量 C.单一制的政权组织形式符合我国国情 D.发展是安全的前提,安全是发展的保障"
2025_东城_二模,3,close_parent_remainder,UNKNOWN_OR_MIXED,blocked,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,REMAINING_COMPONENT_EXTRACTED_PARENT_REMAINDER_B4P,,,,
2025_昌平_二模,7,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B3_POLITICS_RULE_OF_LAW,included,REMAINING_B3_GRAIN_SECURITY_LAW_GOVERNMENT,"粮食安全保障法,政府部门,法治体系,立法机关,协同治理",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/6e5080fb116ab8fc.txt,"《中华人民共和国粮食安全保障法》2024 年开始施行。政府部门依据该法逐步完善粮食安全法治体系, 围绕种子和耕地两个重点,配合立法机关制定耕地保护和质量提升法规,修订植物新品种保护条例,探 索建立耕地种植用途管控机制。以上措施 1为耕地保护、科技兴粮提供长期法治保障,稳定市场预期 2可避免国内粮价波动,提高防范和抵御粮食安全风险能力 3有利于推动协同治理,为端稳中国饭碗夯实法治根基 4有利于创新行政管理形式,切实保护农民的长远利益 A.12 B.13 C.24 D.34"
2025_海淀_期末,16(1),resolve_original_row,UNKNOWN_OR_MIXED,blocked,B2_ECONOMICS,included,REMAINING_B2_COFFEE_MARKET_PROSPECT_EXPLICIT_PROMPT,"运用《经济与社会》知识,市场前景,消费偏好,产品创新",paper,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,"(1)你更看好速溶咖啡还是现磨咖啡的市场前景?结合材料一和材料二,运用《经济与社会》知识,谈谈 你的看法。 材料三 在国内发展的同时,中国咖啡企业也开启了“出海”试验,以性价比、产品创新和营销为主 打,在东南亚、日韩和北美市场“多点开花”。 中国咖啡企业“出海”之路并非一帆风顺。消费品主要依赖品牌、产品、渠道竞争。不少海外市场已 经培养了成熟的咖啡文化,消费者习惯、口味等方面与国内市场存在一定差异。 “出海”需要提前建设供 应链等底层基础设施,各地咖啡原材料成本难降,中国咖啡企业在成本端和管理端尚不具备优势。此外, 知识产权保护方面也存在风险。近日,中国 L 公司诉泰国某公司侵犯商标权案以败诉落幕,后者甚至提起 反诉,向 L 公司索赔 100 亿泰铢。"
2026_东城_二模,13,resolve_original_row,UNKNOWN_OR_MIXED,blocked,XB3_EXCLUDED,module-boundary-excluded,REMAINING_XB3_JELLYFISH_CONCEPT_REASONING,"具有所有特征,一定正确,推理",paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/c751cfa77650b9c3.txt,"幽邃深海,蕴藏生命万象。有些水母具有内含毒液的刺细胞,在受到攻击时会发光,由中胶层提供浮力,没有气腔。礁环冠水母具有上述所有特征,以下情形一定正确的是 A.13 B.14 C.23 D.24"
