suite_id,missing_question,review_result,paper_or_ocr_q20_seen,candidate_q21_rows,top_level_q21_text_hits,evidence_source_types,evidence_text_paths,q20_evidence_text,decision_note
2024_朝阳_二模,21,accepted_actual_20_question_structure,yes,0,,paper;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/84218459671af8ac.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/9223488a4b5e6f80.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/f7c4cc4ac52ecefd.txt,"(8 分) 中国发展高层论坛始终秉承“ 与世界对话,谋共同发展” 的宗旨。 某班同学模拟中国发展高层论坛,举行 “ 完善全球气候治理” 主题研讨会。 【 研讨背景】 截至 2023 年 10 月, 全 球 平 均 近 地 表 温 度 比 1850—1900 年 的 平 均 值 高 1. 40 ± 0. 12°C ,这一趋势对全球粮食安全、生态安全、能源安全、基础设施安全以及民众生命财 产安全构成长期威胁。 全球约 90% 的过量碳排放源自美国等发达国家,《 联合国气候变化框架公约》 及其 《 巴黎协定》 均明确提出发达国家有义务率先大幅减排,并向发展中国家提供支持。 但 是,各国立场存在分歧:发达国家认为气候变化是全球经济高速发展的副产品,各国负有 共同责任,不应区别对待;一些发展中国家强调发达国家对气候变化负有历史责任,且具 备更充足的资金和先进技术,理应为发展中国家提供支持。 目前,发达国家的减排进展 和提供的资金、技术与科学要求和自身承诺相比存在极大差距。 全球气候治理凸显三大趋势:能源转型和技术创新成为迫切要求;气候问题“ 不平 等” 日益凸显;全球气候治理成败在于“ 落实行动” 。 结合研讨背景,运用《 当代国际政治与经济》 知识,完成下表。 【 开展研讨】􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 􀪋 研讨主题:完善全球气候治理 研讨人员:中国政府代表、全球商界领袖、国际组织代表和中外学者 完善全球气候治理应遵循的基本原则: 1 、 2 等 本次研讨各方达成的共识: 3",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2024_朝阳_期中,21,accepted_actual_20_question_structure,yes,0,,paper;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/0a50f76fd1e1c50f.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/0f8ea3bbe2629d2f.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/92a268ce852f6944.txt,"(23 分) 数字经济是以数据资源为关键要素,以现代信息网络为主要载体,以信息通信技术融合应 用、全要素数字化转型为重要推动力,促进公平与效率更加统一的新经济形态。 材料一 党的十八大以来,我国数字经济进入加速发展周期。 50% 25% 20% 15% 10% 5% 0% 40% 30% 20% 10% 0% 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023    4 ""  ! E! G E   4 ""  (%1! G   4 "" E (%1 E (1) 概括上图所反映的经济信息。 (4 分) 材料二 数字经济涉及诸多方面。 数据价值化 数据要素的核心在于其能够通过分析、处理和应用,转化为对经 济活动的有益洞察。 数据价值化包括但不限于数据采集、数据标准、 数据确权、数据标注、数据定价、数据交易、数据流转、数据保护等。 数字产业化 将数字技术转化为实际的产业,形成以信息通信技术为核心的产 业集群,具体包括电子信息制造业、电信业、软件和信息技术服务业、 互联网行业等。 产业数字化 传统产业应用数字技术所带来的产出增加和效率提升部分,包括 但不限于工业互联网、智能制造、车联网、平台经济等融合型新产业新 模式新业态。 数字化治理 以“ 数字技术 + 治理” 为典型特征的技管结合,以及数字化公共服 务等。 (2) 结合材料,运用《 经济与社会》 知识,分析数字经济在推动经济高质量发展方面如 何发挥作用。 (9 分) 高三思想政治试卷 第 8 页( 共 8 页) 材料三 2024 年 9 月,第三届全球数字贸易博览会在我国举办。 本届数贸会聚焦创 新、开放、共赢,吸引全球 32 个国家和地区的龙头企业参展。 【 汇集新产品】 本届数贸会“ 首发首秀” 新产品、新技术超过 400 项,数量是上届的 4 倍。 从陆地到 海洋,从低空到太空,“ 数智出行展区” 集聚了自动驾驶、低空经济、新能源三大板块的前 沿科技创新产品。 其中,近 90 家低空经济领域企业展出近 200 件展品,包含 14 件“ 首发 首秀” 产品。 【 打造新平台】 国际企业参展数量和面积占比均超 20% 。 本届数贸会围绕数字经济核心主题共签 约 36 个项目,其中包括 13 个世界 500 强或全球行业龙头企业投资项目,",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2024_海淀_一模,21,accepted_actual_20_question_structure,yes,0,,paper;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/4bc0edec2a08a90e.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/98d1d762f302004f.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/b692254ceb1b8174.txt,"(9 分)开展党史学习教育,以史鉴今、资政育人。 2024 年 2 月初,中共中央印发《党史学习教育工作条例》 ,并发出通知,要求各地区各部门 认真遵照执行。 党史学习教育工作条例 第二十一条 用好革命博物馆、纪念馆、党史馆、烈士纪念设施、革命旧址等红色 资源,保护利用好革命文物,精心设计展览陈列、红色旅游线路、学习体验线路,加强 革命传统教育、爱国主义教育、思想道德教育。 第二十二条 把党史学习教育融入重大主题宣传,与新中国史、改革开放史、社会 主义发展史、中华民族发展史宣传教育结合起来,加强舆论引导,弘扬主旋律,传播正 能量。 做好重要节庆日、纪念日和重大党史事件纪念工作,按照党中央有关规定办好已故 党和国家领导同志诞辰纪念活动,开展重大党史事件、重要党史人物和烈士纪念活动。 第二十三条 用好图书、报刊、广播、电影、电视等传播媒介,用好文学、影视、 音乐、戏剧、美术等艺术形式,充分发挥文献档案、红色书信、革命诗词等教育价值, 鼓励各地利用公共空间开展党史学习教育。 用好互联网技术和新媒体手段,通过党史网站(频道) 、网上纪念馆以及微博、微 信、短视频、移动客户端等网络平台,打造党史融媒体作品,增强党史学习教育吸引力 感染力。 某校团委面向高中学生征集党史学习教育的活动方案。结合个人体验和上述条例内容,综合 运用所学,完成下表。 党史学习教育活动方案设计 活动主题 (1 分) 活动内容 (2 分) 设计依据 (6 分)",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2024_海淀_期中,21,accepted_actual_20_question_structure,yes,0,,ocr-cache;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_海淀_期中.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/fee5258a9b7359d5.txt,"(9分)开展党史学习教育,以史鉴今、资政育人。 2024年2月初,中共中央印发《党史学习教育工作条例》,并发出通知,要求各地区各部门 认真遵照执行。 党史学习教育工作条例 第二十一条 用好革命博物馆、纪念馆、党史馆、烈士纪念设施、革命旧址等红色 资源,保护利用好革命文物,精心设计展览陈列、红色旅游线路、学习体验线路,加强 革命传统教育、爱国主义教育、思想道德教育。 第二十二条 把党史学习教育融入重大主题宣传,与新中国史、改革开放史、社会 主义发展史、中华民族发展史宣传教育结合起来,加强舆论引导,弘扬主旋律,传播正 能量。 做好重要节庆日、纪念日和重大党史事件纪念工作,按照党中央有关规定办好已故 党和国家领导同志诞辰纪念活动,开展重大党史事件、重要党史人物和烈士纪念活动。 第二十三条 用好图书、报刊、广播、电影、电视等传播媒介,用好文学、影视、 音乐、戏剧、美术等艺术形式,充分发挥文献档案、红色书信、革命诗词等教育价值, 鼓励各地利用公共空间开展党史学习教育。 用好互联网技术和新媒体手段,通过党史网站(频道)、网上纪念馆以及微博、微 信、短视频、移动客户端等网络平台,打造党史融媒体作品,增强党史学习教育吸引力 感染力。 某校团委面向高中学生征集党史学习教育的活动方案。结合个人体验和上述条例内容,综合 运用所学,完成下表。 党史学习教育活动方案设计 活动主题 (1分) 活动内容 (2分) 设计依据 (6分) 高三年级(思想政治)第8页(共8页)",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2024_石景山_一模,21,accepted_actual_20_question_structure,yes,0,,paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/935b8ea1e01b3ba5.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/f581620be44a4c2c.txt,"(8 分) 中国式现代化是强国建设、民族复兴的康庄大道。 中国式现代化既有各国现代化的共同特征,更有基于自己国情的鲜明特色。党的二十大报告明确概括了中国式现代化五个方面的中国特色,深刻揭示了中国式现代化的科 学内涵。 中国共产党领导人民前赴后继奋斗了百余年,为国家发展创造了诸多战略性有利条 件,使得中国式现代化和中华民族伟大复兴展现出前所未有的光明前景。 中国式现代化的五个特色 ◆ 人口规模巨大的现代化 ◆ 全体人民共同富裕的现代化 ◆ 物质文明和精神文明相协调的现代化 ◆ 人与自然和谐共生的现代化 ◆ 走和平发展道路的现代化 我国发展的诸多战略性有利条件 ◆ 中国共产党的坚强领导 ◆ 中国特色社会主义制度的显著优势 ◆ 持续快速发展积累的坚实基础 ◆ 长期稳定的社会环境 ◆ 自信自强的精神力量 结合材料中的一个特色,综合运用所学,分析上述战略性有利条件为何能在全面实 现中华民族伟大复兴中发挥作用。 参考答案 第一部分共15题,每题3分,共45分。",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2025_房山_一模,21,accepted_actual_20_question_structure,yes,0,,paper;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/17cdecfbd774ee79.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/3227fd51f2020c04.txt,"阅读材料,回答问题。 奋斗是指付出艰辛努力,战胜各种困难,去实现宏伟目标的过程。 新中国成立以来,我们党团结带领全国各族人民不懈奋斗,创造了经济快速发展和社会长期稳定两大 奇迹,中国发生沧海桑田的巨大变化,中华民族伟大复兴进入了不可逆转的历史进程,中国式现代化已经 展开壮美画卷并呈现出无比光明灿烂的前景。同时,前进道路不可能一马平川,必定会有艰难险阻,可能 遇到风高浪急甚至惊涛骇浪的重大考验,但任何困难都无法阻挡中国人民前进的步伐! 结合材料,综合运用所学,谈谈你对“奋斗”的理解。 第7页/共16页 参考答案 第一部分 本部分共 15 题,每题 3 分,共 45 分。在每题列出的四个选项中,选出最符合题目要求的一 项。",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2025_西城_二模,21,accepted_actual_20_question_structure,yes,0,,paper;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/06c08602a2f5c20b.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/cfb0f19ef38aafd7.txt,"(10 分)建设文化强国,事关中国式现代化全局。 中国共产党是具有高度文化自觉的马克思主义政党,历来重视文化建设。早在 1940 年,毛泽东同志就 在《新民主主义论》中提出: “我们不但要把一个政治上受压迫、经济上受剥削的中国,变为一个政治上 自由和经济上繁荣的中国,而且要把一个被旧文化统治因而愚昧落后的中国,变为一个被新文化统治因而 文明先进的中国。 ” 中国共产党的十八大以来,坚持把文化建设摆在治国理政突出位置,社会主义文化强国建设迈出坚实 步伐。2020 年,党的十九届五中全会提出到 2035 年建成文化强国的远景目标。此后,党的二十大、二十 届三中全会对如何建设文化强国都作出了顶层设计和明确部署。 习近平总书记指出, “加快建设文化强国,要始终坚持文化建设着 眼于人、落脚于人”。当前,文博场馆门庭若市,热门演出一票难求, “民俗游” “非遗游”充实假期......人们的文化需求不断得到释放,文 化供给不断升级,全国文艺从业者约 1350 万,国家级非物质文化遗产 代表性传承人近四千人。建设文化强国,我们在路上。 结合材料,综合运用所学,谈谈你对“始终坚持文化建设着眼于人、落脚于人”的理解。 (考生务必将答案答在答题卡上,在试卷上作答无效) 文化强国之“强”最终 要体现在人民的思想境界、 精神状态、文化修养上。 ——习近平 第8页/共10页 参考答案 第一部分共 15 题,每题 3 分,共 45 分。",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2026_东城_一模,21,accepted_actual_20_question_structure,yes,0,,paper;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/0dafc181e82eb031.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/16fa597a98fe48b9.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/3566266405cdbddd.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/4e0ae5b46ae638b9.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/5a07157a05d12bcf.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/99e851c9338f0983.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/aa63045ae3760258.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/bbcb45c7197fffbb.txt,"(8 分)生态文明建设是关系中华民族永续发展的根本大计。 中华民族向来尊重自然、热爱自然。 “天人合一” “道法自然”......绵延5000 多年的中华文明孕育着丰 富的生态智慧。在中国共产党的领导下,我国不断深化对生态文明建设的规律性认识,推进生态文明建设。 新中国成立之初,全国森林覆盖率仅为 8.6%,2025 年已提升至 25.09%。特别是党的十八大以来, “两 第8页/共10页 山”理念深入人心,我国生态文明建设发生了历史性、转折性、全局性变化。从“双碳”目标提出到在联 合国气候变化峰会宣布 2035 年新一轮国家自主贡献目标,充分展现了在世界百年未有之大变局中,我国推 进生态文明建设的战略定力。 如今,一幅生态美、产业兴、百姓富的美丽画卷铺展眼前。美丽中国建设正在书写人与自然和谐共生 的现代化新篇章。 结合材料,综合运用所学,就“我国不断深化对生态文明建设的规律性认识” ,谈谈你的理解。 第9页/共10页 参考答案 第一部分 选择题 本部分共 15 题,每题 3 分,共 45 分。 题号 1 2 3 4 5 6 7 8 答案 B A C A B D D A 题号 9 10 11 12 13 14 15 答案 D C C B C B A 第二部分 非选择题 本部分共 5 题,共 55 分。",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2026_延庆_一模,21,accepted_actual_20_question_structure,yes,0,,paper;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/2e0f67df1ab78a60.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/cc91930411716013.txt,"(9 分) 党的二十届四中全会深入分析国际国内形势,对“十五五”时期经济社会发展作出顶层设计和战略擘 画,审议通过了《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》 ,并明确指出了“十 五五”时期的重要地位。 实现社会主义现代化是一个阶梯式递进、不断发展进步的历史过程,需要不懈努力、接续奋斗。 “十 五五”时期是基本实现社会主义现代化夯实基础、全面发力的关键时期,在基本实现社会主义现代化进程 中具有承前启后的重要地位。 “十五五”时期我国发展环境面临深刻复杂变化,我国发展处于战略机遇和 风险挑战并存、不确定难预料因素增多的时期。我国经济基础稳、优势多、韧性强、潜能大,长期向好的 支撑条件和基本趋势没有变,中国特色社会主义制度优势、超大规模市场优势、完整产业体系优势、丰富 人才资源优势更加彰显。 结合材料,综合运用所学,谈谈对“实现社会主义现代化是一个阶梯式递进、不断发展进步的历史过 程,需要不懈努力、接续奋斗”的理解。 第8页/共9页 参考答案 第一部分共 15 题,每题 3 分,共 45 分。 题号 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 答案 B D A A C D B C D A B D B C C 第二部分共 5 题 共 55 分。",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
2026_石景山_二模,21,accepted_actual_20_question_structure,yes,0,,paper;rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/00b61bbb2c75b4be.txt;/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/404f493eede90c04.txt,"(10分) “十五五”时期是基本实现社会主义现代化夯实基础、全面发力的关键时期。北京市第十六届人大四次会议审议通过《北京市国民经济和社会发展第十五个五年规划纲要(草案)》,明确了“十五五”时期北京经济社会发展的主要任务和重要举措。 结合材料,综合运用所学,分析北京如何在中国式现代化建设大局中发挥作用。 参考答案 第一部分共15题,每题3分,共45分。",Paper/OCR evidence reaches Q20 and no candidate or line-start source-text hit supports top-level Q21.
