suite_id,parent_question,component_question,question_type,parent_prior_status,parent_prior_book_module,rule_id,matched_terms,basis,evidence_source_type,evidence_source,evidence_text
2024_丰台_二模,21,21#B4_CULTURE_COMPONENT,subjective,blocked,UNKNOWN_OR_MIXED,CULTURE_COMPONENT_NATIONAL_SPIRIT_STEPS_OF_CHINA,"弘扬民族精神,理想信念,个人与国家",细则拓展答案明确把“弘扬民族精神”列入认知层面；民族精神属于文化。,manual_verified_note,,"结合材料,综合运用所学,谈谈对“你的步伐就是中国的步伐”的理解。细则拓展答案: 认知层面:价值观、理想信念、弘扬民族精神; 实践层面:担当责任、砥砺奋斗。"
2024_海淀_一模,16,16#B4_CULTURE_COMPONENT,subjective,blocked,UNKNOWN_OR_MIXED,CULTURE_COMPONENT_NATIONAL_SPIRIT_DREAM_BOAT,"民族精神,梦舟,揽月,航天梦,诗词意象",评分细则明确“可从……民族精神等角度作答”；民族精神属于文化。,rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/b692254ceb1b8174.txt,"(8分)可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 【细则】 (20分) 第一问17(1)依靠科技,因地制宜发展农村“隐藏款土特产”,促进当地特色产业发展和经济结构优化,推动乡村产业振兴。国内南北多省份“隐藏款土特产”走俏,满足人民美好生活需要,促进当地就业,增加村民收入,推动区域协调发展。坚持扩大内需与深化供给侧结构性改革相结合,推进高水平对外开放。 角度 表述 现代化产业体系 2分 促进当地特色产业发展 / 经济结构优化 / 发展现代农业 / 深化供给侧结构性改革 推进乡村振兴 2分 增加就业、村民收入、满足人民群众美好生活需要、共同富裕 促进区域协调发展 1分 协调/ 优势互补 推进高水平对外开放 2分 国内国际双循环/ 新发展格局/ 国际竞争优势 第二问答案17(2) 京津冀三省市从协同发展的战略大局出发,抓住主要矛盾,科学精准地分析各自的功能定位和特色优势。 在此基础上,整体把握区域差异,共商合作大计,着力推动优势互补,携手绘就中国式现代化先行区、示范区的新图景。在分析与综合的对立统一中,把握各自发展特质,服务协同发展的战略大局,书写新篇章。 【细则】"
2024_海淀_期中,16,16#B4_CULTURE_COMPONENT,subjective,blocked,UNKNOWN_OR_MIXED,CULTURE_COMPONENT_CULTURAL_CONFIDENCE_DREAM_BOAT_PARALLEL,"梦舟,揽月,毛泽东诗词,航天梦,文化自信",题面与 2024 海淀一模同源，属于《哲学与文化》混合题；文化命名、诗词意象和航天梦部分进入文化组件。,ocr-cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_海淀_期中.txt,"(8分)中国新一代载人飞船命名为“梦舟”,月面着陆器命名为“揽月”。 中国空间站建造完成后,登陆月球成为中国人探索太空的下一个目标。按计划,我国将在 2030年前实现载人登陆月球开展科学探索。次实现这一目标,我国已于2023年底完成关键技术 攻关和方案研制工作。目前,长征十号运载火箭、“梦舟”载人飞船、“揽月”着陆器和登月服等已 完成方案阶段的各项研制工作,全面进入初样研 制阶段。 “梦舟”寓意载人月球探测承载中国人的航 天梦,开启探索太空的新征程,也体现了与神 水调歌头•重上井冈山 毛泽东 久有凌云志,重上井冈山。 千里来寻故地,旧貌变新颜。 丹、天舟飞船家族的体系传承。“揽月”取自毛 泽东同志诗词“可上九天揽月” ,彰显中国人探 可上九天揽月,可下五洋捉鳖,谈笑凯歌还。 世上无难事,只要肯登拳。 索宇宙、登陆月球的自信。 结合材料,运用《哲学与文化》知识,谈谈中国人探索宇宙、登陆月球何以自信。"
2024_朝阳_二模,19,19#B4_CULTURE_COMPONENT,subjective,module-boundary-excluded,XB3_EXCLUDED,CULTURE_COMPONENT_TRADITIONAL_CULTURE_MODERNIZATION,"中华优秀传统文化,中国式现代化,深厚底蕴",细则中第 19 题文化小问要求理解“中华优秀传统文化的特质赋予中国式现代化以深厚底蕴”。,paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/9223488a4b5e6f80.txt,"(16 分) 中华文明拥有五千多年不间断的历史,积淀形成辉煌灿烂的中华优秀传统文化,中 华优秀传统文化的特质赋予中国式现代化深厚底蕴,给予其精神和思想力量。 生生之宇宙观 宇宙处于生生不息的变化之中。 “ 天地之大德曰生” “ 富有之谓大业,日新之谓盛德, 生生之谓易” 。 宇宙永久的变易包含永远的革新,是生命的不断充实、成长、更新和展开。 一体之天人观 人类与天地为一体。 天地的交合生成了世界,赋予了人的身体和本性,所有人都是 天地生育的子女;不仅如此,万物和人类一样,也是天地所生。 因此,他人都是自己的同 胞,万物都是自己的朋友。 法天地之人生观 人应该效法天地之德。 “夫大人者,与天地合其德,与日月合其明,与四时合其序。” 天 之德在生育万物而不息,地之德在广阔博大,君子应学习天地之德,自强不息、厚德载物。 (1) 生生之宇宙观体现了辩证思维的 1 特征。 人效法天地之德体现的推理 类型是 2 推理。 (4 分) 高三思想政治 第 8 页( 共 8 页) (2) “ 夫大人者,与天地合其德,与日月合其明,与四时合其序。” 是哪种复合判断? 该 复合判断为真的条件是什么? (5 分) (3) “ 中华优秀传统文化的特质赋予中国式现代化以深厚底蕴” 。 结合材料,综合运 用所学,谈谈你对这句话的理解。 (7 分)"
2024_石景山_一模,3,3#B4_CULTURE_COMPONENT,objective,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,CULTURE_COMPONENT_CITY_SPIRIT,"城市精神,爱国精神,历史文化,价值追求",题面围绕北京市民精神、城市精神和历史孕育的价值追求，文化成分不能被社会意识/哲学边界吞掉。,paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/f581620be44a4c2c.txt,"3000 多年的建城史和近870 年的建都史培育了北京市民“天下兴亡、匹夫有责”的爱国精神,积极进取、追求进步的精神状态,胸怀坦荡、文明有礼的优秀品质,孕 育了这座城市德泽育人、容载万物的独特城市品格。可见,城市精神 1是一座城市软实力的重要体现,决定着城市的未来发展 2可能与经济发展实力相矛盾,先进社会意识往往带有超前性 3具有鲜明的区域性和时代性,是一座城市独特的精神气质 4植根于一座城市的深厚历史,反映出市民所认同的价值追求 A.12 B.13 C.24 D.34"
2025_东城_期末,21,21#B4_CULTURE_COMPONENT,subjective,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,CULTURE_COMPONENT_TRADITIONAL_CULTURE_MUSEUM,"中华优秀传统文化,博物馆,传统文化",整题虽含哲学角度，但文化材料和文化采分点明确，应抽取文化组件。,paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/8eda36bd87dba194.txt,"【分析】本题要求结合材料,综合运用所学,谈谈你对“中国式现代化,民生为大是价值取向,更是 实践要求”这句话的理解,属于分析说明类试题,具有开放性,紧扣设问话题,可从党的领导、以人民 第20页/共20页 为中心、法治、公共服务、实践、发展、价值观、中华优秀传统文化等角度作答。 【解答】1坚持以人民为中心的发展思想,中国共产党坚持人民的主体地位,坚持立党为公、执政为民, 践行全心全意为人民服务的根本宗旨,把党的群众路线贯彻到治国理政全部活动之中,把人民对美好生 活的向往作为奋斗目标,依靠人民创造历史伟业,民生无小事枝叶总关情,中国式现代化,民生为大。 2人民群众是历史的创造者,坚持群众观点,群众路线。江山就是人民,人民就是江山。坚持正确的价 值判断和价值选择,维护好、发展好人民群众的根本利益。 3我国是人民民主专政的社会主义国家,其本质是人民当家作主,社会主义民主是最广泛、最真实、最 管用的民主,是全过程、全链条、全覆盖的民主。因此发展为民生、治理重民生。 【点评】回答分析说明类问题,主要按以下思路进行: 第一步,精析材料,把握主题。这是解题的基础,可有效避免“文不对题”和“答非所问”的现象。 第二步,围绕主题,回归教材。以试题反映出的问题为中心与教材联系,找出材料与教材的“结合点” 。 第三步,紧扣题意,合理作答。通常,我们只要将教材中的基本原理与材料一一对应,用理论分析 材料即可。"
2025_房山_一模,16,16#B4_CULTURE_COMPONENT,subjective,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,CULTURE_COMPONENT_MUSEUM_HEAT_RUBRIC,"优秀文化的传承,创造性转化,创新性发展,文化自信,文化功能",细则明确文化 4 分、哲学 3 分；文化 4 分必须独立进入文化宝典准备账本。,rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/17cdecfbd774ee79.txt,"(15 分) (1)(7 分) “博物馆热”是传统文化与现代科技相互联系作用的结果,既赋能经济发展彰显文化自信,也折射 发展中的矛盾问题,需要用一分为二的观点去看。要让博物馆真热,一方面在科技赋能中促进中华 优秀传统文化创造性转化和创新性发展, 另一方面参与者要树立正确的价值观,把握 “守正与创新” 的关系,最终让博物馆在促进文化传承和社会发展的价值充分释放。 细则: 文化(4 分): 优秀文化的传承(1 分) 中华优秀传统文化创造性转化和创新性发展(文化创新) (1 分) 文化自信(1 分) 文化载体、丰增促(文化功能)、满足人民美好生活需要,任何一点为(1 分) 哲学(3 分): 要树立正确的价值观、或者正确的价值判断和价值选择(1 分) 用一分为二全面的观点去看问题(2 分)、或者写矛盾、辩证的看问题(1 分) 以上两点均没有,或者只写其中一点的,写联系、发展、具体问题具体分析、一切从实际出发、正 确的意识等(1 分) (2)(4 分) 示例1: 具有教育功能的场所是保护和传承人类文明的重要殿堂; 博物馆是具有教育功能的场所; 所以,博物馆是保护和传承人类文明的重要殿堂。 细则: 前提为真,推理结构正确(符合三段论基本规则)4 分 只写出前提(正确),没写结论3 分 其他错误不得分 (3)(4 分) 示例: 1运用发散思维中的借用方法,开发“考古探秘+角色扮演”沉浸式研学路线,感受西周建城历史, 打造多维体验。 2运用逆向思维,对青铜器等文物的存在状态做转换性思考,利用 AI 生成动态视频等,扩大年轻 群体关注度。 细则:"
2025_朝阳_一模,16,16#B4_CULTURE_COMPONENT,subjective,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,CULTURE_COMPONENT_TRADITIONAL_CULTURE_INHERITANCE,"中华优秀传统文化,文化传承,中华文明",题面/答案含中华优秀传统文化与文化传承，原哲学边界只能排除非文化余项，不能抹掉文化采分点。,paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/e051761a7fc68fef.txt,"(8 分)中华优秀传统文化在新时代绽放新光彩。国产动画电影持续实现票房和口碑双丰收。  《长安三万里》引发了全国上下的唐诗热、传统文化热,钩沉出绵延千年的中华文明的独特魅力, 其出品公司负责人说, “要让中华民族储备千年的优秀故事一代代传承下去。在这条路上走得越久,就越 第5页/共10页 能感受到中华文化是一个巨大的宝藏。 ”  《哪吒之魔童闹海》的创作团队依托中国电影视效技术 ,精心雕琢每一个细节, 取得突破性成果。 这部电影的关键戏份,历经特效团队九个月努力才完成,为整部电影情节的推进、哪吒形象的塑造发挥了 重要作用。  在一位导演看来,国产动画电影取得成功并非偶然。 “随着中国经济社会的发展,当人民群众的 艺术生活需求达到一定阶段的时候,自然会有这么大的市场来承载这样的作品,来包容这样的创作者。 ” “我们遇上了一个好时代,所以才有这样的机会去做自己喜欢的事,去心无旁骛地投入创作,最终还能得 到相应的回报。 ” 结合材料,运用《哲学与文化》知识,说明为什么国产动画电影能够让中华优秀传统文化在新时代绽 放新光彩。"
2025_门头沟_一模,16,16#B4_CULTURE_COMPONENT,subjective,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,CULTURE_COMPONENT_TRADITIONAL_CULTURE_DOUBLE_CREATION,"中华优秀传统文化,创造性转化,创新性发展,文化自信",题面/细则具有传统文化双创与文化自信成分，应抽入文化组件。,paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/1d8a23fe11f59810.txt,"【答案】文化角度可从文化的传承与创新、中华优秀传统文化的创造性转化与创新性发展、文化自信和 文化认同、文化与经济的关系等角度作答;哲学角度可从联系观、发展观、对立统一、价值判断和价值选 择等角度作答。 等级水平 等级描述 水平 4 观点鲜明,能明确表达自己 的见解;紧扣问题,综合运用所学知识展开论述;逻辑严密, 条理清晰 水平 3 观点比较明确,能表达自己的见解;能扣住问题展开论述,知识运用比较准确;逻辑性较 强,有条理 水平 2 观点不明确;论述不能集中指向问题,罗列知识;知识运用不正确;论述缺乏逻辑,条理 性差 水平 1 应答与试题无关;或重复试题内容;或没有应答"
2025_顺义_一模,16,16#B4_CULTURE_COMPONENT,subjective,module-boundary-excluded,B4_PHILOSOPHY_EXCLUDED,CULTURE_COMPONENT_TRADITIONAL_CULTURE_CONFIDENCE,"中华优秀传统文化,创造性转化,创新性发展,文化自信",题面/细则具有传统文化双创与文化自信成分，应抽入文化组件。,rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/bef8332e23ce30ac.txt,"(8分) 可从联系、发展、矛盾、中华文化与中华文明、文化功能等角度作答。 文化角度:文化载体、文化功能、中华文化与中华文明、双创 双创——以文化载体承载中华优秀传统文化——创造性转化、创新性发展(转化为符合时代特点和要求的新内涵和新的呈现形式,如当代价值、《哪吒2》、黑悟空、唐宫夜宴等)——满足人民多样化、多层次、多方面的精神文化需求,增强文化自信 哲学角度:规律(文化发展规律)、联系(文化与科技融合)、发展(发展的普遍性、质量变)、矛盾(对立统一、普特关系)、价值观等 联系——文化与科技融合——借助3D建模、动态水墨等技术手段——展现中华文化与中华文明 发展——发展的普遍性——人类社会和人的认识都是不断发展的——“古老的”的优秀传统文化借助科技焕发新的生机与活力 矛盾——具体问题具体分析——“古老的”中华优秀传统文化,各具特色——满足人民多样化、多层次、多方面的精神文化需求——重获“新生” 具体采分点为: 7-8:围绕“中国优秀传统文化的新的表达方式”,从“如何做”(论述的重点)的角度,用哲学与文化综合的方法,准确论述,逻辑清晰,观点鲜明,表达准确。(哲学+材料+文化或文化+材料+哲学,至少3个知识点) 5-6:围绕“中国优秀传统文化的新的表达方式”,从“如何做”的角度,用哲学或文化中的相关知识,应用准确,观点有条理。(哲学+材料或文化+材料,2个知识点) 3-4:单列哲学或文化中的知识,不能扣题,缺乏逻辑。 1-2:观点不明确,应答没有条理。 0:原封不动抄材料,或虽有顺序调整,有个别词语变化,但内容本质上也是对材料的抄写 优秀试卷 17(1) 答案:条件:杭州既获得科创基金的支持又成为科创人才高地。理由:甲是充分条件假言判断,如果有前一种情况就必有后一种情况;乙是必要条件假言判断,如果没有前一种情况就一定没有后一种情况。由甲乙均为真实回答,可知杭州既获得科创基金的支持,又是科创人才高地。丙是相容选言判断,一个相容选言判断是真的,要求它的选言支中至少有一个是真的,也可以都是真的。因此,当杭州既获得科创基金支持又成为科创人才高地的时候,丙的判断也为真。 因此,上述判断为真的条件是杭州是由于杭州既获得科创基金的支持又成为科创人才的高地。 评分细则:评分细则:1.条件:1分(既┄┄又┄┄)2.理由:3分(1+2 具体采分点:(1)能够准确并全部写对三位同学判断类型,给1分(如:甲—充分条件假言判断,乙—必要条件假言判断,丙—相容选言判断)(2)三个判断类型中,有一个具体分析准确,即可得2分 优秀试卷 存在问题:1.没读懂设问:缺少条件,只分析三个观点;2.推导错误:只写出了一部分条件;3.基础知识不扎实:判断类型错误。 17(2) 答案:构建优质高效的企业政策服务体系,健全企业成长要素保障,让更多中小企业成为高质量发展的生力军。政府要简政放权,利用数字化手段赋"
