operation,suite_id,question,parent_question,row_granularity,book_module,status,rule_id,matched_terms,basis,evidence_source,source_types
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,1,,question,B2_ECONOMICS,included,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,10,,question,B4_CULTURE,included,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,11,,question,XB3_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,12,,question,XB3_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,13,,question,XB3_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,14,,question,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,15,,question,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,16,,question,B2_ECONOMICS,included,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,17,,question,XB1_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,18,,question,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,19,,question,B4_CULTURE,included,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,2,,question,XB1_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
split_midterm_row_from_contaminated_suite,2026_朝阳_期中,20,,question,XB3_EXCLUDED,module-boundary-excluded,CHAOYANG_2026_MIDTERM_SPLIT_FROM_CONTAMINATED_SUITE,,朝阳期中源文件从错误的 2026_朝阳_期末 suite_id 拆回 2026_朝阳_期中。,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,paper
