suite_id,missing_question,review_result,added_matrix_rows,resolved_gap,evidence_type,evidence_source,evidence_text,decision_note
2024_西城_一模,20,accepted_absent_actual_19_question_structure,0,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,第二部分 本部分共4题，共55分。Top-level questions end at 19．（31分）; no 20． marker appears before the answer-card notice.,Original DOCX second part contains Q16-Q19 only; no top-level Q20 marker was found.
2024_西城_一模,21,accepted_absent_actual_19_question_structure,0,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,第二部分 本部分共4题，共55分。Top-level questions end at 19．（31分）; no 21． marker appears before the answer-card notice.,Original DOCX second part contains Q16-Q19 only; no top-level Q21 marker was found.
2024_西城_一模,5,true_top_level_question_original_docx,1,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,法律不是冰冷的，司法工作也是做群众工作。综合上述信息，可以看到司法机关坚持以事实为根据、以法律为准绳，在定分止争中传递司法善意、展现司法担当、促进社会和谐。,Original DOCX shows Q5 between Q4 and Q6; prior extraction missed the visible marker.
2024_西城_二模,15,true_top_level_question_original_docx,1,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,15．一个“间”字，画出一幅场景：两扇门的门缝中有一个月亮。以下分析正确的是：表象是文字发明之源；古人运用联想和类推；思维具体提纯为思维抽象。,Original DOCX shows Q15 before the second-part heading; prior extraction missed this top-level objective item.
2024_西城_二模,20,accepted_absent_actual_19_question_structure,0,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,"第二部分 本部分共4题，共55分。Top-level subjective questions are 16．, 17．, 18．, 19．; no 20． marker appears.",Original DOCX second part says four questions and lists Q16-Q19 only.
2024_西城_二模,21,accepted_absent_actual_19_question_structure,0,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,"第二部分 本部分共4题，共55分。Top-level subjective questions are 16．, 17．, 18．, 19．; no 21． marker appears.",Original DOCX second part says four questions and lists Q16-Q19 only.
2024_顺义_二模,14,true_top_level_question_hidden_number_original_docx,1,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,金砖国家是新兴市场与发展中国家间的合作机制，金砖合作机制走过18年的历程，越来越多志同道合的伙伴参与其中。下列说法正确的是：国家利益、全球治理、国际组织等判断。,Original DOCX places this BRICS objective item between Q13 and Q15; the leading number was lost in extraction.
2024_顺义_二模,21,accepted_absent_actual_20_question_structure,0,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,Original-paper review previously accepted hidden Q20; no top-level Q21 marker appears after the Q20 span.,"After the already accepted hidden Q20 span, original DOCX has no reliable top-level Q21 marker."
2024_顺义_二模,9,true_top_level_question_hidden_number_original_docx,1,yes,original_docx_text,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,新修订的《中华人民共和国保守国家秘密法》自2024年5月1日起施行。条文涉及坚持中国共产党对保守国家秘密工作的领导、保密科技研究和总体国家安全观相关判断。,Original DOCX places this State Secrets Law objective item between Q8 and Q10; the leading number was lost in extraction.
2026_丰台_一模,5,true_top_level_question_ocr_marker,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_一模.txt,、5.量子通信是怎么实现“加密”的？量子通信的核心技术是量子密钥分发。选项涉及新的具体联系、认识深化、客观条件、意识具有直接现实性。,OCR page context shows a top-level marker rendered as 、5. before the quantum communication item.
2026_丰台_一模,9,true_top_level_question_ocr_marker,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_一模.txt,9. 元宵节猜灯谜题，围绕谜面、谜目和谜底设置判断，选项涉及外延、属种关系和联言判断。,OCR page context shows a top-level Q9 marker before the lantern-riddle logic item.
