suite_id,missing_question,triage_status,recommended_action,raw_marker_confidence,candidate_source_types,candidate_count,best_candidate_file,best_candidate_snippet,raw_marker_text_path,raw_marker_snippet
2024_东城_一模,4,paper_or_ocr_missing_but_auxiliary_present,repair_primary_question_split_high_confidence,high,rubric,2,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,"关系类试题应该是二者相互作用,学生只谈未来产业引导传统产业转型,不谈传统产业对未来产业的支撑作用。 【经典试题回顾】 (1)1任何事物都要经历肯定、否定,再到否定之否定的辩证发展过程(或“辩证否定是联系和发展的环节”或“看待事物不能简单的肯定或否定一切”)。(1分)全面布局末来产业需要贯彻创新发展理念,要破除一些旧的生产方式、旧模式等,(1分)但不是完全抛弃,(1分)而是坚持辩证否定,用扬弃的方式实现传统生产方式、旧式的优化改造。(1分) 2坚持用发展的观点看问题,应热情支持和悉心保护新事物。(1分)全面布局未来产业要积极探索和支持新赛道、新技术、新生产方式,新模式等,(1分)要符合人民群众的根本利益和要求(或“以市场为导向”),(1分)推进供给侧结构性改革和扩大内需相结合,发展未来产业。(1分) 3系统的基本",/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2024_东城_一模.txt,"4 问卷调查统计情况 个公交站台存在障碍物、过街斑马线不够宽。 个上学时段公交车拥挤、容易堵车不准时。 个接送学生车辆乱停乱放。 某校学生围绕学校周边交通状况进行了调研(调研结果见上)。针对上述情况,下列 建议最适合的是 1加强校园周边交通勤务部署和指挥,引导车辆即停即走 2推进智慧交通建设,公交公司及时推送交通信息 3推出通学公交车服务,为学生上下学提供新选择 4人大代表应行使国家权力,督促有关部门完善相关交通基础设施 A. 13 B. 14 C.23 D.24"
2024_朝阳_二模,21,likely_actual_20_question_paper,accept_20_question_structure_after_source_spotcheck,,,0,,,,
2024_朝阳_期中,21,likely_actual_20_question_paper,accept_20_question_structure_after_source_spotcheck,,,0,,,,
2024_海淀_一模,21,likely_actual_20_question_paper,accept_20_question_structure_after_source_spotcheck,,,0,,,,
2024_海淀_期中,21,likely_actual_20_question_paper,accept_20_question_structure_after_source_spotcheck,,,0,,,,
2024_石景山_一模,21,likely_actual_20_question_paper,accept_20_question_structure_after_source_spotcheck,,,0,,,,
2024_西城_一模,5,source_or_ocr_missing_no_candidate,raw_source_manual_inspection_needed,,,0,,,,
2024_西城_一模,20,source_or_ocr_missing_no_candidate,raw_source_manual_inspection_needed,,,0,,,,
2024_西城_一模,21,source_or_ocr_missing_no_candidate,raw_source_manual_inspection_needed,,,0,,,,
2024_西城_二模,1,paper_or_ocr_missing_but_auxiliary_present,raw_marker_candidate_visual_check,low,marking-report rubric,6,/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pdf,社会主义社会基本矛盾的性质(非对抗性矛盾)?如何解决 (改革——社会主义制度的自我完善和发展)?这一解决方式的 地位作用(改革是社会主义社会发展的直接动力)和根本目的(两个相适应)?,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/0dbd7271f7bf108d.txt,"1 J 县文化和旅游局应当提供证据证明其行为的合法性 2法庭辩论和宣告判决是整个诉讼过程中最重要的环节 3人民法院应当严格按照民事诉讼法规定的程序进行审理 4 J 县文化和旅游局可以在一审判决书下达后15日内提起上诉 A.12 B.14 C.23 D.34 12.2018年王某因个人做生意的需要,向朋友借款3万元,一直未还。2020年王某和赵某登记结婚。2021年,赵某基于遗嘱继承了父亲指定给她的房子。现在,王某和赵某感情破裂,准备协议离婚。王某表示,他这两年炒股所用的本金10万元是他的工资奖金,因此炒股所得的5万元收益属于自己的“私房钱”,不是夫妻共同财产。下列观点正确的是 A.王某所欠的3万元是其个人债务,而非夫妻共同债务 B.炒股本金10万元属于王某个人财产,炒股所得的5万元收益属于夫妻共同财产 C.赵某"
