suite_id,missing_after_raw_source_inspection,resolved_by_raw_source_inspection,matrix_rows_added_for_questions,accepted_absent_structure_questions,unresolved_reason
2024_东城_一模,,,,,
2024_朝阳_二模,,,,,
2024_朝阳_期中,,,,,
2024_海淀_一模,,,,,
2024_海淀_期中,,,,,
2024_石景山_一模,,,,,
2024_西城_一模,,5;20;21,5,20;21,
2024_西城_二模,,15;20;21,15,20;21,
2024_顺义_二模,,9;14;21,9;14,21,
2025_房山_一模,,,,,
2025_西城_二模,,,,,
2026_东城_一模,,,,,
2026_丰台_一模,,5;9,5;9,,
2026_丰台_二模,,15,15,,
2026_丰台_期末,,2;6;7;12,2;6;7;12,,
2026_延庆_一模,,,,,
2026_房山_一模,,5;8;21,5;8,21,
2026_石景山_二模,,,,,
2026_西城_一模,,12;14,12;14,,
2026_西城_二模,,,,,
2026_西城_期末,,9,9,,
