suite_id,question,operation,prior_book_module,prior_status,new_book_module,new_status,rule_id,matched_terms,basis,evidence_source_type,evidence_source,evidence_text
2024_顺义_二模,19(1),resolve_original_row,UNKNOWN_OR_MIXED,blocked,B2_ECONOMICS,included,CULTURE_HINT_B2_FULL_SUBQUESTION_NEW_QUALITY_PRODUCTIVE_FORCES,"社会主义基本经济制度,新质生产力,要素参与收入分配,市场经济体制,国有经济,非公有制经济",第19(1)问设问明确要求从社会主义基本经济制度角度说明新质生产力跃升，细则均为 B2 经济采分点；原 B2 组件升格为整小问，去掉冗余组件行。,rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/f986728ea555a6ed.txt,"(15分) (1)要健全要素参与收入分配机制,激发劳动、知识、技术、管理、资本和数据等生产要素活力,更好体现知识、技术、人才的市场价值,营造鼓励创新的良好氛围,为培育新质生产力提供人才支撑。 深化社会主义市场经济体制改革,发挥新型举国体制优势,建立高标准市场体系,创新生产要素配置方式,使有效市场与有为政府更好结合,让各类先进优质生产要素向发展新质生产力顺畅流动。 发挥国有经济主导引导作用,推动国有经济向前瞻性战略新兴产业集中,发挥其他所有制经济的优势/鼓励、支持、引导非公有制经济发展,支持和帮助非公有制企业提供企业管理水平,完善管理体制桐柏同,提高生产技术水平和研发能力,使各种所有制经济互相取长补短、共同促进新质生产力的发展。 (2)综观人类社会发展的进程和趋势,生产力是最活跃、最革命的因素,总是处在不断进步的变化中,是社会发展的最终决定力量。我国积极推动新质生产力发展是遵循人类社会发展规律的必然要求。 当前国际竞争的实质是以经济和科技实力为基础的综合国力的较量。新质生产力对于提高我国的实力,增强核心竞争力具有重要意义,强大的国家实力有利于更好的维护我国的国家利益和增强在国际事务中的话语权,有利于世界多极化深入发展,构建人类命运共同体。谋划发展新质生产力是政府的职责所在。 以人民为中心的发展理念,有利于满足人民日益增长的美好生活需要,提升人民的幸福感、安全感、获得感。"
2024_顺义_二模,19(2),resolve_original_row,UNKNOWN_OR_MIXED,blocked,XB1_EXCLUDED,module-boundary-excluded,CULTURE_HINT_PARENT_REMAINDER_XB1_AFTER_B3_COMPONENT,"当代国际政治与经济,国际竞争,国家利益,世界多极化,人类命运共同体",第19(2)问同时限定《政治与法治》和《当代国际政治与经济》；B3 采分点另抽组件，父题余项按 XB1/综合边界关闭。,rubric,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/f986728ea555a6ed.txt,"(15分) (1)要健全要素参与收入分配机制,激发劳动、知识、技术、管理、资本和数据等生产要素活力,更好体现知识、技术、人才的市场价值,营造鼓励创新的良好氛围,为培育新质生产力提供人才支撑。 深化社会主义市场经济体制改革,发挥新型举国体制优势,建立高标准市场体系,创新生产要素配置方式,使有效市场与有为政府更好结合,让各类先进优质生产要素向发展新质生产力顺畅流动。 发挥国有经济主导引导作用,推动国有经济向前瞻性战略新兴产业集中,发挥其他所有制经济的优势/鼓励、支持、引导非公有制经济发展,支持和帮助非公有制企业提供企业管理水平,完善管理体制桐柏同,提高生产技术水平和研发能力,使各种所有制经济互相取长补短、共同促进新质生产力的发展。 (2)综观人类社会发展的进程和趋势,生产力是最活跃、最革命的因素,总是处在不断进步的变化中,是社会发展的最终决定力量。我国积极推动新质生产力发展是遵循人类社会发展规律的必然要求。 当前国际竞争的实质是以经济和科技实力为基础的综合国力的较量。新质生产力对于提高我国的实力,增强核心竞争力具有重要意义,强大的国家实力有利于更好的维护我国的国家利益和增强在国际事务中的话语权,有利于世界多极化深入发展,构建人类命运共同体。谋划发展新质生产力是政府的职责所在。 以人民为中心的发展理念,有利于满足人民日益增长的美好生活需要,提升人民的幸福感、安全感、获得感。"
2025_东城_期末,19(2),resolve_original_row,UNKNOWN_OR_MIXED,blocked,B3_POLITICS_RULE_OF_LAW,included,CULTURE_HINT_B3_STAKEHOLDER_IDENTIFICATION_COMMUNITY_GOVERNANCE,"街道办事处,消防部门,居民,物业,利益相关方",第19(2)问要求识别电动自行车治理中的利益相关方，答案给出街道办事处、消防部门等公共治理主体，归入 B3 低密度题源；第19(3)仍保留基层自治组件。,paper,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/8eda36bd87dba194.txt,"【分析】(1)本题要求回答材料中面临的法律问题。 “电动自行车存放、充电场所应当配备必要的消防 器材,充电设施应当具备充满自动断电功能。 ”可知面临充电柜是否符合安全标准的问题。 “改变共有部 分的用途或者利用共有部分从事经营活动。 ”可知面临公共区域的所有权问题。 (2)本题要求回答解决电动自行车“安家难”涉及的利益相关方。甲和乙的观点说明社区电动自行车 的充电问题涉及居民;丙的观点说明涉及物业、街道办事处和消防部门等利益相关方。 第19页/共20页 (3)本题要求回答如何更好地解决居民分歧,达成共识。从《政治与法治》的角度看,解决社区居民 的问题,最好发挥基层群众自治的作用,通过召开居民会议,居委会介绍方案并进行民主协商、民主决 策,就充电柜设置问题达成共识。从《法律与生活》的角度看,解决邻里之间的问题,应该按照方便生 活、团结互助、公平合理的原则,正确处理相邻关系。 【解答】(1) 充电柜是否符合安全标准、公共区域的所有权等; (2) 街道办事处、消防部门等; (3) 1应当按照方便生活、团结互助、公平合理的原则,正确处理相邻关系,促进和谐。 2通过召开居民会议,居委会介绍方案并进行民主协商、民主决策,就充电柜设置问题达成共识。 【点评】(1)(2)属于简答题,难度较低。解答此类主观题需要考生夯实基础,加强知识储备,准确获 取和解读材料信息,直问直答,无需作过多分析。 (3)本题为措施类试题,解答这类题目时采用定点法,具体的解题思路是: 一是从教材找方法。要认真回想教材相关方面的知识,不能随意乱想。 二是从材料中找方法。如果材料呈现的是问题,那么材料中问题的反面就是方法。 三是从当前时政热点和党和国家重大政策中找方法。具体的解题程序:定点--联系--疏理--作答。"
2025_延庆_一模,1,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B1_EXCLUDED,module-boundary-excluded,CULTURE_HINT_YANQING_Q1_ANSWER_A_REFORM_B1,"答案A,全面深化改革,中国式现代化,制度环境",答案键显示第1题为 A；正确项落在进一步全面深化改革与中国式现代化制度环境，非 B2/B3/B4_CULTURE 主链。,paper+answer_key,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/94785525e6452e6f.txt | /Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/c0a3990e95796ddd.txt,"党的二十届三中全会强调,面对纷繁复杂的国际国内形势,面对新一轮科技革命和产业变革,面对人民 群众新期待,必须自觉把改革摆在更加突出位置,紧紧围绕推进中国式现代化进一步全面深化改革。对此 理解正确的是( ) A. 全面深化改革破除体制机制障碍,为科技产业创新创造良好制度环境 B. 改革永无止境,实践水无止境,改革决定我国进行新一轮的产业变革 C. 全面深化改革是中国式现代化的根本动力,为中国式现代化务实物质基础 D. 全面深化改革必须坚持以人民为中心,满足人们对美好生活的各种需求 延庆区2024-2025学年高三模拟试卷参考答案 思想政治 第一部分共15题,每题3分,共45分。 题号 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 答案 A B C D D C A C A D B C B D A 第二部分共6题 共55分。 16.(8分) 网络文艺作品的创作要从实际出发,充分了解老年人的精神文化需要,为老年人提供丰富的文化产品(3分);网络文艺作品的创作要坚持正确的价值导向,立足时代,创作表现新时代中老年人老有所为为家庭文明、社会发展、国家进步贡献“银发力量”的故事(3分);网络文艺作品的创作要满足群众多层次多样化的精神文化需求,坚持社会效益和经济效益的统一(2分)。 细则:只答哲学或文化最高7分;每个观点2分材料1分,(可以从一切从实际出发、矛盾、价值观、文化发展的基本途径等角度作答。) 17. (8分) 坚持党对民营经济立法的领导,充分发挥协商民主优势,人大代表们政协委员为民营经济发展建言献策,形成广泛的社会共识,推动民营经济相关法律的制定和完善。(2分) 草案公开征求意见是开门立法的重大实践,通过科学立法、民主立法、依法立法更好回应社会关切,凝聚共识,提高民营经济促进法立法质量。(2分) 不断完善涉及民营经济发展的法律法规体系,从法律层面明确民营经济的地位和作用,保障民营经济的合法权,为民营经济提供坚实的法治保障。(2分) 坚持党的领导、人民当家作主与依法治国有机结合,为民营经济提供了坚实的制度保障和良好的发展环境(2分) 细则:协商民主1分,结合材料分析1分(落脚在凝聚共识方面);科学立法、民主立法、依法立法(可替代)1分,结合材料分析1分(落在共识或护航)。完善法律体系或从法律层面明确民营经济地位1分,结合材料分析1分(落在护航)。“有机结合”1分,材料分析1分(总括),只党的领导1分。 (7分) 答案:采用分析与综合、质量互变,辩证否定,矛盾分析法等 等级水平 等 级 描 述 水平4(6-7分) 观点鲜明,能明确表达自己的见解;紧扣问题,综合运用所学知识展开论述;逻辑严密,条理清晰 水平3"
2025_延庆_一模,8,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B1_EXCLUDED,module-boundary-excluded,CULTURE_HINT_YANQING_Q8_ANSWER_C_PARENT_REMAINDER,"答案C,道路自信,新的伟大斗争",答案键显示第8题为 C，正确项 2/4 指向道路自信和新的伟大斗争；长征精神文化组件已单独入账，父题余项按 B1 边界关闭。,paper+answer_key,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/94785525e6452e6f.txt | /Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/c0a3990e95796ddd.txt,"长征是人类历史上的伟大奇迹,是中国革命发展史上的里程碑,红军长征的伟大胜利彪炳史册。革命理 想高于天,不怕牺牲、排除万难去争取胜利,面对形形色色的敌人决一死战、克敌制胜,这些都是长征精 神的内涵。 长征历经坎坷取得胜利,这启示我们( ) 1要发挥意识的决定作用,坚定理想信念,化失利为胜利 2要正确看待现代化建设新征程中的困难,坚持道路自信 3要以实践为先导应对纷繁复杂的国际形势,化危为机 4要在迅速变化的时代中赢得主动,就要开展新的伟大斗争 A. 12 B. 13 C. 24 D. 34 延庆区2024-2025学年高三模拟试卷参考答案 思想政治 第一部分共15题,每题3分,共45分。 题号 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 答案 A B C D D C A C A D B C B D A 第二部分共6题 共55分。 16.(8分) 网络文艺作品的创作要从实际出发,充分了解老年人的精神文化需要,为老年人提供丰富的文化产品(3分);网络文艺作品的创作要坚持正确的价值导向,立足时代,创作表现新时代中老年人老有所为为家庭文明、社会发展、国家进步贡献“银发力量”的故事(3分);网络文艺作品的创作要满足群众多层次多样化的精神文化需求,坚持社会效益和经济效益的统一(2分)。 细则:只答哲学或文化最高7分;每个观点2分材料1分,(可以从一切从实际出发、矛盾、价值观、文化发展的基本途径等角度作答。) 17. (8分) 坚持党对民营经济立法的领导,充分发挥协商民主优势,人大代表们政协委员为民营经济发展建言献策,形成广泛的社会共识,推动民营经济相关法律的制定和完善。(2分) 草案公开征求意见是开门立法的重大实践,通过科学立法、民主立法、依法立法更好回应社会关切,凝聚共识,提高民营经济促进法立法质量。(2分) 不断完善涉及民营经济发展的法律法规体系,从法律层面明确民营经济的地位和作用,保障民营经济的合法权,为民营经济提供坚实的法治保障。(2分) 坚持党的领导、人民当家作主与依法治国有机结合,为民营经济提供了坚实的制度保障和良好的发展环境(2分) 细则:协商民主1分,结合材料分析1分(落脚在凝聚共识方面);科学立法、民主立法、依法立法(可替代)1分,结合材料分析1分(落在共识或护航)。完善法律体系或从法律层面明确民营经济地位1分,结合材料分析1分(落在护航)。“有机结合”1分,材料分析1分(总括),只党的领导1分。 (7分) 答案:采用分析与综合、质量互变,辩证否定,矛盾分析法等 等级水平 等 级 描 述 水平4(6-7分) 观点鲜明,能明确表达自己的见解;紧扣问题,综合运用所学知识展开论述;逻辑严密,条理清晰 水平3"
2025_海淀_一模,4,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B1_EXCLUDED,module-boundary-excluded,CULTURE_HINT_HAIDIAN_YIMO_Q4_ANSWER_A_SPORT_EDUCATION,"答案A,民族复兴重任,全面育人理念,体育",答案键显示第4题为 A，正确项为学生担起民族复兴重任、学校树立全面育人理念；不属于 B2/B3/B4_CULTURE 主链。,paper+answer_key,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/7ebce670784d805e.txt | /Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/7ebce670784d805e.txt,"1917 年,毛泽东在《体育之研究》中提出 “文明其精神,野蛮其体魄 ”,喊出了积贫积弱年代中国青年的 梦想。跨越百年,体育之于人民、之于国家,有了更恢宏的图景,承载着国家强盛、民族振兴的梦想。这 要求 1学生担起民族复兴重任,在锻炼中增强体质、健全人格、锤炼意志 第2页/共9页 2学校树立全面育人理念,积极为学生参与体育活动创造客观条件 3家长遵循成长成才规律,在渐进性与连续性的统一中提高学生身体素质 4国家优化人才评价体系,推动“文明精神”向“野蛮体魄”的价值转化 A.12 B.14 C.23 D.34 治国理政伟大实践之中,作出了许多重大论断—— ·全面深化改革是一项复杂的系统工程。 ·创新是一个复杂的社会系统工程。 ·全面依法治国是一个系统工程。 ·推进中国式现代化是一个系统工程。 ·完整、准确、全面贯彻新发展理念,必须坚持系统观念。新时代新征程,以中国式现代化全面推进 中华民族伟大复兴,必须更加自觉地坚持和运用系统观念,统筹兼顾、综合施策,加强前瞻性思考、全局 性谋划、整体性推进。 从上述重大论断中选择一个,综合运用所学,阐释“系统观念是具有基础性的思想和工作方法”。 第8页/共9页 参考答案 第一部分 本部分共 15 题,每题 3 分,共 45 分。 1.B 2.D 3.D 4.A 5.C 6.B 7.D 8.A 9.D 10.C 11.A 12.C 13.B 14.D 15.B 第二部分 本部分共 7 题,共 55 分。 16.(8 分) 可从矛盾分析法、实践与认识的关系、价值观等角度作答。 等级水平 等级描述 水平 4 观点鲜明,能明确表达自己的见解;紧扣问题,综合运用所学知识展 开论述;逻辑严密,条理清晰。 水平 3 观点比较明确,能表达自己的见解;能扣住问题展开论述,知识运用 比较准确;逻辑性较强,有条理。 水平 2 观点不明确;论述不能集中指向问题,罗列知识;知识运用不正确; 论述缺乏逻辑,条理性差。 水平 1 应答与试题无关;或重复试题内容;或没有应答。 17.(7 分) 1坚持人民主体地位,坚持法治建设为了人民、依靠人民、造福人民、保护人民,尊重和保障人民群 众的知情权、参与权、表达权和监督权。 2提高社会治理法治化水平,发挥市民公约、乡规民约、行业规章、团体章程等社会规范在社会治理 中的积极作用。健全社会矛盾纠纷预防化解机制,更好地协调各方利益关系,有效化解社会矛盾,实 现社会和谐。 3深入开展法治宣传教育,推动全社会树立法治意识,调动人民群众投身依法治国实践的积极性和主 动性,使尊法守法成为全体人民的共同追求和自觉行动。 18.(7 分) 小黄与主题乐园签订的格式合同意思表示真实,条款符合公平原则,合同有效。小黄利用审查漏洞不 当获利的行为"
2025_海淀_二模,16,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,CULTURE_HINT_HAIDIAN_ERMO_Q16_PARENT_REMAINDER_B4P,"联系的观点,认识是主体对客体的能动反映,发展的观点,辩证否定",第16题评标实录明确文化给分点另抽 B4_CULTURE 组件；父题其余知识为联系、认识、发展等哲学余项。,verified_text_cache,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/086cafc0d843cdfd.txt,":与人工智能相比 ,人类记忆的容量有限 ,且容易随时间消退 。 与其费力背诵,人类完全可以利用人工智能存储、检索、整理信息,提高效率。 网友“实现梦想”:记忆是人类开展思维活动的内容与基底 。人类的创造力和灵 感往往来自于充足的知识积累,缺乏知识储备的思维创新如同“无米之炊”。 结合材料或个人体验,运用《哲学与文化》知识,谈谈你的看法。 我们需要(不需要)记忆大量知识,原因是...... 发展的观点 ——量变是质变的前提和基础 ——辩证否定(实质是扬弃,是联系的环节、发展的环节) ——适度原则 联系的观点 联系的特点(普遍性、客观 性、多样性 )/整体与部分的 辩证关系/系统优化 文化的功能 ——对社会:引领风尚、教育人民、 服务社会、推动发展 ——对个人:丰富人的精神世界、增强人的 精神力量、促进人的全面发展 ——创造性转化、创新性发展 认识是主体对客体的能动反映//意识的能动作用/人 的主观能动性,人工智能无法完全替代人的记忆 任务类型:解释与论证 表态 (1分) 需要/不需要/要一分为二地看 阐释 理由 (7分) 知识(3分) 材料分析或个人体验(3分) ——联系的观点 (联系的特点 (普遍性 、客观性 、多样性 )/ 整体与部分的辩证关系/系统优化) ——认识是主体对客体的能动反映/ 意识的能动作用/人有主观能动性 ——发展的观点 (量变是质变的前提和基础/辩证否定/ 适度原则) (以上原理任意出2个,一个2分,两个3分) 结合材料或个人体验,对原理 的阐释贴切、充分。 (一条2分,两条3分) 文化的功能(对社会/对个人)/创造性转化创新性发展 ( 1分) 问题1:不表态 问题2:审题有误 同学1: 同学2: 同学3: 同学4: 问题3:逻辑不对 问题3:逻辑不对 问题3:逻辑不对 逻辑比较好的示例: 问题4:结合材料或个人体验,阐释不充分 结合材料分析较好的示例: 结合个人体验较好的示例: 问题5:知识堆砌 模板式答题。如“记忆作为一种文化载体,承载着着源远流长、博大精深 的中华文化,发挥着引领风尚、教育人民、服务社会、推动发展的作用” (2019届 海淀期末 21)(8分)《清明上河图3.0》。 故宫博物院推出的艺术展演 《清明上河图 3.0》,融合多种互动技术 ,构筑 出真人与虚拟交织 、人在画中的沉浸式体验 ,让文物“活起来”。例如选取了画 中“孙羊店”的描绘,在展厅内用虚拟技术搭建了这家饭店 ,使观众可以置身其 中,真实感受。 不过,有人认为虽然《清明上河图3.0》利用技术让观众身临其境快速观赏作品 , 但这种直白的讲述剥夺了他们品味绘画作品时的想象空间 。欣赏绘画原本是一个 不断自我发现的过程 ,每位观众的阅历不同 ,注意点也会不同 ,而这种差异正是 最为宝贵的审美体验 。如果用技术手段统一强化某些局部细节 ,无疑会过滤掉观 众自我发现和品味细节的机会 。这样的展演,科技含量也许达到了3.0,但真正的 审美体验恐怕只有0.3。 运用《生活与哲学》相关知识,谈谈是否应该运用科技让文物“活起来”? 【解释与论证】 知识范围限定 主语 设问方向 人大 代表 国家 机关 人民 群众 参与相关工作和 活动; 监督 密切联系群众; 听取意见和要求 将国家机关的工作情况传递给人民群众 全过程人民民主 党的领导、人"
2025_石景山_一模,4,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,CULTURE_HINT_SHIJINGSHAN_Q4_ANSWER_D_B4P,"答案D,实事求是,适度原则,改革",答案键显示第4题为 D，正确项为实事求是与适度原则，归为哲学边界排除。,paper+answer_key,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/fb8717be46dabe77.txt | /Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/fb8717be46dabe77.txt,"在党的二十届三中全会审议通过的《中共中央关于进一步全面深化改革、推进中国式现代化的决定》中, 多次出现“自愿” “自主” “允许”等表述。例如,按照自愿、弹性原则,稳妥有序推进渐进式延迟法定 退休年龄改革;赋予地方政府房地产市场调控自主权,允许有关城市调减住房限购政策......这表明我们党 1充分依靠群众,支持基层探索创新,自下而上总结改革经验 2尊重个性差异,根据主体愿望调整政策,增强改革的包容性 3坚持实事求是,尊重多元诉求,最大限度地协调各方利益 4把握适度原则,有序推动改革,促进经济和社会平稳发展 A. 12 B. 13 C. 24 D. 34 全面深化改革已经进入攻坚期和深水区,党带领人民坚守志不改、道不变的信念,锚定 进一步全面深化改革总目标, 坚持“不立不破、先立后破”的发展之道:立新发展格局,破传统发展路径 依赖;立新质生产力,破原始创新能力不强;立清风正气,破“四风”顽疾;立公正高效权威的司法制度, 破影响司法公正之弊......推动各项制度更加成熟和定型,改革不断取得令人民满意的新成效。 结合材料,综合运用所学,阐述我们党在进一步全面深化改革中统筹破立关系,对全面建成社会主义现代 化强国的重要意义。 第10页/共11页 参考答案 第一部分共 15 题,每题 3 分,共 45 分。 1. B 2. C 3. A 4. D 5. B 6. C 7. A 8. C 9. D 10. C 11. B 12. B 13. D 14. A 15. C 第二部分共 6 题,共 55 分。 16. (8 分) 可从联系的观点、发展的观点、中华优秀传统文化的特点及其当代价值等角度回答。 等级水平 等级 描述 等级赋分 水平 4 观点鲜明,能明确表达自己的见解;紧扣问题,综合运用所学知识展开论 述;逻辑严密,条理清晰 7~8 分 水平 3 观点比较明确,能表达自己的见解;能扣住问题展开论述,知识运用比较 准确;逻辑性较强,有条理 4~6 分 水平 2 观点不明确;论述不能集中指向问题,罗列知识;知识运用不正确;论述 缺乏逻辑,条理性差 1~3 分 水平 1 应答与试题无关;或重复试题内容;或没有应答 0 分 17. (16 分) (1)北京坚持党建引领,发挥党组织在基层治理中的领导核心作用,为街乡镇赋权明责,有效凝聚治理合力。 坚持依法治理,将接诉即办改革纳入法治化轨道,为推进首都治理体系和治理能力现代化提供法治保障。 坚持人民至上,践行全过程人民民主,实现城市发展为了人民、依靠人民、发展成果由人民共享。(8 分) (2)中国主张坚持共商共建共享的全球治理观,各国的事应由本国政府和人民决定,国际上的事应由各国政 府和人民平等互利共同商量着办。坚持国家不分大小、强弱、贫富一律平等,平等参与决策、享受权利、 履行义"
2025_西城_一模,4,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,CULTURE_HINT_XICHENG_YIMO_Q4_PARENT_REMAINDER_AFTER_B2,"答案D,以人民为中心,投资于人,投资于物",答案键显示第4题为 D；其中经济发展与民生改善良性循环另抽 B2 组件，父题余项按价值/哲学边界关闭。,paper+answer_key,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/2542f29bb04e2ae0.txt | /Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/2542f29bb04e2ae0.txt,"2025 年政府工作报告提出,要推动更多资金资源“投资于人”。“投资于人”是与“投资于物”相对 应的概念,后者指将资金资源投入到建厂房、买 设备、修路架桥等方面,而前者指将资金资源投入到 人的发展和保障上。下列选项中正确的是 1现代化的本质是人的现代化,“投资于物”不符合现代化发展的方向 2资源是有限的,“投资于人”与“投资于物”之间的对立是矛盾的主要方面 3人是发展的目的,强调更多资金资源“投资于人”是以人民为中心的生动体现 4要将“投资于物”同“投资于人”紧密结合,形成经济发展与民生改善的良性循环 A.12 B.14 C.23 D.34 是在以长期主义的理念不断推进中国式现代化。从“两弹一星”到载人航天,从复兴号到 C919, 从塔里木沙漠公路到港珠澳跨海大桥 ......回望发展历程,许多领域的惊艳成果, 都源自几十年如一日的坚 守,源自看准了就坚定不移干的执着。 “坚持长期主义,做困难而正确的事”,结合材料,综合运用所学,谈谈你对这句话的理解。 (考生务必将答案答在答题卡上,在试卷上作答无效) 长期主义 ,与短期主义、 功利主义相对,指在决策和行 动中优先考虑长期利益和可持 续性,而不是短期得失。 第9页/共10页 参考答案 第一部分共 15 题,每题 3 分,共 45 分。 1.A 2.C 3.A 4.D 5.D 6.A 7.C 8.B 9.C 10.D 11.B 12.B 13.D 14.B 15.C 第二部分共 7 题,共 55 分。 16.(7分) 可从知行关系、继承弘扬中华优秀传统文化等角度作答。 17.(7分)可从追求认识的客观性、运用辩证思维方法、具有创新意识等角度作答。 18.(7分)环境保护给产业发展带来新机遇,推动生态价值实现,促进 生态优势转换为发展优势。 地区利 用资源优势,注重技术和品质,探索打造特色产业链, 不断提高竞争力,成功开拓海外市场。便捷的 交通基础设施、高水平的物流体系, 内外联通,畅通了国际国内双循环 ,产品等得以高效率地流通, 与其他国家合作共赢。我国经济发展的内生动力和可靠性不断增强,国际循环质量和水平不断提升。 19.(8分)人大代表依法履职,关注国家创新发展,调研自动驾驶发展中的问题,积极推动自动驾驶领域 法律法规的完善。国家机关认真听取人大代表意见和建议,自觉接受人民监督, 改进政策措施,把代 表建议转化为行业发展的动能, 协同推进自动驾驶产业的高质量发展。国家机关高质量办理代表 建议, 等级水平 等 级 描 述 水平 4 (6~7 分) 观点鲜明,能 明确表达自己的见解;紧扣问题,综合运用所学展开论述,逻辑严 密,条理清晰 水平 3 (4~5 分) 观点比较明确,能表达自己的见解; 能扣住问题展开论述,知识运用比较准确, 逻辑性较强,有条"
2025_西城_二模,3,resolve_original_row,UNKNOWN_OR_MIXED,blocked,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,CULTURE_HINT_XICHENG_ERMO_Q3_PARENT_REMAINDER_AFTER_B2,"答案A,创新尽责形式,高质量发展,绿色动能",答案键显示第3题为 A；高质量发展和绿色动能组件已入 B2，父题余项按生态实践/一般实践边界关闭。,paper+answer_key,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/06c08602a2f5c20b.txt | /Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/texts/06c08602a2f5c20b.txt,"我国人工林面积居世界首位,是全球增绿最多的国家。现在, 适龄公民履行植树义务有造林绿化、抚 育管护、自然保护、认种认养、设施修建、捐资捐物、志愿服务、其他形式等八大类,并有各自的折 算标准,例如林中悬挂人工鸟巢 1 个,折算 1 株植树任务;认养和保护古树名木 1 株,折算 3 株植树 任务......下列认识正确的是 1创新全民义务植树尽责形式,可以方便适龄公民就近、适时、多样尽责 2增绿就是增优势,可以为高质量发展注入强劲绿色动能 3植树就是植未来,以变革社会的实践推动美丽中国建设 4良好生态是重要的公共物品,具有排他性,需要人人尽责 第2页/共10页 A.12 B. 14 C.23 D. 34 眼于人、落脚于人”。当前,文博场馆门庭若市,热门演出一票难求, “民俗游” “非遗游”充实假期......人们的文化需求不断得到释放,文 化供给不断升级,全国文艺从业者约 1350 万,国家级非物质文化遗产 代表性传承人近四千人。建设文化强国,我们在路上。 结合材料,综合运用所学,谈谈你对“始终坚持文化建设着眼于人、落脚于人”的理解。 (考生务必将答案答在答题卡上,在试卷上作答无效) 文化强国之“强”最终 要体现在人民的思想境界、 精神状态、文化修养上。 ——习近平 第8页/共10页 参考答案 第一部分共 15 题,每题 3 分,共 45 分。 1.A 2.D 3.A 4.C 5.B 6.C 7.C 8.D 9.D 10.C 11.A 12.B 13.A 14.D 15.B 第二部分共 5 题,共 55 分。 16.(14分) (1)(6分)可从尊重规律、正确发挥主观能动性、 具体问题具体分析、树立正确的生态价值观 等角度 作答。 (2)(4分)无法确定一定有岩松鼠行动。 条件1与岩松鼠无关, 条件2是一个充分条件假言判断, 看到了红嘴蓝鹊,后件为真,无法确定 前件的真假,无法确定一定有岩松鼠行动。 (3)(4分)方案应合理合法、展现良好的人文关怀与生态意识。 如:倾听了解村民诉求,尊重其合法权益, 做好生态补偿;加强宣传教育,提升生态保护意识。 (处理好短期经济利益与长远发展的关系,人与自然和谐相处) 调整种植结构,改种动物们不喜欢啃食的农产品等。(运用创新思维,改变创造条件、建立新的具 体联系,分析解决矛盾) 17.(13分) (1)(6分)价格信号是引导资源配置的重要方式, 农产品、能源、公用事业、公共服务、公共数据等 重要产品的价格,关系国计民生。 在这些重点领域 创新价格引导机制 ,综合施策, 将有效市场与 有为政府更好结合 ,处理好发展与安全的关系, 有利于促进 重点产品的安全稳定供给,服务国家 重大战略, 保障群众基本生产生活 ,提高资源配置效率和公平性, 推动构建高水平社会主义市场 经济体制。 等级水平 等 级 描 述 水平 4 (5~6"
