suite_id,question,source_type,reason,snippet
2024_东城_二模,3,rubric,source_not_paper_or_ocr_cache,"哲学层面: 1基于规律和实际(实践)证明桑基鱼塘的科学价值:尊重规律/一切从实际出发。 2基于辩证法说明桑基鱼塘的发展过程:如发展的观点/联系的观点/立足整体/系统优化/辩证否定等。 3基于群众观点及价值观内容,体现科学价值观的标准和作用:人民主体地位、群众观点。 (每一点结合材料2分,三点可得7分) 学生问题"
2024_海淀_二模,18,paper,could_not_find_two_or_more_subquestion_markers,"(16分)民主是人类文明发展进步的重要标志,是全人类共同价值。 资料包 来自不同国家嘉宾的观点: 嘉宾1:进入21世纪后,全球南方国家纷纷崛起,这些国家在国际舞台上发挥着越来越重要的作用。随着成员国数量的增加,金砖国家合作机制的整体力量增强,削弱“单极主导地位”的力量随之增大。现在,二十国集团、上海合作组织等其他国际组织和框架也发挥着越来越重要的作用。 嘉宾2:人工智能、大数据等技术在提供便利的同时,也使社会出现两极分化。然而,目前并没有一个有效、民主的全球治理体系来应对这些挑战。如今全球各国经济和政治力量已经发生很大改变,很多新兴国家和经济体对全球事务有相当大的影响力,但在国际组织中的代表性却仍然不够。 嘉宾3:2024年为“全球南方”合作的丰收年,期待和各方共同点亮全球治理的“南方时刻”。“全球治理体系中的广大南方国家不应停止前进的脚步,南方国家在区域和全球治理中都要发出自己的声音”。 资料包 来自不同国家嘉宾的观点: 嘉宾1:进入21世纪后,全球南方国家纷纷崛起,这些国家在国际舞台上发挥着越来越重要的作用。随着成员国数量的增加,金砖国家合作机制的整体力量增强,削弱“单极主导地位”"
2025_丰台_一模,20,paper,could_not_find_two_or_more_subquestion_markers,"北京“两区”建设助力开放型经济迈上新台阶。 北京“两区”是指国家服务业扩大开放综合示范区和中国(北京)自由贸易试验区建设。2021 年至 2023 年,北京地区货物贸易进出口额连续突破 3 万亿元,服务贸易规模保持全国前三。2024 年,全市新 设外资企业数量同比增长 16.4%。北京“两区”建设作为深化改革开放的试验田,自成立以来,采取了多 项措施: 便利贸易投资 ➢ 出台《北京市外商投资条例》 ,推出“北京市全球服务伙伴计划”并为首批 13 家 伙伴企业授牌; ➢ 实行“合格保证+符合性验证”检验监管模式,实现进口机电设备“分钟通关”; ➢ 发布全国首个场景化、字段级自贸试验区数据出境负面清单。 助力科技创新 ➢ 在全国率先推出国际职业资格认可目录,推动职业资格从单边认可到双向互认; ➢ 在全国先行先试高新技术企业“报备即批准”、公司型创投企业所得税优惠、技 术转让所得税优惠等政策。 结合材料,运用《经济与社会》 《当代国际政治与经济》知识,说明北京“两区”建设的举措是如何助力 开放型经济迈上新台阶的。"
2025_朝阳_二模,18,paper,could_not_find_two_or_more_subquestion_markers,"(6 分)进一步织密社会保障安全网,促进我国社会保障事业高质量发展。 【异地结算和就业地参加医保】 2023 年1 月,跨省异地就医直接结算正式实施。2024 年8 月,国务院办公厅发布《关于健全基本医疗保 险参保长效机制的指导意见 》,提出超大城市要取消灵活就业人 员、农民工、新就业形态人员在就业地参 加基本医保的户籍限制,做好在就业地参加职工医保工作。 【实施个人养老金制度】 自 2024 年 12 月 15 日起,我国全面实施个人养老金制度。个人养老金制度是指政府政策支持、个人自 愿参加 、市场化运营 、实现养老保险补充功能的制度 。个人养老金缴费 由参加人承担 ,每年缴费上限为 12000 元,可享受个人所得税税前优惠扣除 。在达到领取基本养老金年龄等法定条件时,居民可领取个人养 老金。 【新就业形态劳动者社保缴纳】 新就业形态人员就业方式灵活,劳动关系缺乏明确界定和规范。2025 年 3 月,某大型平台企业与超一万 名全职骑手签署正式劳动合同,并承担外卖全职骑手缴纳五险一金的所有成本。 结合材料,运用《经济与社会》知识,说明上述举措对促进我国社会保障事业高质量发展的作用。"
2025_朝阳_二模,21,paper,could_not_find_two_or_more_subquestion_markers,42.pdf ## Source Metadata - source_path: `C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025朝阳二模\其他材料\扫描全能王 2025-05-13
2025_朝阳_期末,17,paper,could_not_find_two_or_more_subquestion_markers,"(8分)民主,起始于人民意愿充分表达,落实于人民意愿有效实现。中国的民主是人民民主。 材料一 立法到社区 某街道基层立法联系点工作深入到社区,围绕省人力资源市场条例草案征集立法建议,组织包括居民、政府相关部门工作人员、人大代表、政协委员、律师、党员群众代表等一起认真讨论草案,充分发表意见和建议。该街道基层立法联系点是“国家、省、市”三级基层立法联系点,近两年来,共有23部国家法律草案在此吸纳民意,激发了群众参与立法的热情。 材料二 议事惠民生 某政协委员履职小组围绕“如何让群众在家门口能有好去处?”展开了摸底调研,线上平台发问卷,协商驿站听民意,睦邻客厅汇民声......随后,履职小组发起民生议事堂协商,讨论闲置老谷仓的改造,形成可行方案,得到当地镇党委、镇政府和相关职能部门的积极回应,助推民生实事项目加速落地,催生了当地谷仓文化产业园。 材料三 基层有合力 某村发挥党建引领作用,通过搭建村两委——人大代表——村民三方“小板凳说事”平台,建立起一套有效的基层群众自治模式,推动形成合力,以民事民管、民事民议、民事民办的共治路径助力乡村全面振兴,建成了“全国民主法治示范村”。 结合材料,运"
2025_海淀_期末,17,paper,could_not_find_two_or_more_subquestion_markers,"7 月 30 日,中共中央政治局召开会议,指出要有力有效支持发展瞪羚企业。 在我国,对瞪羚企业的政策支持始于北京中关村科技园区。近期,某市推出了一系列政策: ·为瞪羚企业提供一定的财政补贴,用于购买设备、引进技术、开展市场调研等。 ·为瞪羚企业提供一定的税收优惠,如减免企业所得税、增值税等。 ·积极引导金融机构为瞪羚企业提供融资支持,包括贷款、担保等方式。 ·给予瞪羚企业在人才引进方面的支持,包括提供人才公寓、给予人才引进补贴等。 运用《经济与社会》知识,说明上述政策将如何促进瞪羚企业发展。"
2025_海淀_期末,19,paper,could_not_find_two_or_more_subquestion_markers,"某中学党支部组织党员教师共同学习修订后的《中国共产党纪律处分条例》 。下面是部分学习内容。 [修改解读] 第三十条是在原有条款上修订而来的,这一条款的修订主要有两个方面。一是针对 实践中多发易发的违法行为,充实规定了党员有其他 “破坏社会主义市场经济秩序、违 反治安管理等”违法行为,损害党、国家和人民利益的,应当视具体情节给予处分。二 是基于当前实际,增加了对违反国家财经纪律行为的党纪处分规定,明确 “违反国家财 经纪律,在公共资金收支、税务管理、国有资产管理、政府采购管理、金融管理、财务 会计管理等财经活动中有违法行为的 ”,视情节给予党纪处分,进一步突出了对违反财 经纪律行为的惩戒。 结合材料,运用《政治与法治》知识,分析上述条款修订的原因。"
2025_海淀_期末,20,paper,could_not_find_two_or_more_subquestion_markers,"党的二十届三中全会提出要统筹建立粮食产销区省际横向利益补偿机制。 目前我国有 13 个粮食主产区、7 个主销区和 11 个产销平衡区。粮食主产区贡献了全国 75%以上的粮 食。但长期以来,由于种粮收益低、对财政贡献小,主产区往往面临 “产粮多、经济弱、财政穷 ”的困境。 针对这一状况,我国建立了以国家财政转移支付为主的纵向补偿机制。在这一机制下,中央政府是唯一的 补偿主体,目前难以进一步增加财政支持力度。 考虑到多数主销区经济较为发达,我国提出建立横向利益补偿机制。统筹考虑主产区和主销区粮食生 产、流通、消费等相关因素,由主销区给予主产区一定的资金支持,并进一步拓展产业、人才、技术服务 等协作方式,使农民种粮不吃亏、主产区抓粮不吃亏。 结合材料,运用《经济与社会》知识,说明我国建立粮食产销区省际横向利益补偿机制的意义。"
2025_石景山_一模,17,paper,could_not_find_two_or_more_subquestion_markers,"(16 分) 宣言,指国家、政府、政党等为了对某重大问题表明立场和态度而公开发表的文件。2024 年,多个面向全 球的“北京宣言”发布, “中国之治”随之与世界共享。 材料一 在北京接诉即办改革论坛上,发布了《城市治理现代化北京宣言 (2024)》 。北京近 年来进行以 12345 市民热线为主渠道的接诉即办改革,探索形成了以市民诉求驱动超大城 市治理现代化之路。下列是北京接诉即办改革的重要举措。 ●将“接诉即办”作为各级党委政府“一把手”工程进行顶层设计,打破行政组织“条块 分割” ,把街乡镇作为基层治理的基本单元,形成权责清晰、条块联动的体制机制,高效解决群众急难愁 盼问题。 ●市人大常委会制定《北京市接诉即办工作条例》 ,明确规定接诉即办的工作体系和机制、诉求人的权利和 义务等,让基层治理更加规范。 ●最大限度动员人民群众参与城市建设,广大市民成为城市治理问题的发起者、治理过程的参与者、治理 成效的获得者、治理程序的监督者。 结合材料一,运用《政治与法治》知识,说明北京是如何通过接诉即办改革实现大城善治的。 (8 分) 材料二 通过多个“北京宣言” ,中国积极为完善全球治理贡献智"
