suite_id,missing_after_twenty_question_structure_review,resolved_by_auxiliary_clue_review,resolved_by_twenty_question_structure_review
2024_东城_一模,,,
2024_朝阳_二模,,,21
2024_朝阳_期中,,,21
2024_海淀_一模,,,21
2024_海淀_期中,,,21
2024_石景山_一模,,,21
2024_西城_一模,5;20;21,,
2024_西城_二模,15;20;21,,
2024_顺义_二模,9;14;21,6;20,
2025_房山_一模,,,21
2025_西城_二模,,,21
2026_东城_一模,,,21
2026_丰台_一模,5;9,7,
2026_丰台_二模,15,,
2026_丰台_期末,2;6;7;12,9,
2026_延庆_一模,,,21
2026_房山_一模,5;8;21,17,
2026_石景山_二模,,,21
2026_西城_一模,12;14,,
2026_西城_二模,,,21
2026_西城_期末,9,,
