suite_id,question,new_book_module,new_status,row_granularity,question_type,rule_id,matched_terms,evidence_type,evidence_source,evidence_text
2024_西城_一模,5,B3_POLITICS_RULE_OF_LAW,included,question,objective,RAW_SOURCE_REVIEW_B3_JUDICIAL_ORGANS,"司法机关,以事实为根据,以法律为准绳,定分止争,司法救助",original_docx_text,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,法律不是冰冷的，司法工作也是做群众工作。综合上述信息，可以看到司法机关坚持以事实为根据、以法律为准绳，在定分止争中传递司法善意、展现司法担当、促进社会和谐。
2024_西城_二模,15,XB3_EXCLUDED,module-boundary-excluded,question,objective,RAW_SOURCE_REVIEW_XB3_ABSTRACTION_ASSOCIATION,"表象,联想,类推,思维抽象",original_docx_text,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,15．一个“间”字，画出一幅场景：两扇门的门缝中有一个月亮。以下分析正确的是：表象是文字发明之源；古人运用联想和类推；思维具体提纯为思维抽象。
2024_顺义_二模,14,XB1_EXCLUDED,module-boundary-excluded,question,objective,RAW_SOURCE_REVIEW_XB1_BRICS_GLOBAL_GOVERNANCE,"金砖国家,国家利益,全球治理,国际组织",original_docx_text,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,金砖国家是新兴市场与发展中国家间的合作机制，金砖合作机制走过18年的历程，越来越多志同道合的伙伴参与其中。下列说法正确的是：国家利益、全球治理、国际组织等判断。
2024_顺义_二模,9,B3_POLITICS_RULE_OF_LAW,included,question,objective,RAW_SOURCE_REVIEW_B3_STATE_SECRETS_LAW,"保守国家秘密法,党的领导,总体国家安全观,法律保障",original_docx_text,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,新修订的《中华人民共和国保守国家秘密法》自2024年5月1日起施行。条文涉及坚持中国共产党对保守国家秘密工作的领导、保密科技研究和总体国家安全观相关判断。
2026_丰台_一模,5,B4_PHILOSOPHY_EXCLUDED,module-boundary-excluded,question,objective,RAW_SOURCE_REVIEW_B4_PHILOSOPHY_QUANTUM_COMMUNICATION,"具体联系,认识,实践,意识具有直接现实性",ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_一模.txt,、5.量子通信是怎么实现“加密”的？量子通信的核心技术是量子密钥分发。选项涉及新的具体联系、认识深化、客观条件、意识具有直接现实性。
2026_丰台_一模,9,XB3_EXCLUDED,module-boundary-excluded,question,objective,RAW_SOURCE_REVIEW_XB3_EXTENSION_RELATION,"外延,属种关系,联言判断",ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_一模.txt,9. 元宵节猜灯谜题，围绕谜面、谜目和谜底设置判断，选项涉及外延、属种关系和联言判断。
2026_丰台_二模,15,XB1_EXCLUDED,module-boundary-excluded,question,objective,RAW_SOURCE_REVIEW_XB1_GLOBAL_TRADE,"全球货物贸易,国际竞争,绿色产品,贸易强国",ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_二模.txt,I5.2025年我国继续保持全球货物贸易第一大国地位，其中的含“新”量、含“绿”量和含“智”量不断提升。选项涉及国际竞争、货物贸易、绿色产品、贸易强国。
2026_丰台_期末,12,B2_ECONOMICS,included,question,objective,RAW_SOURCE_REVIEW_B2_JJJ_INDUSTRIAL_CHAIN,"京津冀产业协同,产业链供应链,区域产业布局,科技创新",ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_期末.txt,京津冀产业协同正在加快“集链成群”。“共绘一张图”“共建一批园”“共造一辆车”。选项涉及产业链供应链、区域产业布局、科技创新和物流成本。
2026_丰台_期末,2,UNKNOWN_OR_MIXED,blocked,question,objective,RAW_SOURCE_REVIEW_MIXED_B3_B4_CULTURE_ELDERLY_SERVICES,"基本公共服务,群众观点,孝亲敬老,社会治理",ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_期末.txt,加装智能呼叫设备、手机培训班、养老驿站等适老化改造。选项同时涉及差异化基本公共服务、群众观点、孝亲敬老传统美德和社会治理方式。
2026_丰台_期末,6,UNKNOWN_OR_MIXED,blocked,question,objective,RAW_SOURCE_REVIEW_MIXED_B4_CULTURE_XB3_CHINESE_KNOT,"中华优秀传统文化,精神追求,形象思维,抽象思维",ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_期末.txt,〕.中国结是我国传统的手工艺品，造型独特、色彩多样、内涵丰富。选项同时涉及中华优秀传统文化、民族精神支柱、形象思维和抽象思维。
2026_丰台_期末,7,B3_POLITICS_RULE_OF_LAW,included,question,objective,RAW_SOURCE_REVIEW_B3_LOCAL_LEGISLATION,"森林法,北京市人大常委会,地方立法权,法治化",ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_期末.txt,7为实施好《中华人民共和国森林法》...北京市第十六届人民代表大会常务委员会审议通过《北京市实施〈中华人民共和国森林法〉办法》。选项涉及地方立法权、制度化法治化。
