suite_id,question,prior_next_action,review_result,new_book_module,rule_id,evidence_text
2024_东城_一模,14,manual_review_needed,resolved_by_strong_source_signal,XB1_EXCLUDED,STRONG_BLOCKER_XB1_GLOBAL_ENV_GOVERNANCE,"中国政府作 《生物多样性公约》第十五次缔约方大会(COP15)主席国,持续推动 “昆明-蒙特利尔全球生物多样性框架”落实,部署了生物多样性主流化、应对生物 多样性丧失威胁等4个优先领域,每个优先领域下设6至8个优先行动。对此,下 列观点正确的是 1中国推动构建地球生命共同体,促进多极化发展 2全球生物安全治理要以国际条约作为法律依据 3中国凝聚全球生态治理合力,为世界提供更多公共产品 4世界各国以生物安全为基础,维护共同发展利益 A. 12 B. 14 C.23 D. 34"
2024_东城_二模,13,manual_review_needed,resolved_by_strong_source_signal,B2_ECONOMICS,STRONG_BLOCKER_B2_URBANIZATION_PUBLIC_SERVICE,"2019—2023年中国常住人口城镇化率 (% 70 68- 66 64 66.16 63.89 64.72 65.22 62.21 62 60 - 2019 —上 2020 2021 2022 2023(年) 读上图,以下推断合理的是 1农业劳动生产率不断提高,城乡融合推动协调发展 2促进农业适度规模经营,确保农村土地归集体所有 3区域发展差距正在逐步缩小,助力和美乡村建设 4推进以人核心的新型城镇化,要建立健全基本公共服务制度 A. 12 B. 14. C.23 D. 34"
2024_东城_二模,17,manual_review_needed,kept_blocked,,,"(12 分)盐碱地上播种新希望。 近年来,在盐碱地治理中,某地探索出“盐碱荒滩”转化为“金山银山”的科学 路径。 >坚持人与自然和谐共生理念,利用理论、技术、产业创新,宜粮则粮、宜林则 林、宜湿则湿,采用“林、水、土”盐碱化综合治理措施,改良盐碱地土壤结构、提高盐 碱地土壤肥力,改善植物生长环搅,构筑“大良田”,打造“生态绿洲”。 >该地充分发挥盐碱地生态修复累积效益,以“土地”资源优化配置为核心,通 过“科研院所十基地十公司”“龙头企业十基地十农户”等多种形式,流转农村土地"
2024_东城_二模,3,manual_subquestion_split_needed,kept_blocked,,,"“解剖麻雀”是我们党在长期实践中总结提炼的调查研究方法,该方法需要选准“麻 雀”,对其进行剖析研究,由此得出的调研结论具有可推广性,能举一反三。这说明, 从“解决一个问题”到“解决一类问题” 1体现矛盾普遍性与特性相互联结,要从个性中把握共性 2体现了规律是普遍的,找准案例就可找到此类问题的共同规律 3实现了“一个问题”和“一类问题”的斗争性转化力同一性 4启示我们要树立系统观念,以“点的突破”带动“面的提升” A. 12 B. 14. C.23 D. 34 2万亩,吸引企业参与规模化经营,打造盐碱地治理产业项目10余个,发展盐碱 地特色农业、旅游业,真正实现政府、企业与农民的“共赢”。 (1)运用《经济与社会》知识,分析该地探索“盐碱荒滩”转化力“金山银山”的路 径。(7分) 我国科学家以耐碱作物高粱为突破口,试图揭开其耐碱奥秘。他们收集全球 各地352 种不同品系的高粱,通过全基因组大数据关联分析耐碱差异大的高粱资 源,发现了主效耐碱基因 ATI。将该基因从高中提取出来再转到高粱中,高梁 耐碱能力减弱;而将该基因进行“剪切”后,高粱的耐碱能力增强。 如果高粱有这个基因,那么其他作物是否也会有类似的基因?团队利用 ATI 基因的同源体(指不同的基因序列与功能相似)——影响稻米粒长的粒形调控基因 GS3,进行水稻GS3 基因的耐碱性研究,结果发现,缺失了GS3 基因的水稻也更耐 碱。作物耐碱“密码”被找到了。 (2)结合材料,从推理的角度,谈谈科学团队是如何找到作物耐碱“密码”的。 (5分) 高三思想政治 第7页(共11页) ===== 试卷.pdf page 8 ====="
2024_东城_二模,9,manual_review_needed,resolved_by_strong_source_signal,XB3_EXCLUDED,STRONG_BLOCKER_XB3_NECESSARY_CONDITION,"爱因斯坦思想深刻、思维创新。他不仅是位伟大的科学家,还是一位思想家和人道 主义者,同时也是一个充满个性的有趣人物。他一生的经历表明,只有拥有诙谐幽 默、充满个性的独立人格,才能做到思想深刻、思维创新。根据材料,下列结论必然 成立的是 A. 有的思想家是充满个性的有趣人物,但不是人道主义者 B. 有些伟大的科学家拥有诙谐幽默、充满个性的独立人格 C.科学家一旦诙谐幽默、充满个性,就能做到思想深刻、思维创新 D. 有些人道主义者诙谐幽默、充满个性,但做不到思想深刻、思维创新 高三思想政治 第3页(共11页) ===== 试卷.pdf page 4 ====="
2024_丰台_二模,2,manual_review_needed,kept_blocked,,,"信念如火,照亮前路。某地一支由 “80后”“90后”甚至“00后”青年党员主打的宣 讲团队,用小切口、身边事讲述着觉的创新理论,让越来越多年轻人与新思想碰出火 花、产生共鸣。让有信仰的青年来讲信仰,其意义在于 1以青年的视角,推动党的创新理论在群众心中落地生根 2通过生动故事佐证青年的拼搏奋斗,增强觉的创新理论的影响力 3借助理论创新的新渠道,提升广大青年的学习能力和道德修养 4让青年人做党的创新理论的信仰者、传播者、实践者,不断接续奋斗 A. 13 B. 14 C. 23 D. 24"
2024_丰台_二模,21,manual_review_needed,kept_blocked,,,"(7分)你的步伐就是中国的步伐。 无数个“你”的铿销步伐汇聚成新时代中国前进的坚实步伐。有人勇攀科技高峰, 致力关键核心技术自主创新,在重大科技领域实现原创性突破;有人扎根城乡基层, 服务一方百姓,办了许多暖民心、解民忧的好事实事;有人身残志坚,以永不言弃的 精神拼搏奋斗,在人生的赛场上取得了骄人成绩;有人见义勇为,危急时刻挺身而出, 用大无畏的行动保护了国家和他人生命财产安全;有人热心社会公益,积极参加学雷 锋和志愿服务,用爱和奉献帮助群众、温暖他人;有人潜心立德树人,言传身教,培 养了一大批青年人才⋯... 一步一个脚印,我们从过去走到现在。探索开拓的路,迎着光亮稳稳地走;心中 看准的路,快马加鞭坚定地走;崎岖不平的路,手挽着手一起走;通向未来的路,一 棒接着一棒走。感谢每一个无论何时都努力向前的你,新征程上,一起向前! 结合材料,综合运用所学,谈谈对“你的步伐就是中国的步伐”的理解。 (考生务必将答案答在答题卡上,在试卷上作答无效) 高三政治 第8页(共8页)"
2024_丰台_二模,9,manual_review_needed,resolved_by_strong_source_signal,XB3_EXCLUDED,STRONG_BLOCKER_XB3_CONDITIONAL_JUDGMENT,"没有民主就没有社会主义,就没有社会主义的现代化。对此,以下判断正确的是 A.如果有民主,就有社会主义,就有社会主义现代化 B. 有了社会主义,有了社会主义的现代化,才有了民主 C. 没有社会主义,没有社会主义的现代化,就没有民主 D. 除非有民主,否则就没有社会主义,就没有社会主义的现代化"
2024_海淀_一模,12,manual_review_needed,resolved_by_strong_source_signal,B2_ECONOMICS,STRONG_BLOCKER_B2_ENTERPRISE_MARKET_SUBJECT,"为更好满足旅客群体多样化、个性化的需求,今年春运期间,高铁列车在增加“静音车厢” 的基础上开设“遛娃舱” ,供带娃家庭使用。家长可以陪伴孩子一起玩游戏,也可以委托乘 务员进行代管。高铁“溜娃舱”的设置 1体现铁路企业主动作为,为不同需求的旅客带来良好出行体验 2有利于缓解春运高铁运力的供求矛盾,激发各类市场主体活力 3表明政府更精准地解决群众实际问题,着力实现社会公平正义 4将儿童友好的理念和行动落实落细,满足人民的美好生活需要 A.12 B.14 C.23 D.34"
2024_海淀_一模,16,manual_review_needed,kept_blocked,,,"(8 分)中国新一代载人飞船命名为“梦舟” ,月面着陆器命名为“揽月” 。 中国空间站建造完成后,登陆月球成为中国人探索太空的下一个目标。按计划,我国将在 2030 年前实现载人登陆月球开展科学探索。为实现这一目标,我国已于 2023 年底完成关键技术 攻关和方案研制工作。目前,长征十号运载火箭、 “梦舟”载人飞船、 “揽月”着陆器和登月服等已 完成方案阶段的各项研制工作,全面进入初样研 制阶段。 “梦舟”寓意载人月球探测承载中国人的航 天梦,开启探索太空的新征程,也体现了与神 舟、天舟飞船家族的体系传承。 “揽月”取自毛 泽东同志诗词“可上九天揽月” ,彰显中国人探 索宇宙、登陆月球的自信。 结合材料,运用《哲学与文化》知识,谈谈中国人探索宇宙、登陆月球何以自信。"
