suite_id,year,district,stage,source_file_rows,has_paper,has_reference_answer,has_rubric,has_marking_report,classified_rows,included_B2,included_B3,included_B4_CULTURE,reference_only_rows,boundary_excluded_rows,blocked_rows,included_or_reference_modules
2024_unknown_district_unknown_stage,2024,,,2,yes,no,no,no,1,0,0,0,1,0,0,REFERENCE_HELPER_ONLY
2024_unknown_district_一模,2024,,一模,14,no,no,no,no,1,0,0,0,1,0,0,REFERENCE_HELPER_ONLY
2024_东城_一模,2024,东城,一模,6,yes,yes,yes,no,20,5,1,1,0,9,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_东城_二模,2024,东城,二模,26,yes,yes,yes,yes,21,3,2,2,0,8,6,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_丰台_一模,2024,丰台,一模,6,yes,yes,yes,no,21,0,0,3,4,13,1,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_丰台_二模,2024,丰台,二模,4,yes,no,yes,no,21,2,4,1,0,9,5,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_朝阳_一模,2024,朝阳,一模,8,yes,yes,yes,yes,21,2,4,3,0,12,0,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_朝阳_二模,2024,朝阳,二模,6,yes,yes,yes,yes,20,5,5,1,0,9,0,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_朝阳_期中,2024,朝阳,期中,8,yes,no,yes,no,20,3,0,2,0,13,2,"B2_ECONOMICS,B4_CULTURE"
2024_海淀_一模,2024,海淀,一模,6,yes,yes,yes,no,20,0,2,3,0,11,4,"B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_海淀_二模,2024,海淀,二模,8,yes,yes,yes,no,21,4,2,2,0,10,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_海淀_期中,2024,海淀,期中,4,yes,no,yes,yes,20,0,2,3,0,11,4,"B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_石景山_一模,2024,石景山,一模,4,yes,yes,yes,no,20,2,2,1,0,11,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_西城_一模,2024,西城,一模,6,yes,yes,yes,no,18,1,2,1,0,10,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2024_西城_二模,2024,西城,二模,10,yes,yes,yes,yes,16,4,0,2,0,7,3,"B2_ECONOMICS,B4_CULTURE"
2024_顺义_二模,2024,顺义,二模,4,yes,yes,yes,no,16,0,2,2,0,8,4,"B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_东城_一模,2025,东城,一模,4,yes,no,yes,yes,21,3,3,2,0,9,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_东城_二模,2025,东城,二模,4,yes,no,yes,yes,21,2,2,2,0,9,6,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_东城_期末,2025,东城,期末,6,yes,no,yes,yes,21,0,1,3,0,15,2,"B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_丰台_一模,2025,丰台,一模,4,yes,no,yes,no,21,5,3,4,0,6,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_丰台_二模,2025,丰台,二模,18,yes,no,yes,no,21,3,3,1,0,13,1,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_丰台_期末,2025,丰台,期末,4,yes,no,yes,no,21,4,3,2,0,11,1,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_延庆_一模,2025,延庆,一模,4,yes,yes,yes,no,21,4,0,1,0,13,3,"B2_ECONOMICS,B4_CULTURE"
2025_房山_一模,2025,房山,一模,4,yes,no,yes,no,20,2,4,1,0,12,1,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_昌平_二模,2025,昌平,二模,4,yes,no,yes,no,21,3,2,2,0,13,1,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_朝阳_一模,2025,朝阳,一模,12,yes,no,yes,yes,21,1,5,1,0,11,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_朝阳_二模,2025,朝阳,二模,6,yes,no,yes,no,21,0,3,3,0,7,8,"B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_朝阳_期末,2025,朝阳,期末,6,yes,no,yes,no,21,4,3,3,0,10,1,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_海淀_一模,2025,海淀,一模,6,yes,no,yes,no,21,3,3,1,0,11,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_海淀_二模,2025,海淀,二模,8,yes,no,yes,yes,21,3,2,1,0,11,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_海淀_期末,2025,海淀,期末,8,yes,yes,yes,no,21,4,0,1,0,11,5,"B2_ECONOMICS,B4_CULTURE"
2025_石景山_一模,2025,石景山,一模,4,yes,no,yes,no,21,3,3,3,0,9,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_西城_一模,2025,西城,一模,4,yes,no,yes,no,21,3,1,3,0,12,2,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_西城_二模,2025,西城,二模,4,yes,no,yes,no,20,3,2,3,0,6,6,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_西城_期末,2025,西城,期末,4,yes,yes,yes,no,21,0,2,2,0,13,4,"B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_门头沟_一模,2025,门头沟,一模,4,yes,no,yes,no,21,5,2,1,0,13,0,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2025_顺义_一模,2025,顺义,一模,4,yes,no,yes,no,21,4,3,0,0,11,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW"
2026_东城_一模,2026,东城,一模,24,yes,no,yes,no,20,3,2,3,0,7,5,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_东城_二模,2026,东城,二模,8,yes,no,yes,no,21,3,3,2,0,9,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_东城_期末,2026,东城,期末,4,yes,no,yes,no,21,4,1,2,0,7,7,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_丰台_一模,2026,丰台,一模,4,yes,no,yes,no,17,1,2,1,0,9,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_丰台_二模,2026,丰台,二模,2,yes,no,yes,no,20,3,3,2,0,10,2,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_丰台_期末,2026,丰台,期末,4,yes,no,yes,no,15,3,1,0,0,7,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW"
2026_延庆_一模,2026,延庆,一模,4,yes,no,yes,no,20,3,4,0,0,10,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW"
2026_房山_一模,2026,房山,一模,4,yes,no,yes,no,16,3,2,2,0,6,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_房山_二模,2026,房山,二模,3,yes,no,yes,no,6,1,0,1,0,4,0,"B2_ECONOMICS,B4_CULTURE"
