suite,question_guess,source_id,evidence_guess,extract_status,hit_terms,relative_path,cache_path,question_anchors
2025东城期末,16;17;18;19;20;21,SRC_8ab211d978d9,P3_candidate_paper,ok,国家利益;共同利益;和平与发展;时代主题;经济全球化;联合国;国际组织;中国方案;多边主义;对外开放;综合国力;独立自主;和平共处五项原则;全球南方;联合国宪章;平衡;共赢,2025各区期末/2025东城期末/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_8ab211d978d9_试卷_pdf.txt,二、本部分共 6 题，共 55 分。 16．（8 分）器以述史，物以载道。 何尊——陕西宝鸡青铜器博物馆的镇馆之宝，主人名为“何” ，因受到西周成王的训诰与赏赐，特作此 尊，以作纪念。1963 年出 || 谈你对“器以述史，物以载道”的理解。 17．（9 分）近年来，北京法院坚持预防性、恢复性司法理念，以法治之力提升“生态颜值” 。 ◆破坏环境受严惩 “张某的行为构成污染环境罪，判处有期徒刑六年十个月， || 明北京法院是如何提升“生态颜值”的。 18．（12 分）千年华夏飞天梦，廿载嫦娥揽月回。 自 2004 年以来，在国家资金和政策的支持下，遥感通信等核心技术取得重大突破，中国探月工程步步 衔接、接续跨越 || 说明登月服设计是如何体现创新思维的。 19．（8 分）某校开展“我为社区献一策”的社会实践活动。下面是一组同学撰写的调查报告。 一、调查背景 近年来，电动自行车以其经济、便利的特点成为市民重要的交通工 || ）如何更好地解决居民分歧，达成共识？ 20．（8 分）新能源汽车是汽车产业的未来方向。近年我国比亚迪等车企发展迅猛，成功走向世界市场。 2023 年我国新能源汽车出口 409 亿美元，同比增长 69%，紧 || 观点明确，逻辑清晰，200 字左右。 21．（10 分）中国式现代化，民生为大。 材料一：民生无小事枝叶总关情 [[PAGE 7]] 第7页/共20页 材料二：发展向前 民生向暖 发展 || 二、本部分共 6 题，共 55 分。 16．【分析】本题要求结合材料，运用《哲学与文化》知识，谈谈你对“器以述史，物以载道”的理解。 属于认识理解类试题，解答时，紧扣设问中“器以述史，物以载道”话题，从文 || ，解决问题的措施等角度进行解答即可。 17．【分析】本题属于措施类主观试题，要求结合材料，运用法治知识，说明北京法院是如何提升“生态 颜值”的。材料“不久前，全某兄弟二人非法揽收并邮寄野生动物制品 40
2026东城期末,16;17;18,SRC_88c6e8f353db,P0_candidate_scoring,ok,经济全球化;全球治理;人类命运共同体;中国方案;共商共建共享;一带一路;对外开放;国际竞争;综合国力;普惠;平衡;共赢,2026各区期末和期中/2026东城期末/细则/细则.pptx,02_extraction/full_source_text_cache_20260503/SRC_88c6e8f353db_细则_pptx.txt,"E 22]] [[SLIDE 23]] 16. 知识角度： 哲学：矛盾对立统一、价值观（价值判断和价值选择）、意识能动作用（社会意识）、整体部分等 文化：中华优秀传统文化、民族精神、文化作用（功能、对人的影响 || 无关。 [[SLIDE 24]] 16.示例：【分：（思维方法→价值追求）→总：文化作用】 白，不止于白。“留白”作为中国画传统艺术手法，是对矛盾对立统一思维方法的极致运用。用“无”衬托“有”，以“ || 答题逻辑建构 [[SLIDE 30]] 17. 本题对学生挑战较大：材料新，兼顾综合性与应用性，探究与建构+阐释与论证， （1）在上述障碍中任选两个，分别提出政策性建议，并运用《经济与社会》知识，说明理由。 || 要求。 [[SLIDE 31]] 17. （1）在上述障碍中任选两个，分别提出政策性建议，并运用《经济与社会》知识，说明理由。（8分） 细则：一层4分，两层8分；每一层，建议2分，理由2分。政策性建议 || 正参与竞争。 [[SLIDE 32]] 17. （1）在上述障碍中任选两个，分别提出政策性建议，并运用《经济与社会》知识，说明理由。（8分） 细则：一层4分，两层8分；每一层，建议2分，理由2分。政策性建议 || 治经济... [[SLIDE 33]] 17. （1）在上述障碍中任选两个，分别提出政策性建议，并运用《经济与社会》知识，说明理由。（8分） 细则：一层4分，两层8分；每一层，建议2分，理由2分。政策性建议 || ]] 8分： [[SLIDE 38]] 17. 宏观感受： 25年的东城区高考评价，东城区政治学科给的建议是，复杂情境下分析和解决问题的能力，本题个人感觉较为契合建议方向。需要学生有限时间里，拆解问题、剥离 || 8]] 0分 [[SLIDE 49]] 18.（11分）无人机起飞如何系好""安全带""? 陈某向店主刘某发送邮件：“急需购买A型号无人机一台，用于重要商业拍摄。”刘某回复：“全新原装，15000元"
2024东城二模,unknown,SRC_593d33b50bbf,P0_candidate_scoring,ok,联合国;人类命运共同体;联合国宪章;共赢,东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx,02_extraction/full_source_text_cache_20260503/SRC_593d33b50bbf_20小题二模阅卷总结_docx.txt,
2025东城一模,16;17;19;20;21,SRC_d39f12bd12f3,P0_candidate_scoring,ok,共同利益;经济全球化;全球治理;国际关系民主化;人类命运共同体;两个市场;一带一路;对外开放;国际竞争;全球南方;普惠;平衡;共赢,2025各区一模/2025东城一模/细则/细则.pdf,02_extraction/full_source_text_cache_20260503/SRC_d39f12bd12f3_细则_pdf.txt,区 25 届高三政治一模统测阅卷报告 16. 结合材料，运用《哲学与文化》知识，分析中国年何以“生生不息”。（8 分） （一）本题标准和变通 四个角度 丰富内涵-2 分： 春节是中华民族社会生活实践 || [[PAGE 2]] 17.运用法治知识，说明法治在数字经济发展中的引领和规范作用。（9 分） （一）本题标准和变通 法治层面5 分 作用层面 4 分（三点作用， || 旨和核心。 [[PAGE 4]] 19. 阅读材料，完成表格。（8 分） （一）本题标准和变通 ①解决机制（1 分） ：调解/诉讼调解/诉讼 1 分 （对写“诉讼”得分的原因给予解释：该案已进入诉 || 人”涉及的 “遗产分配”问题等。 20. 谈谈此次元首外交的精彩之处。 （8 分） （一）本题标准和变通 第一层（4 分） ①共同利益是合作的基础 2 分 替代：具体的合作（ “一带一路” || 中国家的合作。 [[PAGE 6]] 21.结合材料， 综合运用所学， 谈谈你对 “教育是强国建设、 民族复兴之基” 的理解。（10 分） （一）本题标准和变通 1.逻辑结构：是——为——怎 2
2026东城期末,16;17;18;19;20;21,SRC_9aba5c7460e6,P3_candidate_paper,ok,全球治理;国际组织;人类命运共同体;一带一路;国际竞争;普惠;平衡,2026各区期末和期中/2026东城期末/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_9aba5c7460e6_试卷_pdf.txt,二、本部分共 6 题，共 55 分。 16. “白”在中国文明进程中是美学符号，亦是哲学命题。 [[PAGE 6]] 第6页/共9页 白，不止于白。从上述材料中，你读出了怎样的深意?结合《哲 || 合《哲学与文化》知识，谈谈你的理解。 17. 人形机器人“入职”汽车生产线，安防机器人智能巡逻，科研机器人在实验室“上岗”……场景 作为系统性验证新技术、新产品、新业态的具体情境，赋能新质生产力发展。 材 || 逻辑知识，论证三项主张是否符合逻辑。 18. 无人机起飞如何系好“安全带”? 陈某向店主刘某发送邮件：“急需购买 A 型号无人机一台。用于重要商业拍摄。”刘某回复：“全新 原装，15000 元。”陈某立即 || 略选择。你认为陈某需要做好哪些工作? 19. 改革与法治，如同“鸟之两翼、车之两轮”，共同驱动国家治理体系和治理能力现代化。 [[PAGE 7]] 第7页/共9页 《粮食安全保障法》将政策治理 || 在改革与法治的良性互动中不断推进的。 20. 破解全球治理难题，中国提出全球发展倡议、全球安全倡议、全球文明倡议、全球治理倡议（简称 “四大全球倡议”）。 中国携手 150 多个国家和30 多个国际组 || 倡议如何系统推动构建人类命运共同体。 21. 区域，大国经略发展格局的主要依托。 中国地域辽阔，不同区域的自然禀赋与发展基础存在差异。改革开放以来，部分地区率先发展，形成 了显著的领先优势，同时也带来了区 || 本部分共 6 题，共 55 分。 16. (7 分) 可从对立统一、中华优秀传统文化、价值观等角度作答。 等级水平 等级描述 水平 4 观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学展开论 || 辑规则进行分析，符合逻辑，论证有效。 18. (11 分) (1)陈某与刘某达成合意，双方主体适格、意思表示真实、合同形式与内容合法，合同有效。刘某来全面履 行合同，构成违约，应承担违约责任。刘某提供的产
2025东城二模,16;17;18;19;20;21,SRC_e1c925184ab8,P3_candidate_paper,ok,国家利益;世界多极化;经济全球化;全球治理;人类命运共同体;中国智慧;多边主义;一带一路;综合国力;和平共处五项原则;普惠,2025各区二模/2025东城二模/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_e1c925184ab8_试卷_pdf.txt,本部分共 6 题，共 55 分。 16.(8 分) 曾几何时，能说话会干活的机器人只存在于科幻小说和电影中，而今已走进寻常百姓家；谷歌、OpenAI 是 高山，但深度求索 (DeepSeek)横空出 || 头，与人工智能共创美好未来。 17.(9 分)数字法院是数字时代推进司法工作现代化的重要引擎。 在苏州的274个“融诉驿站”，法官在线“坐镇”化解纠纷5646起，开展普法宣传3138次；司法资源 || GE 5]] 第5页/共8页 18.(12 分) 今天的中国成为全球瞩目的创新 “孵化器”，创新的种子处处萌发。嫦娥六号实现人类首次月球背面采样返 回；人工智能方兴未艾，深度求索等“杭州六小龙” || 与否，并说明理由。(4 分) 19.(8 分)法律以清晰的边界和公正的尺度守护社会秩序，营造美好生活。 案件一 龙某为 13 周岁的钱某在所经营的美容工作室进行了大面积文身并收取费用。钱某母亲发 || 示作用，故认定公司违 约。 ④ 20.(8 分) 宇宙浩瀚，地球似一叶孤舟，是全人类的共同家园。 而今全球经济复苏乏力，贸易保护主义抬头；大规模 地区冲突动荡，外溢风险加剧；一些大国执意挑动阵营对 || 、逻辑清晰，200 字左右。 21.(10 分)小小联系点，民主大气象。 2014 年，党中央提出建立基层立法联系点制度，2023 年该制度写入立法法，中国的民主之路越走越宽。 十多年来，全国 || 本部分共 6 题，共 55 分。 16.（8 分） 人工智能是新事物，改善了生活质量，拓展了获得知识信息的途径，得到人们认可。 人工智能赋能各领域，建立起新的人为事物联系，推动社会全面进步。发展人 || 技术真正人所用，与它共创美好 未来。 17.（9 分） 数字法院打破地域限制、实现司法普惠，让更广泛的群众享受到优质司法资源。各类数字服务平台为群众 提供了便捷的司法服务，降低群众维权成本，提升维权效率
2026东城一模,16;17;18;19;20,SRC_0fca4fc46247,P3_candidate_paper,ok,世界多极化;全球治理;全球治理体系;人类命运共同体;共商共建共享;一带一路;对外开放;国际竞争;普惠;共赢,2026各区一模/2026东城一模/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_0fca4fc46247_试卷_pdf.txt,本部分共 5 题，共 55 分。 16．（7 分）文艺是时代前进的号角。 当今时代，大众情绪多样复杂、变化迅速，时代情感则恢弘深沉、浸润人心。 文艺晚会 电视剧台词 诗集 一场饱 || 《哲学与文化》知识，评析这 一观点。 17．（8 分）青年是城市的活力源泉。我国多地推动青年友好型城市建设。 “心事”被听见 [[PAGE 6]] 第6页/共10页 北京市人才工作局面向青 || “心事”转化为城市治理 “实事”的。 18．（8 分）人民法院以司法之力守护“向新力” 。 案例一 某科技公司三名创始人，因专利权归属纠纷，陷入长期诉讼，公司发展因此停滞。对此，办 案合议庭没有“一判 || 院是如何以司法之力守护“向新力”的。 19．（24 分）中关村特色产业园在培育未来产业、发展新质生产力方面发挥重要作用。某校学生开展“中 关村特色产业园发展战略分析”项目研究，请你参与。 【项目背景】 || 把‘1’拉长、推进” 。 （5 分） 20．（8 分）生态文明建设是关系中华民族永续发展的根本大计。 中华民族向来尊重自然、热爱自然。 “天人合一” “道法自然”……绵延5000 多年的中华文明孕育着丰 || 本部分共 5 题，共 55 分。 16.(7 分) 可从中华民族精神、价值观、发展中国特色社会主义文化等角度作答。 等级水平 等级描述 水平 4 观点鲜明，能明确表达自己的见解；紧扣问题，综合 || 试题无关；或重复试题内容，或没有应答 17.(8 分) 全过程人民民主是最广泛、最真实、最管用的民主。完整的制度程序和参与实践，保障青年意愿和需求转 化为公共政策并落地。构建多样、畅通、有序的民主渠道； || 目标一致，推进青年友好型 城市建设。 18.(8 分) 法院以诉讼调解妥善化解矛盾、促进合作，维护市场创新活力。依法适用惩罚性赔偿，严厉制裁故意侵权 行为，加大侵权成本，保护权利人合法权益。依法甄别恶意
2025东城一模,16;17;18;19;20;21,SRC_da5883631078,P3_candidate_paper,ok,全球治理;联合国;人类命运共同体;一带一路;对外开放;全球南方;平衡;共赢,2025各区一模/2025东城一模/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_da5883631078_试卷_pdf.txt,本部分共 6 题，共 55 分。 16.(8 分) ◇传统的中国年 春节是一个系统工程，写春联、贴年画、守岁、拜年、观灯……不知不觉中，它就住进了中华儿女的 心中。和劳累节俭、素食为主、鸡飞狗跳的 || 识，分析中国年何以“生生不息”。 17.(9 分) 数字经济是继农业经济、工业经济之后，以数据资源为关键要素的新经济形态，包括大数据、 5G、 人工智能等核心产业。 目前，数据确权和流通的法律体系 || 数字经济发展中的引领和规范作用。 18.(12 分) “两重”“两新”是 2025 年经济工作的重要发力点。 材料一 “两重”，是指国家重大战略实施和重点领域安全能力建设。在实施中既要强化“硬投资 || 国内大循环的经济逻辑。(8 分) 19.(8 分) 法治以“固根本、稳预期、利长远”的治理效能，夯实人民群众可感可及的公平正义。以下三个案例生 动展现了法治的实践与成效。 案件一 张某与某公司签订 || 申请人民法院指定遗 产管理人。 ③ 20.(8 分) 2024 年，是中拉命运共同体建设 10 周年。 中国已在拉美地区累计实施 200 余个基建项目；与 20 多个 国家签署了共建“一带一路”合作文 || 谈谈此次元首外交的“精彩”之处。 21.(10 分)教育是强国建设、民族复兴之基。 材料一 党的十八大以来，我国教育发展进入快车道。 [[PAGE 7]] 第7页/共9页 立德树人成效 || 本部分共 6 题，共 55 分。 16.(8 分) 春节是中华民族社会生活实践的产物和极具代表性的文化符号。春节承载着中国人与自然和谐共生，追求 和睦幸福的价值取向，激励着人们接续奋斗，产生着恒久的 || 价值追求，得到世界人 民尊重和喜爱。 17.(9 分) 适应时代发展需求，推进数据产权立法，完善法律体系，明确各参与方的权利与义务，促进数据流通使用 效率，通过包容审慎的监管机制，既保护市场主体创新积极
2025东城二模,16;17;19;20;21,SRC_bd8e9436f81d,P0_candidate_scoring,ok,共同利益;和平与发展;世界多极化;国际关系民主化;人类命运共同体;中国智慧;中国方案;普惠,2025各区二模/2025东城二模/细则/细则.pdf,02_extraction/full_source_text_cache_20260503/SRC_bd8e9436f81d_细则_pdf.txt,"区 25 届高三政治二模统测阅卷报告 16. 结合材料,运用哲学观点,谈谈我们应如何勇立潮头,与人工智能共创美好未来。 （一）本题标准和变通 怎么看：1 分 人工智能是新事物 /发展人工智能符合规律， || 防止空洞化紧扣设问， 防止 跑偏 17．结合材料，运用法治知识，说明数字法院如何让群众享受“数字正义” 。 （9 分） （一）本题标准和变通 数字普惠角度 材料1 分+知识2 分 数字法院打破地 || 训练，形成规范表达，增加熟练度。 19.阅读材料，完成表格。 （一）本题标准和变通 ①龙某为钱某文身案例（2 分） ：该情境有两个问题，即合同效力问题和侵权问题： 学生可以通过把一个问题说清楚得 || 段把法律的主干内容再做简单梳理。 20. 结合材料，运用《当代国际政治与经济》知识，写一篇小论文。 （8 分） （一）本题标准和变通 第一层：背景（2 分） 根据第一自然段， 简述国际局 || 料”的能力，把握主旨和关键信息。 21.结合材料，综合运用所学，谈谈“小小联系点”蕴含的“民主大气象”。（10 分） （一）本题标准和变通 1.逻辑结构：说明小小联系点是什么——具体阐明小小联"
2026东城一模,unknown,SRC_90391f5178e4,P0_candidate_scoring,ok,对外开放;国际竞争;平衡,2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（3）.pptx,02_extraction/full_source_text_cache_20260503/SRC_90391f5178e4_19_3_pptx.txt,辨性和深刻性。 [[SLIDE 3]] 19题（3）8分 【评分细则】4+3+1 ①开放促进韧性：---4分 （举措3+落点1） 高水平对外开放举措：3分 坚持引进来与走出去相结合、通过对接国际高标准经
