suite,covered_priority,district_priority,source_id,year_hint,district_hint,stage_hint,evidence_guess,extract_status,text_chars,hit_count,hit_terms,question_anchors,relative_path,cache_path
2024海淀期中,no,1,SRC_e3f88f68dd56,2024,海淀,期中,P0_candidate_scoring,ok,15101,66,国家利益;共同利益;和平与发展;时代主题;世界多极化;政治多极化;经济全球化;全球治理;全球治理体系;联合国;国际组织;国际秩序;新型国际关系;人类命运共同体;中国力量;一带一路;对外开放;综合国力;外交政策;独立自主;和平共处五项原则;南南合作;全球南方;平衡;共赢,15 1-15 主观题题号 16（1）、17、 20 18、19、21（1） 16（2）、 21（2） 16-21 必修2 必修3 选择性必修1 合计 客观题分值 18 15 12 45 主观题分值 19 2 || 主观题题号 16（1）、17、 20 18、19、21（1） 16（2）、 21（2） 16-21 必修2 必修3 选择性必修1 合计 客观题分值 18 15 12 45 主观题分值 19 21 15 5 || 题题号 16（1）、17、 20 18、19、21（1） 16（2）、 21（2） 16-21 必修2 必修3 选择性必修1 合计 客观题分值 18 15 12 45 主观题分值 19 21 15 55 合 || 70.29 222 3.9 1082 19.01 [[PAGE 5]] A B C D 选择数 选择率 选择数 选择率 选择数 选择率 选择数 选择率 1419 24.93 4120 72.38 47 0 || 7.98 118 2.07 1045 18.36 4065 71.42 [[PAGE 7]] 16（1） [[PAGE 8]] 学科任务：解释与论证，“是因为” （1）两个角度：供给和需求（共2分，各1 || 解决问题的能力 [[PAGE 17]] 第17题评阅说明 包宗丽、侯锐、王雪楠、潘锐 刘卫红、齐雯、王妍、许依林、王振环、 秦璐、王寅亮、宝英歌、门靖靖、刘克章 [[PAGE 18]] 2022北京19（1） || 理由。（8分） [[PAGE 29]] 18题 [[PAGE 30]] 一、试题分析 • 知识板块：《政治与法治》 • 能力板块：阐释与论证的能力，运用学科知识描述政治参与路径 • 考查意图：本题以“五民 || E 38]] 海淀区高三思想政治期中考试第19题 评阅细则 2024.11.8 [[PAGE 39]] 19.（7分）某中学党支部组织党员老师共同学习修 订后的《中国共产党纪律处分条例》。下面是部分 学习内容,2024海淀期中/细则/细则.pdf,02_extraction/full_source_text_cache_20260503/SRC_e3f88f68dd56_细则_pdf.txt
2026海淀期中,no,1,SRC_647418e573f7,2026,海淀,期中/期末,P3_candidate_paper,ok,8476,32,和平与发展;全球治理;全球治理体系;联合国;国际组织;人类命运共同体;共商共建共享;多边主义;对外开放;国际竞争;公共产品;主权平等;联合国宪章;共赢,④ 第二部分 本部分共7题，共55分。 16.（6分） 风电场叶片维修工、碳排放管理师、建筑节能减排咨询师……以“环保、低碳、循环”等为特征的绿色职业从业者被形象地称为“绿领”从企业用人标准来看，理想的“绿 || 识，说明如何破解“绿领”人才供需困境。 17.（6分） 2025年9月，国务院批复北京城市副中心等10个区域开展要素市场化配置综合改革试点，《北京城市副中心要素市场化配置综合改革试点实施方案》正式落地。以下 || ，分析上述改革举措将如何散发要素活力。 18.（8分） 人民城市人民建，人民城市为人民。党的十八大以来，各地把人民城市理念融入城市发展全过程和城市工作各方面、不断提高城市治理现代化水平 运用《政治与法治》知 || ，阐释上述城市践行人民城市理念的实践。 19.（6分） 2025年6月底，两部有关基层群众自治组织制度的基本法律——村民委员会组织法和城市居民委员会组织法（以下简称“两委”相织法）同时迎来修改。某班同学讨论 || 识，说明此次“两委”组织法修改的意义。 20.（7分） 用好红色资源，赓续红色血脉。2025年9月，最高人民检察院发布“铭记抗战历史，传承抗战精神”检察公益诉讼典型案例。以下是其中的一则案例。 【基本案情】 || 与法治》知识，说明这一案例的入选理由。 21.（8分） 人形机器人产业已成为全球科技竞争新高地，北京市采取多种举措打造全球机器人应用标杆城市。 结合材料，从经济角度分析北京是如何打造全球机器人应用标杆城市的 || 京是如何打造全球机器人应用标杆城市的。 22.(14分)察势者智，驭势者赢。 材料一2025年9月1日，习近平主席在2025年“上海合作组织+”会议上郑重提出全球治理倡议。这是继全球发展倡议、全球安全倡议和 || 分 本部分共 7 题，共 55 分。 16. （6 分） 可以从有效市场和有为政府更好结合、分配激励、贯彻新发展理念等角度作答。 17. （6 分） 建立国有企业研发准备金制度，有助于建立持续稳定的研发投,2026各区期末和期中/2026海淀期中/试卷/试卷.docx,02_extraction/full_source_text_cache_20260503/SRC_647418e573f7_试卷_docx.txt
2024海淀二模,no,1,SRC_a83c70cbad37,2024,海淀,二模,P3_candidate_paper,ok,7743,15,全球治理;全球治理体系;联合国;国际组织;人类命运共同体;国际竞争;全球南方,本部分共 6 题，共 55 分。 16． （6 分）以调频促同频，同频共振，同向同行。 在物理学中，频道又称信道，是信号在通信系统中传输的通道，频道不同，传输的信号就不 一样。同频指的是两个或多个声波在 || 角度，谈谈为什么要“以调频促同频” 。 17． （11 分）时间都去哪儿了？ 时间利用调查是国际通行的一项社会调查，主要通过采集居民在一段特定时间内的活动信 息，反映居民在个人生理必需活动、有酬劳动、无酬劳动 || 想政治） 第 6 页（共 8 页） 18． （16 分）民主是人类文明发展进步的重要标志，是全人类共同价值。 材料一 在“民主：全人类共同价值”国际论坛上，来自多个国家、地区和国际组织的 200 余名嘉宾 || 想政治） 第 7 页（共 8 页） 19． （6 分）遗赠扶养协议纠纷案宣判。 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢 || 与生活》知识，分析本案判决的社会价值。 20． （8 分）在更高起点上扎实推动中部地区崛起。 我国中部地区包括山西、安徽、江西、河南、湖北、湖南六省，承东启西、连南接北，以全 国十分之一的国土面积承载着全国约 || 想政治） 第 8 页（共 8 页） 21． （8 分）循“新”出发，向“新”而行。 习近平总书记强调： “我们的目标很宏伟，也很朴 素，归根到底就是让老百姓过上更好的日子。孩子的 抚养教育，年轻人的就业成,海淀二模/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_a83c70cbad37_试卷_pdf.txt
2024海淀一模,no,1,SRC_24a14c0c2355,2024,海淀,一模,P0_candidate_scoring,ok,3085,13,两个市场;两种资源;对外开放;国际竞争;普惠;共赢,"D 15．A 本部分共5题，共55分。 16.（8分）可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 【细则】 （20分） 第一问17（1）依靠科技，因地制宜发展农村“隐藏款土 || 发展的战略大局，书写新篇章。 第三问答案17.（3） 政府用法治思维和法治方式履行职责, 打造引领首都新经济新业态发展的中坚力量，激发其创业创新热情。运用互联网人工智能等科技手段优化服务，用金融服务支持企业 || 2分） 提示：只写“经济职能”不给分。 18.（10分） （1）降低外国朋友来华旅游、拜访、商务等活动的成本，提升往来便利度，促进贸易投资便利化、自由化。吸引全球资源要素，促进商品、服务、技术、资金、劳务等 || 激发创新活力，维护市场秩序。 【细则】 20.（9分） 活动主题：要求符合题意，具体贴切。如赓续红色血脉，争做时代新人。 活动内容：要求具体可行。如参观中国共产党历史展览馆，以小组为单位提交成果，成果形式不",2024海淀一模/细则/细则.docx,02_extraction/full_source_text_cache_20260503/SRC_24a14c0c2355_细则_docx.txt
2024海淀一模,no,1,SRC_22a9fc350542,2024,海淀,一模,P3_candidate_paper,ok,8346,7,全球治理;全球治理体系;人类命运共同体;多边主义;对外开放,本部分共 5 题，共 55 分。 16． （8 分）中国新一代载人飞船命名为“梦舟” ，月面着陆器命名为“揽月” 。 中国空间站建造完成后，登陆月球成为中国人探索太空的下一个目标。按计划，我国将在 20 || 谈谈中国人探索宇宙、登陆月球何以自信。 17． （20 分）高质量发展是新时代的硬道理。 材料一 哈尔滨的雪花、上海的“繁花” ……借助现代交通工具，南北互换式旅游成为触手 可及的浪漫，也带动了国内南北多省份 || 想政治） 第 7 页（共 8 页） 18． （10 分）便利中外人员往来，服务高水平对外开放。 【免签时代】 为便利中外人员往来、服务高水平对外开放，我国决定试行扩大单方面免签国家范围。截至 2024 年 || 何提高这种 推理的可靠性。 （4 分） 19． （8 分）首例涉“虚拟数字人”侵权案宣判。 甲公司系一家以计算机图形学和 AI 技术为核心的科 技公司，Ada 系甲公司在发展其产品业务过程中打造的超 写实虚拟 || 想政治） 第 8 页（共 8 页） 20． （9 分）开展党史学习教育，以史鉴今、资政育人。 2024 年 2 月初，中共中央印发《党史学习教育工作条例》 ，并发出通知，要求各地区各部门 认真遵照执行。,2024海淀一模/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_22a9fc350542_试卷_pdf.txt
2024海淀二模,no,1,SRC_1c0a8eb1f6cd,2024,海淀,二模,P3_candidate_paper,ok,6974,6,全球治理;联合国;国际组织;人类命运共同体;国际竞争,④ 第二部分 本部分共6题，共55分。 16．（6分）以调频促同频，同频共振，同向同行。 在物理学中，频道又称信道，是信号在通信系统中传输的通道，频道不同，传输的信号就不一样。同频指的是两个或多个声波在频率 || 谈谈为什么要“以调频促同频”。 17．（11分）时间都去哪儿了？ 时间利用调查是国际通行的一项社会调查，主要通过采集居民在一段特定时间内的活动信息，反映居民在个人生理必需活动、有酬劳动、无酬劳动、个 || 段”与“分析研究阶段”的关联。（4分） 18．（16分）民主是人类文明发展进步的重要标志，是全人类共同价值。 材料一 在“民主：全人类共同价值”国际论坛上，来自多个国家、地区和国际组织的200余名嘉宾，围 || 谈谈对中国民主独特实践的理解。（8分） 19．（6分）遗赠扶养协议纠纷案宣判。 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某，每月给予曹某基本生活费，免费看病诊治，逢年过 || 与生活》知识，分析本案判决的社会价值。 20．（8分）在更高起点上扎实推动中部地区崛起。 我国中部地区包括山西、安徽、江西、河南、湖北、湖南六省，承东启西、连南接北，以全国十分之一的国土面积承载着全国约四分 || 用，在更高起点上扎实推动中部地区崛起。 21．（8分）循“新”出发，向“新”而行。 习近平总书记强调：“我们的目标很宏伟，也很朴素，归根到底就是让老百姓过上更好的日子。孩子的抚养教育，年轻人的就业成才，老年,海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,02_extraction/full_source_text_cache_20260503/SRC_1c0a8eb1f6cd_高三二模_政治试题_以PDF为准_1_docx.txt
2025海淀一模,no,1,SRC_20820628be28,2025,海淀,一模,P3_candidate_paper,ok,9339,6,世界多极化;联合国;南南合作;平衡;共赢,本部分共 7 题，共 55 分。 16．（8 分） 近年来，原本被企业招聘时用于职业性格测试的 MBTI 测试流行起来。该测试以“外向-内向”等 4 个 维度描述性格，分别以字母表示，共可组合成16 || GE 5]] 第5页/共9页 17．（7 分） 中华法系源远流长，中华优秀传统法律文化蕴含丰富法治思想和深邃政治智慧，是中华文化的瑰宝。 古人逐步探索形成的基层社会治理智慧与经验，对我们今天建设 || 特别规定了“唱读律令”的仪式。 ③ 18．（7 分） 随着居民消费水平的提高，主题乐园越来越受到游客的青睐。某主题 乐园推出了年卡服务，游客只需 支付一定费用办理年卡，即可享受主题乐园酒店的折扣优惠， || 与生活》知识，谈谈对本案判决的认识。 19．（7 分） 推进中国式现代化，科学技术要打头阵，科技创新是必由之路。国产人工智能大模型异军突起，人形 机器人跳着秧歌火遍全国……杭州成为2025 年第一个因科 || 治》知识，分析“六小龙”何以出杭州。 20．（8 分） 每年“两会”都会举办“委员通道”采访活动，邀请部分全国政协委员接受记者采访，回应热点问题， 分享履职故事，传递百姓声音。 思想政治课上，某班同学 || 运用所学，将两位委员的发言补充完整。 21．（8 分） 外贸进出口是拉动经济增长的重要引擎。2024 年，我国外贸总量连续跨过 42、43 两个万亿级台阶， 全年进出口总值达到 43.85 万亿元人民币 || GE 7]] 第7页/共9页 22．（10 分） “不谋万世者，不足误一时；不谋全局者，不足谋一域。 ”整体观念是中华优秀传统文化的重要内容 和显著特征，注重把握事物之间的整体性、和谐性与统一性 || 本部分共 7 题，共 55 分。 16．（8 分） 可从矛盾分析法、实践与认识的关系、价值观等角度作答。 等级水平 等级描述 水平 4 观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学知,2025各区一模/2025海淀一模/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_20820628be28_试卷_pdf.txt
2024海淀一模,no,1,SRC_5f85521d3602,2024,海淀,一模,P0_candidate_scoring,ok,1598,4,两个市场;两种资源;对外开放,A 第二部分 本部分共5题，共55分。 16.（8分） 可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 17.（20分） （1）依靠科技，因地制宜发展农村“隐藏款土特产”，促进 || 观点、实践的观点、民族精神等角度作答。 17.（20分） （1）依靠科技，因地制宜发展农村“隐藏款土特产”，促进当地特色产业发展和经济结构优化，推动乡村产业振兴。国内南北多省份“隐藏款土特产”走俏，满足人民 || 提高治理效能，推进经济社会高质量发展。 18.（10分） （1）降低外国朋友来华旅游、拜访、商务等活动的成本，提升往来便利度，促进贸易投资便利化、自由化。吸引全球资源要素，促进商品、服务、技术、资金、劳务等 || 识对象与有关现象之间的因果关系等方法。 19.（8分） 民事主体的著作权受法律保护，甲公司创作虚拟数字人Ada，对其享有著作权。乙公司未经许可使用甲公司创作的相关视频，并在展示过程中故意替换有关标识、加注注 || 失，有利于激发创新活力，维护市场秩序。 20.（9分） 活动主题：要求符合题意，具体贴切。如赓续红色血脉，争做时代新人。 活动内容：要求具体可行。如参观中国共产党历史展览馆，以小组为单位提交成果，成果形式不,2024海淀一模/细则/补充材料/一模政治-答案.docx,02_extraction/full_source_text_cache_20260503/SRC_5f85521d3602_一模政治-答案_docx.txt
2024海淀二模,no,1,SRC_e6f22d1048fc,2024,海淀,二模,P0_candidate_scoring,ok,2639,4,时代主题;世界多极化;国际组织;人类命运共同体,．C15．D 本部分共6题，共55分。 16.（6分） 【答案】 联系是普遍的，在人际关系和社交领域，“同频”更容易使人们达成共识，形成合力。矛盾双方是对立统一的，人与人在思想、价值观、生活方式或行为方式上 || 人与社会的统一中创造和实现。 【细则】 17.（11分） （1）【答案】 此次时间利用调查是为了全面、真实、准确了解我国居民时间利用情况，追求认识的客观性。与前两次调查相比，此次调查思路新、方法新，具有探索 || 段”与“分析研究阶段”基础，可以给1分 18.（16分） （1）【答案】 可从时代主题、世界多极化、人类命运共同体、国际组织等角度作答。 （1）【细则】 （2）【答案】 我国社会主义民主是全过程人民民主，是 || 党的相关知识（人民立场等除外）给1分； 19.（6分） 【答案】 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的 || 觉行动和全体社会的良好风尚。 【细则】 20.（8分） 产业基础：深化产业协同，推动城市间产业合作，优势互补，促进资源优化，助力产业结构优化升级，共同打造区域经济增长极。 绿色崛起：坚持绿色发展，加快绿色低 || 社会保障，社会事业全面发展。 【细则】 21.（8分） 【答案】 可从中国共产党的领导、制度优势、经济社会发展、国家治理、文化自信等角度回答。 【细则】 “热词”分 2分：在“新”的关键词（新质生产力、新型,海淀二模/细则/细则.docx,02_extraction/full_source_text_cache_20260503/SRC_e6f22d1048fc_细则_docx.txt
2024海淀二模,no,1,SRC_da60e3ae2561,2024,海淀,二模,P0_candidate_scoring,ok,1674,4,时代主题;世界多极化;国际组织;人类命运共同体,D 第二部分 本部分共6题，共55分。 16.（6分） 联系是普遍的，在人际关系和社交领域，“同频”更容易使人们达成共识，形成合力。矛盾双方是对立统一的，人与人在思想、价值观、生活方式或行为方式上有不同，也 || 价值要在个人与社会的统一中创造和实现。 17.（11分） （1）此次时间利用调查是为了全面、真实、准确了解我国居民时间利用情况，追求认识的客观性。与前两次调查相比，此次调查思路新、方法新，具有探索性；调查范 || 查研究的这两个阶段相互依赖、不可分割。 18.（16分） （1）可从时代主题、世界多极化、人类命运共同体、国际组织等角度作答。 （2）我国社会主义民主是全过程人民民主，是最广泛、最真实、最管用的民主，不仅有 || 领导、人民当家作主、依法治国有机统一。 19.（6分） 在本案判决中，人民法院确认居委会提供的遗赠扶养协议，认定居委会的赡养行为，充分肯定居委会对老人养老送终所起的作用。本案判决不仅实现了个案上的公平正义， || 为人们的自觉行动和全体社会的良好风尚。 20.（8分） 产业基础：深化产业协同，推动城市间产业合作，优势互补，促进资源优化，助力产业结构优化升级，共同打造区域经济增长极。 绿色崛起：坚持绿色发展，加快绿色低 || 配置，完善社会保障，社会事业全面发展。 21.（8分） 可从中国共产党的领导、制度优势、经济社会发展、国家治理、文化自信等角度回答。 等级水平 等级描述 水平4 观点鲜明，能明确表达自己的见解；紧扣问题，综,海淀二模/细则/补充材料/高三二模：政治答案(2).docx,02_extraction/full_source_text_cache_20260503/SRC_da60e3ae2561_高三二模_政治答案_2_docx.txt
