suite,years,districts,stages,priority_rank,current_status,source_count,p0_scoring_count,p1_reference_count,p2_lecture_count,paper_count,sample_scoring_files,sample_paper_files,sample_lecture_files
2024海淀一模,2024,海淀,一模,1,not_in_current_coverage_matrix,3,2,0,0,1,2024海淀一模/细则/细则.docx | 2024海淀一模/细则/补充材料/一模政治-答案.docx,2024海淀一模/试卷/试卷.pdf,
2024海淀二模,2024,海淀,二模,1,not_in_current_coverage_matrix,4,2,0,0,2,海淀二模/细则/细则.docx | 海淀二模/细则/补充材料/高三二模：政治答案(2).docx,海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx | 海淀二模/试卷/试卷.pdf,
2024海淀期中,2024,海淀,期中,1,not_in_current_coverage_matrix,2,1,0,0,1,2024海淀期中/细则/细则.pdf,2024海淀期中/试卷/试卷.pdf,
2025海淀一模,2025,海淀,一模,1,not_in_current_coverage_matrix,3,1,0,0,2,2025各区一模/2025海淀一模/细则/细则.docx,2025各区一模/2025海淀一模/试卷/补充材料/EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf | 2025各区一模/2025海淀一模/试卷/试卷.pdf,
2026海淀一模,2026,海淀,一模,1,not_in_current_coverage_matrix,2,1,0,0,1,2026各区一模/2026海淀一模/细则/细则.pdf,2026各区一模/2026海淀一模/试卷/试卷.pdf,
2026海淀期末,2026,海淀,期中/期末,1,not_in_current_coverage_matrix,2,1,0,0,1,2026各区期末和期中/2026海淀期末/细则/细则.pdf,2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,
2026海淀期中,2026,海淀,期中/期末,1,not_in_current_coverage_matrix,2,0,0,1,1,,2026各区期末和期中/2026海淀期中/试卷/试卷.docx,2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf
2025海淀二模,2025,海淀,二模,1,covered_priority_matrix,4,2,0,1,1,2025各区二模/2025海淀二模/细则/细则.docx | 2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,2025各区二模/2025海淀二模/试卷/试卷.pdf,2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf
2025海淀期中,2025,海淀,期中/期末,1,covered_priority_matrix,2,1,0,0,1,2025各区期末/2025海淀期中/细则/细则.docx,2025各区期末/2025海淀期中/试卷/试卷.pdf,
2025海淀期末,2025,海淀,期末,1,covered_priority_matrix,2,1,0,0,1,2025各区期末/2025海淀期末/细则/细则.pptx,2025各区期末/2025海淀期末/试卷/试卷.docx,
2024西城一模,2024,西城,一模,2,not_in_current_coverage_matrix,5,3,0,0,1,西城一模/细则/细则.docx | 西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx | 西城一模/细则/补充材料/~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,西城一模/试卷/试卷.docx,
2024西城二模,2024,西城;西城/东城,二模,2,not_in_current_coverage_matrix,6,2,0,2,2,西城二模/细则/细则.docx | 西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,西城二模/试卷/补充材料/~$模拟测试思想政治试卷.docx | 西城二模/试卷/试卷.docx,西城二模/其他材料/西城东城二模选择题讲评.pdf | 西城二模/其他材料/西城东城二模选择题讲评.pptx
2025西城一模,2025,西城,一模,2,not_in_current_coverage_matrix,2,1,0,0,1,2025各区一模/2025西城一模/细则/细则.docx,2025各区一模/2025西城一模/试卷/试卷.pdf,
2025西城二模,2025,西城,二模,2,not_in_current_coverage_matrix,2,1,0,0,1,2025各区二模/2025西城二模/细则/细则.docx,2025各区二模/2025西城二模/试卷/试卷.pdf,
2025西城期末,2025,西城,期末,2,not_in_current_coverage_matrix,2,1,0,0,1,2025各区期末/2025西城期末/细则/细则.pdf,2025各区期末/2025西城期末/试卷/试卷.pdf,
2026西城一模,2026,西城,一模,2,not_in_current_coverage_matrix,3,1,0,0,2,2026各区一模/2026西城一模/细则/细则.docx,2026各区一模/2026西城一模/试卷/补充材料/2026北京西城高三一模政治.pdf | 2026各区一模/2026西城一模/试卷/试卷.docx,
2026西城期末,2026,西城,期中/期末,2,covered_priority_matrix,3,3,0,0,0,2026各区期末和期中/2026西城期末/细则/细则.pdf | 2026各区期末和期中/2026西城期末/细则/补充材料/西城高三期末评标.pptx | 2026各区期末和期中/2026西城期末/细则/补充材料/高三思想政治参考答案.pdf,,
2024东城二模,2024,东城,二模,3,not_in_current_coverage_matrix,13,12,0,0,1,东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx | 东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx | 东城二模/细则/分题细则/阅卷总结/17题/17(1).docx | 东城二模/细则/分题细则/阅卷总结/17题/17-2.docx | 东城二模/细则/分题细则/阅卷总结/18题/18(1).docx | 东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx | 东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx | 东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,东城二模/试卷/试卷.pdf,
2026东城一模,2026,东城,一模,3,not_in_current_coverage_matrix,12,10,0,0,2,2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/16.pptx | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/17.pptx | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/18+选择7、13.pptx | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（1）.pptx | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（2）.pptx | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（3）.pptx | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx | 2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/20.pptx,2026各区一模/2026东城一模/试卷/补充材料/2026东城一模 原卷扫描版.pdf | 2026各区一模/2026东城一模/试卷/试卷.pdf,
2025东城期末,2025,东城,期末,3,not_in_current_coverage_matrix,3,2,0,0,1,2025各区期末/2025东城期末/细则/细则.pdf | 2025各区期末/2025东城期末/细则/补充材料/东城期末.pptx,2025各区期末/2025东城期末/试卷/试卷.pdf,
2025东城一模,2025,东城,一模,3,not_in_current_coverage_matrix,2,1,0,0,1,2025各区一模/2025东城一模/细则/细则.pdf,2025各区一模/2025东城一模/试卷/试卷.pdf,
2025东城二模,2025,东城,二模,3,not_in_current_coverage_matrix,2,1,0,0,1,2025各区二模/2025东城二模/细则/细则.pdf,2025各区二模/2025东城二模/试卷/试卷.pdf,
2026东城期末,2026,东城,期中/期末,3,not_in_current_coverage_matrix,2,1,0,0,1,2026各区期末和期中/2026东城期末/细则/细则.pptx,2026各区期末和期中/2026东城期末/试卷/试卷.pdf,
2024东城一模,2024,东城,一模,3,covered_priority_matrix,3,2,0,0,1,2024东城一模/细则/细则.pptx | 2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,2024东城一模/试卷/试卷.pdf,
2025朝阳一模,2025,朝阳,一模,4,not_in_current_coverage_matrix,6,4,0,1,2,2025各区一模/2025朝阳一模/细则/细则.pdf | 2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结17 1题 具身智能 任会波组 阐释论证.doc | 2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结18题 社区治理 汤桃玲组 探究建构.doc | 2025各区一模/2025朝阳一模/细则/补充材料/20250329高3阅卷总结19题 合同欺诈  阐释论证.doc,2025各区一模/2025朝阳一模/其他材料/高三政治一模试卷讲评.pptx | 2025各区一模/2025朝阳一模/试卷/试卷.pdf,2025各区一模/2025朝阳一模/其他材料/高三政治一模试卷讲评.pptx
2024朝阳期中,2024,朝阳,期中,4,not_in_current_coverage_matrix,5,3,0,0,2,2024朝阳期中/细则/细则.docx | 2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx | 2024朝阳期中/细则/补充材料/细则.rtf,2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf | 2024朝阳期中/试卷/试卷.pdf,
2024朝阳一模,2024,朝阳,一模,4,not_in_current_coverage_matrix,4,2,0,1,2,2024朝阳一模/细则/细则.pptx | 2024朝阳一模/细则/补充材料/细则.docx,2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx | 2024朝阳一模/试卷/试卷.pdf,2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx
2024朝阳二模,2024,朝阳,二模,4,not_in_current_coverage_matrix,3,2,0,0,1,2024朝阳二模/细则/细则.pdf | 2024朝阳二模/细则/补充材料/细则.docx,2024朝阳二模/试卷/试卷.pdf,
2025朝阳二模,2025,朝阳,二模,4,not_in_current_coverage_matrix,3,1,0,0,2,2025各区二模/2025朝阳二模/细则/细则.docx,2025各区二模/2025朝阳二模/试卷/补充材料/扫描全能王 2025-05-13 21.42.pdf | 2025各区二模/2025朝阳二模/试卷/试卷.pdf,
2025朝阳期末,2025,朝阳,期末,4,not_in_current_coverage_matrix,3,1,0,0,1,2025各区期末/2025朝阳期末/细则/细则.pdf,2025各区期末/2025朝阳期末/试卷/试卷.pdf,
2026朝阳期末,2026,朝阳,期中/期末,4,not_in_current_coverage_matrix,2,1,0,0,1,2026各区期末和期中/2026朝阳期末/细则/细则.pdf,2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,
2026朝阳期中,2026,朝阳,期中/期末,4,covered_priority_matrix,3,2,0,0,1,2026各区期末和期中/2026朝阳期中/细则/细则.docx | 2026各区期末和期中/2026朝阳期中/细则/补充材料/细则.docx,2026各区期末和期中/2026朝阳期中/试卷/试卷.pdf,
2026朝阳一模,2026,朝阳,一模,4,covered_priority_matrix,2,1,0,0,1,2026各区一模/2026朝阳一模/细则/细则.docx,2026各区一模/2026朝阳一模/试卷/试卷.pdf,
