suite,source_id,field,evidence_guess,path,chars,hit_terms
2026海淀期末,SRC_93d2077755f7,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/细则/细则.pdf,1678,
2026海淀期末,SRC_51b7508a0497,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,1908,
2024丰台一模,SRC_04f136a5f8d1,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2024模拟题/丰台一模/细则/细则.docx,4620,当代国际政治与经济;时代主题;经济全球化;贸易投资自由化;投资自由化;人类命运共同体;供应链
2024丰台一模,SRC_60a70dc180c6,sample_paper_files,P1_candidate_reference_answer,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,9219,当代国际政治与经济;和平与发展;经济全球化;贸易投资自由化;投资自由化;人类命运共同体;联合国;供应链
2024丰台一模,SRC_a2905154bbd4,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,1082,
2024丰台二模,SRC_8cabfb2a5c95,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,3759,当代国际政治与经济;经济全球化;全球治理;共商共建共享;人类命运共同体;中国方案;中国智慧;国际关系民主化;两个市场;两种资源
2024丰台二模,SRC_610be819f51b,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,95,
2024石景山一模,SRC_f887d1b620c6,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,11752,经济全球化;贸易和投资自由化;投资自由化;全球治理;共商共建共享;新型国际关系;国际竞争;综合国力;两个市场;两种资源;供应链
2024石景山一模,SRC_6fbd7d422e58,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,9090,当代国际政治与经济;经济全球化;全球治理;人类命运共同体;联合国;国际竞争;供应链
2024顺义二模,SRC_0eb74816f25f,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,2036,国家利益;世界多极化;人类命运共同体;国际竞争;综合国力
2024顺义二模,SRC_3019384a5b42,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,6328,当代国际政治与经济;共同利益;国家利益;全球治理
2025丰台一模,SRC_066dbcf5b765,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,6414,当代国际政治与经济;经济全球化;贸易和投资自由化;投资自由化;人类命运共同体;中国方案;中国智慧;新型国际关系;两个市场;两种资源;供应链
2025丰台一模,SRC_ef312c0ead76,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,8921,当代国际政治与经济;和平与发展;全球治理;人类命运共同体;供应链
2025丰台期末,SRC_86fc00424d39,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,10516,当代国际政治与经济;和平与发展;时代主题;共同利益;经济全球化;全球治理;共商共建共享;人类命运共同体;中国方案;中国智慧;新型国际关系;国际关系民主化
2025丰台期末,SRC_25f18281e8a8,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,17860,当代国际政治与经济;和平与发展;时代主题;共同利益;世界多极化;经济全球化;全球治理;共商共建共享;人类命运共同体;新型国际关系
2025延庆一模,SRC_4572acf26cdb,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/细则/细则.docx,2592,和平与发展;时代主题;共同利益;国家利益;世界多极化;经济全球化;人类命运共同体;多边主义;供应链
2025延庆一模,SRC_438d82cfc42b,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025延庆一模/试卷/试卷.pdf,9741,当代国际政治与经济;共同利益;经济全球化;人类命运共同体;联合国;供应链
2025房山一模,SRC_8ee813c0b52e,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf,3583,和平与发展;经济全球化;全球治理;人类命运共同体;联合国;义利观;国际竞争;开放型世界经济
2025房山一模,SRC_dc005114eca8,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/试卷/试卷.pdf,16513,当代国际政治与经济;和平与发展;共同利益;国家利益;世界多极化;经济全球化;人类命运共同体;中国方案;中国智慧;新型国际关系;国际关系民主化;联合国;多边主义
2025昌平二模,SRC_2df7863ec9eb,sample_scoring_files,P0_candidate_scoring,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/细则/细则.pptx,8030,经济全球化;国际竞争;两个市场;两种资源
2025昌平二模,SRC_f67354a12eea,sample_paper_files,P3_candidate_paper,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025昌平二模/试卷/试卷.pdf,9867,联合国;国际竞争;两个市场;两种资源
