suite,question_no,status,prompt,evidence,decision,source_refs
2026海淀期末,all,no_xuanbiyi_boundary,用户已复核无选必一；本轮 scoring/paper 复扫未发现《当代国际政治与经济》主观题。,P0_scoring_pdf_no_xuanbiyi,不补入主表，只作源穷尽边界。,2026海淀期末_Qall_SRC_SRC_93d2077755f7;2026海淀期末_Qall_SRC_SRC_51b7508a0497
2024丰台一模,20,candidate_with_guard,结合材料，运用《当代国际政治与经济》知识，说明我国的实践是如何推动供应链成为国际合作“共赢链”的。,P0_scoring_docx_level_aspects_guarded,四方面等级说明，可作供应链/贸易投资/经济全球化表述积累；不得当固定逐点 rubric。,2024丰台一模_Q20_SRC_SRC_04f136a5f8d1;2024丰台一模_Q20_SRC_SRC_60a70dc180c6;2024丰台一模_Q20_SRC_SRC_a2905154bbd4
2024丰台二模,19,candidate_with_fixes,结合材料，运用《当代国际政治与经济》知识，说明中国“答卷”如何彰显大国担当。,P0_formal_scoring_docx,三角度各2分，可入大国担当/南南合作/HMC表述积累。,2024丰台二模_Q19_SRC_SRC_8cabfb2a5c95;2024丰台二模_Q19_SRC_SRC_610be819f51b
2024石景山一模,19(2),candidate_with_guard,结合材料，运用《当代国际政治与经济》知识，分析中国新能源汽车企业从“走出去”到“扎下根”的原因。,P1_pptx_or_answer_reference_guarded,有答案链但未见逐点评分细则；只作经济全球化/比较优势/合作共赢表达积累。,2024石景山一模_Q19(2)_SRC_SRC_f887d1b620c6;2024石景山一模_Q19(2)_SRC_SRC_6fbd7d422e58
2024顺义二模,19(2),candidate_with_guard,结合材料，综合运用《政治与法治》和《当代国际政治与经济》知识，说明我国积极推动新质生产力发展的原因。,P0_answer_only_mixed_module_guarded,混合模块题，只收国际竞争、国家利益、世界多极化、HMC等选必一子链。,2024顺义二模_Q19(2)_SRC_SRC_0eb74816f25f;2024顺义二模_Q19(2)_SRC_SRC_3019384a5b42
2025丰台一模,20,candidate_with_fixes,结合材料，运用《经济与社会》《当代国际政治与经济》知识，说明北京“两区”建设的举措是如何助力开放型经济迈上新台阶的。,P0_formal_scoring_docx,便利投资、便利贸易、吸引人才、优惠政策四个2分点可入；宏观双循环/两市场两资源只作兜底边界。,2025丰台一模_Q20_SRC_SRC_066dbcf5b765;2025丰台一模_Q20_SRC_SRC_ef312c0ead76
2025丰台期末,20,candidate_with_fixes,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。,P0_formal_scoring_pptx,中非理论逻辑4分+价值意蕴4分，逐点清楚，可入。,2025丰台期末_Q20_SRC_SRC_86fc00424d39;2025丰台期末_Q20_SRC_SRC_25f18281e8a8
2025延庆一模,20(2),candidate_with_fixes,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对“脱钩断链”相关提问做出回应。,P0_formal_scoring_docx,时代主题、经济全球化方向、多极化/HMC四组清楚，可入。,2025延庆一模_Q20(2)_SRC_SRC_4572acf26cdb;2025延庆一模_Q20(2)_SRC_SRC_438d82cfc42b
2025房山一模,18(2),candidate_with_fixes,“中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。”结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。,P0_formal_scoring_pdf,两条主链+逻辑分，UN框架/开放型世界经济等不可替代项需保留。,2025房山一模_Q18(2)_SRC_SRC_8ee813c0b52e;2025房山一模_Q18(2)_SRC_SRC_dc005114eca8
2025昌平二模,21,candidate_with_guard,结合材料，说明上述举措对我国建设更高水平的开放型经济具有什么重要意义。,P0_formal_scoring_pptx_no_explicit_book_guard,未显式限定选必一，但评分含两市场两资源、全球经济治理、开放包容全球经济格局；作为选必一经济全球化 guarded 候选。,2025昌平二模_Q21_SRC_SRC_2df7863ec9eb;2025昌平二模_Q21_SRC_SRC_f67354a12eea
2025石景山一模,17(2),candidate_with_fixes,结合材料二，运用《当代国际政治与经济》知识，概述完善全球治理的“中国主张”。,P0_formal_scoring_doc,四个2分中国主张，逐点清楚，可入。,2025石景山一模_Q17(2)_SRC_SRC_700c0fe3ebe1;2025石景山一模_Q17(2)_SRC_SRC_949be36f2037
2025顺义一模,20,candidate_with_fixes,结合材料，运用《当代国际政治与经济》知识，说明“小而美”项目为何成为中国开展国际发展合作的亮点和名片。,P0_formal_scoring_docx,四组2分，理念/世界贡献任一点需保留上限。,2025顺义一模_Q20_SRC_SRC_6087ed54082b;2025顺义一模_Q20_SRC_SRC_54c5e688c015
2026丰台期末,20,blocked_prompt_only,党的二十大报告提出，中国推动构建新型国际关系，致力于扩大同各国利益的汇合点。结合材料，运用《当代国际政治与经济》知识，阐释“五大工程”如何扩大中拉利益汇合点。,prompt_found_current_scoring_missing,当前只找到题面与材料，未找到本题评分细则；不 promotion，交 ClaudeCode B 查漏。,2026丰台期末_Q20_SRC_SRC_45c50fff4444;2026丰台期末_Q20_SRC_SRC_371641aaa3a7
2024模块分类汇编,source_bundle,source_bundle_boundary,模块分类汇编，无 P0 评分细则源。,no_p0_scoring_bundle_only,不作为新题源 promotion。,
2026石景山期末,all,excluded,用户确认全模块排除。,user_confirmed_excluded_no_scoring,不处理，不补入。,
