conflict_id,target_id,suite_id,qno,conflict_type,queue_claim,laneB_claim,evidence_basis,resolution_required,severity,notes
B03A-CFL-01,Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),scope_misclassification,queue_section_scope=in_scope_推理_概念_逻辑三律与概念规则,laneB_scope=经济与社会_SCOPE_OUT,paper题干"运用《经济与社会》知识"+rubric纯经济政策分析,downgrade in queue meta to C-boundary,medium,queue auto-tagger trigger on 概念字符匹配但实际题为算力网经济政策
B03A-CFL-02,Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),scope_misclassification,queue_section_scope=in_scope_推理_概念_逻辑三律与概念规则,laneB_scope=哲学_SCOPE_OUT,paper题干"运用哲学知识"+rubric辩证统一/实践/价值观/物质意识,downgrade in queue meta to C-boundary,medium,queue误tag同上;实际为哲学题
B03A-CFL-03,Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),partial_scope,queue_section_scope=cross_推理_类比联言辩证,laneB_scope=哲学与文化(中华优秀传统文化对中国式现代化作用)_SCOPE_OUT,rubric三角度均为文化+哲学分析无逻辑/思维节点,confirm cross但实质为非选必三task,low,queue cross tag正确方向但落点偏向哲学+文化
B03A-CFL-04,Q-2024朝阳一模-21,S-2024朝阳一模,21,scope_misclassification,queue_section_scope=in_scope_推理,laneB_scope=当代国际政治与经济_SCOPE_OUT,paper题干"运用《当代国际政治与经济》知识"+rubric政治多极化经济全球化,downgrade in queue meta to C-boundary,medium,queue误tag为推理但题为国际政经
B03A-CFL-05,Q-2024西城一模-19-1,S-2024西城一模,19(1),scope_misclassification,queue_section_scope=in_scope_推理_归纳推理与因果探求,laneB_scope=经济与社会(图表分析)_SCOPE_OUT,paper题干"读上图分析未来产业发展状况"+rubric经济产业描述,downgrade in queue meta to C-boundary,medium,queue误tag但实际为图表数据分析
B03A-CFL-06,Q-2024西城一模-19-4,S-2024西城一模,19(4),scope_misclassification,queue_section_scope=in_scope_推理,laneB_scope=政治+经济(新型举国体制特点)_SCOPE_OUT,rubric四点均为政治+经济知识,downgrade in queue meta to C-boundary,medium,queue误tag但实为政治+经济
B03A-CFL-07,Q-2024西城一模-19-6,S-2024西城一模,19(6),scope_misclassification,queue_section_scope=in_scope_推理,laneB_scope=经济与社会(机遇挑战+卡脖子)_SCOPE_OUT,rubric全为经济政策,downgrade in queue meta to C-boundary,medium,queue误tag但实为经济
B03A-CFL-08,Q-2024海淀二模-16,S-2024海淀二模,16,scope_misclassification,queue_section_scope=in_scope_推理_判断,laneB_scope=哲学(联系矛盾价值观)_SCOPE_OUT,paper题干"从哲学角度";rubric纯哲学,downgrade in queue meta to C-boundary,medium,queue误tag但题为哲学
B03A-CFL-09,Q-2025东城期末-16,S-2025东城期末,16,scope_misclassification,queue_section_scope=pending_边界_发散思维,laneB_scope=哲学与文化_SCOPE_OUT,paper题干"运用《哲学与文化》知识"+rubric文化载体/源远流长博大精深/意识能动作用,confirm pending为边界但实为非选必三,low,queue pending tag指向边界正确但发散思维tag误tag
B03A-CFL-10,Q-2025东城期末-18-1,S-2025东城期末,18(1),scope_misclassification,queue_section_scope=cross_交叉_创新思维,laneB_scope=经济与社会(新型举国体制+民营企业)_SCOPE_OUT,paper题干"运用《经济与社会》知识"+rubric纯经济政策,downgrade in queue meta to C-boundary,medium,queue误tag为创新思维但实为经济
