entry_no,heading,qid_or_title,fake_prompt,meta_answer_instruction,node_specific,trigger_sufficient,answer_sentence_sufficient,action
1,2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
2,2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
3,2024海淀二模 Q17(1)（主观题）,2024海淀二模 Q17(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
4,2025丰台一模 Q18(1)（主观题）,2025丰台一模 Q18(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
5,2025石景山一模 Q19（主观题）,2025石景山一模 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
6,2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
7,2026东城一模 Q19(1)（主观题）,2026东城一模 Q19(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
8,2026海淀一模 Q17(2)（主观题）,2026海淀一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
9,2026门头沟一模 Q18(2)（主观题）,2026门头沟一模 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
10,2026顺义一模 Q19(2)（主观题）,2026顺义一模 Q19(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
11,2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
12,2026丰台期末 Q20（主观题）,2026丰台期末 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
