question_id,suite_id,stable_locator,qno,question_type,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_or_invalid_pattern,trap,answer_action,same_type_question_ids,fusion_status,phase04_level,student稿_permission,blocker_reason
Q-2024朝阳一模-20-1,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q20(1),20(1),主观题,假言推理;其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳一模-20-2,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q20(2),20(2),主观题,假言推理;其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳一模-21,S-2024朝阳一模,030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q21,21,主观题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,targeted Lane B verification for A-only subjective/high-number question
Q-2024朝阳二模-16-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q16(1),16(1),主观题,逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-16-2,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q16(2),16(2),主观题,逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1),19(1),主观题,假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-2,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(2),19(2),主观题,假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-3,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(3),19(3),主观题,假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-6,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q6,6,选择题,逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳二模-7,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q7,7,选择题,其他复合推理;归纳推理与因果探求,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳期中-1,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q1,1,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳期中-11,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q11,11,选择题,三段论;假言推理;逻辑三律与概念规则;假言推理;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳期中-18,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q18,18,主观题,三段论;假言推理;归纳推理与因果探求;类比推理;换质换位;其他复合推理;归纳推理与因果探求;归纳推理与因果探求;类比推理;类比推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳期中-19,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q19,19,主观题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳期中-5,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q5,5,选择题,假言推理;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳期中-7,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q7,7,选择题,三段论,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳期中-8,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q8,8,选择题,假言推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024朝阳期中-9,S-2024朝阳期中,017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q9,9,选择题,归纳推理与因果探求,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024海淀二模-14,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q14,14,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024海淀二模-16,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q16,16,主观题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,targeted Lane B verification for A-only subjective/high-number question
Q-2024海淀二模-4,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q4,4,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024海淀二模-6,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q6,6,选择题,换质换位,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2024海淀二模-8,S-2024海淀二模,027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q8,8,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024西城一模-11,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q11,11,选择题,其他复合推理,,,,,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2024西城一模-13,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q13,13,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024西城一模-19-1,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(1),19(1),主观题,归纳推理与因果探求;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024西城一模-19-2,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(2),19(2),主观题,归纳推理与因果探求;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024西城一模-19-3,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(3),19(3),主观题,归纳推理与因果探求;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024西城一模-19-4,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(4),19(4),主观题,归纳推理与因果探求;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024西城一模-19-5,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(5),19(5),主观题,归纳推理与因果探求;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2024西城一模-19-6,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx::Q19(6),19(6),主观题,归纳推理与因果探求;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
