batch_order,priority,question_id,visible_title,module,question_type,phase10_body_status,permission,phase12_decision,source_locator,answer_locator,risk_note,required_action,body_target,current_status
1,P5_RECHECK_CHOICE_REASONING_FORM,Q-2025丰台期末-10,2025 丰台期末第10题,交叉,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,040试卷Q10; 040内嵌解析Q10=B,answer_confirmed_B_from_040_paper,②同地摔倒非演绎推理责任错位;③闻一知十非思维抽象到具体错位,补归纳/类比/认识历程边界,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
2,P5_RECHECK_CHOICE_REASONING_FORM,Q-2024朝阳二模-6,2024 朝阳二模第6题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,021试卷Q6; 023答案表Q6=C,answer_confirmed_C_from_023_rubric,①商业航天与航天属种关系标定;③国家队主导与底线思维错位,补概念关系和发展过程判断,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
3,P5_RECHECK_CHOICE_REASONING_FORM,Q-2024朝阳期中-11,2024 朝阳期中第11题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,017试卷Q11; 020答案表Q11=C,answer_confirmed_C_from_020_rubric,①性质判断非关系判断;④好茶/变质茶不是矛盾律而是同一律,补判断类型和逻辑三律边界,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
4,P5_RECHECK_CHOICE_REASONING_FORM,Q-2024朝阳期中-8,2024 朝阳期中第8题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,017试卷Q8; 020答案表Q8=D,answer_confirmed_D_from_020_rubric,①充分必要条件强化错;③否定原因推断错,补必要条件判断和因果归因边界,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
5,P5_RECHECK_CHOICE_REASONING_FORM,Q-2024海淀二模-6,2024 海淀二模第6题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,027试卷Q6; 028答案表Q6=C,answer_confirmed_C_from_028_rubric,A反对关系非矛盾;B属种/种属顺序错;D换位推理过度,补概念外延关系和换位推理边界,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
6,P5_RECHECK_CHOICE_REASONING_FORM,Q-2024西城一模-13,2024 西城一模第13题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,024试卷Q13; 025/026答案表Q13=B,answer_confirmed_B_from_025_rubric,A联想误作抽象;C联想不是判断串联;D联想不是或然推理,补联想思维和推理边界,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
7,P5_RECHECK_CHOICE_REASONING_FORM,Q-2025东城期末-14,2025 东城期末第14题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,012试卷Q14; 012内嵌解析Q14=D,answer_confirmed_D_from_012_paper,A整体部分误作属种;B位于关系误作传递;C内涵属性误作外延一致,补性质判断/关系判断/概念关系,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
8,P5_RECHECK_CHOICE_REASONING_FORM,Q-2025东城期末-15,2025 东城期末第15题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,012试卷Q15; 012内嵌解析Q15=B,answer_confirmed_B_from_012_paper,A必要条件未必假;C否前不能判假;D肯后不能推前,补充分条件假言判断必假判定,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
9,P5_RECHECK_CHOICE_REASONING_FORM,Q-2025丰台期末-9,2025 丰台期末第9题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,040试卷Q9; 040/041答案详解Q9=D,answer_confirmed_D_from_040_paper,A联言支误推;B选言推理误用;C肯定后件无效,补联言/选言/充分条件假言推理,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
10,P5_RECHECK_CHOICE_REASONING_FORM,Q-2025海淀期末-8,2025 海淀期末第8题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,015试卷Q8; 015答案表Q8=D,answer_confirmed_D_from_015_paper,A推理类型和法律构成条件过宽;B概念关系表述不稳;C轻率概括误判,补不相容选言与相容选言关系,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
11,P5_RECHECK_CHOICE_REASONING_FORM,Q-2025西城二模-7,2025 西城二模第7题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,037试卷Q7; 038/039答案表Q7=C,answer_confirmed_C_from_038_rubric,①结构正确不能确保前提真实;③演绎推理不利于新结论;②求异法结论或然;④可信度排序合理,补演绎/求异/类比可信度比较,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
12,P5_RECHECK_CHOICE_REASONING_FORM,Q-2025顺义一模-5,2025 顺义一模第5题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,033试卷Q5; 033/035详解Q5=B; 036答案表Q5=B,answer_confirmed_B_from_036_rubric,A更极端否定非矛盾命题;C等价于A或B;D必要条件非矛盾命题,补联言判断矛盾命题,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
13,P5_RECHECK_CHOICE_REASONING_FORM,Q-2025顺义一模-6,2025 顺义一模第6题,推理,选择题,not_represented_in_body_or_same_type_index,hold_reasoning_form_risk,body_after_repair,033试卷Q6; 036答案表Q6=C,answer_confirmed_C_from_036_rubric,①主项标错;③越级划分而非标准不一,补联言判断/关系判断/概念划分,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
14,P5_RECHECK_CHOICE_REASONING_FORM,Q-2026东城期末-6,2026 东城期末第6题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,body_after_repair,044试卷Q6; 045解析Q6=B,answer_confirmed_B_from_044_paper,A必要条件方向反;C有些不能必推;D部分不能必推,补必要条件假言判断反向推出,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
15,P5_RECHECK_CHOICE_REASONING_FORM,Q-2026东城期末-7,2026 东城期末第7题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,body_after_repair,044试卷Q7; 045解析Q7=A,answer_confirmed_A_from_044_paper,A为唯一不可能组合;其余组合可对应只一真条件,补复合假言真假推演,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
16,P5_RECHECK_CHOICE_REASONING_FORM,Q-2026丰台一模-9,2026 丰台一模第9题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,body_after_repair,supplemental丰台一模Q9; 答案表Q9=D,answer_confirmed_D_from_supplemental_key,A全同关系错;B整体部分误作属种;C文本判定残缺不采,补概念外延关系和联言判断,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
17,P5_RECHECK_CHOICE_REASONING_FORM,Q-2026朝阳期中-12,2026 朝阳期中第12题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,body_after_repair,003试卷Q12; 003答案表Q12=B,answer_confirmed_B_from_003_paper,A哲学知识诱惑;C分类标准不一;D仙人掌违反矛盾律,补逻辑三律和分类标准,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
18,P5_RECHECK_CHOICE_REASONING_FORM,Q-2026朝阳期中-15,2026 朝阳期中第15题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,body_after_repair,003试卷Q15; 003答案表Q15=D,answer_confirmed_D_from_003_paper,A自相矛盾误判;B关系判断误判;C联言支不能并存误判,补联言判断否定规则,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
19,P5_RECHECK_CHOICE_REASONING_FORM,Q-2026顺义一模-4,2026 顺义一模第4题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,body_after_repair,001试卷Q4; 002答案表Q4=A,answer_confirmed_A_from_002_alt_extraction,B决定性作用夸大;C比喻非定义;D完全归纳需穷尽对象,补类比推理/比喻定义/完全归纳边界,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
