question_id,visible_title,module,question_type,source_verified,answer_verified,logical_or_thinking_form_repaired,decision,body_position_target,repair_note
Q-2025丰台期末-10,2025 丰台期末第10题,交叉,选择题,yes,yes,yes,body_after_repair,选择题正文,"B=①④；①归纳推理，④类比推理；②演绎推理责任错位，③闻一知十不是思维抽象到思维具体"
Q-2024朝阳二模-6,2024 朝阳二模第6题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②④；②发展有渐进和飞跃，④国有/民营同属航天事业；①属种顺序错，③国家队主导和底线思维不对应"
Q-2024朝阳期中-11,2024 朝阳期中第11题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②③；②条件关系表达，③有效三段论；①性质判断误作关系判断，④违反同一律而非矛盾律"
Q-2024朝阳期中-8,2024 朝阳期中第8题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"D=②④；没有调查则没有发言/决策权、正确贯彻落实离不开调查，均为必要条件链；①充分必要过度强化，③由无正确决策反推无调查并归因为错"
Q-2024海淀二模-6,2024 海淀二模第6题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"C；发行期限10年以上是超长期特别国债属性；A反对关系误作矛盾，B属种顺序错，D换位推理过度"
Q-2024西城一模-13,2024 西城一模第13题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"B；联想具有非逻辑制约的畅想性；A抽象错，C判断串联错，D或然推理错"
Q-2025东城期末-14,2025 东城期末第14题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"D；肯定性质判断中谓项不周延；A整体部分误作属种，B位于关系误作传递，C内涵属性误作外延一致"
Q-2025东城期末-15,2025 东城期末第15题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"B；P真且Q假时充分条件假言判断必假；A/C/D都不是必假"
Q-2025丰台期末-9,2025 丰台期末第9题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"D；肯定前件可肯定后件；A联言支误推，B选言推理误用，C肯定后件无效"
Q-2025海淀期末-8,2025 海淀期末第8题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"D；不相容选言判断为真时，相容选言判断也真；A推理类型/法律构成过宽，B概念关系不稳，C轻率概括误判"
Q-2025西城二模-7,2025 西城二模第7题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②④；②求异法结论或然，④可信度甲乙丙；①结构正确不能确保前提真，③演绎推理不以新结论见长"
Q-2025顺义一模-5,2025 顺义一模第5题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"B；A且B的矛盾命题是非A或非B；A更强否定不等于矛盾，C/D不是矛盾命题"
Q-2025顺义一模-6,2025 顺义一模第6题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"C=②④；②联言判断，④反对称关系；①主项标错，③越级划分误作标准不一"
Q-2026东城期末-6,2026 东城期末第6题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"B；只有有绿色提取前景才纯净无辐射，结合乌毛蕨独居石纯净无辐射可反向锁定前景；A/C/D不能必然推出"
Q-2026东城期末-7,2026 东城期末第7题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"A；四位老师只有一真时，AI运动数据达标且AI主题闯关未达标不可成立"
Q-2026丰台一模-9,2026 丰台一模第9题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"D；兼具文学趣味与益智功能是联言判断；A全同关系错，B整体部分误作属种，C不采"
Q-2026朝阳期中-12,2026 朝阳期中第12题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"B；或者你说错了或者我听错了符合选言判断；A哲学知识诱惑，C分类标准不一，D违反矛盾律"
Q-2026朝阳期中-15,2026 朝阳期中第15题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"D；否定联言判断一个支判断即可否定整个联言判断；A/B/C均误判"
Q-2026顺义一模-4,2026 顺义一模第4题,推理,选择题,yes,yes,yes,body_after_repair,选择题正文,"A；从抗战时期中长期战略问题迁移到当前中长期问题，属于类比推理；B作用夸大，C比喻不是定义，D不是完全归纳"
