question_id,suite_id,source_id,blocked_status,blocked_reason,next_action
Q-2024朝阳二模-1,S-2024朝阳二模,021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-1,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-2,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-3,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-6,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-7,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-8,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-10,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-11,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-14,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2024西城一模-15,S-2024西城一模,024_Desktop_2024模拟题_西城一模_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀二模-20,S-2025海淀二模,008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf,locked_pending_laneB_visual_confirmation,HS02 原卷文本层为空；Codex 已视觉核读第 7 页，但仍需 ClaudeCode 或第二视觉 pass 独立确认后才能入学生稿。,ClaudeCode Phase03 独立视觉确认 paper page 7 + rubric/评标/讲评三源一致性；确认后再解除学生稿禁入。
Q-2025海淀二模-UNPARSED-PAPER,S-2025海淀二模,008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf,blocked_until_full_paper_visual_or_ocr_question_inventory,paper PDF text layer is blank/thin; full question list must be recovered from rendered pages before coverage PASS,OCR or visually inspect every rendered page and replace suite-level blocker with question-level rows
Q-2025海淀期末-1,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-2,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-3,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-5,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-6,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-7,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-11,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-12,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-13,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025海淀期末-14,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-1,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-2,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-3,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-5,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-6,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-7,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-8,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-9,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-10,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-11,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-12,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-13,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2025西城二模-15,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf,blocked_until_options_visual_check,choice options not fully detected in text,return to raw source/visual/rubric before promotion
Q-2026丰台一模-18-2,S-2026丰台一模,042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf,locked_pending_laneB_visual_confirmation,2026 丰台一模原卷文本层为空；Codex 已视觉核读第 7 页并与细则 PPTX 对上，但全套题目仍需视觉/OCR 恢复。,ClaudeCode Phase03 独立确认 Q18(2) 原题与细则；同时全页恢复该套全部题号，替换 suite-level blocker。
Q-2026丰台一模-UNPARSED-PAPER,S-2026丰台一模,042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf,blocked_until_full_paper_visual_or_ocr_question_inventory,paper PDF text layer is blank/thin; full question list must be recovered from rendered pages before coverage PASS,OCR or visually inspect every rendered page and replace suite-level blocker with question-level rows
Q-2026朝阳期中-11,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,blocked_until_answer_or_rubric_pairing,logic/thinking candidate without paired answer/rubric yet,return to raw source/visual/rubric before promotion
Q-2026朝阳期中-13,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,blocked_until_answer_or_rubric_pairing,logic/thinking candidate without paired answer/rubric yet,return to raw source/visual/rubric before promotion
Q-2026朝阳期中-14,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,blocked_until_answer_or_rubric_pairing,logic/thinking candidate without paired answer/rubric yet,return to raw source/visual/rubric before promotion
Q-2026朝阳期中-15,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf,blocked_until_answer_or_rubric_pairing,logic/thinking candidate without paired answer/rubric yet,return to raw source/visual/rubric before promotion
