question_id,suite_id,qno,thinking_or_method,material_signal_status,answer_action_status,answer_landing_status,optional_angle_pool_status,phase04_level,blocker_reason
Q-2024朝阳一模-7,S-2024朝阳一模,7,创新思维;发散思维;想象;聚合思维;超前思维;迁移,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024朝阳一模-9,S-2024朝阳一模,9,系统观念,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),判断;动态性;推理;类比;联言;辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),判断;动态性;推理;类比;联言;辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),判断;动态性;推理;类比;联言;辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024朝阳二模-7,S-2024朝阳二模,7,判断;前提;归纳;推理;科学思维;结论,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024朝阳期中-19,S-2024朝阳期中,19,分析与综合;创新思维;发散思维;概念;科学思维;结论;联想思维;聚合思维;超前思维;辩证思维;迁移;逆向思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024朝阳期中-9,S-2024朝阳期中,9,前提;思维具体;思维抽象;想象;推理;演绎推理;结论,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2024海淀二模-17-1,S-2024海淀二模,17(1),客观性;思维具体;思维抽象;感性具体;整体性;科学思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2024海淀二模-17-2,S-2024海淀二模,17(2),客观性;思维具体;思维抽象;感性具体;整体性;科学思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-1,S-2025东城期末,1,创新思维;辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-18-1,S-2025东城期末,18(1),创新思维;发散思维;大项;联想思维;聚合思维;超前思维;迁移,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-18-2,S-2025东城期末,18(2),创新思维;发散思维;大项;联想思维;聚合思维;超前思维;迁移,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2025东城期末-5,S-2025东城期末,5,辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2025丰台期末-10,S-2025丰台期末,10,归纳;思维具体;思维抽象;感性具体;推理;演绎推理;类比,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2025丰台期末-16,S-2025丰台期末,16,判断;前提;推理;系统观念;结论;质量互变;辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,targeted Lane B verification for A-only subjective/high-number question
Q-2025丰台期末-7,S-2025丰台期末,7,超前思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2025丰台期末-8,S-2025丰台期末,8,判断;发散思维;想象;推理;概念,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2025海淀二模-20,S-2025海淀二模,20,分析与综合;系统优化;整体性;质量互变;动态性;辩证否定;矛盾分析法,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L4_LOCKED_FOR_FUSION,student draft still blocked by GPT Phase03 gate
Q-2025海淀期末-17-1,S-2025海淀期末,17(1),客观性;想象;科学思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2025海淀期末-17-2,S-2025海淀期末,17(2),客观性;想象;科学思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2025海淀期末-18,S-2025海淀期末,18,创新思维;联想思维;迁移;逆向思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2025海淀期末-2,S-2025海淀期末,2,整体性;结论;辩证思维;迁移,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L0_BLOCKED,visual/options/rubric recovery before fusion
Q-2025海淀期末-22,S-2025海淀期末,22,质量互变,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,targeted Lane B verification for A-only subjective/high-number question
