question_id,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_or_invalid_pattern,trap,answer_action,same_type_question_ids,status,missing_fields
Q-2024朝阳一模-20-1,假言；充分条件；必要条件；判断；推理,,充分条件假言推理(否定后件式),前真后必真;否定后件→否定前件,"题干""如果A区域古代没有广泛生长竹子,就不可能有大量的炭化竹节""为充分条件假言判断;细则31明确规定推理类型为充分条件假言推理(1分),理由""前真后必真,后假则前假""(2分);A-formal确认",假言推理结构识别错误;前后件颠倒;化作不完全归纳,"题干""如果A区域古代没有广泛生长竹子,就不可能有大量的炭化竹节""为充分条件假言判断;细则31明确规定推理类型为充分条件假言推理(1分),理由""前真后必真,后假则前假""(2分);A-formal确认",Q-2024朝阳一模-20-2;Q-2026通州期末-19-2,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳一模-20-2,假言；充分条件；必要条件；判断；推理,,必要条件假言推理(补充推理二),只有...才...;前件是后件的必要条件,"细则31例:前提1=只有A区域古代气候温暖,A区域古代才有可能生长竹子(必要条件);前提2=A区域古代广泛生长着竹子;A-formal确认","补完整推理时漏写""古代/当时""等时间表述会扣1分","细则31例:前提1=只有A区域古代气候温暖,A区域古代才有可能生长竹子(必要条件);前提2=A区域古代广泛生长着竹子;A-formal确认",Q-2024朝阳一模-20-1;Q-2026通州期末-19-2,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳二模-19-1,假言；联言；类比；判断；推理,,辩证思维动态性+类比推理,①动态性=用变化发展观点看问题;②类比=两类对象由相同属性推出新相同属性,细则022明确①动态性(替代:变化发展/矛盾运动/创新)②类比推理(无变通);双挂载思维(辩证)+推理(类比);A-formal确认,"①填错为整体性/质量互变会丢分;②类比变通""无变通""严格",细则022明确①动态性(替代:变化发展/矛盾运动/创新)②类比推理(无变通);双挂载思维(辩证)+推理(类比);A-formal确认,Q-2024朝阳二模-19-2,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳二模-19-2,假言；联言；类比；判断；推理,,联言判断及其保真条件,当且仅当各联言支都真则联言判断真;一假即假,细则022明确联言判断(2分)+保真条件(3分):全真才真/一假即假;A-formal确认,"错别字""连言判断""不给分;表述为""充分/必要条件联言判断""不给分",细则022明确联言判断(2分)+保真条件(3分):全真才真/一假即假;A-formal确认,Q-2024朝阳二模-19-1,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳二模-6,概念,,概念外延关系+哲学渐进性飞跃性,②商业航天发展渐进性飞跃性=哲学量变质变;④国有民营航天都为重要组成部分,选必三概念cross哲学+政治,①商业航天与航天属种关系标定_选必三概念干扰;③以国家队为主底线思维表述错,选必三概念cross哲学+政治,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳二模-7,三段论；假言；归纳；判断；推理,,科学思维_推理结构正确性+三段论+假言推理,D推理结构错误_前提真也不能保正确结论=选必三逻辑核心,选必三科学思维与逻辑题,A小项不当周延/小项扩大（娱乐工具在前提中不周延，结论中周延）;B归纳推理结论确定性夸大;C必要条件假言推理误用,选必三科学思维与逻辑题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳期中-11,三段论；假言；概念；判断；矛盾律；推理,,关系判断;假言推理;三段论;矛盾律,②充分掌握时间学=充分条件假言推理;③所有成功者擅长周密计划+他是成功者+他擅长周密计划=三段论AAA-1,选必三逻辑综合题,"①性质判断非关系判断;④""我店里全是好茶+从来不卖变质茶""非违反矛盾律(其实违反同一律)",选必三逻辑综合题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳期中-18,三段论；假言；归纳；类比；换质；换位；概念；判断；推理,,不完全归纳推理(楚王)+类比推理(晏子),不完全归纳=结论或然性;类比=两类对象由相同属性推出新相同属性(或然推理),细则018明确楚王=不完全归纳1分(关键词:归纳推理+或然);晏子=类比推理1分;A-formal确认;queue cross tag降级为in_scope推理,楚王=以一例归纳全体;晏子=橘枳类比环境致变(均或然但晏子辩证驳论),细则018明确楚王=不完全归纳1分(关键词:归纳推理+或然);晏子=类比推理1分;A-formal确认;queue cross tag降级为in_scope推理,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳期中-19,概念；推理,,创新思维(三新+发散+聚合+联想),材料三段对应五个创新思维点;每点2分(思维+材料),细则018明确五点=业态/品牌/服务/价值耦合等;思维方法包括发散/聚合/联想;A-formal确认,只把2思维写全但材料不匹配只1分;只1思维0分,细则018明确五点=业态/品牌/服务/价值耦合等;思维方法包括发散/聚合/联想;A-formal确认,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳期中-7,三段论；判断；推理,,三段论_大前提小前提结论,"B=②①③:②大前提""北京中轴线是不可替代的文化遗产""+①小前提""北京中轴线是世界遗产委员会确认的世界遗产""+③结论""有些由世界遗产委员会确认的是不可替代的文化遗产"";中项""北京中轴线""周延_推理有效",选必三三段论排序题,A①③④无效中项错位;C三个均为单称_中项断裂;D结论与前提关系错位,选必三三段论排序题,Q-2026顺义一模-19-1;Q-2026顺义一模-19-2,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳期中-8,假言；必要条件；联言；推理,,假言推理_必要条件+联言推理,"②""除非进行了调查研究否则没有发言权和决策权""=必要条件正确表达+④""只有进行了调查研究才能有正确贯彻落实""=必要条件",选必三必要条件假言推理题,①充分必要条件强化错;③否定原因推断错(必要条件能推否后但不能因果归因),选必三必要条件假言推理题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024朝阳期中-9,归纳；推理,,归纳推理_共变法,B共变法_声音随空气量共变=因果探求共变法,选必三归纳推理共变法题,A演绎推理结构错;C求异法误用且必然性夸大;D假如式想象未发生_是科学实验,选必三归纳推理共变法题,Q-2024西城一模-11;Q-2026朝阳期中-14,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024海淀二模-6,换质；换位；概念；推理,,概念外延关系+换位推理,C发行期限10年以上=超长期特别国债的属性反映,选必三概念外延+换位推理题,"A专项国债与特别国债同为国债下属_反对而非矛盾关系;B特别国债与超长期特别国债=属种关系而非种属;D换位""特别国债是助力经济增长的增量工具""换位为""有的助力经济增长的增量工具是特别国债""非全称",选必三概念外延+换位推理题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024西城一模-11,归纳；推理,,完全归纳推理：枚举全部对象推出全称结论,①枚举三舱段各为舱段→全体都是舱段（完全归纳有效）；③枚举三项各为中国航天人走过的路→集体连缀浩瀚征程（完全归纳有效）；答案B=①③,CONFLICT: 旧错误选项归属已废弃；Lane B独立从DOCX XML提取显示B=①③（A=①② B=①③ C=②④ D=③④）。旧归属错误不得进入后续融合。正确答案B=①③，即完全归纳推理两例。can_enter_fusion=yes，但必须在fusion中使用正确选项归属B=①③。,"②将""个体→类别X""反转为""类别X→仅为这三个""（非法逆推）；④将获自一个语境的谓词（作为""路""的属性）迁移到另一语境（作为""舱段""的主语），犯了语境混淆错误",CONFLICT: 旧错误选项归属已废弃；Lane B独立从DOCX XML提取显示B=①③（A=①② B=①③ C=②④ D=③④）。旧归属错误不得进入后续融合。正确答案B=①③，即完全归纳推理两例。can_enter_fusion=yes，但必须在fusion中使用正确选项归属B=①③。,Q-2024朝阳期中-9;Q-2026朝阳期中-14,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024西城一模-13,判断；推理,,联想_非逻辑制约的畅想性,联想散漫飘忽_非逻辑制约;关系是偶然的_体现畅想性,选必三联想题_答案B,A思维抽象描述错(联想≠抽象);C联想是表象间联系非判断;D或然推理误用_联想非推理,选必三联想题_答案B,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024西城一模-19-2,归纳；概念；判断；推理,,定义结构=被定义项+联结词+种差+邻近属,①举国体制+②是+③利用国家力量动员规模性资源实现国家目标(种差)+④一种任务组织方式和体制机制安排(邻近属),细则025下定义结构标准答案;A-formal确认,颠倒种差与邻近属丢分;漏种差或邻近属丢分,细则025下定义结构标准答案;A-formal确认,Q-2024西城一模-19-3;Q-2024西城一模-19-5,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024西城一模-19-3,归纳；概念；判断；推理,,概念外延关系(相容/属种),"举国体制包含""新型举国体制""=属种关系(亦称包含/相容关系)","细则025明确""相容,或属种""(1分);A-formal确认",误填全同/交叉/不相容/反对均扣分,"细则025明确""相容,或属种""(1分);A-formal确认",Q-2024西城一模-19-2;Q-2024西城一模-19-5,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2024西城一模-19-5,归纳；概念；判断；推理,,实践调研+矛盾分析+推理想象+超前思维,以实践为导向调研→把握状况因果规律→善用矛盾分析(内在矛盾/外在矛盾)→运用推理想象由过去现在推未来→超前思维,"题干明确""运用《逻辑与思维》知识"";细则025六点+附中补""强调实践+1分,超前思维,内外矛盾"";A-formal确认","只罗列概念无材料分析丢分;漏""实践""基础扣分","题干明确""运用《逻辑与思维》知识"";细则025六点+附中补""强调实践+1分,超前思维,内外矛盾"";A-formal确认",Q-2024西城一模-19-2;Q-2024西城一模-19-3,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025东城期末-13,三段论；概念；判断；周延；推理,,三段论_中项不周延+小项不当扩大,"①""祥云""是大国重器+有的大国重器是载人飞艇=中项""大国重器""未周延_中项不周延谬误;③碳纤维自行车适合山地骑行+山地车适合山地骑行=中项""适合山地骑行""未周延_两项均为属性中项不周延",选必三三段论谬误识别题,②否定前提两否得结论错;④石墨烯围巾有智能温控+智能温控能调节=四概念错位,选必三三段论谬误识别题,Q-2025顺义一模-7,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025东城期末-14,假言；联言；选言；概念；判断；周延；推理,,概念外延关系+周延判断+关系判断,"D""统领整个老城规划格局的建筑与遗址的组合体""在判断中是谓项=不周延",选必三概念外延+周延判断题,"A中轴线与古代皇家宫苑建筑非属种(中轴线不被宫苑包含);B""位于""非传递关系(只在地理空间);C不是同一关系是属性反映",选必三概念外延+周延判断题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025东城期末-15,假言；充分条件；必要条件；联言；选言；判断；周延；推理,,假言推理_充分条件+联言+选言,B虽然赵去北大红楼但李同学既不去陈也不去李=充分条件假言推理后件需为真而违反_必假,选必三必假命题题(找充分条件矛盾),A只有...才...是必要条件_未必假;C即使...也...独立条件_未必假;D李去李则赵去北大=后件为真不能推前件_未必假,选必三必假命题题(找充分条件矛盾),,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025东城期末-18-2,三段论,,联想思维+发散思维+聚合思维(登月服设计),登月服=服装造型+火箭形象+传统文化(联想)+月面环境+航天员需要(聚合发散);三新(思路新方法新结果新),"题干明确""运用《逻辑与思维》知识,创新思维"";细则012明确联想思维+聚合发散+三新;A-formal确认",只列思维无材料分析丢分;混淆联想/发散/聚合归属丢分,"题干明确""运用《逻辑与思维》知识,创新思维"";细则012明确联想思维+聚合发散+三新;A-formal确认",,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025丰台期末-10,假言；归纳；类比；推理,,归纳推理+演绎推理+思维抽象具体+类比推理,①吃一堑长一智=从特殊推一般归纳;④举一反三未运用类比推理_因果分析,选必三推理与思维综合题,②同地摔倒非演绎推理责任_错位;③闻一知十非思维抽象到具体_错位,选必三推理与思维综合题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025丰台期末-18-1,假言；必要条件；联言；判断；推理,,必要条件假言判断+联言判断及保真条件,"①""放得活才有春色满园;管得住才能土沃林丰""=必要条件假言判断;②""既是经验又是要求""=联言判断;保真条件:必要条件→前件是后件必要条件;联言→当且仅当各支都真",细则040明确①必要条件假言判断+保真条件②联言判断+保真条件;A-formal确认,误判断类型(写充分而非必要)0分;漏保真条件丢分,细则040明确①必要条件假言判断+保真条件②联言判断+保真条件;A-formal确认,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025丰台期末-9,假言；充分条件；联言；选言；归纳；判断；推理,,联言推理;选言推理;假言推理_充分条件,A联言为真各支为真_推不出湖南;B不相容选言不能直接证实某支;C充分而非必要条件;D充分条件假言推理顺向有效,选必三联选假言综合题,A联言→特定其他支谬误;B不相容选言谬误;C必要充分条件混淆,选必三联选假言综合题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025海淀期末-8,假言；充分条件；选言；概念；判断；推理,,选言推理_不相容+相容选言关系,D不相容选言为真_至少P和Q有一为真但不能同真_则相容选言至少一真_必真,选必三选言推理关系题,"A三段论中""小王饲养的狗""非""饲养动物""严格中项实际有效但结论已含;B中国与东亚_中国是东亚一部分但作为概念是种属关系成立(实际成立但答C选);C轻率概括违反归纳谨慎_应是""四概念""或属性混淆",选必三选言推理关系题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025西城二模-16-2,假言；充分条件；推理,,充分条件假言推理：肯定后件无效,无法确定一定有岩松鼠行动；充分条件假言判断后件真不能确定前件真,A/B conflict resolved by sub-question split; 16(2) is reasoning,后件真≠前件真；条件①(勺鸡雕鸮)与岩松鼠无关,A/B conflict resolved by sub-question split; 16(2) is reasoning,Q-2026丰台一模-8,L4_LOCKED_FOR_FUSION,
Q-2025西城二模-7,假言；必要条件；归纳；类比；推理,,假言推理_必要条件;归纳_求异法;类比推理,只有接触过敏源才会引发过敏=必要条件假言;无前件不能否前件;求异法/类比可信度,正确为C=②④;Codex precheck同C,①甲医生否定前件谬误;③甲医生演绎而非新结论;②求异法但非必然;④可信度甲>乙>丙合理,正确为C=②④;Codex precheck同C,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025顺义一模-17-1,假言；充分条件；必要条件；选言；判断；推理,,充分条件假言+必要条件假言+相容选言判断,甲=充分条件假言(如果...就...前真后必真);乙=必要条件假言(除非...否则不...);丙=相容选言(或者...或者...至少一支真);三判同真→杭州既获基金又是人才高地,"题干明确""运用《逻辑与思维》知识,写出三同学判断同时为真的条件"";细则034三类型+条件分析;A-formal确认",误识别判断类型0分;误把相容当不相容选言扣分,"题干明确""运用《逻辑与思维》知识,写出三同学判断同时为真的条件"";细则034三类型+条件分析;A-formal确认",,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025顺义一模-5,假言；必要条件；联言；判断；周延；推理,,联言判断_矛盾命题,联言A且B的矛盾命题=非A或非B(德摩根),选必三联言矛盾命题题,A非A且非B更极端非矛盾;C等价于A或B非矛盾;D只有...才...是必要条件非矛盾,选必三联言矛盾命题题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025顺义一模-6,三段论；假言；联言；概念；判断；周延；推理,,概念主项+联言判断+概念划分+关系判断对称性,"②联言判断""互换便利不是直接给钱_而是盘活资产_统筹安排""_确为联言+④""获得流动性支持""为非对称关系",选必三概念判断综合题,"①主项""政策工具""标错_主项实为""这个政策工具"";③划分""财政政策+公开市场业务+存款准备金+央行贷款""实为子部门混搭非划分标准不一",选必三概念判断综合题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025顺义一模-7,三段论；概念；判断；周延；推理,,三段论_小项不当扩大+四概念+中项不周延,"A原前提""凡共青团员都是青年+并非所有青年工人都是共青团员""_小项""青年工人""在结论中变全称扩大_确为小项不当扩大但题干""逻辑分析错误""指""分析""本身错_即原归类正确而该选项陈述错",选必三三段论谬误判断纠错题,B两否定前提确不能必推但前提中第二个为否定而第一是否定_两否；C四概念正确不变；D中项不周延正确,选必三三段论谬误判断纠错题,Q-2025东城期末-13,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026东城一模-6,换质；换位；判断；推理,,换质换位法;性质判断推理,SAP换质得SEP_非P;再换位得非P不是S=A判断换质位标准链,正确为D;Codex precheck显示B为错误结论_本Lane标注冲突,A辩证否定误用_联结非否定;B抽象思维误标_应为形象思维;C有些S是P不能必推有些S不是P,正确为D;Codex precheck显示B为错误结论_本Lane标注冲突,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
