question_id,visible_title,question_type,module,phase10_body_status,source_locator,answer_locator,rubric_or_commentary_locator,logical_form_status,repair_rule
Q-2024朝阳二模-6,2024 朝阳二模第6题,选择题,推理,not_represented_in_body_or_same_type_index,023_细则::Q6=C,answer_confirmed_C_from_023_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2024朝阳二模-7,2024 朝阳二模第7题,选择题,交叉,same_type_index_only,023_Desktop_2024模拟题_2024朝阳二模_细则_补充材料_细则.docx::Q7=D,answer_confirmed_D_from_023_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2024朝阳期中-11,2024 朝阳期中第11题,选择题,推理,not_represented_in_body_or_same_type_index,020细则.rtf答案表(Q11=C),answer_confirmed_C_from_020_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2024朝阳期中-18,2024 朝阳期中第18题,主观题,推理,not_represented_in_body_or_same_type_index,paper:017@L224-232; rubric:018@L56-78,answer_confirmed_from_rubric_018,formal_rubric_docx,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2024朝阳期中-19,2024 朝阳期中第19题,主观题,交叉,same_type_index_only,paper:017@L233-260; rubric:018@L80-181,answer_confirmed_from_rubric_018,formal_rubric_docx,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2024朝阳期中-8,2024 朝阳期中第8题,选择题,推理,not_represented_in_body_or_same_type_index,020细则.rtf答案表(Q8=D),answer_confirmed_D_from_020_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2024海淀二模-6,2024 海淀二模第6题,选择题,推理,not_represented_in_body_or_same_type_index,028细则::Q6=C,answer_confirmed_C_from_028_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2024西城一模-13,2024 西城一模第13题,选择题,推理,not_represented_in_body_or_same_type_index,025_Desktop_2024模拟题_西城一模_细则_细则.docx::Q13=B;026补充材料同B,answer_confirmed_B_from_025_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025东城期末-14,2025 东城期末第14题,选择题,推理,not_represented_in_body_or_same_type_index,012试卷::故选D(Q14),answer_confirmed_D_from_012_paper,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025东城期末-15,2025 东城期末第15题,选择题,推理,not_represented_in_body_or_same_type_index,012试卷::故选B(Q15),answer_confirmed_B_from_012_paper,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,主观题,交叉,same_type_index_only,paper:012@L199-203; rubric:012@L681-698(inline),answer_confirmed_from_rubric_012_inline,formal_rubric_pdf,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025丰台期末-10,2025 丰台期末第10题,选择题,交叉,not_represented_in_body_or_same_type_index,040试卷::Q10=B,answer_confirmed_B_from_040_paper,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025丰台期末-18-1,2025 丰台期末第18题第(1)问,主观题,推理,not_represented_in_body_or_same_type_index,paper:040@L240-251; rubric:040@L569-571(inline),answer_confirmed_from_rubric_040_inline,formal_rubric_pdf,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025丰台期末-9,2025 丰台期末第9题,选择题,推理,not_represented_in_body_or_same_type_index,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::【答案】D;041细则::Q9=D详解链;queue自带=D详解,answer_confirmed_D_from_040_paper,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025海淀期末-8,2025 海淀期末第8题,选择题,推理,not_represented_in_body_or_same_type_index,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Table7_Q8=D,answer_confirmed_D_from_015_paper,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025西城二模-7,2025 西城二模第7题,选择题,推理,not_represented_in_body_or_same_type_index,038_Desktop_2025模拟题_2025各区二模_2025西城二模_细则_细则.docx::Q1-15表(7=C);039_GaokaoPolitics版同;037试卷::Q7,answer_confirmed_C_from_038_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025顺义一模-17-1,2025 顺义一模第17题第(1)问,主观题,推理,not_represented_in_body_or_same_type_index,paper:033@L43-45(via excerpt); rubric:034@L24-29,answer_confirmed_from_rubric_034,formal_rubric_docx,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025顺义一模-5,2025 顺义一模第5题,选择题,推理,not_represented_in_body_or_same_type_index,036_顺义参考答案::Q5=B;034细则::Q5=B【详解】展开,answer_confirmed_B_from_036_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2025顺义一模-6,2025 顺义一模第6题,选择题,推理,not_represented_in_body_or_same_type_index,036顺义参考答案::Q6=C,answer_confirmed_C_from_036_rubric,rubric_confirmed,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,主观题,推理,not_represented_in_body_or_same_type_index,paper:044@L231-239; rubric:044@L352-353(inline),answer_confirmed_from_rubric_044_inline,formal_rubric_pdf,missing_pending_recheck,extract proposition form; classify reasoning type; mark valid/invalid form; add rule口诀 and trap before body
