question_id,suite_id,module,status,input_permission,hold_reason,source_locator,answer_locator,rubric_or_commentary_locator,visual_locator,question_type,full_stem_status,full_options_status,student_permission,opus_permission,risk_note
Q-2024朝阳一模-20-1,S-2024朝阳一模,推理,L3,include_as_packet_candidate,,paper:030@L266-280; rubric:031@L343-353,answer_confirmed_from_rubric_031,formal_rubric_pptx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,假言推理结构识别错误;前后件颠倒;化作不完全归纳
Q-2024朝阳一模-20-2,S-2024朝阳一模,推理,L3,include_as_packet_candidate,,paper:030@L278-280; rubric:031@L355-362,answer_confirmed_from_rubric_031,formal_rubric_pptx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,"补完整推理时漏写""古代/当时""等时间表述会扣1分"
Q-2024朝阳一模-7,S-2024朝阳一模,思维,L3,include_as_packet_candidate,,031细则.pptx::Slide15_Q7=C,answer_confirmed_C_from_031_pptx,rubric_confirmed,text_extraction_clear,选择题,excerpt_present,choice_options_or_subjective_prompt_present,no,packet_only,"①迁移想象逆向不属逻辑思维而是创新思维(混用错);④""就能确保""绝对化错"
Q-2024朝阳一模-9,S-2024朝阳一模,思维,L3,include_as_packet_candidate,,031_Desktop_2024模拟题_2024朝阳一模_细则_细则.pptx::Slide17_Q9=D,answer_confirmed_D_from_031_pptx,rubric_confirmed,text_extraction_clear,选择题,excerpt_present,choice_options_or_subjective_prompt_present,no,packet_only,①具体政策制定不属此活动主旨;②引领社会治理过度
Q-2024朝阳二模-19-1,S-2024朝阳二模,交叉,L3,include_as_packet_candidate,,paper:021@L353-367; rubric:022@L126-134,answer_confirmed_from_rubric_022,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,"①填错为整体性/质量互变会丢分;②类比变通""无变通""严格"
Q-2024朝阳二模-19-2,S-2024朝阳二模,交叉,L3,include_as_packet_candidate,,paper:021@L371-372; rubric:022@L139-148,answer_confirmed_from_rubric_022,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,"错别字""连言判断""不给分;表述为""充分/必要条件联言判断""不给分"
Q-2024朝阳期中-7,S-2024朝阳期中,推理,L3,include_as_packet_candidate,,020细则.rtf答案表(Q7=B),answer_confirmed_B_from_020_rubric,rubric_confirmed,text_extraction_clear,选择题,excerpt_present,choice_options_or_subjective_prompt_present,no,packet_only,A①③④无效中项错位;C三个均为单称_中项断裂;D结论与前提关系错位
Q-2024朝阳期中-9,S-2024朝阳期中,交叉,L3,include_as_packet_candidate,,020细则.rtf答案表(Q9=B),answer_confirmed_B_from_020_rubric,rubric_confirmed,text_extraction_clear,选择题,excerpt_present,choice_options_or_subjective_prompt_present,no,packet_only,A演绎推理结构错;C求异法误用且必然性夸大;D假如式想象未发生_是科学实验
Q-2024海淀二模-17-1,S-2024海淀二模,思维,L3,include_as_packet_candidate,,paper:027@L202-224; rubric:028@L9-11,answer_confirmed_from_rubric_028,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,只列知识无材料分析1分;混淆角度归属丢分
Q-2024海淀二模-17-2,S-2024海淀二模,思维,L3,include_as_packet_candidate,,paper:027@L225-226; rubric:028@L14-23,answer_confirmed_from_rubric_028,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,"关系颠倒不给分(感性具体↔思维具体方向);用""实践决定认识""替代仅1分"
