canonical_question_id,suite_id,original_qno,section_scope,question_type,blocker_reason,recommended_action
Q-2024朝阳一模-1,S-2024朝阳一模,1,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-10,S-2024朝阳一模,10,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-11,S-2024朝阳一模,11,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-12,S-2024朝阳一模,12,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-13,S-2024朝阳一模,13,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-14,S-2024朝阳一模,14,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-15,S-2024朝阳一模,15,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-16,S-2024朝阳一模,16,待判,主观题,scope pending or boundary row,
Q-2024朝阳一模-17,S-2024朝阳一模,17,边界,主观题,scope pending or boundary row,
Q-2024朝阳一模-18-1,S-2024朝阳一模,18(1),边界,主观题,scope pending or boundary row,
Q-2024朝阳一模-18-2,S-2024朝阳一模,18(2),边界,主观题,scope pending or boundary row,
Q-2024朝阳一模-19,S-2024朝阳一模,19,边界,主观题,scope pending or boundary row,
Q-2024朝阳一模-2,S-2024朝阳一模,2,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-3,S-2024朝阳一模,3,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-4,S-2024朝阳一模,4,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-5,S-2024朝阳一模,5,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-6,S-2024朝阳一模,6,待判,选择题,scope pending or boundary row,
Q-2024朝阳一模-8,S-2024朝阳一模,8,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-1,S-2024朝阳二模,1,待判,选择题,choice options not fully detected in text,
Q-2024朝阳二模-10,S-2024朝阳二模,10,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-11,S-2024朝阳二模,11,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-12,S-2024朝阳二模,12,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-13,S-2024朝阳二模,13,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-14,S-2024朝阳二模,14,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-15,S-2024朝阳二模,15,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-17,S-2024朝阳二模,17,待判,主观题,scope pending or boundary row,
Q-2024朝阳二模-18,S-2024朝阳二模,18,边界,主观题,scope pending or boundary row,
Q-2024朝阳二模-2,S-2024朝阳二模,2,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-20,S-2024朝阳二模,20,边界,主观题,scope pending or boundary row,
Q-2024朝阳二模-3,S-2024朝阳二模,3,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-4,S-2024朝阳二模,4,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-5,S-2024朝阳二模,5,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-8,S-2024朝阳二模,8,待判,选择题,scope pending or boundary row,
Q-2024朝阳二模-9,S-2024朝阳二模,9,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-10,S-2024朝阳期中,10,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-12,S-2024朝阳期中,12,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-13,S-2024朝阳期中,13,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-14,S-2024朝阳期中,14,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-15,S-2024朝阳期中,15,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-16,S-2024朝阳期中,16,待判,主观题,scope pending or boundary row,
Q-2024朝阳期中-17,S-2024朝阳期中,17,边界,主观题,scope pending or boundary row,
Q-2024朝阳期中-2,S-2024朝阳期中,2,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-20-1,S-2024朝阳期中,20(1),边界,主观题,scope pending or boundary row,
Q-2024朝阳期中-20-2,S-2024朝阳期中,20(2),边界,主观题,scope pending or boundary row,
Q-2024朝阳期中-20-3,S-2024朝阳期中,20(3),边界,主观题,scope pending or boundary row,
Q-2024朝阳期中-3,S-2024朝阳期中,3,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-4,S-2024朝阳期中,4,待判,选择题,scope pending or boundary row,
Q-2024朝阳期中-6,S-2024朝阳期中,6,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-1,S-2024海淀二模,1,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-10,S-2024海淀二模,10,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-11,S-2024海淀二模,11,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-12,S-2024海淀二模,12,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-13,S-2024海淀二模,13,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-15,S-2024海淀二模,15,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-18-1,S-2024海淀二模,18(1),边界,主观题,scope pending or boundary row,
Q-2024海淀二模-18-2,S-2024海淀二模,18(2),边界,主观题,scope pending or boundary row,
Q-2024海淀二模-19-1,S-2024海淀二模,19(1),边界,主观题,scope pending or boundary row,
Q-2024海淀二模-19-2,S-2024海淀二模,19(2),边界,主观题,scope pending or boundary row,
Q-2024海淀二模-2,S-2024海淀二模,2,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-20,S-2024海淀二模,20,边界,主观题,scope pending or boundary row,
Q-2024海淀二模-21,S-2024海淀二模,21,待判,主观题,scope pending or boundary row,
Q-2024海淀二模-3,S-2024海淀二模,3,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-5,S-2024海淀二模,5,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-7,S-2024海淀二模,7,待判,选择题,scope pending or boundary row,
Q-2024海淀二模-9,S-2024海淀二模,9,待判,选择题,scope pending or boundary row,
Q-2024西城一模-1,S-2024西城一模,1,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-10,S-2024西城一模,10,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-12,S-2024西城一模,12,待判,选择题,scope pending or boundary row,
Q-2024西城一模-14,S-2024西城一模,14,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-15,S-2024西城一模,15,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-16,S-2024西城一模,16,边界,主观题,scope pending or boundary row,
