question_id,材料信号,可写思维/方法,答题动作,答案落点,来源例题,同类题,易错陷阱,risk_note,L3_or_L4_status,allowed_opus_task,forbidden_opus_changes
Q-2024朝阳一模-7,7 抢占科技制高点ꎬ必须坚持原始创新、集成创新、开放创新一体设计ꎬ实现有效贯通ꎮ 下列说法正确的是 1原始创新中的创新思维ꎬ深深地依赖迁移、想象、逆向等逻辑思维活动 2集成创新中的创新思维ꎬ具有跨越性ꎬ但不排斥有步骤的逻辑推导与分析 3开放创新中的合作创新ꎬ离不开对前人和他人已有成果的继承与借鉴 4有效贯通发散思维、聚,创新思维；发散；聚合；逆向；超前；迁移,②集成创新跨越性+不排斥逻辑推导=选必三创新思维+逻辑思维并行;③开放创新合作创新需对前人继承=辩证否定继承,选必三创新思维与逻辑思维区别题,Q-2024朝阳一模-7 | S-2024朝阳一模 | 030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q7,Q-2025东城期末-18-2;Q-2025海淀期末-18;Q-2025西城二模-16-3;Q-2026东城一模-19-4;Q-2026朝阳期中-21-2;Q-2026通州期末-9,"①迁移想象逆向不属逻辑思维而是创新思维(混用错);④""就能确保""绝对化错",same_method_auto_by_framework_node=创新思维,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2024朝阳一模-9,9 几名中学生针对许多小区存在的闲置车辆长期占用车位导致车位紧张的问题ꎬ在模拟政 协活动中提出解决该问题的提案ꎮ市政协委员关注到了这一模拟提案ꎬ指导同学们务实 调查、充实内容、完善提案ꎮ在此基础上ꎬ市政协委员向市政协会议提交了相关正式提 案ꎮ从“模拟提案”到“正式提案”的探索 1需要针对所研究的问题制定具体政策ꎬ协调多,辩证思维；系统观念；整体性,③系统观念在调查研究和思考任务中的整体性体现+④对中国特色社会主义制度优势理解,跨模块cross_政治+选必三辩证思维系统观念,Q-2024朝阳一模-9 | S-2024朝阳一模 | 030_Desktop_2024模拟题_2024朝阳一模_试卷_试卷.pdf::Q9,Q-2024朝阳二模-19-1;Q-2024朝阳二模-19-2;Q-2025东城期末-5;Q-2025海淀二模-20;Q-2025海淀期末-2;Q-2026朝阳期中-20;Q-2026通州期末-11;Q-2026通州期末-5;Q-2026通州期末-8;Q-2026顺义一模-3,①具体政策制定不属此活动主旨;②引领社会治理过度,same_method_auto_by_framework_node=辩证思维,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2024朝阳二模-19-1,"19. (16 分) 中华文明拥有五千多年不间断的历史,积淀形成辉煌灿烂的中华优秀传统文化,中 华优秀传统文化的特质赋予中国式现代化深厚底蕴,给予其精神和思想力量。 生生之宇宙观 宇宙处于生生不息的变化之中。“天地之大德曰生”“富有之谓大业,日新之谓盛德, 生生之谓易”。宇宙永久的变易包含永远的革新,是生命的不断充实、",辩证思维；动态性,①动态性=用变化发展观点看问题;②类比=两类对象由相同属性推出新相同属性,细则022明确①动态性(替代:变化发展/矛盾运动/创新)②类比推理(无变通);双挂载思维(辩证)+推理(类比);A-formal确认,Q-2024朝阳二模-19-1 | S-2024朝阳二模 | 021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(1),Q-2024朝阳二模-19-2,"①填错为整体性/质量互变会丢分;②类比变通""无变通""严格",same_method_from_phase06_index,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2024朝阳二模-19-2,"19. (16 分) 中华文明拥有五千多年不间断的历史,积淀形成辉煌灿烂的中华优秀传统文化,中 华优秀传统文化的特质赋予中国式现代化深厚底蕴,给予其精神和思想力量。 生生之宇宙观 宇宙处于生生不息的变化之中。“天地之大德曰生”“富有之谓大业,日新之谓盛德, 生生之谓易”。宇宙永久的变易包含永远的革新,是生命的不断充实、",辩证思维；动态性,当且仅当各联言支都真则联言判断真;一假即假,细则022明确联言判断(2分)+保真条件(3分):全真才真/一假即假;A-formal确认,Q-2024朝阳二模-19-2 | S-2024朝阳二模 | 021_Desktop_2024模拟题_2024朝阳二模_试卷_试卷.pdf::Q19(2),Q-2024朝阳二模-19-1,"错别字""连言判断""不给分;表述为""充分/必要条件联言判断""不给分",same_method_from_phase06_index,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2024朝阳期中-9,"9. 喜欢科学的小李同学设计了一个实验:将闹钟放在密闭的玻璃钟罩内,使用抽气机抽 出罩内空气。随着罩内空气的减少,铃声逐渐减小;拧开进气阀,让空气慢慢进入玻璃 钟罩,随着罩内空气的增多,铃声逐渐增大。小李由此推断出声音不能在真空中传播。 该推理 A. 是演绎推理,揭示了前提和结论之间存在的本质联系 B. 运用共变法,探",思维抽象；思维具体,B共变法_声音随空气量共变=因果探求共变法,选必三归纳推理共变法题,Q-2024朝阳期中-9 | S-2024朝阳期中 | 017_Desktop_2024模拟题_2024朝阳期中_试卷_试卷.pdf::Q9,Q-2025丰台期末-10,A演绎推理结构错;C求异法误用且必然性夸大;D假如式想象未发生_是科学实验,same_method_auto_by_framework_node=思维抽象,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2024海淀二模-17-1,"17.(11 分)时间都去哪儿了? 时间利用调查是国际通行的一项社会调查,主要通过采集居民在一段特定时间内的活动信 息,反映居民在个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等各项活动的时间 投入。此次全国时间利用调查的主要目的,是为了全面、真实、准确了解我国居民时间利用情况, 客观反映居民生活质量和生活模式",科学思维；辩证思维；创新思维；整体性；发散；聚合；超前；思维抽象；思维具体；感性具体,三角度多挂载;客观性/三新/整体性各分别采分;表格化采分细则,"L57-61,细则028表1明确三角度对应:科学思维(客观性/预见性,2分)+创新思维(三新/发散聚合/超前,3分)+辩证思维(整体性/分析综合,2分);A-formal确认",Q-2024海淀二模-17-1 | S-2024海淀二模 | 027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(1),Q-2024朝阳二模-7;Q-2024朝阳期中-19;Q-2024海淀二模-17-2;Q-2025海淀期末-17-1;Q-2026顺义一模-19-1;Q-2026顺义一模-19-2,只列知识无材料分析1分;混淆角度归属丢分,same_method_auto_by_framework_node=科学思维,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2024海淀二模-17-2,"17.(11 分)时间都去哪儿了? 时间利用调查是国际通行的一项社会调查,主要通过采集居民在一段特定时间内的活动信 息,反映居民在个人生理必需活动、有酬劳动、无酬劳动、个人自由支配活动等各项活动的时间 投入。此次全国时间利用调查的主要目的,是为了全面、真实、准确了解我国居民时间利用情况, 客观反映居民生活质量和生活模式",科学思维；整体性；思维抽象；思维具体；感性具体,调查了解=感性具体;分析研究=思维抽象+思维具体;两阶段相互依赖,细则028明确感性具体1分+思维抽象/思维具体1分+相互依赖2分;严禁颠倒;A-formal确认,Q-2024海淀二模-17-2 | S-2024海淀二模 | 027_Desktop_2024模拟题_海淀二模_试卷_试卷.pdf::Q17(2),Q-2024朝阳二模-7;Q-2024朝阳期中-19;Q-2024海淀二模-17-1;Q-2025海淀期末-17-1;Q-2026顺义一模-19-1;Q-2026顺义一模-19-2,"关系颠倒不给分(感性具体↔思维具体方向);用""实践决定认识""替代仅1分",same_method_auto_by_framework_node=科学思维,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2025丰台期末-7,"7. 下图漫画给我们的哲学启示有( ) A. 集中精力关注当下,就能活出最美的样子 B. 运用超前思维思考明天,创造出幸福的人生 C. 从实际出发,从当下做起,生活才能少些迷茫 D. 弄清昨天明天和当下各自的意义,是取得成功的关键 || Batch03 LaneB note: 哲学题_选必三超前思维作干扰_答案非选必三",超前,C从实际出发从当下做起=哲学唯物论+实事求是;漫画显示纠结于昨天明天而忽视当下,哲学题_选必三超前思维作干扰_答案非选必三,Q-2025丰台期末-7 | S-2025丰台期末 | 040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q7,Q-2025海淀二模-12,A集中关注当下绝对化;B超前思维就能创造幸福夸大且与漫画反义;D弄清意义是成功关键过度,same_method_from_phase06_index,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2025丰台期末-8,"8. 阅读现代诗《和平是一棵树》。 “和平是白天鹅的翅膀, 是翅膀掠过宁静的湖水, 是水底映出的云影; 和平是开向四方的门, 是门里圆桌上斟满的红酒, 是酒上照耀的灯......” 以下对其创作思路解读正确的是( ) 1以想象作为思维的基本单元,激发人们对和平的热爱 2运用发散思维表达了人们对和平的向往和追求 3主要运",发散,②发散思维表达和平向往=诗词从多个意象发散表达+④形象思维触及和平本质=以白天鹅翅膀_门_红酒等具体形象,选必三形象思维发散思维题,Q-2025丰台期末-8 | S-2025丰台期末 | 040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q8,Q-2026顺义一模-5,①想象作为思维基本单元(基本单元是概念非想象);③抽象思维错位_本诗用形象不抽象,same_method_from_phase06_index,L3,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
Q-2025海淀二模-20,20.（6分）共享是中国特色社会主义的本质要求。材料列出全民共享、全面共享、共建共享、渐进共享；设问要求运用辩证思维谈如何坚持共享发展理念推进共同富裕。,辩证思维；整体性；动态性；分析与综合；质量互变；辩证否定,角度池1+2赋分·选2·上限6分·矛盾最多2,维持LOCKED_FOR_FUSION；Phase03 Lane B已做视觉确认；009+010+011三源完全一致；角度池赋分6分从3选2；上限6分,Q-2025海淀二模-20 | S-2025海淀二模 | 008_Desktop_2025模拟题_2025各区二模_2025海淀二模_试卷_试卷.pdf::render_page_07::Q20,Q-2024朝阳一模-9;Q-2024朝阳二模-19-1;Q-2024朝阳二模-19-2;Q-2025东城期末-5;Q-2025海淀期末-2;Q-2026朝阳期中-20;Q-2026通州期末-11;Q-2026通州期末-5;Q-2026通州期末-8;Q-2026顺义一模-3,禁止写成三点全必答；辩证否定≠否定一切；整体性须含联结/综合/系统优化不能只写整体,same_method_auto_by_framework_node=辩证思维,L4,rewrite_as_teaching_text_only_after_later_GPT_gate,no_new_question;no_delete_question;no_answer_change;no_L3_L4_change;no_student_final
