question_id,visible_title,question_type,module,phase10_body_status,source_locator,answer_locator,rubric_or_commentary_locator,repair_required,repair_rule
Q-2024西城一模-11,2024 西城一模第11题,选择题,推理,same_type_index_only,DOCX=/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx (python3 zipfile XML textbox extraction); 答案表025=025_Desktop_2024模拟题_西城一模_细则_细则.docx.txt line6 Q11=B; 026=026_Desktop_2024模拟题_西城一模_细则_补充材料_2024.4高三统一测试思想政治答案.docx.txt line6 Q11=B,answer_confirmed_B_from_rubric_025_026; hard_lock_pairing=B=①③,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2025东城期末-5,2025 东城期末第5题,选择题,思维,same_type_index_only,012试卷::故选C(Q5),answer_confirmed_C_from_012_paper,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2025海淀期末-2,2025 海淀期末第2题,选择题,思维,same_type_index_only,source_015=015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx.txt lines 14-18 (题干+选项); paper answer key C=②③,answer_confirmed_C_from_paper_key,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026东城一模-6,2026 东城一模第6题,选择题,交叉,not_represented_in_body_or_same_type_index,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Page9参考答案表(题号6=D),answer_confirmed_D_from_046_paper,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026东城期末-6,2026 东城期末第6题,选择题,推理,not_represented_in_body_or_same_type_index,044试卷::Q6=B,answer_confirmed_B_from_044_paper,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026东城期末-7,2026 东城期末第7题,选择题,推理,not_represented_in_body_or_same_type_index,044试卷::Q7=A,answer_confirmed_A_from_044_paper,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026朝阳期中-11,2026 朝阳期中第11题,选择题,推理,same_type_index_only,003 lines 130-136; 003 lines 297-326,answer_confirmed_A_from_003 lines 130-136; 003 lines 297-326,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026朝阳期中-12,2026 朝阳期中第12题,选择题,推理,not_represented_in_body_or_same_type_index,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 137-147; 答案表lines 297-326 Q12=B,answer_confirmed_B_from_paper_table,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026朝阳期中-13,2026 朝阳期中第13题,选择题,交叉,not_represented_in_body_or_same_type_index,003 lines 148-158; 003 lines 297-326,answer_confirmed_D_from_003 lines 148-158; 003 lines 297-326,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026朝阳期中-14,2026 朝阳期中第14题,选择题,推理,same_type_index_only,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 159-168; 答案表lines 297-326 Q14=B,answer_confirmed_B_from_paper_table,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026朝阳期中-15,2026 朝阳期中第15题,选择题,推理,not_represented_in_body_or_same_type_index,source_003=003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf.txt; 题干lines 169-175; 答案表lines 297-326 Q15=D,answer_confirmed_D_from_paper_table,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026通州期末-11,2026 通州期末第11题,选择题,交叉,same_type_index_only,006试卷::Q11=C,answer_confirmed_C_from_006_paper,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026通州期末-5,2026 通州期末第5题,选择题,思维,same_type_index_only,006_通州期末试卷::Q5=C,answer_confirmed_C_from_006_paper,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026通州期末-8,2026 通州期末第8题,选择题,思维,same_type_index_only,006试卷::Q8=D,answer_confirmed_D_from_006_paper,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026通州期末-9,2026 通州期末第9题,选择题,思维,same_type_index_only,006试卷::Q9=D,answer_confirmed_D_from_006_paper,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026顺义一模-3,2026 顺义一模第3题,选择题,思维,same_type_index_only,002细则.pptx答案表(Q3=C),answer_confirmed_C_from_002_alt_extraction,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026顺义一模-4,2026 顺义一模第4题,选择题,推理,not_represented_in_body_or_same_type_index,002细则.pptx答案表(Q4=A),answer_confirmed_A_from_002_alt_extraction,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026顺义一模-5,2026 顺义一模第5题,选择题,交叉,same_type_index_only,001试卷Q5;002_细则.pptx答案表(Q5=D)由双线四线终极跑extraction恢复,answer_confirmed_D_from_002_alt_extraction,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026顺义一模-6,2026 顺义一模第6题,选择题,思维,not_represented_in_body_or_same_type_index,002细则.pptx答案表(Q6=A),answer_confirmed_A_from_002_alt_extraction,paired_candidate,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026丰台一模-4,2026 丰台一模第4题,选择题,思维,not_represented_in_body_or_same_type_index,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q4=A; 题干见page2文字,answer_confirmed_A_from_supplemental_key,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026丰台一模-7,2026 丰台一模第7题,选择题,思维,not_represented_in_body_or_same_type_index,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q7=B; 题干见page2-3文字,answer_confirmed_B_from_supplemental_key,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
Q-2026丰台一模-8,2026 丰台一模第8题,选择题,推理,same_type_index_only,supplemental_source=2026北京丰台高三一模政治试题有答案_北京高考在线.txt; 答案表Q8=C; 题干见page3文字（北京志愿者标识）,answer_confirmed_C_from_supplemental_key,no_formal_rubric,yes,return_to_source_answer_key_or_rubric; no logical guessing; blocked if answer source cannot be confirmed
