batch_order,priority,question_id,visible_title,module,question_type,phase10_body_status,permission,phase12_decision,source_locator,answer_locator,risk_note,required_action,body_target,current_status
1,P0_PROTECTED_HOLD_DO_NOT_EXPAND,Q-2026顺义一模-3,2026 顺义一模第3题,思维,选择题,same_type_index_only,hold_answer_locator_risk,body_after_repair,001试卷Q3; 002细则答案表Q3=C,answer_confirmed_C_from_002_alt_extraction,①哲学矛盾分析法不够精确且抓主要方面错位;④质量互变与得中不对应,回源确认题干和答案后明确裁决,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
2,P0_PROTECTED_HOLD_DO_NOT_EXPAND,Q-2025海淀二模-12,2025 海淀二模第12题,思维,选择题,same_type_index_only,hold_answer_locator_risk,body_after_repair,008渲染page_04视觉确认Q12; supplemental答案表Q12=D,answer_confirmed_D_from_supplemental_key,①新事物生命力过强推断错误;②消除矛盾错误,回源确认题干/选项/答案后明确裁决,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
3,P0_PROTECTED_HOLD_DO_NOT_EXPAND,Q-2024西城一模-11,2024 西城一模第11题,推理,选择题,same_type_index_only,hold_answer_locator_risk,body_after_repair,024试卷docx XML隐藏文本框恢复Q11; 025/026答案表Q11=B,answer_confirmed_B_from_025_026_rubric,②非法逆推;④语境混淆,回源恢复隐藏选项并确认答案,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
4,P0_PROTECTED_HOLD_DO_NOT_EXPAND,Q-2025海淀二模-13,2025 海淀二模第13题,推理,选择题,not_represented_in_body_or_same_type_index,hold_answer_locator_risk,body_after_repair,008渲染page_04视觉确认Q13; supplemental答案表Q13=C,answer_confirmed_C_from_supplemental_key,A分类混杂;B充分条件过强;D把国际关系三形式误作不相容穷尽选言,回源确认题干/选项/答案并补推理形式,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
5,P2_REPAIR_INDEX_CLUSTER,Q-2024朝阳期中-19,2024 朝阳期中第19题,交叉,主观题,same_type_index_only,hold_reasoning_form_risk,body_after_repair,017试卷L234-L260; 018细则L81-L96与表格,answer_confirmed_from_rubric_018,只写两个思维但材料不匹配只得有限分;写一个思维且材料不匹配为0,回源校准创新思维材料配对,主观题正文条目：材料触发点/设问/为什么能想到/答案落点,repaired_review_only
6,P2_REPAIR_INDEX_CLUSTER,Q-2026通州期末-11,2026 通州期末第11题,交叉,选择题,same_type_index_only,hold_answer_locator_risk,body_after_repair,006试卷Q11; 006答案表Q11=C,answer_confirmed_C_from_006_paper,A迁移飞跃错位;B分析综合/普遍特殊普遍不对应;D类比推理与系统整合错位,回源确认题干/答案并补思维链,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
7,P2_REPAIR_INDEX_CLUSTER,Q-2025东城期末-5,2025 东城期末第5题,思维,选择题,same_type_index_only,hold_answer_locator_risk,body_after_repair,012试卷Q5; 012内嵌解析Q5=C,answer_confirmed_C_from_012_inline,①自在联系错误;③简单否定错误,回源确认题干/答案并补陷阱,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
8,P2_REPAIR_INDEX_CLUSTER,Q-2025海淀期末-2,2025 海淀期末第2题,思维,选择题,same_type_index_only,hold_answer_locator_risk,body_after_repair,015试卷Q2; 016答案表Q2=C,answer_confirmed_C_from_016_rubric,①辩证否定陷阱;④立足成功经验错位,回源确认题干/答案并补思维方法,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
9,P2_REPAIR_INDEX_CLUSTER,Q-2026通州期末-5,2026 通州期末第5题,思维,选择题,same_type_index_only,hold_answer_locator_risk,body_after_repair,006试卷Q5; 006答案表Q5=C,answer_confirmed_C_from_006_paper,①执政兴国表述过宽;④政府主导破解基层治理难题错,回源确认题干/答案并补陷阱,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
10,P2_REPAIR_INDEX_CLUSTER,Q-2026通州期末-8,2026 通州期末第8题,思维,选择题,same_type_index_only,hold_answer_locator_risk,body_after_repair,006试卷Q8; 006答案表Q8=D,answer_confirmed_D_from_006_paper,①依赖民族情怀过强;②核心源泉错误,回源确认题干/答案并补思维方法,选择题正文条目：题干信号/正确项理由/错项陷阱/同类题,repaired_review_only
